vol*pri,symbol,date,name
22062411914,NVDA,2025-05-27,Nvidia Corp.
861007492,CRM,2025-05-27,Salesforce.Com Inc
843488981,COST,2025-05-27,Costco Wholesale Corp.
841722961,WMT,2025-05-27,
598357999,MDT,2025-05-27,Medtronic
525160622,HD,2025-05-27,Home Depot
486644148,MRVL,2025-05-27,Marvell Technology Group
454440922,CSCO,2025-05-27,Cisco Systems
409441190,TGT,2025-05-27,Target Corp.
361710308,TJX,2025-05-27,Tjx Companies
351587712,DELL,2025-05-27,Dell Inc.
345722364,PANW,2025-05-27,Palo Alto Networks Inc.
321329665,INTU,2025-05-27,Intuit Inc.
300774631,SNPS,2025-05-27,Synopsys
294701287,ROST,2025-05-27,Ross Stores
288269260,AMAT,2025-05-27,Applied Materials
273064916,AZO,2025-05-27,Autozone
257705801,WBD,2025-05-27,
223332988,WDAY,2025-05-27,
212608140,ADI,2025-05-27,Analog Devices
210815879,TPR,2025-05-27,
189091472,LOW,2025-05-27,Lowe's Companies
181836774,DE,2025-05-27,Deere & Company
175040592,ULTA,2025-05-27,Ulta Salon Cosmetics & Fragrance
167019641,MDB,2025-05-27,
161962531,BURL,2025-05-27,
159629198,ZS,2025-05-27,
157816163,DECK,2025-05-27,Deckers Outdoor Corp.
146219576,DG,2025-05-27,Dollar General Corp.
140268562,IMVT,2025-05-27,
137062516,TTWO,2025-05-27,Take-Two Interactive Software
132703707,HPQ,2025-05-27,Hewlett-Packard Company
114135570,GAP,2025-05-27,
106065469,ANF,2025-05-27,Abercrombie & Fitch Company
104417382,CPRT,2025-05-27,Copart
99303764,COO,2025-05-27,Cooper Companies
90946347,VEEV,2025-05-27,
90682751,CRL,2025-05-27,Charles River Laboratories Intl
90188291,BBY,2025-05-27,
88232469,NTAP,2025-05-27,Netapp
85668219,NTNX,2025-05-27,
83425431,RL,2025-05-27,Ralph Lauren Corp.
82545741,PSTG,2025-05-27,
79410726,CF,2025-05-27,Cf Industries Holdings
76648847,A,2025-05-27,Agilent Technologies
65126286,S,2025-05-27,Sprint Corporation Series 1
64656567,PODD,2025-05-27,Insulet Corp.
63532274,EPAM,2025-05-27,Epam Systems Inc.
57958876,KSS,2025-05-27,Kohl's Corp.
53686712,AKAM,2025-05-27,Akamai Technologies
52760973,KEYS,2025-05-27,
46171137,BIRK,2025-05-27,
43549814,VTRS,2025-05-27,
35217541,AAP,2025-05-27,
31754256,HRL,2025-05-27,Hormel Foods Corp.
31076143,GEN,2025-05-27,
29612067,ASAN,2025-05-27,
24195213,CPRI,2025-05-27,
21574204,FL,2025-05-27,Footlocker Inc
21562289,JWN,2025-05-27,Nordstrom
20473898,AMBA,2025-05-27,Ambarella Inc.
19834763,CBRL,2025-05-27,Cracker Barrel Old Country Store
19787090,NDSN,2025-05-27,Nordson Corp.
16616492,GOGL,2025-05-27,
11914527,PD,2025-05-27,
11812945,PHR,2025-05-27,
7769671,GES,2025-05-27,Guess
5952951,CAL,2025-05-27,
5318491,NAT,2025-05-27,Nordic American Tanker Shipping Limited
4875637,MLAB,2025-05-27,Mesa Laboratories
3856646,GCO,2025-05-27,Genesco Inc.
2336729,SPTN,2025-05-27,Spartan Stores
2007886,CCIF,2025-05-27,
1468740,SSYS,2025-05-27,Stratasys
1347063,REE,2025-05-27,
1125242,MOV,2025-05-27,Movado Group Inc.
895815,FNGR,2025-05-27,
552485,CCG,2025-05-27,Campus Crest Communities
235646,PKE,2025-05-27,Park Electrochemical Corp.
163140,DXLG,2025-05-27,Casual Male Retail Group
96904,DLTH,2025-05-27,
57507,LVO,2025-05-27,
51261,RSVR,2025-05-27,
38871,YTRA,2025-05-27,
33997,IMII,2025-05-27,
29448,BOSC,2025-05-27,B.O.S. Better Online Solutions
28979,NTRB,2025-05-27,
14025,PSHG,2025-05-27,
13871,GLMD,2025-05-27,
10150,LOOP,2025-05-27,
9927,BRID,2025-05-27,Bridgford Foods Corp.
8497,MLEC,2025-05-27,
2992,FCHS,2025-05-27,
1086,AVRW,2025-05-27,
129,AKOM,2025-05-27,
50,DSHK,2025-05-27,
0,GRST,2025-05-27,
0,MEDVF,2025-05-27,
0,TSOI,2025-05-27,
0,HCP,2025-05-27,Hcp
