Date,Open,High,Low,Close,Volume
2025-03-19,37.94,38.38,36.75,37.27,944930
2025-03-18,37.64,38.25,37.04,37.72,1538900
2025-03-17,37.48,38.33,37.0,37.84,1807800
2025-03-14,38.38,38.73,37.17,37.59,1930900
2025-03-13,37.6,38.55,37.16,38.14,2381100
2025-03-12,36.68,37.74,35.64,37.58,2524100
2025-03-11,37.38,38.2,36.35,36.52,3102200
2025-03-10,35.31,37.77,35.25,36.58,4304500
2025-03-07,33.5,35.6,33.08,35.37,3486500
2025-03-06,34.06,35.21,33.52,33.63,3206500
2025-03-05,34.5,35.18,33.94,34.35,3876600
2025-03-04,34.75,35.81,34.57,34.58,3023600
2025-03-03,37.11,37.22,35.02,35.41,3368900
2025-02-28,37.0,38.08,36.17,36.9,3386500
2025-02-27,37.76,38.69,36.43,36.96,4857600
2025-02-26,43.5,44.01,37.05,37.7,8843300
2025-02-25,43.14,46.07,42.8,45.88,4189700
2025-02-24,43.44,44.41,42.56,42.81,2826300
2025-02-21,45.04,45.27,42.7,43.44,2499700
2025-02-20,44.65,44.8,43.42,44.34,1948400
2025-02-19,44.23,45.14,44.04,44.32,1928000
2025-02-18,47.77,47.8,44.57,44.57,3288200
2025-02-14,49.0,49.02,47.49,47.87,1176400
2025-02-13,48.64,49.37,47.61,48.59,2214200
2025-02-12,45.98,47.52,45.63,47.49,1664700
2025-02-11,45.06,47.04,44.5,47.0,1800000
2025-02-10,46.06,46.74,45.18,45.24,1911900
2025-02-07,48.66,48.86,45.9,45.95,1926800
2025-02-06,49.73,50.42,48.73,48.88,1374100
2025-02-05,49.58,50.4,48.73,49.0,1046200
2025-02-04,48.56,49.96,48.53,49.57,1398300
2025-02-03,47.14,48.78,46.22,48.2,1428700
2025-01-31,49.55,49.89,48.02,48.5,1543900
2025-01-30,49.24,50.59,49.09,49.79,1919300
2025-01-29,48.8,49.27,48.21,48.74,1209000
2025-01-28,49.21,49.5,48.01,48.76,1124000
2025-01-27,48.35,49.38,47.99,49.22,1782300
2025-01-24,47.36,48.58,47.03,48.44,1326700
2025-01-23,46.48,48.17,46.29,47.37,1693500
2025-01-22,46.11,47.19,45.73,46.48,1404300
2025-01-21,45.97,46.84,45.51,46.18,1684800
2025-01-17,46.16,47.19,45.89,45.91,1338400
2025-01-16,44.2,45.98,43.71,45.73,1108600
2025-01-15,46.1,46.47,44.36,44.37,1097700
2025-01-14,45.1,45.53,43.78,44.69,1539700
2025-01-13,45.83,46.22,44.42,44.85,2820500
2025-01-10,45.25,46.76,44.36,46.2,1787100
2025-01-08,45.35,45.99,44.41,45.28,1549200
2025-01-07,47.69,47.84,45.39,45.74,2116400
2025-01-06,46.52,49.25,46.35,47.52,2766800
2025-01-03,47.93,48.4,45.25,46.09,1700600
2025-01-02,47.1,47.89,46.4,47.88,1855600
2024-12-31,45.85,47.43,45.81,47.03,2603200
2024-12-30,43.53,46.36,43.12,45.8,2896400
2024-12-27,43.76,44.78,43.56,43.82,1137500
2024-12-26,43.13,45.05,43.09,44.0,1349900
2024-12-24,43.53,43.74,42.63,43.49,527700
2024-12-23,42.8,43.62,42.37,43.51,1297600
2024-12-20,41.44,43.6,41.22,43.28,2654300
2024-12-19,43.21,43.92,40.94,41.73,2149400
2024-12-18,44.36,45.07,42.69,42.73,1765800
2024-12-17,43.29,44.35,42.99,44.22,1455200
2024-12-16,43.32,45.52,43.16,43.74,1632900
2024-12-13,43.5,43.91,42.67,43.62,1420300
2024-12-12,45.08,45.39,42.68,43.8,1974400
2024-12-11,46.81,47.22,44.97,45.29,1450000
2024-12-10,47.05,47.39,45.66,46.8,2035000
2024-12-09,45.2,48.68,45.02,47.18,4055300
2024-12-06,43.78,44.99,43.71,44.72,2222200
2024-12-05,43.99,44.5,43.32,43.37,2315700
2024-12-04,42.15,44.61,41.99,43.77,2149200
2024-12-03,42.22,42.62,41.3,42.41,1735500
2024-12-02,41.75,43.04,41.18,42.37,2769200
2024-11-29,43.79,43.82,40.78,41.12,2818200
2024-11-27,43.86,44.63,43.07,44.2,2051400
2024-11-26,42.06,43.69,41.99,43.6,2283000
2024-11-25,41.53,43.5,41.17,43.18,3308600
2024-11-22,38.49,40.66,38.47,40.57,2577500
2024-11-21,38.42,38.77,37.98,38.48,2346000
2024-11-20,38.68,39.33,37.75,38.42,2440500
2024-11-19,39.12,39.4,37.9,38.29,2510400
2024-11-18,37.35,39.97,37.34,39.87,3316600
2024-11-15,40.05,40.89,37.2,37.48,5899600
2024-11-14,43.25,45.2,40.86,40.97,8456500
2024-11-13,40.07,41.23,39.85,40.72,3291900
2024-11-12,39.78,40.33,39.32,39.69,2169900
2024-11-11,37.8,40.38,37.8,40.32,2892800
2024-11-08,38.36,38.53,37.11,37.69,2834500
2024-11-07,38.79,39.05,38.32,38.77,1664000
2024-11-06,38.57,39.11,37.67,38.63,1971000
2024-11-05,37.05,38.2,37.05,37.95,1746800
2024-11-04,36.15,38.73,36.12,37.24,3403000
2024-11-01,35.6,36.21,35.41,36.05,2628800
2024-10-31,35.8,35.95,35.39,35.49,2378700
2024-10-30,35.88,36.9,35.57,35.75,2763300
2024-10-29,36.63,36.89,35.63,35.65,3071400
2024-10-28,36.66,37.61,36.55,36.89,2728200
2024-10-25,37.25,37.35,36.47,36.54,1906100
2024-10-24,37.43,37.94,36.7,37.08,2268800
2024-10-23,38.53,38.64,36.85,37.64,2708100
2024-10-22,40.16,40.29,38.53,38.54,2963300
2024-10-21,39.61,40.93,39.48,40.75,2578300
2024-10-18,39.59,40.24,39.35,39.6,1308200
2024-10-17,38.18,39.26,38.03,39.16,2167600
2024-10-16,39.71,39.71,38.37,38.41,2687100
2024-10-15,40.18,41.19,39.08,39.25,4160200
2024-10-14,37.34,39.28,37.19,39.25,2881800
2024-10-11,36.9,37.62,36.84,37.32,1772200
2024-10-10,37.8,37.89,36.79,36.95,2051600
2024-10-09,38.55,38.97,37.55,37.97,3437000
2024-10-08,38.23,38.75,37.84,38.38,1833800
2024-10-07,38.41,39.44,38.02,38.62,2871000
2024-10-04,38.92,39.37,36.6,38.22,5147600
2024-10-03,36.45,38.76,35.96,38.42,4860400
2024-10-02,37.35,37.85,36.63,36.72,2506800
2024-10-01,38.03,38.26,37.06,37.32,3043100
2024-09-30,40.5,40.68,38.42,38.52,3225700
2024-09-27,40.33,41.97,40.33,40.88,2784200
2024-09-26,39.41,40.4,39.4,39.74,2935100
2024-09-25,40.46,40.46,38.69,39.12,2154000
2024-09-24,40.11,40.76,39.76,40.41,1987500
2024-09-23,40.51,40.55,39.47,40.08,1898400
2024-09-20,41.78,42.13,40.24,40.49,2857900
2024-09-19,42.53,42.86,41.37,41.91,1878400
2024-09-18,40.93,42.38,40.64,41.56,4278900
2024-09-17,41.12,41.23,40.24,40.83,4960600
2024-09-16,41.29,41.47,39.88,40.64,2506000
2024-09-13,39.51,41.01,39.37,40.93,2862900
2024-09-12,38.32,39.04,37.84,39.0,1713400
2024-09-11,38.03,38.43,37.05,38.3,3158400
2024-09-10,38.12,38.99,37.65,38.06,2633000
2024-09-09,39.27,39.88,38.15,38.25,3268500
2024-09-06,39.88,40.69,39.05,39.28,4033900
2024-09-05,41.98,42.15,39.82,39.97,3700300
2024-09-04,43.03,43.2,41.43,41.91,3120100
2024-09-03,43.96,44.65,43.17,43.19,2566600
2024-08-30,45.9,46.05,44.35,44.76,3065300
2024-08-29,46.18,46.28,45.24,45.59,2658300
2024-08-28,46.8,47.71,45.92,46.07,2826000
2024-08-27,48.41,48.45,47.19,47.27,3226400
2024-08-26,49.11,49.23,47.77,48.51,3511400
2024-08-23,50.68,50.86,47.39,48.55,6659300
2024-08-22,47.81,53.24,47.7,50.48,13812100
2024-08-21,60.73,61.22,60.07,61.17,1875800
2024-08-20,60.11,60.44,59.55,60.07,967400
2024-08-19,61.44,61.46,59.79,60.16,1295000
2024-08-16,61.51,62.04,60.99,61.44,995700
2024-08-15,61.37,62.35,60.68,61.63,1253000
2024-08-14,59.91,60.63,59.27,59.77,828200
2024-08-13,57.64,59.73,57.41,59.46,885400
2024-08-12,59.83,59.83,57.11,57.36,1271800
2024-08-09,60.59,60.59,59.19,59.48,867500
2024-08-08,58.38,60.36,58.28,60.18,1251700
2024-08-07,58.42,59.84,57.88,58.27,1296000
2024-08-06,57.65,58.81,56.78,57.51,1052200
2024-08-05,57.64,58.86,56.33,58.15,1453200
2024-08-02,60.34,60.78,58.14,60.31,1211500
2024-08-01,62.86,62.91,60.05,61.38,932800
2024-07-31,62.37,63.8,62.05,62.56,1077600
2024-07-30,60.32,62.53,60.04,62.32,1342900
2024-07-29,60.26,60.97,59.86,60.25,1405600
2024-07-26,60.04,60.96,59.6,60.02,1412400
2024-07-25,58.13,60.69,58.13,59.44,1651500
2024-07-24,58.78,59.49,57.74,58.22,1294800
2024-07-23,57.95,59.11,57.62,58.92,1239100
2024-07-22,58.96,59.31,58.06,59.02,1191400
2024-07-19,60.46,60.61,58.63,58.9,1269400
2024-07-18,63.15,64.05,60.47,60.52,1301800
2024-07-17,62.26,64.13,61.45,63.66,1410000
2024-07-16,62.1,63.33,61.54,62.89,1028500
2024-07-15,61.84,62.85,61.05,61.66,1110200
2024-07-12,61.17,63.2,60.8,62.16,1594800
2024-07-11,58.95,61.12,58.46,60.73,1501600
2024-07-10,57.9,57.93,57.23,57.79,916200
2024-07-09,58.09,58.18,56.9,56.98,1222400
2024-07-08,58.37,59.02,57.46,58.34,1335700
2024-07-05,58.76,58.95,57.07,57.77,1753200
2024-07-03,59.81,60.14,58.7,58.89,843700
2024-07-02,58.3,59.75,58.03,59.62,1650800
2024-07-01,61.57,61.81,58.49,58.75,1767600
2024-06-28,61.85,62.44,60.97,62.31,1351100
2024-06-27,60.82,62.35,60.28,61.69,1116600
2024-06-26,62.06,62.48,60.72,60.79,977200
