Date,Open,High,Low,Close,Volume
2025-03-13,72.46,73.69,71.25,71.76,385237
2025-03-12,68.95,73.06,68.04,72.72,805500
2025-03-11,71.94,71.94,68.36,68.36,752100
2025-03-10,69.95,72.65,69.0,72.12,684300
2025-03-07,74.66,74.66,67.1,70.74,630700
2025-03-06,67.2,70.46,67.2,68.6,713000
2025-03-05,65.82,69.03,65.64,68.88,612100
2025-03-04,61.98,67.18,60.82,65.63,806000
2025-03-03,64.72,65.97,61.9,62.63,724800
2025-02-28,58.68,65.37,57.17,64.82,1143100
2025-02-27,60.36,62.87,60.36,61.39,737600
2025-02-26,62.85,63.54,60.08,60.26,640200
2025-02-25,63.16,63.63,61.83,62.65,689800
2025-02-24,63.82,65.02,62.71,63.01,627200
2025-02-21,66.57,66.66,63.46,63.75,630300
2025-02-20,63.25,66.42,62.38,65.61,593000
2025-02-19,63.79,64.58,63.03,63.29,456400
2025-02-18,65.51,67.0,63.52,64.25,370500
2025-02-14,64.2,65.91,63.7,65.23,420800
2025-02-13,63.89,64.84,62.22,63.71,543200
2025-02-12,61.33,63.64,61.33,63.31,468700
2025-02-11,65.87,66.81,62.47,63.16,769500
2025-02-10,67.27,67.4,65.67,67.0,503600
2025-02-07,68.09,69.24,66.4,66.91,513800
2025-02-06,68.56,69.43,67.04,68.24,510800
2025-02-05,67.85,69.84,67.69,68.56,456500
2025-02-04,64.57,67.85,64.01,67.72,561900
2025-02-03,65.91,66.17,63.38,64.76,719000
2025-01-31,67.69,70.24,67.36,68.13,822100
2025-01-30,65.24,68.03,65.24,67.58,547700
2025-01-29,64.0,65.72,64.0,64.58,254000
2025-01-28,63.05,65.29,61.78,64.24,344200
2025-01-27,62.86,65.15,62.42,62.93,653000
2025-01-24,64.95,66.22,62.23,62.99,847700
2025-01-23,65.55,66.73,63.62,65.39,832800
2025-01-22,66.17,66.82,63.8,65.85,978900
2025-01-21,67.07,67.8,65.75,66.57,686400
2025-01-17,68.05,68.16,65.38,66.48,562500
2025-01-16,67.77,68.24,66.01,67.01,735700
2025-01-15,66.44,67.51,63.62,67.51,762900
2025-01-14,68.06,68.92,64.39,64.65,707900
2025-01-13,68.51,69.07,65.18,67.36,568600
2025-01-10,70.16,70.44,67.43,69.08,1602600
2025-01-08,76.42,76.42,72.12,72.26,884300
2025-01-07,75.1,77.33,73.45,77.05,527400
2025-01-06,79.49,80.09,74.56,75.01,1085200
2025-01-03,78.74,81.0,77.92,79.13,415600
2025-01-02,76.91,80.46,76.37,78.75,318000
2024-12-31,79.43,80.0,75.96,76.69,404400
2024-12-30,78.0,79.12,75.6,78.35,450400
2024-12-27,78.0,79.33,76.1,79.08,478800
2024-12-26,77.05,79.5,76.67,79.02,279800
2024-12-24,76.63,77.94,75.53,77.58,267600
2024-12-23,75.13,76.84,74.11,76.79,401900
2024-12-20,74.16,76.41,73.4,75.54,1372300
2024-12-19,75.52,77.1,73.39,75.21,842700
2024-12-18,82.54,83.35,74.44,75.43,1232600
2024-12-17,82.16,83.41,81.52,82.03,668000
2024-12-16,83.24,85.31,82.06,83.42,895000
2024-12-13,83.73,87.08,82.71,83.8,411100
2024-12-12,85.87,87.91,82.52,83.42,488000
2024-12-11,83.63,90.23,83.04,86.98,820000
2024-12-10,84.14,85.14,82.0,82.27,659600
2024-12-09,88.75,88.79,80.5,82.95,886300
2024-12-06,87.85,89.0,84.46,84.55,303000
2024-12-05,85.0,86.68,83.76,86.42,424000
2024-12-04,89.24,90.27,85.0,85.85,340500
2024-12-03,96.0,96.39,88.04,88.65,472000
2024-12-02,88.06,95.84,86.61,95.72,464700
2024-11-29,89.3,89.65,87.23,88.07,219500
2024-11-27,91.44,92.93,88.51,89.07,353700
2024-11-26,89.4,92.48,89.3,90.96,459100
2024-11-25,93.67,95.5,89.25,89.41,531500
2024-11-22,87.13,91.34,85.92,90.44,348800
2024-11-21,87.91,89.37,85.88,87.22,324100
2024-11-20,86.87,88.3,83.69,87.22,345100
2024-11-19,87.43,89.39,85.37,87.59,498200
2024-11-18,87.93,89.84,87.02,88.22,427500
2024-11-15,94.91,94.99,87.08,87.83,855400
2024-11-14,100.19,100.33,94.88,95.08,480300
2024-11-13,101.11,103.66,100.02,100.14,503200
2024-11-12,106.33,107.37,99.94,100.48,623200
2024-11-11,105.36,107.35,104.11,106.53,702300
2024-11-08,99.94,106.24,96.94,103.06,846000
2024-11-07,92.74,99.48,91.69,99.16,695800
2024-11-06,94.34,96.25,88.64,92.98,1104600
2024-11-05,80.22,87.74,77.0,87.12,2330900
2024-11-04,85.11,91.2,84.9,86.44,784400
2024-11-01,85.0,86.33,84.0,86.17,522600
2024-10-31,86.42,87.34,82.15,84.27,360500
2024-10-30,86.86,87.33,85.33,86.81,323100
2024-10-29,85.15,87.35,83.53,87.25,520100
2024-10-28,85.8,86.33,83.41,84.99,536600
2024-10-25,87.02,87.22,83.97,84.31,311200
2024-10-24,88.5,89.59,85.61,86.48,415000
2024-10-23,89.96,90.55,87.54,88.19,464600
2024-10-22,89.69,91.22,89.69,90.46,418800
2024-10-21,96.52,97.01,89.55,90.28,550500
2024-10-18,95.9,97.54,94.44,96.86,553000
2024-10-17,94.7,96.3,92.77,95.27,727900
2024-10-16,90.14,93.48,89.62,93.0,514200
2024-10-15,86.99,89.99,85.8,89.91,866700
2024-10-14,86.05,87.79,86.0,86.81,325600
2024-10-11,82.67,86.93,82.67,86.2,471600
2024-10-10,81.65,83.04,81.6,82.9,397500
2024-10-09,80.94,84.21,79.64,82.94,449000
2024-10-08,77.95,82.63,76.18,80.85,510100
2024-10-07,77.81,77.97,75.15,76.07,324300
2024-10-04,77.07,79.27,76.61,78.23,408400
2024-10-03,75.45,76.46,73.33,76.2,617400
2024-10-02,80.59,80.77,75.96,76.23,622300
2024-10-01,82.24,82.24,79.42,81.44,427000
2024-09-30,82.83,86.4,81.66,83.51,514800
2024-09-27,85.39,86.3,82.47,82.76,357200
2024-09-26,86.1,86.1,83.28,84.14,364200
2024-09-25,84.68,86.15,84.39,84.6,412700
2024-09-24,86.02,86.2,83.21,84.43,529000
2024-09-23,86.83,87.63,84.66,85.98,470400
2024-09-20,85.37,88.66,83.98,86.61,1351500
2024-09-19,83.24,86.11,81.52,85.43,752700
2024-09-18,78.95,82.97,78.03,80.55,689200
2024-09-17,78.2,78.55,76.9,77.99,343900
2024-09-16,77.34,79.94,76.56,77.01,341700
2024-09-13,75.73,77.03,75.13,76.89,333600
2024-09-12,74.88,75.38,72.35,74.77,393400
2024-09-11,73.6,75.0,72.5,74.4,302600
2024-09-10,74.41,76.72,73.13,74.19,661100
2024-09-09,71.47,74.64,71.25,74.27,498200
2024-09-06,70.49,71.98,68.02,71.25,588800
2024-09-05,65.9,70.52,65.12,70.37,576800
2024-09-04,65.52,66.45,64.1,65.46,386800
2024-09-03,68.18,70.61,65.62,66.12,418300
2024-08-30,68.05,68.98,67.04,68.74,327100
2024-08-29,70.07,70.68,67.23,67.48,422700
2024-08-28,71.24,71.24,68.76,69.3,177200
2024-08-27,71.17,71.68,69.26,71.47,288800
2024-08-26,69.99,74.1,67.51,71.9,553700
2024-08-23,66.9,69.52,66.9,69.38,281100
2024-08-22,66.68,66.96,65.38,66.46,239800
2024-08-21,66.32,67.75,66.01,66.64,402700
2024-08-20,65.88,66.67,64.99,65.89,368700
2024-08-19,65.1,66.89,64.71,66.37,392300
2024-08-16,64.53,65.36,63.06,65.28,396400
2024-08-15,62.72,64.96,61.27,64.86,338100
2024-08-14,61.07,61.72,58.69,60.27,361000
2024-08-13,59.75,61.1,59.38,60.64,379000
2024-08-12,58.79,59.98,57.79,58.94,545800
2024-08-09,53.7,59.9,53.7,59.05,965300
2024-08-08,51.75,52.95,50.56,52.58,549900
2024-08-07,52.11,52.67,50.29,50.91,486800
2024-08-06,51.68,53.27,50.64,51.73,539600
2024-08-05,49.0,54.72,49.0,51.09,561200
