Date,Open,High,Low,Close,Volume
2025-03-19,209.19,211.07,208.09,210.83,1008434
2025-03-18,210.58,210.75,207.69,209.16,2657000
2025-03-17,207.75,213.37,207.37,211.68,2514500
2025-03-14,207.36,209.85,206.23,208.75,2614100
2025-03-13,206.0,208.16,202.59,203.8,2625200
2025-03-12,209.08,212.99,205.62,206.62,3917700
2025-03-11,217.33,217.39,206.48,209.08,4225500
2025-03-10,220.22,221.15,213.15,216.26,4946600
2025-03-07,223.59,226.66,219.74,225.86,4062900
2025-03-06,225.68,228.87,222.05,222.77,4818700
2025-03-05,227.18,229.86,222.7,229.47,3927300
2025-03-04,230.46,231.44,223.9,226.18,4742400
2025-03-03,230.84,232.82,224.69,227.54,5000100
2025-02-28,225.01,229.12,222.08,229.06,4631200
2025-02-27,233.22,233.22,222.53,222.88,4480000
2025-02-26,234.02,235.36,230.83,232.72,2908200
2025-02-25,237.3,237.3,233.36,234.28,4136800
2025-02-24,239.24,239.6,235.16,235.96,4778300
2025-02-21,243.87,245.01,236.73,237.88,6176500
2025-02-20,242.48,246.03,241.5,242.76,5889800
2025-02-19,229.02,241.46,223.13,240.61,9789600
2025-02-18,216.33,219.55,214.84,219.27,7400200
2025-02-14,210.32,214.22,209.72,213.68,3938600
2025-02-13,204.1,208.74,204.1,208.43,3134900
2025-02-12,200.14,204.51,199.93,204.24,2411500
2025-02-11,202.05,205.72,201.76,202.58,2335700
2025-02-10,205.69,206.31,202.09,203.97,2820500
2025-02-07,206.78,208.64,202.86,204.32,3194700
2025-02-06,207.83,209.6,204.86,206.93,2715100
2025-02-05,204.54,209.64,203.28,208.89,4515700
2025-02-04,203.71,207.45,203.19,205.12,4651500
2025-02-03,208.38,208.74,201.89,204.35,4483500
2025-01-31,210.79,216.68,209.78,210.97,3486400
2025-01-30,209.32,212.15,208.19,211.48,2976400
2025-01-29,208.63,210.95,208.1,209.0,2258500
2025-01-28,211.89,212.98,207.0,208.61,3748600
2025-01-27,216.46,219.86,212.71,214.49,7088000
2025-01-24,223.65,225.06,216.19,216.43,3929200
2025-01-23,220.92,227.44,220.57,227.36,2608000
2025-01-22,220.49,225.24,220.14,223.11,2883300
2025-01-21,218.28,222.68,218.21,220.49,4090900
2025-01-17,219.6,219.68,216.9,218.21,2871100
2025-01-16,217.35,217.35,211.79,214.09,3116000
2025-01-15,216.56,218.64,214.77,217.27,3302500
2025-01-14,212.24,213.9,210.62,213.72,1634600
2025-01-13,208.43,212.45,207.19,212.03,3960600
2025-01-10,216.6,218.42,210.87,211.45,4108500
2025-01-08,214.47,220.2,211.71,219.49,3096400
2025-01-07,218.84,219.33,213.37,214.93,3573100
2025-01-06,214.4,220.57,213.85,217.06,2490700
2025-01-03,211.84,215.17,209.49,214.44,2547200
2025-01-02,214.56,216.31,208.84,210.43,2378700
2024-12-31,213.07,213.62,210.16,211.54,1608800
2024-12-30,213.32,213.7,210.12,211.64,2578300
2024-12-27,216.49,217.3,214.31,216.05,1926700
2024-12-26,214.46,218.12,214.46,217.12,1189000
2024-12-24,215.0,217.26,212.74,217.15,1063500
2024-12-23,211.01,214.65,210.63,213.96,2478500
2024-12-20,205.39,212.44,204.94,210.86,6604100
2024-12-19,208.69,209.7,206.33,206.88,3941900
2024-12-18,214.23,218.0,206.36,206.87,4077400
2024-12-17,214.95,216.99,211.44,212.89,3240500
2024-12-16,213.99,216.85,212.73,215.37,3409800
2024-12-13,214.48,217.03,212.82,215.67,3067300
2024-12-12,214.22,217.78,213.71,216.78,2995000
2024-12-11,215.09,218.09,214.63,216.18,3839200
2024-12-10,218.09,218.72,213.57,214.68,2679400
2024-12-09,215.03,222.58,214.23,218.09,2467200
2024-12-06,212.9,216.73,211.91,216.34,3189400
2024-12-05,215.38,217.52,212.04,212.72,2474800
2024-12-04,221.21,221.31,216.0,216.44,2635200
2024-12-03,219.69,221.42,218.07,219.65,2340500
2024-12-02,216.27,222.87,215.16,221.22,3240200
2024-11-29,217.32,219.81,215.64,216.19,1992600
2024-11-27,217.45,217.53,212.08,215.32,2943400
2024-11-26,230.17,231.56,214.17,217.18,6568700
2024-11-25,215.88,223.08,214.16,221.67,7303600
2024-11-22,209.74,212.92,209.74,212.76,2695200
2024-11-21,210.48,213.18,208.26,212.13,2540600
2024-11-20,205.48,209.36,205.48,209.21,3072400
2024-11-19,205.93,209.02,205.04,208.64,2958600
2024-11-18,204.76,208.1,204.35,207.86,3774700
2024-11-15,206.99,208.59,203.65,204.59,3881000
2024-11-14,211.62,213.21,209.66,210.43,3214100
2024-11-13,214.92,215.82,210.63,211.02,4609800
2024-11-12,218.61,218.97,214.06,217.68,2593900
2024-11-11,221.94,223.09,216.56,218.59,3271700
2024-11-08,224.63,226.17,222.84,223.87,3426900
2024-11-07,227.67,228.31,223.79,225.83,2500600
2024-11-06,221.77,226.14,220.05,224.32,3615300
2024-11-05,217.44,217.44,213.48,215.74,3753400
2024-11-04,223.08,224.85,221.53,222.28,1599600
2024-11-01,221.96,224.67,221.1,223.56,2922800
2024-10-31,228.2,228.24,218.95,221.21,4258100
2024-10-30,228.81,231.0,227.92,228.16,2084400
2024-10-29,227.74,233.85,227.06,233.22,2055900
2024-10-28,227.18,229.97,226.65,228.18,3403700
2024-10-25,229.86,233.19,228.08,228.21,1733500
2024-10-24,226.79,228.38,225.48,227.72,2376100
2024-10-23,226.13,227.55,222.1,224.91,2492000
2024-10-22,222.53,223.69,220.81,222.7,1833700
2024-10-21,224.37,224.48,220.51,223.75,2212200
2024-10-18,227.22,227.82,225.03,226.38,1763100
2024-10-17,230.54,231.57,225.23,225.4,3637700
2024-10-16,226.9,228.38,224.03,225.55,1585700
2024-10-15,234.0,234.74,222.17,223.94,4112200
2024-10-14,231.81,235.01,230.72,234.41,1770300
2024-10-11,227.36,232.0,227.36,230.87,1428900
2024-10-10,227.74,229.85,226.72,228.73,1793700
2024-10-09,228.43,231.59,227.33,231.25,2410700
2024-10-08,224.81,228.54,222.4,227.44,2447400
2024-10-07,223.73,225.37,222.18,224.58,1564700
2024-10-04,229.92,230.38,224.18,226.28,1895200
2024-10-03,222.71,226.89,222.55,224.63,2087700
2024-10-02,223.06,228.01,221.63,225.79,1858000
2024-10-01,226.98,227.48,220.5,221.76,3124400
2024-09-30,226.95,228.59,224.73,228.21,2711400
2024-09-27,232.71,233.25,229.12,230.07,2277800
2024-09-26,230.64,231.98,222.89,230.48,3883000
2024-09-25,222.19,225.64,222.19,224.71,2042600
2024-09-24,226.69,228.83,224.89,225.39,1984800
2024-09-23,222.86,224.91,222.29,224.08,1357900
2024-09-20,229.99,230.5,222.44,224.85,5009500
2024-09-19,228.04,233.75,225.93,231.46,7157700
2024-09-18,226.92,226.92,220.07,220.74,2527300
2024-09-17,225.5,227.09,220.75,223.43,2524500
2024-09-16,220.49,222.55,218.81,221.38,2124000
2024-09-13,221.93,224.62,221.11,223.5,2032300
2024-09-12,221.53,221.54,217.06,219.64,2158200
2024-09-11,218.01,223.79,212.88,223.15,3431800
2024-09-10,215.64,217.16,212.29,216.85,2048900
2024-09-09,215.16,217.44,214.21,216.7,2450800
2024-09-06,216.71,217.54,210.89,211.82,3437000
2024-09-05,217.61,219.73,215.86,217.19,2730000
2024-09-04,218.13,222.07,216.26,219.91,2736400
2024-09-03,226.74,228.06,215.79,216.84,4868600
2024-08-30,232.02,233.21,228.94,231.92,2770900
2024-08-29,226.64,232.19,226.63,228.02,2711500
2024-08-28,228.21,230.35,222.35,224.35,3211800
2024-08-27,222.32,229.47,221.53,228.96,3707500
2024-08-26,225.01,225.36,221.01,222.81,2532300
2024-08-23,223.05,226.36,221.97,225.55,3208000
2024-08-22,222.88,225.43,218.51,219.16,3708100
2024-08-21,226.67,233.92,222.02,224.68,5595100
2024-08-20,221.18,223.21,218.64,220.72,3994200
2024-08-19,219.67,223.27,218.74,223.15,2803100
2024-08-16,220.28,221.02,218.67,220.42,2573600
2024-08-15,217.71,221.46,216.7,220.89,5197400
2024-08-14,214.23,215.4,210.16,212.65,2409500
2024-08-13,210.6,215.89,210.55,215.3,4011000
2024-08-12,209.52,210.75,207.39,209.45,1712100
2024-08-09,207.34,211.08,206.56,208.69,2482100
2024-08-08,203.63,211.48,201.73,210.99,4510100
2024-08-07,207.86,208.8,198.37,198.81,4178200
2024-08-06,198.86,206.11,198.68,202.34,4671100
2024-08-05,203.47,206.49,196.26,198.07,4879700
2024-08-02,209.84,210.42,204.14,205.38,6796700
2024-08-01,225.25,228.33,214.08,216.2,5404600
2024-07-31,226.91,229.28,224.12,228.51,4308100
2024-07-30,226.01,227.32,220.13,221.79,3955600
2024-07-29,225.9,227.41,222.53,224.58,2672200
2024-07-26,222.5,224.43,220.2,223.62,4296200
2024-07-25,218.76,224.78,214.55,218.18,5114600
2024-07-24,227.77,228.09,220.96,221.83,4589600
2024-07-23,231.19,233.98,226.19,227.46,3876200
2024-07-22,234.18,237.28,230.42,237.06,2827300
2024-07-19,237.32,237.32,227.88,228.35,2894900
2024-07-18,233.54,238.11,233.36,236.02,3688500
2024-07-17,237.49,241.11,232.49,232.69,4448200
2024-07-16,236.04,240.8,234.7,240.31,1964600
2024-07-15,234.2,236.79,233.17,234.77,2057200
2024-07-12,235.39,239.15,233.22,235.6,3105700
2024-07-11,235.8,236.23,230.77,230.84,3103700
2024-07-10,231.55,236.12,230.21,235.37,4037600
2024-07-09,230.86,231.35,228.04,229.13,1315500
2024-07-08,229.3,230.85,228.79,230.44,1729500
2024-07-05,228.55,228.64,225.53,228.02,2251800
2024-07-03,225.83,228.12,224.22,227.16,1425700
2024-07-02,221.77,225.53,221.77,225.41,2417900
2024-07-01,223.89,224.13,221.14,222.38,2307800
2024-06-28,225.32,229.19,224.04,225.43,3634000
2024-06-27,224.18,225.6,223.17,223.87,2159000
2024-06-26,226.47,227.13,223.76,225.01,2510600
2024-06-25,228.21,228.21,223.04,227.48,2015800
2024-06-24,228.18,229.06,225.27,225.62,2413600
2024-06-21,228.67,229.0,226.23,228.18,7366400
2024-06-20,229.54,229.78,225.97,226.66,4562300
2024-06-18,228.86,233.49,228.41,232.46,2457400
