Date,Open,High,Low,Close,Volume
2025-03-19,9.87,9.88,9.74,9.88,8843875
2025-03-18,9.83,9.93,9.76,9.92,25436600
2025-03-17,9.78,9.88,9.78,9.84,16962800
2025-03-14,9.74,9.79,9.65,9.78,19053400
2025-03-13,9.91,10.01,9.6,9.63,22734200
2025-03-12,9.97,10.02,9.88,9.93,21600700
2025-03-11,10.27,10.27,9.95,10.0,31506400
2025-03-10,10.32,10.45,10.21,10.26,30670300
2025-03-07,10.08,10.33,10.06,10.29,26289200
2025-03-06,10.0,10.12,9.97,10.11,26475700
2025-03-05,10.0,10.14,9.97,10.07,24972500
2025-03-04,10.07,10.12,9.94,9.96,36349700
2025-03-03,10.18,10.38,10.1,10.13,32491300
2025-02-28,10.06,10.14,10.02,10.12,30796200
2025-02-27,10.06,10.14,10.02,10.06,23715500
2025-02-26,10.24,10.29,10.07,10.09,38357300
2025-02-25,10.18,10.24,10.16,10.19,15198900
2025-02-24,10.17,10.23,10.07,10.13,27656300
2025-02-21,10.27,10.3,10.1,10.12,21710400
2025-02-20,10.06,10.27,10.04,10.26,27458500
2025-02-19,10.07,10.09,9.94,10.07,17360700
2025-02-18,9.97,10.04,9.95,10.04,19294200
2025-02-14,10.02,10.06,9.92,9.95,10333500
2025-02-13,10.0,10.01,9.92,9.97,15676900
2025-02-12,9.83,9.92,9.76,9.87,11897900
2025-02-11,9.82,9.92,9.82,9.91,13863500
2025-02-10,9.9,9.96,9.84,9.92,14438700
2025-02-07,9.93,9.93,9.77,9.9,17235300
2025-02-06,10.06,10.09,9.88,9.91,24467700
2025-02-05,9.99,10.24,9.98,10.09,43104200
2025-02-04,9.79,9.94,9.67,9.93,39765700
2025-02-03,9.47,9.5,9.28,9.44,34455500
2025-01-31,9.62,9.67,9.53,9.6,28181700
2025-01-30,9.6,9.64,9.54,9.63,14169500
2025-01-29,9.74,9.77,9.6,9.63,19675300
2025-01-28,9.76,9.8,9.65,9.69,12625000
2025-01-27,9.68,9.81,9.64,9.77,16134200
2025-01-24,9.67,9.7,9.61,9.64,13350800
2025-01-23,9.61,9.68,9.54,9.65,10823100
2025-01-22,9.63,9.65,9.55,9.6,13924600
2025-01-21,9.61,9.7,9.61,9.67,19948400
2025-01-17,9.62,9.62,9.55,9.58,15008000
2025-01-16,9.48,9.59,9.41,9.58,19267900
2025-01-15,9.52,9.62,9.39,9.49,28543600
2025-01-14,9.46,9.51,9.38,9.4,16247000
2025-01-13,9.27,9.41,9.25,9.4,14664100
2025-01-10,9.35,9.43,9.28,9.29,17117100
2025-01-08,9.33,9.44,9.27,9.43,11701600
2025-01-07,9.4,9.49,9.35,9.38,16161800
2025-01-06,9.46,9.57,9.28,9.31,20666900
2025-01-03,9.22,9.26,9.17,9.21,11864600
2025-01-02,9.29,9.38,9.2,9.23,11818600
2024-12-31,9.22,9.3,9.21,9.29,8301900
2024-12-30,9.24,9.26,9.17,9.22,8768000
2024-12-27,9.28,9.39,9.27,9.32,9461200
2024-12-26,9.33,9.43,9.3,9.34,13904500
2024-12-24,9.32,9.38,9.28,9.37,4341800
2024-12-23,9.24,9.33,9.2,9.31,14293300
2024-12-20,9.29,9.35,9.2,9.28,39766400
2024-12-19,9.34,9.42,9.28,9.28,16037000
2024-12-18,9.53,9.63,9.3,9.32,17762700
2024-12-17,9.62,9.71,9.54,9.61,24548700
2024-12-16,9.8,9.82,9.72,9.72,14400600
2024-12-13,9.84,9.85,9.73,9.78,10312700
2024-12-12,9.91,9.98,9.85,9.87,15017100
2024-12-11,10.13,10.14,9.87,9.9,12123900
2024-12-10,10.03,10.34,9.88,10.0,18947700
2024-12-09,10.12,10.17,10.05,10.07,12215500
2024-12-06,10.13,10.2,9.99,10.05,10982800
2024-12-05,10.28,10.28,10.01,10.11,15574600
2024-12-04,10.38,10.38,10.2,10.34,18386800
2024-12-03,10.39,10.49,10.39,10.43,10853400
2024-12-02,10.49,10.51,10.33,10.44,26433500
2024-11-29,10.57,10.58,10.42,10.51,17920000
2024-11-27,10.45,10.54,10.32,10.37,19363800
2024-11-26,10.4,10.41,10.15,10.26,15969500
2024-11-25,10.46,10.55,10.34,10.35,20358800
2024-11-22,10.32,10.38,10.26,10.36,15249800
2024-11-21,10.35,10.37,10.11,10.34,28083800
2024-11-20,9.92,10.11,9.85,10.09,45698600
2024-11-19,9.99,10.18,9.17,9.65,44867600
2024-11-18,9.99,10.03,9.89,9.9,7196500
2024-11-15,9.95,10.06,9.94,9.97,10526600
2024-11-14,9.81,10.0,9.77,9.93,9534500
2024-11-13,9.96,9.96,9.81,9.86,8182300
2024-11-12,10.03,10.07,9.91,9.94,6098100
2024-11-11,10.06,10.13,10.02,10.06,6284800
2024-11-08,9.98,10.05,9.94,9.97,5580500
2024-11-07,9.98,10.06,9.94,9.96,7466400
2024-11-06,10.21,10.21,9.94,9.95,10294100
2024-11-05,9.98,10.01,9.9,10.01,8738200
2024-11-04,10.04,10.13,9.88,9.95,9965100
2024-11-01,10.2,10.37,9.91,10.01,17811400
2024-10-31,10.84,10.96,10.81,10.86,13898500
2024-10-30,10.61,10.82,10.61,10.79,6753300
2024-10-29,10.73,10.76,10.63,10.66,5302100
2024-10-28,10.8,10.87,10.75,10.81,5557500
2024-10-25,10.74,10.8,10.71,10.73,5568000
2024-10-24,10.75,10.8,10.65,10.8,5205000
2024-10-23,10.74,10.84,10.72,10.77,6587000
2024-10-22,10.79,10.81,10.65,10.72,5379800
2024-10-21,10.91,10.96,10.84,10.85,3730400
2024-10-18,11.04,11.05,10.89,10.96,8908800
2024-10-17,11.05,11.06,10.94,10.97,5718500
2024-10-16,11.04,11.1,10.99,11.02,3873300
2024-10-15,11.05,11.18,11.05,11.09,7131400
2024-10-14,10.91,11.08,10.89,11.06,3973100
2024-10-11,10.88,10.93,10.86,10.91,5376300
2024-10-10,10.78,10.89,10.75,10.83,5999700
2024-10-09,10.78,10.88,10.75,10.78,4726300
2024-10-08,10.78,10.88,10.71,10.81,5226400
2024-10-07,10.86,10.91,10.8,10.84,4746700
2024-10-04,10.86,10.92,10.8,10.92,6625900
2024-10-03,10.87,10.99,10.81,10.88,5229700
2024-10-02,11.0,11.06,10.92,10.95,10229400
2024-10-01,11.1,11.16,11.01,11.04,6901900
2024-09-30,11.08,11.09,10.97,11.05,7967800
2024-09-27,11.1,11.2,11.03,11.07,7168000
2024-09-26,10.89,11.1,10.89,11.07,8436600
2024-09-25,10.92,10.93,10.81,10.81,6331800
2024-09-24,10.83,10.95,10.81,10.91,6693100
2024-09-23,10.67,10.83,10.57,10.81,9714300
2024-09-20,10.77,10.81,10.6,10.63,16370400
2024-09-19,10.85,10.87,10.73,10.84,6295800
2024-09-18,10.73,10.88,10.62,10.74,6512300
2024-09-17,10.84,10.89,10.68,10.72,8131600
2024-09-16,10.78,10.9,10.77,10.85,5944200
2024-09-13,10.63,10.76,10.63,10.72,6603900
2024-09-12,10.63,10.71,10.54,10.61,14065000
2024-09-11,10.74,10.76,10.54,10.63,13224500
2024-09-10,10.84,10.89,10.74,10.76,7068500
2024-09-09,10.85,10.9,10.79,10.83,9157600
2024-09-06,10.79,10.89,10.77,10.81,7703300
2024-09-05,10.98,11.01,10.79,10.82,6991300
2024-09-04,10.89,10.99,10.88,10.93,5472000
2024-09-03,10.98,11.02,10.88,10.91,8097400
2024-08-30,10.9,11.04,10.89,11.03,9419800
2024-08-29,10.88,10.93,10.78,10.91,4573400
2024-08-28,10.82,10.9,10.79,10.84,4691000
2024-08-27,10.76,10.81,10.71,10.76,4437400
2024-08-26,10.73,10.83,10.73,10.77,4519700
2024-08-23,10.52,10.72,10.52,10.71,6317800
2024-08-22,10.56,10.59,10.49,10.54,6796800
2024-08-21,10.41,10.57,10.4,10.54,6252800
2024-08-20,10.26,10.42,10.24,10.41,8632400
2024-08-19,10.1,10.25,10.1,10.24,10125900
2024-08-16,9.95,10.11,9.73,10.08,25044000
2024-08-15,10.31,10.52,10.3,10.46,17448400
2024-08-14,10.34,10.37,10.26,10.28,8124700
