Date,Open,High,Low,Close,Volume
2025-03-18,2.32,2.35,2.3,2.35,1251
2025-03-17,2.4,2.56,2.34,2.34,10300
2025-03-14,2.3,2.47,2.3,2.4,11200
2025-03-13,2.34,2.69,2.34,2.38,9800
2025-03-12,2.51,2.63,2.33,2.42,10700
2025-03-11,2.76,2.76,2.3,2.45,86400
2025-03-10,2.23,2.48,2.23,2.23,3900
2025-03-07,2.41,2.54,2.33,2.33,10000
2025-03-06,2.58,2.59,2.41,2.48,5500
2025-03-05,2.54,2.79,2.51,2.64,11500
2025-03-04,2.25,2.71,2.21,2.55,72300
2025-03-03,2.52,2.64,2.31,2.31,11700
2025-02-28,2.53,2.54,2.41,2.53,7600
2025-02-27,2.57,2.68,2.5,2.5,5600
2025-02-26,2.56,2.63,2.51,2.55,15700
2025-02-25,2.6,2.76,2.51,2.52,10600
2025-02-24,2.78,2.91,2.5,2.55,30200
2025-02-21,2.92,2.96,2.61,2.62,20200
2025-02-20,2.98,2.98,2.59,2.84,75100
2025-02-19,3.57,3.57,2.83,3.02,92100
2025-02-18,3.59,3.71,3.49,3.49,12700
2025-02-14,3.44,3.64,3.37,3.59,7800
2025-02-13,3.47,3.56,3.41,3.53,7400
2025-02-12,3.4,3.47,3.3,3.43,8500
2025-02-11,3.49,3.5,3.31,3.31,29300
2025-02-10,3.88,3.88,3.45,3.59,40900
2025-02-07,3.87,4.1,3.75,3.83,22900
2025-02-06,4.31,4.31,3.71,3.97,35600
2025-02-05,4.21,4.65,4.06,4.06,160500
2025-02-04,3.91,4.02,3.81,3.9,37200
2025-02-03,3.91,4.01,3.83,3.83,15400
2025-01-31,3.82,4.03,3.82,3.91,13600
2025-01-30,3.81,3.98,3.58,3.8,34200
2025-01-29,3.87,3.87,3.71,3.71,17400
2025-01-28,3.78,3.98,3.75,3.89,8400
2025-01-27,4.04,4.17,3.75,3.75,26900
2025-01-24,4.3,4.5,3.99,4.2,50900
2025-01-23,4.0,4.34,4.0,4.07,25100
2025-01-22,4.17,4.34,4.0,4.01,32300
2025-01-21,4.16,4.35,3.93,4.05,53600
2025-01-17,3.76,4.41,3.74,3.85,27800
2025-01-16,3.6,3.82,3.6,3.74,11400
2025-01-15,3.53,3.83,3.53,3.67,6000
2025-01-14,3.43,3.81,3.43,3.62,20600
2025-01-13,3.55,3.55,3.34,3.42,8400
2025-01-10,3.63,3.78,3.61,3.65,8200
2025-01-08,4.12,4.12,3.88,3.94,10000
2025-01-07,4.3,4.52,4.01,4.15,17900
2025-01-06,4.02,4.34,3.9,4.3,49100
2025-01-03,3.74,5.0,3.69,3.88,233300
2025-01-02,3.21,3.77,3.21,3.57,72900
2024-12-31,3.43,3.48,3.21,3.29,16800
2024-12-30,3.47,3.48,3.2,3.48,23400
2024-12-27,3.32,3.7,3.32,3.37,24700
2024-12-26,3.06,3.42,3.06,3.37,45700
2024-12-24,3.09,3.17,3.06,3.14,11200
2024-12-23,3.11,3.13,2.74,2.9,28500
2024-12-20,3.24,3.24,3.02,3.05,8700
2024-12-19,3.19,3.24,3.04,3.23,15100
2024-12-18,3.33,3.34,3.07,3.08,17500
2024-12-17,3.2,3.39,3.08,3.34,32200
2024-12-16,3.35,3.36,3.15,3.26,25500
2024-12-13,3.41,3.49,3.15,3.19,25100
2024-12-12,3.52,3.72,3.41,3.52,15300
2024-12-11,3.69,3.71,3.48,3.6,36200
2024-12-10,3.74,3.77,3.49,3.49,19400
2024-12-09,3.58,3.78,3.5,3.57,39100
2024-12-06,3.2,3.8,3.2,3.5,53400
2024-12-05,3.02,3.67,3.02,3.16,70300
2024-12-04,3.1,3.3,3.1,3.11,15600
2024-12-03,3.18,3.2,3.1,3.12,12700
2024-12-02,3.0,3.2,3.0,3.12,20200
2024-11-29,3.07,3.07,2.87,2.9,5700
2024-11-27,2.76,3.3,2.71,2.98,15200
2024-11-26,2.88,3.08,2.88,2.97,5000
2024-11-25,2.84,3.15,2.8,2.91,11000
2024-11-22,2.94,3.08,2.86,2.88,8500
2024-11-21,2.92,3.0,2.9,2.92,4300
2024-11-20,3.0,3.12,2.87,3.01,12000
2024-11-19,3.04,3.35,3.01,3.02,4100
2024-11-18,3.08,3.34,2.98,2.98,18700
2024-11-15,3.28,3.54,3.05,3.25,15500
2024-11-14,3.25,3.42,3.18,3.35,11000
2024-11-13,3.33,3.35,3.28,3.3,2600
2024-11-12,3.52,3.54,3.22,3.43,14700
2024-11-11,3.77,3.77,3.15,3.52,7000
2024-11-08,3.87,4.0,3.2,3.55,57100
2024-11-07,3.91,4.15,3.91,3.98,3400
2024-11-06,3.9,4.09,3.87,4.09,13000
2024-11-05,4.08,4.08,3.85,3.86,9200
2024-11-04,4.03,4.03,3.84,3.97,1900
2024-11-01,3.91,4.15,3.86,3.92,21200
2024-10-31,3.86,4.17,3.82,3.91,14200
2024-10-30,4.34,4.42,3.92,4.01,13600
2024-10-29,4.17,4.3,4.03,4.25,9000
2024-10-28,3.99,4.28,3.99,4.28,25600
2024-10-25,4.05,4.15,4.05,4.08,7200
2024-10-24,3.9,4.2,3.87,3.9,19500
2024-10-23,4.18,4.18,3.86,3.9,19600
2024-10-22,4.35,4.35,4.0,4.18,17200
2024-10-21,4.4,4.54,4.27,4.3,22900
2024-10-18,5.01,5.01,4.15,4.4,86900
2024-10-17,3.76,4.45,3.6,4.45,147800
2024-10-16,4.32,4.39,3.21,3.5,145500
2024-10-15,2.6,3.2,2.58,3.05,55000
2024-10-14,2.62,2.62,2.51,2.56,11500
2024-10-11,2.66,2.77,2.15,2.6,39500
2024-10-10,2.65,2.66,2.49,2.54,5900
2024-10-09,2.51,2.59,2.15,2.56,15300
2024-10-08,2.62,2.62,2.56,2.6,1700
2024-10-07,2.65,2.65,2.31,2.62,255900
2024-10-04,2.68,2.69,2.6,2.6,14000
2024-10-03,2.69,2.69,2.55,2.62,12100
2024-10-02,2.62,2.71,2.6,2.7,14600
2024-10-01,2.71,2.8,2.54,2.6,32400
2024-09-30,2.81,2.85,2.6,2.75,15800
2024-09-27,2.95,2.95,2.73,2.75,9400
2024-09-26,2.81,2.95,2.8,2.92,2500
2024-09-25,2.99,3.0,2.25,2.87,40000
2024-09-24,3.15,3.15,2.96,2.98,11200
2024-09-23,3.15,3.19,3.05,3.06,3800
2024-09-20,2.98,3.13,2.93,3.13,22300
2024-09-19,2.95,2.95,2.92,2.92,6200
2024-09-18,3.07,3.07,2.86,2.86,11300
2024-09-17,3.11,3.2,2.9,3.01,19900
2024-09-16,3.12,3.26,3.07,3.09,5800
2024-09-13,3.32,3.32,3.03,3.15,17000
2024-09-12,3.18,3.5,3.18,3.42,11300
2024-09-11,3.13,3.4,3.13,3.22,11700
2024-09-10,3.25,3.34,3.1,3.28,5300
2024-09-09,3.25,3.44,3.25,3.3,6000
2024-09-06,3.26,3.4,2.99,3.35,10200
2024-09-05,3.37,3.37,3.36,3.36,900
2024-09-04,3.18,3.5,3.16,3.5,2700
2024-09-03,3.31,3.36,3.31,3.33,1900
2024-08-30,3.41,3.45,3.32,3.43,1600
2024-08-29,3.32,3.54,3.32,3.33,2700
2024-08-28,3.48,3.55,3.48,3.5,2600
2024-08-27,3.5,3.6,3.39,3.52,2200
2024-08-26,3.5,3.69,3.49,3.55,9600
2024-08-23,3.55,3.83,3.51,3.51,8100
2024-08-22,3.79,3.86,3.75,3.75,5400
2024-08-21,3.72,3.86,3.72,3.86,5900
2024-08-20,3.49,3.72,3.49,3.72,700
2024-08-19,3.8,3.8,3.62,3.79,5300
2024-08-16,3.35,3.8,3.21,3.8,6200
2024-08-15,3.21,3.42,3.21,3.41,10200
2024-08-14,3.25,3.4,3.2,3.25,11400
2024-08-13,3.21,3.49,3.21,3.3,12900
2024-08-12,3.25,3.39,3.2,3.22,21800
2024-08-09,3.3,3.48,3.3,3.36,5000
2024-08-08,3.35,3.48,3.3,3.4,13800
2024-08-07,3.42,3.69,3.35,3.35,11600
2024-08-06,3.54,3.6,3.27,3.33,18400
2024-08-05,3.5,3.57,3.32,3.53,68100
2024-08-02,3.57,3.76,3.57,3.76,3300
2024-08-01,3.62,3.84,3.51,3.7,1600
2024-07-31,3.93,3.94,3.5,3.62,17800
2024-07-30,3.92,3.93,3.81,3.81,6800
2024-07-29,3.92,4.0,3.92,4.0,1500
2024-07-26,3.84,3.96,3.8,3.96,3800
2024-07-25,4.0,4.04,3.86,3.86,2800
2024-07-24,3.91,4.05,3.86,3.87,6400
2024-07-23,4.1,4.1,3.95,4.05,2000
2024-07-22,3.95,4.02,3.76,3.98,7900
2024-07-19,4.0,4.0,3.99,4.0,1600
2024-07-18,3.99,4.06,3.97,4.0,2900
2024-07-17,3.98,4.07,3.96,3.99,3300
2024-07-16,3.94,4.08,3.94,3.99,7200
2024-07-15,4.09,4.16,3.92,3.92,4100
2024-07-12,4.08,4.14,4.0,4.11,5600
2024-07-11,3.96,4.01,3.9,4.01,3100
2024-07-10,3.76,3.95,3.76,3.95,2400
2024-07-09,3.75,4.27,3.75,3.76,22200
2024-07-08,3.88,4.0,3.75,3.82,9300
2024-07-05,3.93,3.93,3.82,3.88,2000
