Date,Open,High,Low,Close,Volume
2025-03-18,3.69,3.98,3.63,3.74,10589
2025-03-17,3.92,3.92,3.56,3.79,20000
2025-03-14,3.78,3.85,3.63,3.69,16900
2025-03-13,3.69,3.86,3.5,3.78,26500
2025-03-12,3.41,3.55,3.25,3.48,11700
2025-03-11,3.44,3.53,3.11,3.41,18800
2025-03-10,3.12,3.44,3.11,3.35,45900
2025-03-07,2.94,3.17,2.82,3.17,17600
2025-03-06,3.03,3.16,2.85,2.95,29700
2025-03-05,2.64,2.99,2.57,2.98,98200
2025-03-04,2.85,2.86,2.39,2.59,62600
2025-03-03,3.17,3.2,2.85,2.85,42900
2025-02-28,3.16,3.22,3.05,3.19,39400
2025-02-27,3.59,3.62,3.12,3.25,139000
2025-02-26,3.31,3.81,3.11,3.64,240700
2025-02-25,4.2,4.2,3.3,3.3,114870
2025-02-24,4.8,4.8,4.2,4.2,101433
2025-02-21,5.1,5.4,4.5,4.8,296423
2025-02-20,7.2,7.8,5.4,5.7,6066443
2025-02-19,4.5,4.5,3.9,4.5,173223
2025-02-18,6.0,6.0,5.4,5.7,176757
2025-02-14,5.1,5.7,5.1,5.4,81843
2025-02-13,5.7,6.6,5.7,6.3,290590
2025-02-12,6.3,7.8,6.0,6.9,4313947
2025-02-11,5.4,5.4,5.4,5.4,11110
2025-02-10,5.4,5.4,5.1,5.4,8617
2025-02-07,5.4,5.4,5.1,5.4,10953
2025-02-06,5.7,5.7,5.4,5.7,13460
2025-02-05,5.4,5.7,5.4,5.4,8453
2025-02-04,5.4,5.7,5.4,5.4,8267
2025-02-03,5.4,5.4,5.1,5.4,9870
2025-01-31,5.1,5.4,5.1,5.4,15370
2025-01-30,5.4,5.4,5.1,5.1,18780
2025-01-29,5.7,5.7,5.1,5.1,28237
2025-01-28,6.0,6.0,5.4,5.7,20107
2025-01-27,6.3,6.3,6.0,6.0,14117
2025-01-24,6.3,6.3,6.0,6.3,21150
2025-01-23,6.6,6.6,6.0,6.3,17560
