Date,Open,High,Low,Close,Volume
2025-03-13,1.09,1.13,1.09,1.1,9910
2025-03-12,1.11,1.17,1.11,1.17,32500
2025-03-11,1.11,1.14,1.06,1.13,46200
2025-03-10,1.19,1.19,1.13,1.13,26500
2025-03-07,1.16,1.19,1.15,1.18,26200
2025-03-06,1.15,1.2,1.14,1.2,32500
2025-03-05,1.16,1.16,1.13,1.15,48100
2025-03-04,1.17,1.24,1.1,1.17,228400
2025-03-03,1.15,1.43,1.1,1.3,492300
2025-02-28,1.14,1.2,1.1,1.17,39200
2025-02-27,1.2,1.26,1.12,1.17,91600
2025-02-26,1.25,1.26,1.17,1.18,53600
2025-02-25,1.31,1.31,1.23,1.23,42700
2025-02-24,1.3,1.35,1.25,1.31,52400
2025-02-21,1.33,1.33,1.25,1.25,25500
2025-02-20,1.28,1.29,1.25,1.28,38000
2025-02-19,1.34,1.35,1.26,1.28,61900
2025-02-18,1.37,1.37,1.34,1.34,45700
2025-02-14,1.36,1.37,1.31,1.33,34200
2025-02-13,1.36,1.38,1.32,1.36,47500
2025-02-12,1.34,1.37,1.32,1.35,49200
2025-02-11,1.41,1.41,1.35,1.37,21200
2025-02-10,1.39,1.4,1.35,1.38,54000
2025-02-07,1.45,1.45,1.33,1.4,46900
2025-02-06,1.4,1.42,1.36,1.38,43800
2025-02-05,1.38,1.41,1.37,1.39,75500
2025-02-04,1.33,1.37,1.33,1.37,26200
2025-02-03,1.38,1.38,1.31,1.33,93200
2025-01-31,1.47,1.51,1.4,1.4,81300
2025-01-30,1.45,1.48,1.3,1.44,196200
2025-01-29,1.44,1.48,1.4,1.41,73600
2025-01-28,1.54,1.54,1.37,1.47,162200
2025-01-27,1.54,1.64,1.51,1.54,91800
2025-01-24,1.64,1.7,1.49,1.6,411600
2025-01-23,1.5,1.54,1.42,1.53,98500
2025-01-22,1.52,1.53,1.43,1.47,106800
2025-01-21,1.57,1.63,1.52,1.52,75600
2025-01-17,1.62,1.63,1.52,1.56,90100
2025-01-16,1.64,1.65,1.54,1.58,126200
2025-01-15,1.56,1.67,1.51,1.64,186100
2025-01-14,1.49,1.58,1.44,1.56,346200
2025-01-13,1.57,1.57,1.4,1.49,322800
2025-01-10,1.5,1.53,1.42,1.51,962100
2025-01-08,1.66,1.68,1.5,1.51,191000
2025-01-07,1.64,1.73,1.58,1.66,181700
2025-01-06,1.68,1.68,1.53,1.58,472300
2025-01-03,1.77,1.77,1.66,1.72,269300
2025-01-02,1.79,1.89,1.62,1.72,570300
2024-12-31,2.02,2.03,1.75,1.82,265500
2024-12-30,2.17,2.17,1.9,1.94,237900
2024-12-27,2.55,2.61,2.1,2.15,591600
2024-12-26,2.4,2.96,2.37,2.83,783500
2024-12-24,2.66,3.19,2.13,2.9,16127500
2024-12-23,1.89,1.98,1.79,1.87,43100
2024-12-20,1.98,2.02,1.86,1.86,54500
2024-12-19,1.75,1.98,1.72,1.94,93500
2024-12-18,1.81,1.87,1.71,1.74,43600
2024-12-17,1.83,1.83,1.69,1.82,51800
2024-12-16,1.94,1.95,1.8,1.82,90700
2024-12-13,1.96,1.98,1.9,1.93,48700
2024-12-12,2.2,2.2,1.85,1.88,1012800
2024-12-11,2.23,2.25,2.1,2.19,66400
2024-12-10,2.2,2.26,2.11,2.17,68000
2024-12-09,2.09,2.22,2.08,2.17,48500
2024-12-06,2.1,2.11,2.0,2.09,33300
2024-12-05,2.26,2.27,2.01,2.1,93400
2024-12-04,2.2,2.27,2.18,2.23,43000
2024-12-03,2.26,2.49,2.2,2.3,83100
2024-12-02,2.32,2.78,2.28,2.38,410000
2024-11-29,2.21,2.25,2.17,2.23,34600
2024-11-27,2.13,2.36,2.13,2.19,63300
2024-11-26,2.25,2.32,2.12,2.2,50700
2024-11-25,2.39,2.58,2.22,2.22,137200
2024-11-22,2.26,2.34,2.1,2.25,66800
2024-11-21,2.35,2.45,2.21,2.28,108800
2024-11-20,2.29,2.44,2.29,2.34,38200
2024-11-19,2.34,2.49,2.31,2.35,53200
2024-11-18,2.45,2.49,2.22,2.31,90600
2024-11-15,2.74,2.83,2.4,2.5,79400
2024-11-14,2.82,2.9,2.63,2.68,84400
2024-11-13,3.01,3.09,2.74,2.89,117900
2024-11-12,3.3,3.6,2.92,2.98,149700
2024-11-11,2.96,3.4,2.91,3.31,250900
2024-11-08,2.87,3.02,2.83,2.9,139400
2024-11-07,2.98,3.1,2.82,2.93,108100
2024-11-06,3.0,3.17,2.89,3.03,206800
2024-11-05,3.55,3.72,3.1,3.17,320600
2024-11-04,3.63,3.71,3.38,3.42,252600
2024-11-01,3.76,3.98,3.61,3.74,159600
2024-10-31,4.04,4.31,3.82,3.92,323700
2024-10-30,4.16,4.49,3.93,3.93,218900
2024-10-29,4.34,4.68,4.21,4.43,322900
2024-10-28,4.02,4.39,3.83,4.23,607300
2024-10-25,5.4,5.9,4.14,4.26,9098100
2024-10-24,4.18,4.25,3.75,3.88,301400
2024-10-23,4.6,4.76,4.1,4.25,309300
2024-10-22,4.74,5.46,4.62,4.69,676100
2024-10-21,5.03,5.15,4.32,4.97,1035600
2024-10-18,4.52,8.0,4.43,5.03,17096800
2024-10-17,4.56,4.96,3.77,4.33,3224300
2024-10-16,14.25,17.75,6.3,6.47,89560800
2024-10-15,1.4,1.57,1.4,1.52,69400
2024-10-14,1.37,1.39,1.32,1.36,16900
2024-10-11,1.3,1.35,1.26,1.32,21300
2024-10-10,1.37,1.37,1.27,1.31,47800
2024-10-09,1.21,1.53,1.21,1.37,376000
2024-10-08,1.38,1.4,1.16,1.18,103200
2024-10-07,1.48,1.48,1.37,1.4,30400
2024-10-04,1.41,1.47,1.41,1.42,22700
2024-10-03,1.58,1.58,1.38,1.38,60400
2024-10-02,1.56,1.56,1.4,1.41,46100
2024-10-01,1.73,1.73,1.51,1.54,44800
2024-09-30,1.67,1.77,1.65,1.67,16100
2024-09-27,1.84,1.84,1.68,1.68,33500
2024-09-26,1.88,1.9,1.75,1.75,40800
2024-09-25,1.87,1.92,1.8,1.87,19000
2024-09-24,1.9,1.95,1.8,1.87,32900
2024-09-23,1.95,2.0,1.85,1.86,27400
2024-09-20,1.93,2.05,1.93,1.97,45600
2024-09-19,2.01,2.02,1.86,1.92,26800
2024-09-18,2.0,2.25,1.94,2.03,226200
2024-09-17,1.88,2.03,1.87,1.99,54600
2024-09-16,1.84,1.88,1.77,1.83,21200
2024-09-13,1.94,1.97,1.8,1.81,62700
2024-09-12,1.81,2.09,1.81,2.0,48800
2024-09-11,1.84,1.9,1.7,1.76,12800
2024-09-10,1.89,1.93,1.77,1.82,56100
2024-09-09,1.89,1.97,1.85,1.88,21000
2024-09-06,1.86,2.05,1.79,1.95,50700
2024-09-05,2.16,2.18,1.88,1.95,195200
2024-09-04,1.75,2.65,1.71,2.5,712200
2024-09-03,1.81,1.81,1.66,1.77,10300
2024-08-30,1.84,1.85,1.78,1.81,6200
2024-08-29,1.93,1.93,1.83,1.83,3600
2024-08-28,1.92,1.99,1.82,1.94,16000
2024-08-27,1.95,1.98,1.82,1.91,5900
2024-08-26,1.95,2.06,1.95,1.96,13000
2024-08-23,2.03,2.05,1.95,2.05,7500
2024-08-22,2.02,2.09,1.93,2.04,31600
2024-08-21,1.89,1.95,1.79,1.91,11000
2024-08-20,1.96,1.97,1.86,1.86,11700
2024-08-19,1.86,1.95,1.8,1.89,31200
2024-08-16,1.84,1.93,1.78,1.8,18300
2024-08-15,1.93,1.95,1.83,1.93,5800
2024-08-14,1.9,1.98,1.78,1.85,19000
2024-08-13,1.98,1.98,1.74,1.74,15600
2024-08-12,1.8,1.8,1.7,1.7,9900
2024-08-09,1.8,1.86,1.73,1.76,4700
