Date,Open,High,Low,Close,Volume
2025-03-19,37.57,38.67,37.57,38.48,642544
2025-03-18,36.79,38.03,36.74,37.7,761000
2025-03-17,36.39,37.21,35.48,37.14,889200
2025-03-14,37.49,37.54,35.44,36.13,847400
2025-03-13,36.27,36.36,34.67,35.15,798600
2025-03-12,37.48,37.48,36.03,36.13,500200
2025-03-11,38.25,38.42,36.93,36.97,558000
2025-03-10,37.79,38.79,37.76,38.3,548000
2025-03-07,37.87,38.85,37.59,38.35,573400
2025-03-06,37.5,38.33,37.5,37.85,361400
2025-03-05,37.64,38.26,36.85,37.77,457300
2025-03-04,38.32,38.55,37.73,37.77,659300
2025-03-03,40.0,40.28,38.38,38.95,638300
2025-02-28,39.35,40.12,39.17,40.05,676100
2025-02-27,40.35,40.35,39.02,39.17,472900
2025-02-26,40.38,41.29,40.06,40.11,385500
2025-02-25,41.39,41.75,40.07,40.27,387400
2025-02-24,41.49,41.72,41.05,41.39,331000
2025-02-21,43.01,43.01,41.01,41.17,383100
2025-02-20,42.88,43.03,42.26,42.52,363300
2025-02-19,42.89,43.14,42.51,42.91,458900
2025-02-18,43.13,43.77,42.04,43.28,766100
2025-02-14,42.86,43.4,42.41,43.28,469500
2025-02-13,42.74,42.9,42.28,42.58,607100
2025-02-12,42.72,42.91,42.14,42.48,645200
2025-02-11,43.82,43.96,43.05,43.41,366500
2025-02-10,44.28,44.39,43.5,44.07,444000
2025-02-07,44.92,44.92,43.79,43.99,459400
2025-02-06,46.56,47.07,44.74,44.96,684400
2025-02-05,45.92,46.19,45.63,46.09,314100
2025-02-04,46.66,46.77,45.96,46.01,338300
2025-02-03,46.62,47.27,46.23,46.77,357000
2025-01-31,48.42,48.48,47.54,47.61,384400
2025-01-30,48.32,48.7,48.0,48.62,374600
2025-01-29,47.9,48.71,47.67,47.85,338000
2025-01-28,47.1,48.25,46.73,48.12,409200
2025-01-27,47.88,47.97,46.73,47.11,419500
2025-01-24,47.93,48.02,47.46,47.83,312000
2025-01-23,47.89,48.72,47.76,48.24,347600
2025-01-22,48.71,48.85,47.66,48.01,456800
2025-01-21,48.62,49.1,48.21,48.79,530400
2025-01-17,47.81,48.5,47.39,48.41,594400
2025-01-16,48.13,48.41,47.03,47.28,630800
2025-01-15,50.0,50.0,47.52,48.35,624600
2025-01-14,48.64,49.77,48.23,48.8,634900
2025-01-13,47.64,48.75,46.19,48.47,630200
2025-01-10,46.89,48.48,46.89,47.66,566200
2025-01-08,47.52,47.74,46.91,47.5,386800
2025-01-07,48.43,48.64,47.44,47.95,562600
2025-01-06,49.25,49.88,48.19,48.33,548600
2025-01-03,48.54,49.31,48.0,48.78,513200
2025-01-02,48.37,48.81,47.63,48.29,359600
2024-12-31,48.62,48.71,47.84,48.01,381600
2024-12-30,48.0,48.67,47.7,48.41,293100
2024-12-27,48.56,49.09,48.33,48.69,532700
2024-12-26,48.2,49.1,48.12,48.88,382900
2024-12-24,48.22,48.48,48.07,48.43,253700
2024-12-23,48.07,48.43,47.64,48.2,414700
2024-12-20,47.08,48.61,47.08,48.07,1811300
2024-12-19,47.58,48.17,47.35,47.62,504200
2024-12-18,49.1,49.15,46.49,46.9,467700
2024-12-17,49.49,49.74,47.79,48.92,573000
2024-12-16,49.29,49.69,48.91,49.63,400300
2024-12-13,48.96,49.32,48.39,49.3,244200
2024-12-12,49.68,49.91,48.5,48.62,340800
