Date,Open,High,Low,Close,Volume
2025-03-14,350.0,355.0,345.18,351.5,1211000
2025-03-13,348.03,354.52,344.41,345.4,1432400
2025-03-12,353.73,354.5,338.54,349.75,2413700
2025-03-11,371.34,376.52,355.78,355.87,1343700
2025-03-10,378.5,385.64,362.66,373.52,2029700
2025-03-07,381.95,391.61,371.03,379.52,1581700
2025-03-06,378.89,384.95,375.67,382.94,1408600
2025-03-05,368.2,380.29,367.69,378.42,1095500
2025-03-04,376.48,377.49,361.86,368.36,1316700
2025-03-03,362.87,376.24,360.6,370.66,1430900
2025-02-28,362.46,368.55,360.38,363.57,1386000
2025-02-27,354.25,362.46,353.67,359.04,931100
2025-02-26,358.25,360.63,351.18,353.48,787100
2025-02-25,369.93,372.3,357.61,358.73,1037600
2025-02-24,365.84,370.6,361.28,365.8,1435500
2025-02-21,364.48,364.99,360.72,361.0,614200
2025-02-20,359.23,363.94,356.65,363.01,692100
2025-02-19,361.92,365.0,359.7,361.58,1040800
2025-02-18,360.44,363.25,353.82,361.74,616600
2025-02-14,362.0,364.03,359.77,360.27,671800
2025-02-13,356.98,364.92,355.81,360.77,728100
2025-02-12,347.12,355.57,346.17,354.56,762700
2025-02-11,340.24,351.5,340.24,350.92,613000
2025-02-10,351.87,351.87,342.53,343.73,866900
2025-02-07,353.99,354.32,347.39,347.84,480900
2025-02-06,348.49,354.24,346.8,353.31,760300
2025-02-05,342.25,347.94,337.68,345.05,909500
2025-02-04,336.81,344.21,336.23,340.26,1219100
2025-02-03,346.5,347.89,339.23,341.5,1742400
2025-01-31,360.75,360.85,343.05,345.49,2805400
2025-01-30,336.2,351.02,326.79,336.62,3273000
2025-01-29,365.64,367.71,357.23,359.33,1040700
2025-01-28,364.56,368.33,361.48,365.38,1938200
2025-01-27,362.85,371.02,361.09,367.49,1150400
2025-01-24,359.77,367.91,357.9,367.58,938800
2025-01-23,354.87,360.0,351.04,359.96,1225600
2025-01-22,350.31,352.98,345.27,352.8,921000
2025-01-21,349.66,354.14,349.46,350.56,1050400
2025-01-17,352.82,353.59,347.69,351.37,1206900
2025-01-16,346.66,349.78,346.21,346.68,747900
2025-01-15,349.37,353.01,346.17,348.0,1311300
2025-01-14,337.25,346.68,336.72,346.29,1094100
2025-01-13,334.25,339.64,333.88,337.84,809200
2025-01-10,344.47,345.61,333.68,334.89,1259500
2025-01-08,346.42,349.9,341.0,349.32,839900
2025-01-07,348.98,350.55,342.53,347.63,950400
2025-01-06,354.95,361.82,347.1,349.55,868300
2025-01-03,347.92,359.11,346.79,358.35,1884200
2025-01-02,346.62,349.8,345.01,349.35,724800
2024-12-31,344.48,345.0,341.06,342.77,472800
2024-12-30,347.23,347.23,340.98,343.18,581200
2024-12-27,349.3,351.13,346.31,348.65,544000
2024-12-26,349.14,353.29,349.14,351.78,482400
2024-12-24,347.82,352.44,345.9,352.19,372900
2024-12-23,348.91,354.0,346.57,349.47,1023600
2024-12-20,347.76,357.05,342.19,351.5,2253200
2024-12-19,356.88,361.65,351.28,352.77,1247000
2024-12-18,369.67,373.24,357.75,358.26,833500
2024-12-17,375.84,377.35,369.84,371.03,976600
2024-12-16,379.01,383.89,377.2,378.98,994600
2024-12-13,382.8,385.13,376.01,379.78,807300
2024-12-12,385.58,390.29,382.3,388.45,805400
2024-12-11,378.0,380.21,372.65,378.49,1142100
2024-12-10,368.79,396.24,366.53,377.96,1738200
2024-12-09,400.77,400.77,365.87,365.96,1957100
2024-12-06,405.95,407.61,400.94,403.06,825700
2024-12-05,400.0,404.87,396.05,404.14,746800
2024-12-04,399.21,404.25,397.42,402.12,1389900
2024-12-03,394.87,398.8,393.11,397.61,1191600
2024-12-02,395.95,397.74,391.81,394.43,1194200
2024-11-29,390.94,397.27,389.96,396.97,553500
2024-11-27,394.01,396.27,389.31,389.81,870200
2024-11-26,388.0,394.38,382.73,390.29,1155000
2024-11-25,389.68,391.01,382.5,384.47,1110800
2024-11-22,385.32,391.99,383.15,388.27,1080200
2024-11-21,388.52,389.94,383.06,383.84,960600
2024-11-20,386.16,389.94,383.95,389.12,805600
2024-11-19,380.0,389.48,379.22,384.84,897200
2024-11-18,386.3,391.32,384.68,385.02,859900
2024-11-15,394.71,396.27,387.82,389.57,1027700
2024-11-14,402.61,407.61,392.06,394.25,1934900
2024-11-13,409.52,415.27,396.97,406.22,2859400
2024-11-12,395.71,397.51,389.29,392.0,1700300
2024-11-11,393.05,401.23,393.0,396.04,805200
2024-11-08,395.28,397.05,391.89,393.71,1143100
2024-11-07,405.46,405.51,389.01,393.04,1715600
2024-11-06,392.07,413.79,392.07,408.02,2412000
2024-11-05,377.44,386.18,374.56,382.38,1587000
2024-11-04,377.0,381.62,367.16,375.83,2195900
2024-11-01,360.61,382.46,356.78,366.49,4442300
2024-10-31,343.98,351.36,326.19,327.61,2175400
2024-10-30,325.0,334.3,324.94,331.3,1076600
2024-10-29,328.46,330.02,325.28,327.27,1244000
2024-10-28,336.41,339.5,329.3,329.67,852200
2024-10-25,336.93,338.03,332.52,336.0,905400
2024-10-24,333.82,336.68,330.23,332.02,657500
2024-10-23,328.18,334.19,326.99,332.22,1112500
2024-10-22,317.28,335.0,316.46,329.82,1529700
2024-10-21,325.18,325.68,315.0,315.41,1018700
2024-10-18,328.05,329.53,324.2,325.61,931900
2024-10-17,332.26,332.26,324.52,327.53,780400
2024-10-16,331.43,336.2,330.12,330.22,607700
2024-10-15,330.56,338.49,328.82,331.94,775600
2024-10-14,326.49,333.27,323.72,331.8,593100
2024-10-11,329.43,331.8,325.74,326.05,495900
2024-10-10,334.02,338.8,328.59,328.78,813600
2024-10-09,326.8,334.32,324.51,334.02,681300
2024-10-08,325.61,327.81,321.88,327.3,717500
2024-10-07,325.21,328.2,321.15,324.57,821400
2024-10-04,326.41,327.35,322.78,326.32,1062000
2024-10-03,325.51,326.05,319.68,322.39,896800
2024-10-02,328.97,334.92,328.17,329.24,1397700
2024-10-01,323.44,331.36,319.65,328.95,1679500
2024-09-30,320.72,328.34,319.67,324.08,1192200
2024-09-27,319.68,334.2,318.03,326.22,1314300
2024-09-26,317.52,320.04,314.9,317.01,1586700
2024-09-25,322.36,325.0,313.6,314.49,2110800
2024-09-24,328.77,331.19,319.82,323.36,4190400
2024-09-23,331.99,334.07,330.09,331.62,1826600
2024-09-20,332.87,336.99,327.65,330.4,2577600
2024-09-19,341.13,346.84,330.9,331.34,1692500
2024-09-18,339.5,346.41,332.6,339.64,1118300
2024-09-17,344.56,347.21,336.55,339.35,645200
2024-09-16,341.37,346.81,339.06,343.37,577700
2024-09-13,340.54,345.91,337.03,340.17,774400
2024-09-12,329.61,339.19,327.64,339.03,1068400
2024-09-11,325.58,329.14,315.23,327.42,1242400
2024-09-10,327.15,327.15,318.69,323.39,746600
2024-09-09,327.13,330.14,323.21,324.84,756700
2024-09-06,331.41,337.95,324.35,327.43,1208400
2024-09-05,334.27,334.27,323.2,330.78,1533600
2024-09-04,348.52,355.51,329.34,331.64,1767500
2024-09-03,345.53,349.72,342.82,346.42,1328100
2024-08-30,354.72,354.72,344.94,347.54,1030700
2024-08-29,358.23,358.23,350.74,351.53,847200
2024-08-28,359.68,362.16,354.05,355.8,591200
2024-08-27,356.11,363.27,355.27,360.77,1037900
2024-08-26,349.22,357.21,349.22,355.37,757100
2024-08-23,345.82,350.51,340.67,348.73,615400
2024-08-22,345.36,345.66,336.02,340.32,911700
2024-08-21,347.77,348.82,344.4,345.19,752700
