Date,Open,High,Low,Close,Volume
2025-03-13,191.86,192.19,189.37,190.58,1608991
2025-03-12,197.09,197.66,191.87,192.21,2339300
2025-03-11,201.45,201.57,195.71,196.56,1887500
2025-03-10,201.88,205.65,199.72,200.61,1824000
2025-03-07,199.84,203.69,198.34,203.06,1804800
2025-03-06,203.8,203.8,198.45,200.6,1947900
2025-03-05,202.3,206.65,202.26,205.29,1281700
2025-03-04,208.3,209.72,204.35,204.56,1661900
2025-03-03,206.86,210.16,206.28,207.43,1685000
2025-02-28,204.52,207.67,204.41,207.5,1839400
2025-02-27,204.93,206.87,203.29,203.37,1688700
2025-02-26,203.39,207.52,202.57,204.31,1519200
2025-02-25,202.24,207.49,202.24,205.82,2206000
2025-02-24,204.62,206.47,203.2,203.35,1613700
2025-02-21,205.93,206.33,203.62,204.43,2302600
2025-02-20,206.9,207.22,204.63,205.93,1340300
2025-02-19,204.36,208.66,204.21,208.14,2326200
2025-02-18,202.72,204.01,201.62,203.74,1387900
2025-02-14,206.0,207.22,204.2,204.22,1062600
2025-02-13,204.79,206.45,204.53,205.6,1273000
2025-02-12,202.93,205.15,201.76,204.22,1308900
2025-02-11,203.9,205.28,202.03,205.01,1093600
2025-02-10,203.16,204.8,201.49,203.58,1530300
2025-02-07,204.61,205.24,201.46,201.68,2114600
2025-02-06,201.74,204.15,200.78,203.9,1343800
2025-02-05,200.92,201.79,198.58,201.22,2009000
2025-02-04,200.63,202.01,199.28,200.23,1452100
2025-02-03,202.04,202.62,198.21,201.83,1789100
2025-01-31,200.75,202.16,199.68,200.19,1321500
2025-01-30,199.04,201.94,199.04,201.8,883700
2025-01-29,201.07,201.34,198.04,198.18,835900
2025-01-28,202.37,202.74,199.98,200.05,1471100
2025-01-27,195.13,202.56,194.85,202.18,2637900
2025-01-24,196.69,198.04,196.64,197.02,873900
2025-01-23,198.15,198.4,196.57,197.43,1114200
2025-01-22,200.85,201.07,198.57,198.64,1577900
2025-01-21,198.58,201.94,198.58,200.85,2237600
2025-01-17,200.93,200.93,197.18,197.93,1673300
2025-01-16,196.03,198.86,195.88,197.68,1417900
2025-01-15,194.49,195.68,193.63,195.33,1466800
2025-01-14,189.68,192.0,189.01,191.92,1585300
2025-01-13,188.24,190.82,187.31,190.24,1587800
2025-01-10,191.14,193.87,188.83,188.94,2331000
2025-01-08,188.98,192.74,187.97,192.29,3206100
2025-01-07,187.16,192.52,186.12,188.36,3618400
2025-01-06,185.3,186.68,183.73,184.75,2589500
2025-01-03,182.41,186.11,182.41,185.5,2105600
2025-01-02,183.24,183.73,180.64,181.75,1754300
2024-12-31,183.53,183.8,181.58,182.35,2041000
2024-12-30,182.21,184.2,180.44,183.33,1867300
2024-12-27,182.97,184.84,181.8,183.02,1572600
2024-12-26,186.6,187.53,184.62,184.78,1526500
2024-12-24,186.8,188.03,186.31,187.99,908700
2024-12-23,186.78,187.92,184.99,186.77,2662900
2024-12-20,181.25,187.38,180.81,186.59,6170200
2024-12-19,192.3,193.32,181.87,182.44,6208800
2024-12-18,207.58,209.91,203.92,204.0,3568100
2024-12-17,209.6,212.01,207.64,207.99,3241400
2024-12-16,211.0,213.49,210.72,211.4,3075300
2024-12-13,210.35,211.58,209.0,210.82,1370600
2024-12-12,210.27,211.35,208.94,211.19,1466500
2024-12-11,209.74,212.09,209.4,210.57,1519000
2024-12-10,208.76,210.41,206.47,209.74,1982300
2024-12-09,219.73,220.87,205.95,207.91,4021400
2024-12-06,223.15,224.6,222.99,223.29,1329100
2024-12-05,222.95,224.1,221.22,222.8,1015200
2024-12-04,221.44,223.82,221.44,223.18,1495100
2024-12-03,223.24,224.83,219.88,222.23,1391700
2024-12-02,224.99,225.36,221.33,222.22,1965300
2024-11-29,224.37,226.18,223.91,225.36,981400
2024-11-27,227.65,227.65,222.32,223.63,1261300
2024-11-26,224.86,227.69,224.69,226.04,1369500
2024-11-25,222.27,223.63,221.08,223.48,2752000
2024-11-22,221.08,222.35,220.46,221.34,1414300
2024-11-21,218.81,221.41,217.72,221.07,1060800
2024-11-20,216.76,218.36,215.8,218.34,1015900
2024-11-19,214.92,218.17,214.09,217.56,1231500
2024-11-18,214.91,217.88,214.25,215.79,1610300
2024-11-15,215.69,216.23,213.49,214.79,1792900
2024-11-14,222.18,222.25,215.88,216.25,1542700
2024-11-13,223.42,224.78,222.43,222.8,1049100
2024-11-12,223.28,224.61,222.77,223.9,900400
2024-11-11,224.89,226.52,222.97,223.28,1185300
2024-11-08,220.83,226.4,219.39,224.89,1648300
2024-11-07,216.2,219.06,215.92,218.71,1380400
2024-11-06,214.54,216.71,212.45,216.22,2157400
2024-11-05,206.93,209.44,206.38,208.22,1065100
2024-11-04,204.48,206.93,204.25,206.79,926700
2024-11-01,205.19,206.35,204.12,204.86,1099800
2024-10-31,206.7,207.23,204.89,205.05,1166200
2024-10-30,208.29,208.56,206.62,207.08,885200
2024-10-29,207.41,209.07,206.22,208.37,1285900
2024-10-28,207.77,208.72,207.0,207.82,960900
2024-10-25,209.37,210.17,206.44,206.65,1241600
2024-10-24,209.36,209.99,207.59,208.36,898100
2024-10-23,208.39,210.69,208.39,208.94,839100
2024-10-22,209.3,211.98,208.9,210.76,1054000
2024-10-21,212.12,212.76,210.08,210.77,824400
2024-10-18,213.12,213.41,212.05,213.23,1248000
2024-10-17,213.98,214.58,211.99,213.03,1157200
2024-10-16,210.04,212.61,210.04,212.14,1140900
2024-10-15,211.47,212.26,209.26,209.92,1318400
2024-10-14,207.75,211.44,207.48,210.72,944800
2024-10-11,206.64,207.28,205.43,207.28,1347600
2024-10-10,207.84,208.5,204.85,205.37,1015300
