Date,Open,High,Low,Close,Volume
2025-03-19,37.5,37.72,37.39,37.51,291357
2025-03-18,37.77,37.8,37.32,37.61,4864600
2025-03-17,37.01,37.78,37.01,37.51,5097100
2025-03-14,36.78,37.18,36.66,36.97,5991200
2025-03-13,35.68,37.2,35.62,36.23,7958400
2025-03-12,36.8,36.8,35.73,35.75,6923900
2025-03-11,37.6,37.7,36.17,36.67,6997100
2025-03-10,37.36,38.36,37.16,37.4,6310800
2025-03-07,37.19,37.62,36.76,37.45,8667000
2025-03-06,37.33,37.69,36.72,37.44,9128500
2025-03-05,36.26,38.03,36.2,37.78,10393200
2025-03-04,35.89,36.21,35.48,35.62,8840500
2025-03-03,38.67,38.69,36.01,36.06,10954300
2025-02-28,37.8,38.31,37.62,38.11,10056900
2025-02-27,38.04,38.08,37.46,37.73,7949600
2025-02-26,38.82,38.85,37.84,38.14,6294900
2025-02-25,38.48,38.85,38.27,38.52,6180000
2025-02-24,38.69,38.72,38.19,38.34,7411700
2025-02-21,39.11,39.36,38.44,38.79,5962900
2025-02-20,38.29,38.89,38.22,38.87,5747100
2025-02-19,38.29,38.67,38.08,38.21,6219800
2025-02-18,38.01,39.29,37.99,39.0,7612300
2025-02-14,38.12,38.79,37.91,37.97,5387700
2025-02-13,37.67,37.96,37.36,37.64,6619000
2025-02-12,37.68,37.86,37.36,37.56,5607400
2025-02-11,37.95,38.12,37.73,37.93,5446500
2025-02-10,38.19,38.29,37.46,37.87,5911100
2025-02-07,38.19,38.31,37.64,37.88,5966200
2025-02-06,37.52,38.18,37.49,38.06,7610300
2025-02-05,37.52,37.75,37.03,37.26,6757400
2025-02-04,36.9,38.21,36.86,37.85,10017100
2025-02-03,37.5,37.6,35.99,36.7,14986900
2025-01-31,38.12,38.56,37.71,38.34,12726500
2025-01-30,38.6,38.76,36.81,37.85,18933200
2025-01-29,40.48,40.72,40.09,40.3,6765200
2025-01-28,41.24,41.41,40.53,40.67,6009600
2025-01-27,40.98,41.21,40.52,41.16,6182700
2025-01-24,40.96,41.16,40.56,40.62,5111600
2025-01-23,40.2,40.77,40.16,40.71,5442400
2025-01-22,40.65,40.71,40.07,40.08,5607300
2025-01-21,40.57,41.0,40.4,40.82,5583600
2025-01-17,40.36,40.63,40.24,40.29,6194800
2025-01-16,39.6,40.3,39.37,40.13,5812300
2025-01-15,39.74,40.03,39.41,39.66,5446400
2025-01-14,39.19,39.38,38.94,39.35,4516000
2025-01-13,37.85,38.97,37.85,38.95,8230600
2025-01-10,38.01,38.13,37.75,37.8,7833500
2025-01-08,38.34,38.4,37.63,38.21,6196900
2025-01-07,38.78,39.22,38.44,38.69,7248700
2025-01-06,39.08,39.41,38.83,39.03,6899400
2025-01-03,38.93,39.09,38.49,38.68,6839900
2025-01-02,39.6,39.86,38.78,38.83,7130500
2024-12-31,38.82,39.54,38.71,39.4,6867200
2024-12-30,39.17,39.19,38.52,38.72,7954900
2024-12-27,39.39,39.95,39.17,39.3,4855000
2024-12-26,39.26,39.63,39.12,39.49,5274200
2024-12-24,39.18,39.45,38.71,39.36,3784100
2024-12-23,39.26,39.53,38.96,39.24,6718700
2024-12-20,38.28,39.55,38.14,39.21,17715600
2024-12-19,39.33,39.84,38.38,38.39,9553500
2024-12-18,40.11,40.61,39.38,39.42,11720500
2024-12-17,39.57,40.2,39.52,39.83,9702700
2024-12-16,39.62,39.95,39.31,39.38,8419800
2024-12-13,40.5,40.5,39.7,40.12,7580000
2024-12-12,40.62,40.98,40.48,40.53,5738700
2024-12-11,41.42,41.46,40.51,40.74,7135900
2024-12-10,41.63,41.79,41.01,41.41,7585200
2024-12-09,43.06,43.24,41.65,41.95,12855800
2024-12-06,41.54,41.77,40.97,41.23,8620000
2024-12-05,42.01,42.24,41.06,41.42,9742500
2024-12-04,42.76,42.83,41.45,42.07,10962600
2024-12-03,43.59,43.68,42.99,43.07,9478500
2024-12-02,43.47,43.74,42.97,43.57,7611000
2024-11-29,43.16,43.44,42.86,43.4,4339600
2024-11-27,43.14,43.56,43.06,43.14,5700600
2024-11-26,43.95,43.98,42.61,43.04,9225300
2024-11-25,44.28,44.79,43.94,44.33,9463700
2024-11-22,43.26,44.01,43.16,43.93,5494100
2024-11-21,42.34,43.62,42.15,43.3,6158200
2024-11-20,42.09,42.55,41.87,42.45,4808100
