Date,Open,High,Low,Close,Volume
2025-03-19,21.21,21.49,21.09,21.24,194074
2025-03-18,21.12,21.37,21.08,21.18,190000
2025-03-17,21.17,21.48,21.15,21.2,173300
2025-03-14,21.13,21.4,21.03,21.2,125300
2025-03-13,21.08,21.34,20.92,21.12,140200
2025-03-12,21.25,21.36,20.83,21.02,137200
2025-03-11,21.75,21.88,21.1,21.25,203200
2025-03-10,21.63,22.01,21.62,21.71,232600
2025-03-07,21.15,21.67,21.09,21.58,205300
2025-03-06,21.05,21.31,20.96,21.17,214400
2025-03-05,21.13,21.29,20.97,21.06,187400
2025-03-04,21.18,21.38,21.07,21.22,145600
2025-03-03,21.24,21.4,21.15,21.31,170000
2025-02-28,21.19,21.28,21.06,21.2,237900
2025-02-27,21.15,21.32,20.99,21.12,210700
2025-02-26,21.27,21.28,21.09,21.23,243700
2025-02-25,21.07,21.39,20.95,21.33,174200
2025-02-24,20.92,21.17,20.76,20.97,135200
2025-02-21,21.18,21.18,20.73,20.81,120200
2025-02-20,20.69,21.08,20.69,21.02,124700
2025-02-19,20.59,20.89,20.58,20.81,106300
2025-02-18,20.51,20.74,20.46,20.68,120600
2025-02-14,20.61,20.74,20.41,20.48,108500
2025-02-13,20.39,20.62,20.25,20.53,139300
2025-02-12,20.37,20.43,20.24,20.33,115400
2025-02-11,20.39,20.65,20.38,20.62,103300
2025-02-10,20.43,20.65,20.42,20.42,111500
2025-02-07,20.69,20.69,20.35,20.43,151600
2025-02-06,20.75,20.81,20.6,20.64,131800
2025-02-05,20.68,20.82,20.57,20.75,112000
2025-02-04,20.4,20.77,20.39,20.72,113300
2025-02-03,20.4,20.67,20.35,20.48,198000
2025-01-31,20.64,20.96,20.59,20.75,141400
2025-01-30,20.7,20.87,20.64,20.71,77400
2025-01-29,20.73,20.91,20.51,20.66,66700
2025-01-28,20.96,21.09,20.7,20.73,103400
2025-01-27,20.79,21.05,20.66,20.92,142900
2025-01-24,20.66,20.79,20.51,20.75,91200
2025-01-23,20.5,20.7,20.47,20.66,117700
2025-01-22,21.02,21.15,20.53,20.56,156700
2025-01-21,20.75,21.1,20.75,21.07,202600
2025-01-17,20.91,20.91,20.67,20.7,128500
2025-01-16,20.64,20.82,20.6,20.73,125400
2025-01-15,20.78,20.83,20.59,20.73,103400
2025-01-14,20.32,20.57,20.29,20.52,106300
2025-01-13,20.08,20.36,20.07,20.32,105000
2025-01-10,20.4,20.4,19.76,20.2,205000
2025-01-08,20.25,20.58,20.12,20.5,141300
2025-01-07,20.8,20.87,20.34,20.34,161800
2025-01-06,20.89,20.96,20.63,20.64,102300
2025-01-03,20.76,21.04,20.59,20.97,75300
2025-01-02,20.97,21.18,20.57,20.7,98000
2024-12-31,21.2,21.21,20.79,20.84,107400
2024-12-30,20.76,21.07,20.58,21.03,103100
2024-12-27,21.0,21.12,20.66,20.8,99500
2024-12-26,20.75,21.12,20.7,21.09,102000
2024-12-24,20.66,20.9,20.64,20.81,60300
2024-12-23,20.75,20.75,20.33,20.58,121100
2024-12-20,20.39,20.78,20.27,20.43,361100
2024-12-19,20.58,21.06,20.36,20.78,119300
2024-12-18,21.09,21.46,20.52,20.61,148300
2024-12-17,21.25,21.25,20.96,21.02,146600
2024-12-16,21.1,21.36,20.96,21.23,134200
2024-12-13,21.04,21.2,20.77,21.13,113800
2024-12-12,21.13,21.13,20.78,20.98,84700
2024-12-11,21.23,21.42,21.06,21.16,142200
2024-12-10,21.06,21.31,20.85,21.16,106000
2024-12-09,20.9,21.09,20.84,21.02,84700
2024-12-06,21.12,21.12,20.74,20.91,66500
2024-12-05,21.01,21.13,20.74,21.07,111300
2024-12-04,20.96,21.07,20.76,21.03,106600
2024-12-03,21.12,21.12,20.77,21.05,73000
2024-12-02,21.11,21.22,20.92,21.11,97100
2024-11-29,21.1,21.24,20.99,21.07,50900
2024-11-27,21.23,21.39,20.86,20.98,84400
2024-11-26,20.87,21.22,20.81,21.07,122500
2024-11-25,20.81,21.23,20.81,20.9,130500
2024-11-22,20.56,20.77,20.43,20.71,136800
2024-11-21,20.51,20.76,20.38,20.51,224000
2024-11-20,20.44,20.54,20.28,20.43,92100
2024-11-19,20.78,20.79,20.46,20.61,126900
2024-11-18,21.05,21.12,20.76,20.81,87900
2024-11-15,21.38,21.38,20.95,20.96,87300
2024-11-14,21.39,21.48,21.08,21.29,138000
2024-11-13,21.62,21.73,21.43,21.45,81900
2024-11-12,21.87,21.96,21.35,21.46,144300
2024-11-11,22.02,22.02,21.66,21.85,172200
2024-11-08,21.88,22.02,21.63,21.82,201000
2024-11-07,21.49,21.99,21.31,21.79,256900
2024-11-06,20.74,21.49,20.74,21.37,217100
2024-11-05,20.02,20.24,20.02,20.22,106300
2024-11-04,20.01,20.17,19.91,19.95,138700
2024-11-01,20.11,20.18,19.78,20.0,154100
2024-10-31,20.18,20.46,20.1,20.11,125400
2024-10-30,20.27,20.52,20.16,20.18,128900
2024-10-29,20.19,20.36,20.11,20.36,139000
2024-10-28,20.29,20.43,20.2,20.35,106500
2024-10-25,20.54,20.62,20.22,20.26,129600
2024-10-24,20.43,20.62,20.28,20.5,102300
2024-10-23,20.3,20.56,20.24,20.55,204100
2024-10-22,20.4,20.4,20.11,20.36,150700
2024-10-21,20.6,20.8,20.37,20.44,162100
2024-10-18,21.0,21.0,20.59,20.6,141800
2024-10-17,21.09,21.1,20.53,20.98,162900
2024-10-16,20.89,21.26,20.89,21.12,175600
2024-10-15,20.25,20.98,20.25,20.82,280600
2024-10-14,20.23,20.35,19.9,20.33,771500
2024-10-11,20.95,21.22,20.02,20.18,369900
2024-10-10,21.27,21.3,21.01,21.1,1555800
2024-10-09,21.18,21.33,20.97,21.19,174700
2024-10-08,21.59,21.67,20.93,20.99,227000
2024-10-07,21.28,21.64,21.02,21.49,280000
2024-10-04,21.22,21.38,21.1,21.28,144500
2024-10-03,20.92,21.2,20.82,20.89,162300
2024-10-02,21.44,21.61,20.74,20.79,309800
2024-10-01,21.29,21.44,21.06,21.43,139600
2024-09-30,20.85,21.37,20.82,21.29,154100
2024-09-27,20.95,21.16,20.71,20.81,187800
2024-09-26,21.39,21.39,20.81,20.81,173900
2024-09-25,22.01,22.01,21.03,21.12,202500
2024-09-24,21.67,22.36,21.58,22.1,262200
2024-09-23,22.11,22.54,21.41,21.57,191600
2024-09-20,21.16,21.27,20.91,20.97,520700
2024-09-19,21.41,21.41,21.04,21.22,201800
2024-09-18,20.54,21.37,20.45,21.04,121500
2024-09-17,20.71,20.81,20.4,20.41,84100
2024-09-16,20.77,20.89,20.42,20.54,78200
2024-09-13,20.33,20.68,20.32,20.65,80900
2024-09-12,20.03,20.21,19.96,20.21,65400
2024-09-11,20.04,20.04,19.67,19.93,78900
2024-09-10,19.83,20.21,19.75,20.18,84800
2024-09-09,20.1,20.18,19.95,19.96,77600
2024-09-06,20.41,20.51,20.1,20.1,78200
2024-09-05,20.54,20.54,20.23,20.37,85200
2024-09-04,20.54,20.58,20.4,20.53,71300
2024-09-03,20.74,20.81,20.51,20.52,75600
2024-08-30,20.77,20.93,20.69,20.93,83900
2024-08-29,20.7,20.79,20.56,20.68,56700
2024-08-28,20.61,20.75,20.4,20.57,91100
2024-08-27,20.37,20.54,20.23,20.54,61500
2024-08-26,20.54,20.64,20.42,20.5,115900
2024-08-23,20.03,20.46,20.0,20.39,96700
2024-08-22,20.13,20.13,19.89,19.99,45000
2024-08-21,19.96,20.11,19.76,20.09,66700
2024-08-20,20.01,20.01,19.83,19.92,53300
2024-08-19,20.1,20.13,19.91,20.08,86700
2024-08-16,19.95,20.09,19.79,20.05,69400
2024-08-15,20.08,20.19,19.79,19.95,87300
2024-08-14,19.68,19.82,19.51,19.8,72800
2024-08-13,19.67,19.79,19.51,19.72,66300
2024-08-12,19.77,19.78,19.48,19.56,67900
2024-08-09,19.76,19.85,19.59,19.85,83000
2024-08-08,19.9,19.9,19.61,19.77,77400
2024-08-07,19.67,19.85,19.62,19.75,70600
2024-08-06,19.57,19.77,19.35,19.55,133000
2024-08-05,19.6,19.61,19.3,19.57,141300
2024-08-02,19.88,20.17,19.88,20.11,101700
2024-08-01,20.93,21.08,20.03,20.26,122900
2024-07-31,20.67,21.33,20.59,20.87,162800
2024-07-30,20.52,20.7,20.44,20.64,90600
2024-07-29,20.85,20.87,20.51,20.55,77700
2024-07-26,20.9,20.96,20.63,20.85,85700
2024-07-25,20.64,20.89,20.64,20.69,80800
2024-07-24,20.61,20.8,20.52,20.53,82000
2024-07-23,20.69,20.86,20.62,20.72,113300
2024-07-22,20.11,20.74,20.03,20.7,104600
2024-07-19,20.38,20.53,20.06,20.09,94900
2024-07-18,20.58,20.73,20.24,20.34,90000
2024-07-17,20.31,20.77,20.31,20.71,152100
2024-07-16,19.99,20.46,19.89,20.43,143500
2024-07-15,19.91,20.03,19.77,19.82,125600
2024-07-12,19.58,19.87,19.58,19.8,118500
2024-07-11,19.17,19.47,19.14,19.44,103200
2024-07-10,19.01,19.05,18.77,18.89,87500
2024-07-09,18.83,18.98,18.71,18.97,154500
2024-07-08,18.7,18.88,18.59,18.84,88900
2024-07-05,18.67,18.77,18.51,18.6,89500
2024-07-03,18.97,18.97,18.74,18.74,39700
2024-07-02,18.96,19.03,18.88,18.95,66600
2024-07-01,18.96,19.1,18.85,18.9,112200
2024-06-28,19.15,19.17,18.84,18.94,331800
2024-06-27,19.15,19.15,19.02,19.02,44800
2024-06-26,18.91,19.18,18.87,19.09,85300
2024-06-25,18.88,19.1,18.88,19.08,50500
2024-06-24,19.03,19.2,18.88,18.88,87800
2024-06-21,19.16,19.35,18.96,18.96,361700
2024-06-20,19.11,19.28,19.03,19.22,90300
2024-06-18,18.75,19.25,18.61,19.2,108200
2024-06-17,18.05,18.77,18.05,18.75,96600
2024-06-14,17.89,18.09,17.85,18.07,59700
2024-06-13,18.22,18.22,17.92,18.06,69300
2024-06-12,18.31,18.42,18.17,18.22,81200
2024-06-11,17.88,18.1,17.84,18.06,59900
2024-06-10,17.93,18.03,17.78,18.0,53500
2024-06-07,18.19,18.3,18.03,18.05,54800
2024-06-06,18.19,18.34,18.13,18.24,110200
2024-06-05,18.21,18.28,18.09,18.16,46800
2024-06-04,18.19,18.22,18.07,18.21,56300
2024-06-03,18.31,18.31,18.06,18.19,58100
2024-05-31,17.97,18.27,17.93,18.19,170700
2024-05-30,17.89,17.95,17.86,17.93,55300
2024-05-29,17.87,17.98,17.78,17.8,98900
2024-05-28,18.13,18.13,17.87,17.92,55900
2024-05-24,18.0,18.09,17.94,18.02,70600
2024-05-23,17.97,17.98,17.82,17.89,88200
