Date,Open,High,Low,Close,Volume
2025-03-19,107.4,107.96,106.95,107.23,144255
2025-03-18,107.22,108.01,106.54,107.81,3275700
2025-03-17,106.41,108.43,105.96,107.62,3930600
2025-03-14,103.87,106.71,103.8,106.41,3779200
2025-03-13,103.47,105.35,103.35,104.57,2392100
2025-03-12,102.41,103.39,101.92,102.64,3739200
2025-03-11,106.23,106.66,103.7,103.77,2731300
2025-03-10,104.28,107.97,104.0,106.66,3471800
2025-03-07,101.32,104.08,100.78,103.64,2865800
2025-03-06,100.24,101.6,98.97,100.91,4345900
2025-03-05,101.02,101.66,99.68,100.2,5509700
2025-03-04,104.8,105.86,102.11,102.15,3592000
2025-03-03,100.88,104.31,100.88,104.02,3555900
2025-02-28,101.11,101.64,99.83,101.52,5254600
2025-02-27,98.96,100.82,98.37,99.92,3313900
2025-02-26,100.19,100.43,99.1,99.96,2072700
2025-02-25,100.24,101.95,99.72,100.97,3481300
2025-02-24,98.81,100.75,98.3,99.68,2943100
2025-02-21,96.06,99.34,95.87,98.26,4414800
2025-02-20,95.01,96.0,94.5,95.76,2580200
2025-02-19,94.89,95.94,94.5,95.26,1857500
2025-02-18,93.95,95.22,93.7,94.91,2568500
2025-02-14,95.15,95.53,94.05,94.08,1948200
2025-02-13,93.76,95.13,93.65,94.81,1860300
2025-02-12,94.54,94.76,92.69,93.73,3704200
2025-02-11,95.71,95.87,94.9,95.46,3162400
2025-02-10,95.15,95.97,94.39,95.84,1570600
2025-02-07,94.27,95.36,93.8,95.23,1520000
2025-02-06,95.45,95.48,93.98,94.57,1586800
2025-02-05,94.96,95.58,94.35,95.34,1874100
2025-02-04,93.76,94.55,92.81,94.07,2186500
2025-02-03,92.91,95.21,92.84,94.77,3234900
2025-01-31,92.72,93.4,92.41,92.91,6072700
2025-01-30,92.27,93.2,91.88,93.03,2274000
2025-01-29,92.57,93.02,91.47,91.75,1935900
2025-01-28,93.56,93.98,92.49,92.56,2470600
2025-01-27,91.14,95.22,90.96,94.05,4043800
