Date,Open,High,Low,Close,Volume
2025-03-19,30.46,32.24,30.46,31.52,68152
2025-03-18,28.4,29.94,28.36,29.84,79400
2025-03-17,32.55,33.65,32.48,33.63,30600
2025-03-14,32.9,33.26,32.2,32.58,24800
2025-03-13,33.16,33.6,32.22,32.5,13100
2025-03-12,32.44,33.95,31.96,33.22,52900
2025-03-11,32.31,32.73,31.75,32.49,57400
2025-03-10,33.47,33.51,31.92,32.73,67000
2025-03-07,32.73,34.17,32.6,33.45,35700
2025-03-06,33.4,33.99,32.4,32.91,45000
2025-03-05,33.19,33.35,32.6,33.07,49200
2025-03-04,34.1,34.1,32.26,33.26,57300
2025-03-03,35.51,35.85,33.6,33.69,41900
2025-02-28,34.0,35.54,34.0,35.4,50200
2025-02-27,34.4,35.0,33.21,33.58,37100
2025-02-26,32.98,33.98,32.98,33.98,17800
2025-02-25,32.88,33.28,32.43,33.19,15300
2025-02-24,33.89,33.89,32.44,32.91,30200
2025-02-21,34.17,34.89,33.02,33.83,28200
2025-02-20,33.75,34.15,33.5,33.85,19500
2025-02-19,34.6,34.6,33.17,33.55,18100
2025-02-18,34.15,34.89,34.15,34.73,28300
2025-02-14,33.92,34.49,33.9,34.13,18600
2025-02-13,34.72,34.79,33.51,33.88,29300
2025-02-12,33.76,35.86,33.76,34.96,50100
2025-02-11,33.57,34.3,33.02,33.76,31400
2025-02-10,33.14,34.29,33.0,33.67,76800
2025-02-07,32.72,33.35,32.3,32.85,23000
2025-02-06,32.27,33.23,31.77,32.61,34300
2025-02-05,31.99,32.66,31.61,32.26,20100
2025-02-04,31.0,32.8,31.0,32.27,30300
2025-02-03,30.8,31.0,30.21,30.77,30400
2025-01-31,31.33,31.6,31.01,31.01,17800
2025-01-30,31.52,32.15,31.38,31.39,19800
2025-01-29,31.0,32.01,31.0,31.58,25300
2025-01-28,31.25,31.77,30.65,30.92,45500
2025-01-27,31.17,31.99,31.17,31.38,23100
2025-01-24,32.02,32.32,31.15,31.61,61300
2025-01-23,32.07,32.81,31.86,32.07,34900
2025-01-22,32.4,32.52,31.33,32.02,85300
2025-01-21,33.33,33.71,32.71,33.23,60000
2025-01-17,33.57,33.68,32.75,33.01,46400
2025-01-16,34.43,34.53,33.51,33.76,21000
2025-01-15,34.5,34.7,34.17,34.53,28700
2025-01-14,34.47,34.56,33.8,34.36,26500
2025-01-13,34.37,35.0,34.0,34.46,29100
2025-01-10,35.44,36.38,35.06,35.08,31500
2025-01-08,36.13,36.81,35.28,35.43,31100
2025-01-07,35.06,35.99,35.06,35.95,37600
2025-01-06,36.23,36.64,34.19,35.19,94000
2025-01-03,36.75,37.0,35.88,35.98,57500
2025-01-02,36.27,37.83,36.2,37.35,52500
2024-12-31,34.34,36.4,34.33,36.2,61000
2024-12-30,34.5,34.5,33.45,34.14,56100
2024-12-27,35.05,35.3,34.31,34.73,29900
2024-12-26,35.1,35.46,34.76,35.3,26400
2024-12-24,34.79,36.0,34.33,35.53,40400
2024-12-23,34.0,35.1,33.8,34.54,34700
2024-12-20,32.95,34.66,32.95,34.22,61600
2024-12-19,33.86,34.89,32.93,33.09,118300
2024-12-18,34.12,34.82,33.17,33.86,97400
2024-12-17,34.47,34.82,33.48,34.12,68000
2024-12-16,35.7,35.7,34.85,34.88,58000
2024-12-13,36.04,36.44,35.5,35.71,23000
2024-12-12,35.72,36.46,35.5,35.77,37100
2024-12-11,37.58,37.6,35.71,35.75,51500
2024-12-10,37.4,38.15,37.12,37.66,39700
2024-12-09,38.64,39.11,37.21,37.44,52400
2024-12-06,40.14,40.43,38.54,39.11,44900
2024-12-05,39.27,40.73,39.0,39.65,41100
2024-12-04,39.26,40.47,38.83,39.07,25200
2024-12-03,39.45,40.11,38.71,39.59,26000
2024-12-02,38.25,40.05,38.15,39.5,58300
2024-11-29,38.7,39.58,37.37,38.1,49800
2024-11-27,39.35,40.01,38.67,38.67,30000
2024-11-26,40.35,40.95,39.18,39.38,27400
2024-11-25,40.51,40.81,39.13,40.73,42000
2024-11-22,39.06,41.01,38.47,40.5,60600
2024-11-21,43.0,43.02,39.16,39.45,106100
2024-11-20,42.91,43.45,41.87,42.3,38200
2024-11-19,42.3,42.73,41.61,42.5,20900
2024-11-18,43.02,43.02,42.18,42.37,18800
2024-11-15,42.06,43.0,41.75,42.77,42700
