Date,Open,High,Low,Close,Volume
2025-03-19,44.42,44.49,44.17,44.24,462989
2025-03-18,44.4,44.46,43.8,44.42,5343200
2025-03-17,44.2,44.66,43.99,44.39,8074400
2025-03-14,43.46,44.24,43.16,44.19,8133600
2025-03-13,42.84,43.51,42.75,43.47,5983600
2025-03-12,42.95,43.16,42.55,42.61,9286700
2025-03-11,43.82,43.98,43.26,43.4,6799900
2025-03-10,43.31,44.3,43.25,43.76,8806200
2025-03-07,42.76,43.41,42.7,43.11,6670200
2025-03-06,43.37,43.38,42.62,42.88,6291500
2025-03-05,43.41,43.82,43.22,43.36,6838800
2025-03-04,44.85,45.2,43.64,43.68,9783900
2025-03-03,44.05,44.62,44.0,44.55,7793100
2025-02-28,44.23,44.46,43.72,44.2,12319500
2025-02-27,43.89,44.32,43.65,43.79,6560700
2025-02-26,43.97,44.26,43.64,44.06,11508600
2025-02-25,43.56,44.24,43.36,44.04,8813500
2025-02-24,43.31,44.01,43.08,43.35,8053400
2025-02-21,42.8,43.29,42.66,42.99,13604600
2025-02-20,42.1,42.83,42.07,42.77,6945000
2025-02-19,42.25,42.39,41.82,42.26,7994000
2025-02-18,42.47,42.47,41.99,42.31,11062900
2025-02-14,42.55,42.75,42.35,42.45,8593000
2025-02-13,42.47,43.05,42.15,42.57,7562100
2025-02-12,40.5,42.69,40.43,42.49,10307900
2025-02-11,41.27,42.07,41.09,41.97,8935800
2025-02-10,41.06,41.49,40.75,41.41,7279100
2025-02-07,40.64,41.09,40.6,40.93,5794000
2025-02-06,40.79,40.86,40.37,40.74,5674300
2025-02-05,40.3,40.88,40.28,40.66,5584900
2025-02-04,39.93,40.3,39.48,40.17,5255100
2025-02-03,39.49,40.38,39.3,40.2,7638500
2025-01-31,39.63,39.86,39.52,39.63,7144100
2025-01-30,39.53,39.88,39.46,39.65,5755800
2025-01-29,39.41,39.78,39.11,39.21,5796500
2025-01-28,40.39,40.39,39.34,39.44,9471900
2025-01-27,39.43,40.47,39.28,40.32,12159400
2025-01-24,38.84,39.13,38.49,39.02,5362600
2025-01-23,39.03,39.21,38.7,38.88,5944700
2025-01-22,39.85,39.98,38.8,38.86,7661000
2025-01-21,39.58,40.3,39.45,40.07,5610400
2025-01-17,39.23,39.29,38.83,39.06,6140500
2025-01-16,37.61,39.01,37.55,38.98,5591800
2025-01-15,37.95,38.22,37.55,37.67,5659200
2025-01-14,37.28,37.73,36.98,37.57,6747000
2025-01-13,37.21,37.39,36.79,37.21,5923000
2025-01-10,37.7,38.13,36.95,36.96,7691800
2025-01-08,37.13,37.88,36.86,37.84,5669800
2025-01-07,37.56,38.05,37.09,37.18,5120000
2025-01-06,37.41,37.74,37.17,37.45,6817000
2025-01-03,37.61,37.85,37.28,37.7,4268100
2025-01-02,37.56,37.78,37.16,37.31,4578400
