Date,Open,High,Low,Close,Volume
2025-03-13,243.75,246.21,240.35,241.46,656338
2025-03-12,243.52,244.29,239.5,243.51,1703100
2025-03-11,245.85,247.11,241.78,242.96,1966000
2025-03-10,250.92,252.23,243.13,246.51,1657900
2025-03-07,248.29,252.56,246.5,252.54,1569300
2025-03-06,247.16,248.52,243.67,248.43,1902700
2025-03-05,246.74,250.89,246.16,249.05,1370600
2025-03-04,254.01,254.36,245.49,246.39,2334500
2025-03-03,262.19,263.56,255.75,257.36,1225400
2025-02-28,258.33,263.02,256.78,261.47,1963300
2025-02-27,255.78,260.14,254.14,257.13,1174400
2025-02-26,255.46,257.47,251.88,254.73,1096200
2025-02-25,253.29,255.29,252.18,255.09,1330300
2025-02-24,253.12,254.53,250.25,252.16,1451600
2025-02-21,266.61,266.61,243.12,252.81,4331300
2025-02-20,265.04,267.39,263.65,267.0,707100
2025-02-19,264.88,267.08,262.91,265.42,957200
2025-02-18,267.49,267.98,264.02,266.0,927600
2025-02-14,262.95,267.02,262.95,266.31,1265000
2025-02-13,260.83,263.64,260.62,261.69,1303500
2025-02-12,256.66,262.04,256.49,261.22,1952700
2025-02-11,257.19,260.69,255.62,259.84,1414800
2025-02-10,255.72,257.34,252.7,256.83,1216300
2025-02-07,257.53,257.84,253.48,254.69,1392900
2025-02-06,252.1,258.29,251.62,257.36,2539700
2025-02-05,249.13,251.42,247.15,251.04,1535000
2025-02-04,247.67,249.9,245.64,249.59,2185700
2025-02-03,256.14,257.38,245.38,246.0,3774700
2025-01-31,268.63,269.52,262.36,263.43,2341200
2025-01-30,263.56,269.64,261.87,267.78,2827400
2025-01-29,277.14,277.86,273.52,273.57,1078400
2025-01-28,279.45,279.54,276.56,277.14,1043200
2025-01-27,272.35,280.37,272.35,280.0,1552900
2025-01-24,268.53,272.01,268.07,271.8,1544500
2025-01-23,269.13,269.86,266.62,268.56,1758700
2025-01-22,272.78,273.33,267.95,268.96,1958300
2025-01-21,273.99,276.79,271.38,274.07,1465200
2025-01-17,275.35,275.95,273.21,273.6,1581800
2025-01-16,275.1,276.45,272.23,275.86,1417600
2025-01-15,278.98,279.55,274.78,275.09,1848000
2025-01-14,273.51,276.45,272.78,276.11,1360900
2025-01-13,267.04,273.71,266.76,273.1,1367700
2025-01-10,273.02,273.02,268.98,269.26,1475600
2025-01-08,273.53,275.42,272.59,273.41,1965600
2025-01-07,272.56,276.49,271.94,273.51,1517900
2025-01-06,274.38,277.19,270.89,272.48,1651000
2025-01-03,273.11,274.4,270.32,272.92,1181100
