Date,Open,High,Low,Close,Volume
2025-03-18,1.25,1.25,1.2,1.21,4037140
2025-03-17,1.3,1.32,1.25,1.26,3429301
2025-03-14,1.25,1.3,1.21,1.3,4261800
2025-03-13,1.28,1.29,1.2,1.23,3257077
2025-03-12,1.32,1.32,1.18,1.29,5849033
2025-03-11,1.27,1.31,1.21,1.29,4736647
2025-03-10,1.38,1.48,1.24,1.26,3903484
2025-03-07,1.33,1.45,1.28,1.45,4080288
2025-03-06,1.36,1.39,1.3,1.32,3661978
2025-03-05,1.31,1.45,1.3,1.38,4563564
2025-03-04,1.28,1.36,1.24,1.31,4158347
2025-03-03,1.38,1.47,1.28,1.3,4601697
2025-02-28,1.35,1.4,1.33,1.36,3049829
2025-02-27,1.4,1.43,1.34,1.37,3733754
2025-02-26,1.43,1.47,1.36,1.39,4390419
2025-02-25,1.48,1.5,1.32,1.37,7366817
2025-02-24,1.55,1.57,1.46,1.49,6529650
2025-02-21,1.69,1.82,1.57,1.6,10641038
2025-02-20,1.71,1.73,1.63,1.66,7586880
2025-02-19,1.67,1.86,1.57,1.73,20366759
2025-02-18,1.57,1.6,1.49,1.58,7256584
2025-02-14,1.95,2.02,1.59,1.6,36756895
2025-02-13,1.47,1.81,1.44,1.77,21432503
2025-02-12,1.39,1.49,1.37,1.46,3336367
2025-02-11,1.48,1.51,1.4,1.41,4841357
2025-02-10,1.34,1.54,1.34,1.52,13606165
2025-02-07,1.3,1.35,1.28,1.31,3535505
2025-02-06,1.4,1.42,1.29,1.33,4563274
2025-02-05,1.35,1.42,1.33,1.39,6568793
2025-02-04,1.3,1.4,1.28,1.37,5540197
2025-02-03,1.25,1.38,1.23,1.32,5738187
2025-01-31,1.2,1.34,1.2,1.32,7398402
2025-01-30,1.38,1.4,1.2,1.25,14785016
2025-01-29,1.51,1.54,1.36,1.37,28883050
2025-01-28,1.37,1.38,1.32,1.35,9893993
2025-01-27,1.5,1.5,1.3,1.36,7851584
2025-01-24,1.42,1.62,1.4,1.45,9961582
2025-01-23,1.41,1.44,1.36,1.41,3873846
2025-01-22,1.47,1.5,1.4,1.42,5603886
2025-01-21,1.5,1.54,1.42,1.47,7470354
2025-01-17,1.55,1.65,1.49,1.51,7538037
2025-01-16,1.55,1.64,1.47,1.53,7561648
2025-01-15,1.43,1.66,1.43,1.55,13760857
2025-01-14,1.48,1.55,1.38,1.4,8562020
2025-01-13,1.59,1.84,1.36,1.43,20335827
2025-01-10,1.91,1.98,1.54,1.56,18261262
2025-01-08,2.13,2.13,1.86,2.08,18436717
2025-01-07,2.42,2.7,2.1,2.15,24817579
2025-01-06,3.06,3.09,2.24,2.41,41546346
2025-01-03,3.08,3.47,2.95,3.18,37577136
2025-01-02,2.8,3.82,2.58,3.69,93166985
2024-12-31,4.22,4.46,2.12,2.43,159522860
2024-12-30,2.29,3.24,2.19,3.14,159235730
2024-12-27,1.41,1.77,1.33,1.76,32822020
2024-12-26,1.21,1.39,1.21,1.32,11561529
2024-12-24,1.1,1.31,1.1,1.24,7874888
2024-12-23,1.29,1.35,1.09,1.11,22134693
2024-12-20,1.1,1.18,1.06,1.16,4661606
2024-12-19,1.1,1.13,1.07,1.1,2793062
2024-12-18,1.1,1.16,1.05,1.09,4438903
2024-12-17,1.2,1.22,1.11,1.13,4764212
2024-12-16,1.25,1.29,1.18,1.2,3960418
2024-12-13,1.15,1.25,1.14,1.24,2746941
2024-12-12,1.18,1.22,1.12,1.17,2409179
2024-12-11,1.24,1.25,1.16,1.18,3071808
2024-12-10,1.3,1.3,1.2,1.23,3729726
2024-12-09,1.18,1.38,1.15,1.35,10755633
2024-12-06,1.22,1.3,1.15,1.18,7259538
2024-12-05,1.16,1.25,1.07,1.22,8769948
2024-12-04,1.05,1.18,1.05,1.15,6450757
2024-12-03,1.1,1.12,1.02,1.07,6146256
2024-12-02,1.11,1.17,1.1,1.13,4880001
2024-11-29,1.23,1.23,0.99,1.1,9127040
2024-11-27,1.31,1.36,1.21,1.23,6518626
2024-11-26,1.4,1.44,1.28,1.34,6498570
2024-11-25,1.55,1.7,1.39,1.42,9651953
2024-11-22,1.55,1.57,1.48,1.51,3492203
2024-11-21,1.5,1.57,1.4,1.57,6641491
2024-11-20,1.33,1.59,1.26,1.47,16061490
2024-11-19,1.27,1.33,1.2,1.27,4024825
2024-11-18,1.25,1.48,1.25,1.28,6692428
2024-11-15,1.33,1.36,1.24,1.26,5479866
2024-11-14,1.38,1.46,1.35,1.38,5026439
2024-11-13,1.63,1.65,1.41,1.42,10931853
2024-11-12,1.56,1.59,1.46,1.47,7124237
2024-11-11,1.6,1.65,1.56,1.58,6504752
2024-11-08,1.79,1.8,1.66,1.68,5063596
2024-11-07,1.88,2.09,1.77,1.79,7846190
2024-11-06,1.9,1.95,1.81,1.82,4726542
2024-11-05,1.94,2.0,1.9,1.91,2568545
2024-11-04,1.89,1.98,1.81,1.94,3201930
2024-11-01,2.08,2.12,2.0,2.02,3590049
2024-10-31,2.15,2.16,2.01,2.05,4872699
2024-10-30,2.06,2.16,2.01,2.03,3088206
2024-10-29,2.16,2.2,2.08,2.09,3322375
2024-10-28,2.1,2.28,2.02,2.24,6459615
2024-10-25,2.4,2.51,2.07,2.16,35789484
2024-10-24,2.02,2.07,1.9,2.0,3315489
2024-10-23,2.12,2.16,2.0,2.02,3440967
2024-10-22,2.21,2.23,2.09,2.12,3272486
2024-10-21,2.21,2.29,2.18,2.22,2279023
2024-10-18,2.23,2.32,2.21,2.24,2392428
2024-10-17,2.27,2.28,2.21,2.23,2246160
2024-10-16,2.22,2.45,2.18,2.31,4691148
2024-10-15,2.35,2.38,2.23,2.28,4066781
2024-10-14,2.48,2.49,2.34,2.43,3770018
2024-10-11,2.64,2.65,2.46,2.51,5551566
2024-10-10,2.65,2.95,2.5,2.75,27949220
2024-10-09,2.35,2.95,2.25,2.45,27971301
2024-10-08,2.36,2.43,2.27,2.33,4151300
2024-10-07,2.65,2.68,2.43,2.48,5024382
2024-10-04,2.77,2.79,2.65,2.7,3890263
2024-10-03,2.93,2.93,2.69,2.8,6193255
2024-10-02,2.88,3.0,2.8,2.94,5247255
2024-10-01,2.87,2.9,2.7,2.79,3458459
2024-09-30,2.85,3.19,2.81,2.87,7599216
2024-09-27,3.06,3.08,2.76,2.78,6606668
2024-09-26,2.93,3.6,2.79,3.01,26677170
2024-09-25,2.88,2.91,2.71,2.74,4077623
2024-09-24,3.08,3.14,2.89,2.94,4053843
2024-09-23,3.33,3.33,2.97,3.1,3704494
2024-09-20,3.5,3.53,3.31,3.37,4857728
2024-09-19,4.11,4.13,3.66,3.7,4672088
2024-09-18,3.52,4.05,3.25,3.92,6081154
2024-09-17,3.75,3.82,3.5,3.56,3660244
2024-09-16,4.02,4.02,3.6,3.64,4025942
2024-09-13,4.0,4.16,3.92,3.99,4026180
2024-09-12,4.06,4.19,3.9,4.04,3658261
2024-09-11,4.12,4.16,3.87,3.98,3290840
2024-09-10,4.35,4.82,4.11,4.19,4958090
2024-09-09,4.55,4.55,4.15,4.48,4143857
2024-09-06,5.98,6.52,4.5,4.8,20462118
2024-09-05,6.04,6.46,4.81,5.21,20096327
2024-09-04,3.45,6.48,3.45,5.24,69569349
2024-09-03,5.07,5.09,3.36,3.43,7067419
2024-08-30,5.46,5.59,4.94,5.03,4639253
2024-08-29,6.16,6.62,5.36,5.49,3873379
2024-08-28,6.81,7.23,6.11,6.25,4616062
2024-08-27,7.31,7.81,6.81,7.08,8599348
2024-08-26,6.58,7.98,5.93,7.58,26678708
2024-08-23,10.5,11.4,6.66,7.23,77861897
2024-08-22,3.6,8.89,3.27,8.04,153400668
2024-08-21,2.79,3.71,2.67,3.59,10380356
2024-08-20,3.97,3.97,2.9,3.0,6707130
2024-08-19,4.87,4.99,3.8,3.99,5542135
2024-08-16,5.58,5.79,4.87,5.14,2742123
2024-08-15,5.4,5.47,4.8,5.07,3269902
2024-08-14,7.52,7.56,6.03,6.72,1504823
2024-08-13,8.17,8.32,7.6,7.66,1006823
2024-08-12,9.24,9.24,7.92,8.52,1211620
2024-08-09,9.4,9.52,8.6,8.91,896521
2024-08-08,9.48,10.0,9.01,9.4,886119
2024-08-07,10.4,10.64,8.88,9.12,754327
2024-08-06,10.81,11.11,10.0,10.4,791958
2024-08-05,10.0,10.74,9.26,10.4,1096450
2024-08-02,12.0,12.2,11.2,12.2,705117
2024-08-01,13.41,13.44,12.12,12.3,950196
2024-07-31,14.6,16.28,13.2,14.0,3630967
2024-07-30,12.88,12.98,12.24,12.64,594297
2024-07-29,14.11,14.27,12.4,13.58,1159177
2024-07-26,14.0,14.88,13.72,14.27,564512
2024-07-25,13.71,14.9,13.02,14.4,720938
2024-07-24,15.15,15.15,13.88,14.28,731775
2024-07-23,15.6,16.4,15.0,15.48,692866
2024-07-22,16.27,16.27,14.49,15.86,1294346
2024-07-19,16.84,16.84,15.6,16.04,741477
2024-07-18,18.94,19.08,16.4,16.69,1304785
2024-07-17,18.78,19.92,18.22,18.45,1136934
2024-07-16,20.74,21.8,19.35,19.58,1960305
2024-07-15,16.52,21.89,16.44,20.61,5447928
2024-07-12,16.12,17.6,16.0,16.88,1196795
2024-07-11,16.0,17.2,16.0,16.19,1128049
2024-07-10,15.56,17.56,15.2,15.94,1962823
2024-07-09,16.0,16.8,15.49,15.6,1242691
2024-07-08,15.78,16.92,14.4,16.6,1873931
2024-07-05,16.27,16.73,15.46,16.0,1181951
2024-07-03,16.72,18.76,16.58,16.96,1362176
2024-07-02,17.8,17.8,15.36,17.37,2067932
2024-07-01,19.64,21.51,18.0,18.4,2279079
2024-06-28,21.26,23.9,18.32,20.26,4941090
2024-06-27,24.61,27.6,20.0,24.0,14392419
2024-06-26,12.12,24.0,11.81,18.34,16650139
2024-06-25,8.75,11.8,8.6,10.6,4594131
2024-06-24,15.28,15.33,10.99,13.04,3113889
2024-06-21,16.54,17.12,15.26,15.85,1098680
2024-06-20,18.75,18.8,16.0,16.27,1560565
2024-06-18,19.84,20.42,18.6,18.94,1072570
2024-06-17,20.8,22.07,20.2,20.49,978351
2024-06-14,20.03,23.1,19.6,20.6,1515256
2024-06-13,21.04,21.11,19.28,20.35,1383401
2024-06-12,21.78,22.42,20.76,20.85,1520601
2024-06-11,21.84,23.04,20.47,22.38,1604867
2024-06-10,25.48,25.88,21.02,22.4,2100543
2024-06-07,24.4,31.4,23.42,24.42,10494197
2024-06-06,22.0,23.1,20.0,21.76,4189659
2024-06-05,20.12,23.8,18.18,21.26,2980805
2024-06-04,23.64,23.65,20.4,22.28,2539874
2024-06-03,28.8,29.74,24.4,24.99,5721207
2024-05-31,26.4,27.68,20.22,23.34,5596114
2024-05-30,17.66,30.57,17.12,22.61,14573679
2024-05-29,32.78,35.11,15.62,17.77,10448019
2024-05-28,50.0,50.0,45.2,46.8,2532786
2024-05-24,54.4,54.8,45.2,46.4,2811581
2024-05-23,47.4,58.8,45.2,47.6,5028442
2024-05-22,50.8,53.2,40.0,44.8,5103347
2024-05-21,59.2,66.4,49.6,55.6,5709205
2024-05-20,78.4,90.0,48.0,72.0,17541083
2024-05-17,108.0,156.0,36.0,41.2,5910467
2024-05-16,32.49,94.0,30.22,66.0,1581714
2024-05-15,23.96,39.2,15.53,28.2,6817881
2024-05-14,3.99,14.39,3.6,11.41,12492374
2024-05-13,1.92,2.8,1.8,2.44,7286795
2024-05-10,1.68,1.94,1.6,1.84,2533812
2024-05-09,1.66,1.66,1.56,1.62,1983514
2024-05-08,1.66,1.73,1.61,1.67,1488240
2024-05-07,1.92,2.08,1.67,1.75,4422883
2024-05-06,1.64,1.75,1.6,1.65,1728794
2024-05-03,1.64,1.74,1.52,1.64,2132318
2024-05-02,1.89,1.98,1.6,1.6,2912514
2024-05-01,1.96,1.96,1.64,1.84,2003592
2024-04-30,1.68,1.96,1.58,1.76,1788472
2024-04-29,1.78,1.78,1.52,1.67,2020400
2024-04-26,2.0,2.08,1.84,1.88,1688187
2024-04-25,1.99,1.99,1.8,1.96,773294
2024-04-24,2.2,2.2,1.92,2.0,1495919
2024-04-23,2.28,2.46,2.0,2.16,1625014
2024-04-22,2.34,2.6,2.04,2.22,933595
2024-04-19,2.53,2.55,2.24,2.35,742547
2024-04-18,2.48,2.85,2.44,2.46,676602
2024-04-17,2.74,2.74,2.44,2.44,568675
2024-04-16,2.8,2.86,2.6,2.64,585593
2024-04-15,3.2,3.2,2.8,2.88,588718
2024-04-12,3.4,3.58,3.16,3.2,616741
2024-04-11,3.63,3.63,3.2,3.32,588679
2024-04-10,4.28,4.37,3.6,3.63,1055418
2024-04-09,4.0,4.6,3.7,4.47,2123862
2024-04-08,3.36,4.2,3.24,3.6,1348835
2024-04-05,3.3,3.39,3.12,3.14,512194
2024-04-04,3.6,3.64,3.28,3.42,423466
2024-04-03,3.64,3.83,3.56,3.6,368630
2024-04-02,3.84,3.84,3.48,3.6,362943
2024-04-01,4.0,4.0,3.6,3.79,215169
2024-03-28,3.79,4.79,3.52,4.0,555618
2024-03-27,4.0,4.16,3.5,3.81,481600
2024-03-26,4.56,4.8,4.0,4.0,473743
2024-03-25,5.25,5.39,4.06,4.56,601034
2024-03-22,6.88,6.92,5.09,5.27,1900278
2024-03-21,3.68,6.0,3.56,5.44,2570257
2024-03-20,3.76,3.8,3.44,3.66,343649
2024-03-19,4.26,4.32,3.61,3.68,479458
2024-03-18,4.0,4.76,3.9,4.2,425093
2024-03-15,4.27,4.4,3.84,3.88,259678
2024-03-14,4.4,4.48,4.03,4.27,229479
2024-03-13,4.0,5.48,3.99,4.32,782665
2024-03-12,5.12,5.2,3.82,4.04,687926
2024-03-11,5.4,5.47,4.92,5.16,195668
2024-03-08,5.84,5.88,5.2,5.32,335123
2024-03-07,6.41,6.45,5.86,5.91,229048
2024-03-06,7.16,7.3,6.41,6.53,243300
2024-03-05,7.2,7.24,6.4,7.0,340047
2024-03-04,8.17,8.24,7.23,7.36,175742
2024-03-01,7.6,9.4,6.84,7.92,354094
2024-02-29,8.04,8.38,7.2,8.38,320322
2024-02-28,9.84,9.84,7.43,7.51,392842
2024-02-27,9.56,9.85,9.01,9.84,145791
2024-02-26,10.32,11.27,8.76,9.32,270007
2024-02-23,9.24,10.32,8.83,10.32,98738
2024-02-22,9.24,10.6,9.14,9.6,219637
2024-02-21,9.61,9.86,8.41,8.82,226862
2024-02-20,11.46,12.6,8.35,9.66,337125
2024-02-16,12.96,14.6,11.11,11.24,408547
2024-02-15,7.82,17.94,7.74,13.09,1434786
2024-02-14,8.78,8.82,7.44,7.68,247364
2024-02-13,9.9,9.95,8.44,8.69,184703
2024-02-12,11.23,11.4,9.62,9.9,143601
2024-02-09,10.66,11.16,10.44,10.62,85067
2024-02-08,11.14,11.28,10.09,10.68,164187
2024-02-07,12.29,12.34,10.8,10.86,139761
2024-02-06,13.08,13.63,11.53,12.48,160991
2024-02-05,13.88,13.91,12.37,12.82,94194
2024-02-02,15.26,15.3,12.0,14.1,159410
2024-02-01,16.3,16.3,15.01,15.26,78263
2024-01-31,16.64,17.16,16.08,16.21,43601
2024-01-30,18.0,18.0,16.8,16.96,40755
2024-01-29,16.97,18.48,16.8,17.58,76702
2024-01-26,16.36,17.52,16.18,16.56,39889
2024-01-25,17.33,17.42,15.76,16.34,81737
2024-01-24,17.7,18.6,17.21,17.42,59839
2024-01-23,17.82,18.0,15.96,17.64,104906
2024-01-22,18.84,19.8,17.4,17.66,113612
2024-01-19,19.78,19.78,18.72,18.74,60083
2024-01-18,19.6,20.83,19.21,19.33,148580
2024-01-17,19.45,20.14,19.08,19.5,82998
2024-01-16,20.64,22.5,19.8,19.94,98872
2024-01-12,20.57,21.41,20.11,20.52,62022
2024-01-11,20.11,21.19,19.2,20.53,90211
2024-01-10,22.79,23.32,19.44,20.22,101435
2024-01-09,22.8,24.66,21.01,21.31,177107
2024-01-08,19.75,23.0,19.2,22.66,214444
2024-01-05,20.88,21.11,18.6,19.09,151206
2024-01-04,23.02,24.6,20.66,20.77,202553
2024-01-03,24.06,24.24,20.4,21.2,195279
2024-01-02,28.98,29.66,24.0,24.05,196898
2023-12-29,31.73,31.79,27.6,27.71,215568
2023-12-28,36.0,38.05,30.16,31.09,217706
2023-12-27,41.03,45.0,39.64,40.2,111063
2023-12-26,41.23,53.33,39.18,40.73,255218
2023-12-22,42.94,47.16,39.18,41.51,172657
2023-12-21,30.73,46.0,30.72,43.7,277605
2023-12-20,33.7,35.64,30.46,30.68,87309
2023-12-19,33.0,35.52,32.42,33.96,97854
2023-12-18,32.48,34.32,31.72,33.0,104085
2023-12-15,32.28,34.8,31.56,32.04,137624
2023-12-14,28.92,33.96,28.92,31.43,104339
2023-12-13,30.05,34.2,28.44,31.62,135288
2023-12-12,30.58,31.76,26.88,30.48,130685
2023-12-11,37.2,39.84,30.74,30.9,241506
2023-12-08,30.0,43.8,28.93,35.52,744925
2023-12-07,31.32,32.38,30.0,30.32,108274
2023-12-06,36.6,37.79,31.69,31.92,117423
2023-12-05,42.61,43.2,37.2,37.21,88820
2023-12-04,46.15,47.21,40.94,42.76,83810
2023-12-01,45.85,45.88,40.8,45.53,109415
2023-11-30,54.89,54.9,45.0,46.44,109011
2023-11-29,52.8,55.98,52.8,54.0,56125
2023-11-28,56.4,56.7,53.94,54.12,46995
2023-11-27,59.88,59.88,52.8,53.29,83258
2023-11-24,63.54,65.4,59.4,59.57,62912
2023-11-22,61.32,62.35,58.21,58.81,42226
2023-11-21,66.32,67.78,56.4,61.2,83276
2023-11-20,69.6,70.37,65.18,66.83,66935
2023-11-17,63.23,76.32,62.65,68.14,137234
2023-11-16,79.2,79.21,62.41,62.65,112515
2023-11-15,99.0,99.0,79.61,81.0,109560
2023-11-14,103.6,107.99,93.6,99.43,29799
2023-11-13,94.8,106.02,94.8,105.13,53514
2023-11-10,116.4,117.0,92.41,94.8,76254
2023-11-09,128.4,132.0,112.01,113.05,37890
2023-11-08,127.2,134.4,125.99,127.2,17141
2023-11-07,124.8,130.8,121.2,127.8,19521
2023-11-06,140.4,140.4,121.2,123.0,42468
2023-11-03,133.2,141.6,132.01,134.4,32190
2023-11-02,128.4,134.4,127.82,133.2,24583
2023-11-01,127.2,128.4,124.8,127.2,20615
2023-10-31,129.6,130.8,126.0,127.2,17534
2023-10-30,130.8,133.2,123.6,128.4,35831
2023-10-27,129.6,130.2,123.6,126.0,21838
