Date,Open,High,Low,Close,Volume
2025-03-19,16.44,16.72,16.26,16.65,1295748
2025-03-18,16.3,16.64,16.1,16.57,2516700
2025-03-17,16.0,16.55,15.92,16.41,3536800
2025-03-14,15.89,16.33,15.54,15.68,3487200
2025-03-13,15.77,15.8,14.98,15.55,4512600
2025-03-12,16.24,16.43,15.45,15.65,6513900
2025-03-11,17.03,17.17,15.89,16.22,5400900
2025-03-10,18.2,18.49,16.77,17.17,7459900
2025-03-07,17.91,18.72,17.53,18.66,4346800
2025-03-06,18.04,18.1,17.07,17.84,6852400
2025-03-05,18.15,19.67,17.76,18.26,11356700
2025-03-04,17.47,17.59,16.92,17.37,6330200
2025-03-03,17.49,18.19,17.29,17.88,7004500
2025-02-28,17.38,17.81,17.13,17.32,3105500
2025-02-27,17.62,17.73,17.24,17.36,3246400
2025-02-26,17.9,17.99,17.38,17.43,3182800
2025-02-25,18.26,18.44,17.42,17.67,4783200
2025-02-24,18.28,18.38,17.67,17.98,3848900
2025-02-21,18.89,18.94,18.06,18.2,3182900
2025-02-20,19.1,19.1,18.4,18.89,2702400
2025-02-19,19.33,19.5,18.56,19.11,3137600
2025-02-18,20.16,20.21,19.18,19.58,3603100
2025-02-14,20.05,20.35,19.87,20.31,2803000
2025-02-13,19.48,19.96,19.36,19.83,2192200
2025-02-12,19.13,19.31,18.83,19.26,1580800
2025-02-11,18.75,19.35,18.69,19.35,2322100
2025-02-10,18.17,19.29,18.13,19.02,4554800
2025-02-07,18.92,18.93,18.04,18.04,3965300
2025-02-06,19.55,19.58,18.72,18.95,2337100
2025-02-05,19.23,19.4,19.0,19.33,1931400
2025-02-04,18.82,19.32,18.62,19.18,2364600
2025-02-03,19.53,19.58,18.79,18.88,3816100
2025-01-31,20.07,20.58,19.78,20.05,2651800
2025-01-30,19.93,20.3,19.75,20.06,2820700
2025-01-29,19.72,20.06,19.55,19.7,2504000
2025-01-28,20.13,20.46,19.59,19.63,2310600
2025-01-27,21.0,21.11,20.04,20.13,3171900
2025-01-24,20.7,21.25,20.65,20.84,3225100
2025-01-23,20.72,21.25,20.47,21.18,1698600
2025-01-22,20.56,20.98,20.38,20.84,1865600
2025-01-21,20.71,21.11,20.31,20.56,2858200
2025-01-17,20.48,20.83,20.11,20.45,2852000
2025-01-16,20.9,20.9,19.87,20.3,4084700
2025-01-15,21.39,21.6,20.78,20.97,2479900
2025-01-14,21.24,21.5,20.47,20.83,2826800
2025-01-13,20.4,21.51,20.35,21.31,3856700
2025-01-10,20.37,20.99,20.24,20.53,2817400
2025-01-08,21.03,21.03,20.52,20.56,2439200
2025-01-07,21.24,21.64,20.81,21.19,3357400
2025-01-06,21.85,22.01,20.75,21.1,4841600
2025-01-03,21.67,21.79,21.2,21.65,2322800
2025-01-02,22.09,22.41,21.63,21.67,2556000
2024-12-31,22.15,22.26,21.73,21.76,2360500
2024-12-30,22.55,22.55,21.74,22.0,2824100
2024-12-27,22.7,22.92,22.41,22.88,2382600
2024-12-26,21.8,23.0,21.8,22.9,3459600
2024-12-24,21.57,21.8,21.28,21.79,1520500
2024-12-23,22.51,22.56,21.25,21.55,3257200
2024-12-20,21.79,22.9,21.69,22.41,4505300
2024-12-19,22.3,22.6,22.16,22.28,2895300
2024-12-18,22.4,22.85,21.88,22.07,3596000
2024-12-17,22.3,22.53,22.02,22.26,2630400
2024-12-16,21.92,23.44,21.84,22.49,4664800
2024-12-13,21.64,21.8,21.15,21.8,2748700
2024-12-12,21.82,22.06,21.5,21.52,2330800
2024-12-11,21.61,22.04,21.44,21.89,2226400
2024-12-10,21.87,22.03,21.21,21.64,3278800
2024-12-09,22.15,22.94,21.63,21.82,5025900
2024-12-06,21.45,22.58,21.45,22.0,5436200
2024-12-05,22.1,22.77,21.07,21.17,7103100
2024-12-04,20.1,22.88,19.33,22.02,25664500
2024-12-03,24.87,24.97,23.96,24.17,6128400
2024-12-02,25.28,25.79,24.8,25.14,3777600
2024-11-29,25.44,25.69,24.82,25.15,1898400
2024-11-27,24.55,25.57,24.55,25.31,3824000
2024-11-26,24.23,24.97,23.99,24.48,3662000
2024-11-25,23.83,24.97,23.65,24.56,6036600
2024-11-22,22.99,23.52,22.65,23.13,4268200
2024-11-21,22.22,22.81,21.88,22.45,4141600
2024-11-20,22.45,22.78,22.09,22.44,2892400
2024-11-19,22.15,22.83,21.63,22.73,3295200
2024-11-18,23.59,23.65,22.44,22.5,2818700
2024-11-15,23.8,23.89,23.2,23.6,1998700
2024-11-14,24.4,24.44,23.61,23.75,2298700
2024-11-13,25.03,25.68,24.27,24.32,2046200
2024-11-12,24.79,25.18,24.55,25.03,2387000
2024-11-11,24.75,25.17,24.57,24.87,2317200
2024-11-08,24.66,24.95,24.19,24.7,2872000
2024-11-07,24.73,25.04,24.32,24.85,1964100
2024-11-06,25.48,25.54,23.64,24.55,3598400
2024-11-05,24.35,25.07,24.23,24.48,2528400
2024-11-04,24.47,25.21,23.94,24.48,3621300
2024-11-01,23.29,24.32,23.24,23.96,2994600
2024-10-31,22.99,23.54,22.67,23.19,3734200
2024-10-30,23.03,23.84,22.94,22.94,2654200
2024-10-29,23.36,23.87,23.07,23.11,3022300
2024-10-28,24.3,24.6,23.42,23.81,4295400
2024-10-25,23.61,24.15,23.1,24.13,2803400
2024-10-24,24.03,24.46,22.89,23.24,2875500
2024-10-23,23.52,23.8,23.4,23.76,1837000
2024-10-22,23.45,23.89,23.03,23.71,2497700
2024-10-21,24.54,24.55,23.51,23.75,2465900
2024-10-18,24.85,25.23,24.52,24.59,2003200
2024-10-17,24.72,24.74,24.28,24.69,1523300
2024-10-16,24.72,25.01,24.28,24.8,2106500
2024-10-15,24.08,25.42,24.03,24.6,3832000
2024-10-14,22.98,23.77,22.86,23.77,2710100
2024-10-11,23.31,23.42,22.95,22.99,2056000
