Date,Open,High,Low,Close,Volume
2025-03-19,15.88,15.98,15.6,15.94,10453
2025-03-18,16.35,16.35,15.73,15.75,14200
2025-03-17,15.51,16.76,15.51,15.93,20700
2025-03-14,15.75,16.31,15.53,16.0,7400
2025-03-13,16.1,16.71,16.07,16.07,9100
2025-03-12,16.55,16.55,15.9,16.01,8900
2025-03-11,16.7,16.7,15.75,16.05,46700
2025-03-10,16.53,17.26,16.5,16.66,18600
2025-03-07,17.87,17.87,16.1,17.26,35100
2025-03-06,17.49,18.38,17.05,18.38,12400
2025-03-05,17.91,18.06,17.25,17.7,17400
2025-03-04,18.2,18.5,17.8,17.8,13500
2025-03-03,18.12,18.7,18.07,18.6,5500
2025-02-28,18.27,18.48,17.86,17.86,9800
2025-02-27,18.6,18.65,17.78,18.06,13500
2025-02-26,17.76,18.6,17.7,18.6,18900
2025-02-25,18.05,18.35,17.24,17.61,27600
2025-02-24,20.41,20.43,17.7,17.8,19900
2025-02-21,20.44,21.0,20.32,20.45,14300
2025-02-20,20.5,20.96,19.77,20.96,25800
2025-02-19,22.31,22.31,20.51,20.59,18200
2025-02-18,22.22,22.81,21.81,22.16,57400
2025-02-14,22.53,22.76,21.94,22.5,46100
2025-02-13,22.95,23.45,22.24,22.31,50100
2025-02-12,22.31,23.39,22.17,23.13,25300
2025-02-11,22.01,22.78,21.9,22.56,9000
2025-02-10,22.39,22.39,21.84,21.88,17600
2025-02-07,22.17,22.48,21.34,22.46,26000
2025-02-06,22.17,22.49,22.16,22.4,9300
2025-02-05,21.48,22.71,21.48,22.29,20200
2025-02-04,21.69,21.75,21.05,21.64,17500
2025-02-03,20.65,21.65,20.65,21.05,4000
2025-01-31,21.08,21.75,20.5,21.49,9600
2025-01-30,20.9,21.32,20.43,21.15,9400
2025-01-29,21.0,21.1,20.35,21.05,23400
2025-01-28,20.63,21.88,19.96,21.0,70300
2025-01-27,21.58,22.0,20.74,20.74,8600
2025-01-24,21.6,21.93,21.36,21.63,7200
2025-01-23,21.16,22.18,21.11,21.91,15600
2025-01-22,21.4,21.54,20.68,21.4,18100
2025-01-21,20.09,21.91,20.09,21.58,29900
2025-01-17,17.9,20.05,17.9,20.02,18900
2025-01-16,17.95,18.2,17.77,18.19,21900
2025-01-15,18.04,18.33,17.6,17.88,16500
