Date,Open,High,Low,Close,Volume
2025-03-18,0.0,0.0,0.0,0.17,199983
2025-03-17,0.49,0.49,0.49,0.49,1299
2025-03-14,0.55,0.55,0.5,0.5,567
2025-03-13,0.7,0.7,0.7,0.7,0
2025-03-12,0.7,0.7,0.7,0.7,180
2025-03-11,0.49,0.7,0.49,0.63,720
2025-03-10,0.5,0.5,0.5,0.5,0
2025-03-07,0.7,0.7,0.5,0.5,1461
2025-03-06,0.85,0.9,0.5,0.7,3195
2025-03-05,0.9,0.9,0.84,0.86,165
2025-03-04,0.8,0.8,0.8,0.8,0
2025-03-03,1.1,1.1,0.8,0.8,245
2025-02-28,1.05,1.1,1.05,1.1,58
2025-02-27,0.7,0.9,0.7,0.9,1517
2025-02-26,0.7,1.1,0.7,1.1,5
2025-02-25,0.9,1.1,0.9,1.1,15
2025-02-24,1.0,1.1,1.0,1.1,75
2025-02-21,0.8,0.9,0.8,0.9,1575
2025-02-20,0.9,0.9,0.9,0.9,211
2025-02-19,0.94,0.94,0.94,0.94,0
2025-02-18,0.94,0.94,0.94,0.94,0
2025-02-14,0.94,0.94,0.94,0.94,0
2025-02-13,1.1,1.1,0.9,0.94,2163
2025-02-12,1.0,1.1,1.0,1.1,536
2025-02-11,1.2,1.2,1.0,1.0,459
2025-02-10,1.1,1.1,1.1,1.1,0
2025-02-07,1.0,1.2,1.0,1.1,859
2025-02-06,1.05,1.1,1.05,1.06,357
2025-02-05,1.0,1.0,1.0,1.0,45
2025-02-04,0.9,1.05,0.9,1.05,288
2025-02-03,1.1,1.1,1.1,1.1,42
2025-01-31,1.3,1.3,1.0,1.1,574
2025-01-30,1.3,1.3,1.2,1.28,72
2025-01-29,1.3,1.4,1.0,1.2,344
2025-01-28,1.0,1.2,1.0,1.2,334
2025-01-27,1.2,1.4,1.1,1.1,874
2025-01-24,1.2,1.4,1.0,1.26,1495
2025-01-23,1.5,1.5,0.9,1.3,3005
2025-01-22,0.8,1.9,0.6,1.5,18204
2025-01-21,0.45,0.45,0.45,0.45,0
2025-01-17,0.45,0.45,0.45,0.45,0
2025-01-16,0.5,0.5,0.45,0.45,300
2025-01-15,0.6,0.6,0.45,0.45,1559
2025-01-14,0.6,0.6,0.56,0.56,6
2025-01-13,0.5,0.5,0.4,0.5,5433
2025-01-10,0.5,0.5,0.47,0.47,40
2025-01-08,0.45,0.45,0.45,0.45,0
2025-01-07,0.45,0.45,0.45,0.45,0
2025-01-06,0.5,0.6,0.45,0.45,521
2025-01-03,0.5,0.5,0.5,0.5,0
2025-01-02,0.4,0.5,0.4,0.5,210
2024-12-31,0.5,0.5,0.4,0.4,4746
2024-12-30,0.7,0.7,0.5,0.55,1012
2024-12-27,0.7,0.7,0.6,0.6,20
2024-12-26,0.6,0.6,0.6,0.6,2891
2024-12-24,0.55,0.55,0.55,0.55,0
2024-12-23,0.5,0.5,0.5,0.5,5
2024-12-20,0.5,0.5,0.5,0.5,0
2024-12-19,0.55,0.55,0.5,0.5,10
2024-12-18,0.5,0.5,0.5,0.5,1000
2024-12-17,0.6,0.6,0.6,0.6,600
2024-12-16,0.6,0.6,0.5,0.6,1390
2024-12-13,0.55,0.55,0.55,0.55,0
2024-12-12,0.7,0.7,0.55,0.55,1221
2024-12-11,0.6,0.6,0.6,0.6,0
2024-12-10,0.6,0.6,0.6,0.6,400
2024-12-09,0.6,0.6,0.6,0.6,1
2024-12-06,0.7,0.7,0.6,0.6,15
2024-12-05,0.55,0.6,0.55,0.55,15
2024-12-04,0.55,0.55,0.55,0.55,0
2024-12-03,0.55,0.55,0.55,0.55,0
2024-12-02,0.55,0.55,0.55,0.55,0
2024-11-29,0.5,0.6,0.5,0.55,50
2024-11-27,0.7,0.7,0.5,0.5,20
2024-11-26,0.5,0.6,0.5,0.6,900
2024-11-25,0.55,0.6,0.55,0.6,410
2024-11-22,0.57,0.57,0.57,0.57,8
2024-11-21,0.55,0.6,0.55,0.6,20
2024-11-20,0.5,0.6,0.5,0.56,13449
2024-11-19,0.58,0.58,0.58,0.58,7
2024-11-18,0.6,0.6,0.6,0.6,31
2024-11-15,0.55,0.55,0.55,0.55,0
2024-11-14,0.55,0.55,0.55,0.55,0
2024-11-13,0.55,0.55,0.55,0.55,0
2024-11-12,0.55,0.55,0.55,0.55,0
2024-11-11,0.55,0.55,0.55,0.55,1
2024-11-08,0.6,0.6,0.6,0.6,110
2024-11-07,0.5,0.5,0.5,0.5,3
2024-11-06,0.55,0.55,0.55,0.55,0
2024-11-05,0.55,0.55,0.55,0.55,0
2024-11-04,0.6,0.6,0.55,0.55,167
2024-11-01,0.55,0.6,0.55,0.6,180
2024-10-31,0.6,0.6,0.5,0.5,142
2024-10-30,0.5,0.5,0.5,0.5,0
2024-10-29,0.5,0.5,0.5,0.5,0
2024-10-28,0.5,0.5,0.5,0.5,0
2024-10-25,0.6,0.6,0.5,0.5,310
2024-10-24,0.58,0.6,0.58,0.6,60
2024-10-23,0.6,0.6,0.55,0.55,427
2024-10-22,0.6,0.6,0.6,0.6,0
2024-10-21,0.6,0.6,0.6,0.6,50
2024-10-18,0.54,0.54,0.54,0.54,0
2024-10-17,0.54,0.54,0.54,0.54,0
2024-10-16,0.5,0.54,0.5,0.54,2001
2024-10-15,0.6,0.6,0.5,0.5,6768
2024-10-14,0.6,0.6,0.6,0.6,20
2024-10-11,0.6,0.6,0.6,0.6,0
2024-10-10,0.6,0.6,0.6,0.6,0
2024-10-09,0.6,0.6,0.6,0.6,42
2024-10-08,0.6,0.6,0.6,0.6,0
2024-10-07,0.6,0.6,0.6,0.6,0
2024-10-04,0.6,0.6,0.6,0.6,28
2024-10-03,0.88,0.88,0.6,0.6,50
