Date,Open,High,Low,Close,Volume
2025-03-14,296.97,300.67,295.71,299.83,2696800
2025-03-13,300.43,303.46,297.27,297.5,4178600
2025-03-12,303.69,306.43,296.35,299.4,4546200
2025-03-11,317.62,317.7,306.31,306.76,4513100
2025-03-10,320.09,326.32,315.74,317.25,4707600
2025-03-07,310.82,323.17,310.35,321.29,7607600
2025-03-06,307.8,311.35,304.38,310.37,2954900
2025-03-05,304.0,308.46,303.37,307.45,2327500
2025-03-04,304.59,312.93,304.59,305.77,3954500
2025-03-03,308.11,309.49,302.43,304.29,4371300
2025-02-28,305.84,306.75,302.14,306.56,4972900
2025-02-27,303.44,309.99,302.47,308.17,3350400
2025-02-26,309.91,312.74,301.94,302.52,4140900
2025-02-25,307.41,309.92,306.22,308.94,3891600
2025-02-24,303.25,308.66,302.37,305.8,3397600
2025-02-21,302.18,304.2,299.86,303.06,3036700
2025-02-20,299.1,301.39,296.44,301.31,3020000
2025-02-19,301.58,302.05,297.79,300.21,2990700
2025-02-18,305.59,305.59,301.8,303.08,3367800
2025-02-14,308.42,309.21,306.01,306.78,2674400
2025-02-13,305.73,309.74,303.88,308.24,3096800
2025-02-12,307.8,308.31,304.01,305.83,3110200
2025-02-11,305.61,309.8,304.41,308.43,4180400
2025-02-10,300.53,308.5,299.78,306.65,8052000
2025-02-07,292.67,295.15,292.13,292.61,2858000
2025-02-06,289.92,295.44,288.65,292.67,3590000
2025-02-05,288.34,288.6,284.7,287.17,2362900
2025-02-04,288.1,288.97,286.71,288.11,2976900
2025-02-03,285.37,289.23,282.56,288.38,3048800
2025-01-31,288.17,289.58,285.7,287.04,2557000
2025-01-30,289.24,290.4,287.7,288.65,2125200
2025-01-29,289.71,291.46,288.34,288.44,2358300
2025-01-28,290.72,292.8,288.34,289.48,3180100
2025-01-27,284.96,291.75,284.17,291.41,4343000
2025-01-24,282.88,285.2,281.65,283.82,2523000
2025-01-23,279.14,283.36,279.04,282.8,2279400
2025-01-22,281.67,281.9,278.79,279.73,3660600
2025-01-21,279.15,281.28,277.13,280.99,3858600
2025-01-17,279.37,282.45,278.39,279.34,3312800
2025-01-16,278.63,279.34,274.94,278.13,3403700
2025-01-15,282.7,283.02,279.0,280.68,2867800
2025-01-14,283.38,283.71,277.78,279.96,2238900
2025-01-13,281.32,282.87,278.74,282.0,3394300
2025-01-10,285.85,286.12,280.16,280.69,3946000
2025-01-08,287.31,287.48,284.91,285.25,2724200
2025-01-07,292.09,293.24,286.63,287.68,3419500
2025-01-06,291.6,293.9,290.07,290.5,2838900
2025-01-03,291.15,293.27,289.03,293.09,2240100
2025-01-02,289.28,294.06,288.58,290.83,3117000
2024-12-31,288.41,289.57,286.92,288.23,1915600
2024-12-30,289.8,289.8,287.34,287.94,1936700
2024-12-27,291.66,294.78,291.06,291.93,1617200
2024-12-26,291.32,293.74,290.92,293.11,1433900
2024-12-24,289.61,292.58,289.12,292.3,1461000
2024-12-23,290.58,291.42,288.07,289.62,2492200
2024-12-20,287.86,294.4,287.64,291.0,7678000
2024-12-19,289.21,291.18,287.19,288.56,3438500
2024-12-18,293.33,297.26,289.0,289.21,3800900
