Date,Open,High,Low,Close,Volume
2025-03-14,602.8,608.86,594.78,607.6,12343300
2025-03-13,619.7,619.95,585.99,590.11,16480300
2025-03-12,629.34,632.77,608.81,619.01,15747000
2025-03-11,594.52,614.38,592.8,605.17,17401500
2025-03-10,607.53,609.57,586.35,597.46,21999900
2025-03-07,624.81,634.23,600.08,625.1,21375700
2025-03-06,647.42,649.98,623.56,627.37,13446500
2025-03-05,640.43,658.91,637.09,655.89,13770000
2025-03-04,644.94,649.17,623.1,639.43,21495200
2025-03-03,673.08,680.64,650.26,654.47,10843800
2025-02-28,657.46,669.03,642.03,667.61,17534200
2025-02-27,681.84,688.04,656.99,657.65,12500000
2025-02-26,659.06,682.4,657.42,673.1,14488700
2025-02-25,665.38,667.41,641.29,656.92,20579700
2025-02-24,685.67,686.66,661.86,667.54,15677000
2025-02-21,695.96,703.24,681.75,682.94,15660400
2025-02-20,696.66,705.0,693.02,694.22,12587400
2025-02-19,703.47,706.37,694.77,703.14,17535500
2025-02-18,735.35,736.34,705.81,715.73,21938700
2025-02-14,725.49,740.25,724.98,736.02,16901200
2025-02-13,720.88,728.35,717.4,727.91,12569100
2025-02-12,714.66,726.45,711.97,724.74,12016500
2025-02-11,712.69,723.02,709.41,719.16,12998000
2025-02-10,717.92,720.56,710.7,716.76,12904300
2025-02-07,716.16,724.37,711.12,713.88,16427100
2025-02-06,705.25,718.26,702.87,711.36,13080700
2025-02-05,702.92,717.5,698.39,704.24,17778200
2025-02-04,701.88,707.08,691.0,703.56,13826300
2025-02-03,675.31,703.37,674.65,696.84,21415700
2025-01-31,690.39,704.67,684.97,688.57,19331700
2025-01-30,696.2,710.16,675.5,686.39,29322900
2025-01-29,674.4,680.44,665.08,675.89,21377800
2025-01-28,665.41,681.97,658.88,673.73,20950100
2025-01-27,626.05,663.28,624.54,659.29,28399200
2025-01-24,635.83,651.42,633.64,646.91,19065300
2025-01-23,626.8,636.03,620.6,635.88,9910200
2025-01-22,622.75,633.14,618.88,622.95,12274000
2025-01-21,617.28,620.95,608.47,615.91,11674000
2025-01-17,623.5,624.41,603.13,612.23,17280600
2025-01-16,610.96,615.7,609.17,610.76,8355300
