Date,Open,High,Low,Close,Volume
2025-03-19,96.39,96.39,95.11,95.49,5764
2025-03-18,93.95,95.6,92.98,95.56,14200
2025-03-17,93.2,94.63,92.79,93.76,15900
2025-03-14,92.75,93.82,92.66,92.66,10200
2025-03-13,92.98,92.98,91.4,91.8,10800
2025-03-12,93.91,95.09,92.86,93.69,11000
2025-03-11,94.59,95.5,93.41,94.0,9400
2025-03-10,97.66,97.66,94.59,94.59,8200
2025-03-07,97.3,97.96,96.42,97.96,12300
2025-03-06,96.22,97.39,94.53,96.5,13700
2025-03-05,98.29,99.69,97.37,97.37,10700
2025-03-04,99.92,100.98,98.2,98.73,10900
2025-03-03,101.91,102.93,100.79,100.91,8900
2025-02-28,102.4,102.4,100.65,101.91,12900
2025-02-27,104.5,104.51,101.6,101.63,21000
2025-02-26,102.48,104.96,102.0,104.77,47700
2025-02-25,101.78,103.3,100.79,100.79,13200
2025-02-24,101.23,102.05,100.13,100.13,12600
2025-02-21,100.15,102.81,98.67,100.1,15800
2025-02-20,100.87,100.88,97.85,100.15,9800
2025-02-19,99.06,100.88,98.0,100.78,8800
2025-02-18,98.7,102.0,98.45,100.02,14900
2025-02-14,100.78,101.98,97.41,98.2,37900
2025-02-13,92.01,101.75,90.54,99.99,83800
2025-02-12,85.99,88.35,85.99,87.07,12300
2025-02-11,85.13,87.9,85.13,87.16,10500
2025-02-10,84.82,85.66,84.29,85.66,5700
2025-02-07,84.07,84.77,83.92,83.92,6300
2025-02-06,83.1,86.56,82.77,85.21,11500
2025-02-05,81.93,82.99,81.68,82.99,6900
2025-02-04,80.86,82.36,80.86,82.28,5100
2025-02-03,80.4,81.74,80.4,81.74,6000
2025-01-31,80.54,80.54,79.2,80.5,7400
2025-01-30,81.8,83.26,80.56,81.08,5200
2025-01-29,81.88,81.88,80.34,81.14,4000
2025-01-28,82.57,82.57,80.99,80.99,7500
2025-01-27,79.45,83.32,78.15,82.58,18500
2025-01-24,78.77,80.51,78.77,79.38,9300
2025-01-23,77.71,78.77,77.6,78.77,6300
2025-01-22,79.46,79.46,77.53,77.53,4600
2025-01-21,77.6,79.82,77.6,79.41,16200
2025-01-17,78.53,78.58,77.28,77.68,7800
2025-01-16,77.76,77.76,76.9,77.66,6300
2025-01-15,76.66,78.07,76.66,78.07,3700
2025-01-14,77.59,77.8,76.12,76.45,9700
2025-01-13,75.04,76.91,74.77,76.91,7400
2025-01-10,76.11,76.6,75.12,76.4,8400
2025-01-08,77.11,78.63,76.76,76.91,11200
2025-01-07,77.18,77.84,76.01,77.69,12000
2025-01-06,79.02,79.05,78.1,78.16,16000
2025-01-03,78.82,79.5,78.44,79.5,10500
2025-01-02,77.96,79.75,77.96,78.03,11700
2024-12-31,78.34,79.1,78.21,78.21,7200
2024-12-30,79.99,79.99,77.6,78.78,3900
2024-12-27,77.82,79.05,77.74,78.56,8500
2024-12-26,78.75,79.98,78.75,79.55,4600
2024-12-24,78.83,79.72,78.68,79.72,6600
2024-12-23,79.49,79.56,78.01,79.38,8200
2024-12-20,80.17,82.07,78.99,78.99,21700
2024-12-19,81.42,81.79,79.59,81.43,10200
2024-12-18,86.0,86.0,79.9,79.9,9500
2024-12-17,86.56,87.09,84.99,84.99,14300
2024-12-16,83.08,87.13,82.42,86.35,19600
2024-12-13,84.77,84.77,82.07,82.5,11600
2024-12-12,86.34,86.34,83.92,84.34,5800
2024-12-11,86.06,87.48,85.62,86.65,21700
2024-12-10,86.56,87.3,85.18,85.18,9000
2024-12-09,84.84,87.55,84.84,86.05,19400
2024-12-06,86.21,87.26,85.03,85.17,20600
2024-12-05,85.76,86.89,82.89,86.89,15600
2024-12-04,85.69,88.31,85.2,86.38,21200
2024-12-03,86.56,86.56,85.52,86.21,7900
2024-12-02,86.57,88.95,86.57,87.17,7200
2024-11-29,87.16,89.11,86.24,87.06,14300
2024-11-27,88.49,89.0,85.76,86.64,15700
2024-11-26,83.45,88.53,83.05,87.9,33200
2024-11-25,83.2,84.36,83.2,84.16,7000
2024-11-22,83.87,83.87,83.13,83.13,4700
2024-11-21,82.74,84.29,82.58,83.38,4100
2024-11-20,82.19,83.77,81.4,81.95,17200
2024-11-19,82.52,84.15,81.89,84.15,7200
2024-11-18,83.0,84.54,82.25,82.52,10000
2024-11-15,84.62,84.62,83.37,83.74,5700
2024-11-14,85.3,86.24,82.6,84.41,34000
2024-11-13,88.92,90.05,86.31,86.31,24700
