Date,Open,High,Low,Close,Volume
2025-03-18,27.0,27.15,25.75,26.6,6593203
2025-03-17,28.38,29.74,27.61,28.0,15413300
2025-03-14,25.01,27.83,24.89,27.72,13618800
2025-03-13,26.16,26.34,23.87,23.95,8750600
2025-03-12,27.47,28.01,25.16,26.19,15389400
2025-03-11,23.75,26.46,23.54,25.47,13987200
2025-03-10,24.88,25.31,23.26,23.69,11690300
2025-03-07,25.71,26.8,24.46,26.27,12029700
2025-03-06,29.1,29.36,25.66,25.97,13001600
2025-03-05,31.0,31.13,29.11,30.29,11297500
2025-03-04,28.21,32.26,27.5,30.92,14577100
2025-03-03,34.75,35.07,29.25,29.38,11978000
2025-02-28,31.33,34.66,30.44,33.39,13403000
2025-02-27,38.45,38.68,32.31,32.39,17631500
2025-02-26,34.5,36.48,33.57,35.19,18620400
2025-02-25,33.53,34.29,29.82,32.07,16463100
2025-02-24,37.17,37.99,33.64,34.08,14554600
2025-02-21,43.56,43.69,37.83,38.79,13961800
2025-02-20,44.6,44.61,40.3,42.66,12387700
2025-02-19,48.46,49.5,44.28,45.12,14986800
2025-02-18,52.81,54.8,49.18,50.19,12388800
2025-02-14,55.38,57.5,51.7,52.62,14232200
2025-02-13,55.41,55.55,50.8,55.03,12778900
2025-02-12,47.78,55.33,47.49,54.38,18768300
2025-02-11,53.04,54.1,49.21,50.08,14446800
2025-02-10,55.05,56.8,53.31,53.73,17091400
2025-02-07,49.4,59.14,48.84,55.49,37705300
2025-02-06,51.23,52.99,46.53,47.76,19884000
2025-02-05,46.75,52.45,46.02,50.5,26730400
2025-02-04,46.71,48.01,43.76,46.89,20934600
2025-02-03,38.69,47.4,38.2,45.93,32623800
2025-01-31,42.4,45.23,40.37,41.61,26950800
2025-01-30,36.2,42.25,35.89,41.91,34330200
2025-01-29,33.61,38.09,33.27,35.3,32089400
2025-01-28,33.05,34.16,30.0,34.12,28477400
2025-01-27,32.68,34.96,29.06,31.11,43302600
2025-01-24,39.55,43.7,38.83,41.82,36783200
2025-01-23,32.14,40.21,32.01,38.78,34230700
2025-01-22,32.43,34.95,32.03,34.17,23525000
2025-01-21,27.62,31.48,26.9,31.25,22472400
2025-01-17,24.99,26.8,24.23,26.05,12852900
2025-01-16,24.73,25.2,23.09,24.23,9635800
2025-01-15,24.1,26.49,23.81,24.17,13590600
2025-01-14,24.06,24.3,22.35,22.81,9930800
2025-01-13,23.66,23.81,21.5,22.88,10626200
2025-01-10,26.15,27.0,24.4,25.24,8870800
2025-01-08,27.74,29.19,24.77,26.12,15796500
2025-01-07,30.0,31.91,28.28,29.5,15551400
2025-01-06,27.46,31.66,27.17,30.0,26852200
2025-01-03,21.96,27.44,21.61,27.25,23875600
2025-01-02,21.23,22.74,20.76,21.85,9357700
2024-12-31,23.7,23.85,20.3,21.23,15636300
2024-12-30,22.47,24.29,21.91,23.65,9861100
2024-12-27,23.9,24.53,21.68,22.78,10185700
2024-12-26,23.31,24.99,23.03,24.04,12389000
2024-12-24,21.95,24.0,21.42,23.61,11124300
2024-12-23,21.77,22.33,19.41,22.02,16889300
2024-12-20,20.1,22.67,19.65,21.52,19738200
2024-12-19,19.36,21.85,18.52,20.96,33848400
2024-12-18,21.41,22.94,18.03,18.38,50038700
2024-12-17,18.03,19.28,17.21,19.1,7785400
2024-12-16,17.85,18.73,17.14,18.48,7936900
2024-12-13,18.4,18.73,17.91,18.53,5308300
2024-12-12,19.45,20.29,18.36,18.37,7009800
2024-12-11,19.35,19.59,17.9,19.27,8678800
2024-12-10,20.12,20.22,18.28,18.42,10791100
2024-12-09,22.26,22.65,20.07,20.09,8924700
2024-12-06,20.24,21.96,19.75,21.91,11000900
2024-12-05,20.4,20.58,19.58,20.08,7355400
2024-12-04,21.06,21.2,20.05,20.34,8652000
2024-12-03,22.05,22.06,20.0,20.13,13083700
2024-12-02,23.99,24.2,22.16,22.23,8530300
2024-11-29,22.26,24.4,22.02,23.54,8951100
2024-11-27,22.4,23.0,21.01,21.95,7799500
2024-11-26,22.6,24.09,21.95,22.04,9133400
2024-11-25,25.75,26.05,21.9,22.91,18595600
2024-11-22,25.15,26.45,24.29,25.2,15343200
2024-11-21,21.01,25.33,20.05,25.23,24754700
2024-11-20,20.75,21.43,19.53,20.95,17352100
2024-11-19,20.0,22.54,19.83,21.8,17211700
2024-11-18,19.5,22.15,17.89,20.67,34042300
2024-11-15,21.0,21.05,17.32,18.0,36342800
2024-11-14,23.5,24.6,22.82,23.88,16928100
2024-11-13,25.48,25.65,22.44,23.08,22046300
2024-11-12,23.26,25.09,21.79,22.59,14811300
2024-11-11,25.0,25.78,22.65,24.06,12427800
2024-11-08,26.0,27.75,24.28,24.47,20247700
2024-11-07,21.81,27.1,21.59,26.56,26205100
2024-11-06,20.86,22.69,20.0,21.72,14887200
2024-11-05,21.74,21.8,19.95,20.58,10479000
2024-11-04,19.95,21.21,18.56,21.05,15049400
2024-11-01,23.65,24.8,21.31,21.67,20004100
2024-10-31,23.06,23.59,21.53,22.46,14574000
2024-10-30,26.4,28.12,22.64,22.89,30078100
2024-10-29,23.7,25.13,21.68,24.84,26677700
2024-10-28,19.98,25.38,19.82,24.5,45075600
2024-10-25,18.36,20.15,18.11,19.11,22632100
2024-10-24,18.99,19.44,17.6,18.06,21673500
2024-10-23,19.97,22.4,17.61,18.3,35377100
2024-10-22,22.47,22.5,18.4,20.83,48975200
2024-10-21,19.37,22.93,18.55,22.31,55878500
2024-10-18,15.5,20.64,15.48,18.23,49587700
2024-10-17,16.36,16.65,14.11,15.73,28610800
2024-10-16,12.82,16.77,12.3,16.54,54401100
2024-10-15,10.58,12.63,9.54,11.65,37138700
2024-10-14,9.15,10.19,9.01,10.04,10855200
2024-10-11,9.61,9.69,9.08,9.15,3704400
2024-10-10,9.5,9.85,9.26,9.81,2606500
2024-10-09,9.87,10.3,9.5,9.6,2838500
2024-10-08,10.53,10.6,9.38,10.0,4362400
2024-10-07,11.07,11.15,10.25,10.54,4965900
2024-10-04,9.56,11.29,9.23,11.19,7224200
2024-10-03,10.22,10.22,9.22,9.41,5425600
2024-10-02,8.44,9.95,8.36,9.5,7684100
2024-10-01,8.14,8.71,7.9,8.6,2623000
2024-09-30,8.8,8.8,7.95,8.09,2895500
2024-09-27,8.85,8.86,8.35,8.84,2514000
2024-09-26,8.52,8.76,8.08,8.58,4110000
2024-09-25,8.57,8.69,8.0,8.23,4065400
2024-09-24,8.34,9.23,8.22,8.31,7171400
2024-09-23,8.46,8.65,7.95,8.31,5365300
2024-09-20,7.16,8.44,7.0,8.41,15079200
2024-09-19,6.57,6.81,6.42,6.61,2286200
2024-09-18,6.29,6.54,6.09,6.22,1476300
2024-09-17,6.34,6.49,6.23,6.3,1171900
2024-09-16,6.35,6.47,6.16,6.21,1035300
2024-09-13,6.44,6.48,6.12,6.31,1616300
2024-09-12,6.11,6.34,5.93,6.23,1498700
2024-09-11,6.03,6.2,5.81,6.1,1811200
2024-09-10,5.64,6.2,5.57,6.09,2856200
2024-09-09,5.64,5.69,5.35,5.65,1849500
2024-09-06,5.62,6.0,5.49,5.59,1614100
2024-09-05,5.81,5.91,5.71,5.82,967300
2024-09-04,5.57,6.03,5.45,5.82,1505100
2024-09-03,5.83,5.96,5.49,5.59,2123400
2024-08-30,6.47,6.48,5.9,5.97,3126400
2024-08-29,6.5,6.53,6.4,6.44,784300
2024-08-28,6.87,6.93,6.18,6.39,2742000
2024-08-27,6.85,6.92,6.71,6.91,989600
2024-08-26,7.05,7.1,6.82,6.95,1425700
2024-08-23,6.95,7.22,6.84,7.05,1607100
2024-08-22,7.09,7.13,6.76,6.77,1762700
2024-08-21,6.97,7.26,6.89,7.09,1677000
2024-08-20,7.25,7.29,6.75,6.92,3366300
2024-08-19,7.63,7.63,7.18,7.27,2418900
2024-08-16,7.41,7.56,7.18,7.51,1561900
2024-08-15,7.74,7.89,7.39,7.47,2182600
2024-08-14,7.35,8.05,7.27,7.61,3209300
2024-08-13,7.21,7.53,7.11,7.42,2568500
2024-08-12,7.49,7.5,6.84,7.05,2873800
2024-08-09,7.31,7.55,7.16,7.49,1581000
2024-08-08,7.55,7.58,7.16,7.28,2321200
2024-08-07,7.95,7.99,7.43,7.46,1896300
2024-08-06,7.79,8.07,7.63,7.88,1831100
2024-08-05,7.11,7.85,7.0,7.64,3359000
2024-08-02,8.12,8.26,7.9,8.19,3071000
2024-08-01,9.12,9.15,8.12,8.38,3837200
2024-07-31,9.03,9.52,8.84,9.1,9140100
2024-07-30,8.73,9.03,8.6,8.86,2569400
2024-07-29,9.43,9.43,8.73,8.79,2423400
2024-07-26,8.79,9.3,8.79,9.2,4390500
