Date,Open,High,Low,Close,Volume
2025-03-19,107.94,111.71,103.01,107.94,3502925
2025-03-18,102.7,103.04,99.02,99.06,1610700
2025-03-17,101.92,103.68,100.12,103.32,1484800
2025-03-14,101.92,102.7,99.3,102.49,810900
2025-03-13,102.44,102.57,99.86,101.24,1010800
2025-03-12,102.34,103.0,99.28,102.35,1217700
2025-03-11,98.33,101.68,97.04,101.08,1249700
2025-03-10,102.41,102.87,98.51,98.77,1255900
2025-03-07,104.11,104.66,97.4,103.03,1464200
2025-03-06,103.94,107.51,103.94,105.25,1086700
2025-03-05,103.47,105.5,101.84,105.38,808600
2025-03-04,102.1,105.36,100.71,103.39,1216000
2025-03-03,104.98,106.36,102.9,103.63,1582700
2025-02-28,99.66,104.47,99.66,103.51,1268300
2025-02-27,100.98,101.63,97.97,99.14,828300
2025-02-26,99.79,102.7,99.42,100.89,1260700
2025-02-25,96.93,99.18,96.2,99.0,1085300
2025-02-24,96.48,97.34,94.88,96.27,976900
2025-02-21,102.97,102.97,95.01,96.78,1354600
2025-02-20,105.72,106.24,102.08,102.51,668900
2025-02-19,108.56,108.82,105.57,106.38,620600
2025-02-18,108.51,109.62,106.89,109.28,842200
2025-02-14,107.09,109.04,106.03,108.35,1014800
2025-02-13,102.55,106.83,102.43,106.71,713900
2025-02-12,102.22,104.09,102.05,102.47,693600
2025-02-11,103.11,105.25,102.58,103.41,747700
2025-02-10,104.98,105.0,101.6,103.25,1004200
2025-02-07,107.17,107.17,101.95,104.71,869300
2025-02-06,107.57,108.43,105.76,107.9,473400
2025-02-05,105.94,107.45,105.48,107.18,590900
2025-02-04,105.7,108.06,105.07,105.47,932400
2025-02-03,107.73,110.48,107.22,107.63,961700
2025-01-31,113.0,114.44,110.73,111.51,531600
2025-01-30,113.27,115.33,112.86,112.89,672100
2025-01-29,114.18,114.64,111.89,112.59,435900
2025-01-28,112.57,115.42,112.03,113.85,547800
2025-01-27,112.62,113.14,110.25,113.05,655300
2025-01-24,112.07,114.1,112.07,112.91,528700
2025-01-23,110.64,112.0,109.81,111.96,881800
2025-01-22,112.57,113.69,110.4,111.27,1047900
2025-01-21,108.13,113.76,108.08,113.66,1546500
2025-01-17,104.85,107.16,104.29,106.86,1397500
2025-01-16,100.96,105.35,100.9,104.48,1781200
2025-01-15,100.94,101.79,96.52,97.0,1470700
2025-01-14,101.44,101.6,98.36,99.63,965300
2025-01-13,105.5,106.2,100.93,101.25,1666900
2025-01-10,102.62,107.53,102.62,106.36,1142000
2025-01-08,103.3,104.85,102.38,104.45,739900
