Date,Open,High,Low,Close,Volume
2025-03-14,147.13,149.16,147.08,148.59,5271900
2025-03-13,148.37,150.48,148.06,148.34,5351100
2025-03-12,147.54,149.53,146.51,148.17,8330200
2025-03-11,155.79,156.05,151.81,152.33,7981600
2025-03-10,155.88,160.08,155.37,156.25,11156900
2025-03-07,153.25,157.59,152.77,154.44,8997700
2025-03-06,154.17,154.97,152.53,154.61,8421000
2025-03-05,152.93,155.34,152.73,153.88,5578700
2025-03-04,157.34,160.15,153.96,154.19,10274200
2025-03-03,151.35,156.15,150.5,155.99,8321700
2025-02-28,153.7,155.1,152.35,153.47,8455500
2025-02-27,150.9,152.69,149.93,152.02,6731000
2025-02-26,155.57,155.61,151.14,151.51,9076500
2025-02-25,154.79,158.46,154.0,156.42,9474600
2025-02-24,152.34,156.32,152.12,153.85,7187000
2025-02-21,149.99,154.55,148.9,153.5,10604400
2025-02-20,145.11,149.19,145.0,149.1,6789800
2025-02-19,144.23,145.93,144.15,145.81,5777300
2025-02-18,142.9,144.15,141.6,144.1,8738700
2025-02-14,144.67,146.17,143.33,143.39,5001800
2025-02-13,144.23,144.94,143.6,144.58,7175300
2025-02-12,144.04,144.78,143.03,143.99,6658200
2025-02-11,144.37,145.72,143.4,145.64,6354000
2025-02-10,144.35,144.52,143.01,144.35,8715400
2025-02-07,145.01,145.15,143.9,144.58,5872300
2025-02-06,146.26,146.9,143.96,145.35,5604900
2025-02-05,143.39,145.79,142.7,145.66,9248100
2025-02-04,146.1,147.75,143.0,143.49,12804900
2025-02-03,149.76,151.13,148.83,150.27,7196200
2025-01-31,150.76,151.69,150.27,150.69,4906700
2025-01-30,151.28,153.08,150.63,151.9,4671300
2025-01-29,151.13,152.0,150.23,150.37,4874100
2025-01-28,154.15,154.61,150.12,150.25,6349700
2025-01-27,150.92,155.47,150.9,154.61,9820600
2025-01-24,148.82,149.31,148.13,149.12,4509600
2025-01-23,148.49,148.94,146.61,148.62,4759100
2025-01-22,148.23,149.45,147.79,148.09,5905100
2025-01-21,148.33,149.78,147.77,148.55,7456200
2025-01-17,147.72,148.62,147.17,148.25,7338900
2025-01-16,144.05,146.79,143.69,146.54,5068000
2025-01-15,145.49,146.2,144.17,144.78,7141600
2025-01-14,144.19,145.14,143.56,144.95,6996400
2025-01-13,142.79,145.14,142.14,144.5,8101400
2025-01-10,145.0,145.57,141.51,142.64,9632700
2025-01-08,145.4,146.67,144.56,146.54,6791800
2025-01-07,146.46,147.97,145.34,145.4,7473300
2025-01-06,149.6,149.95,146.1,146.27,9470600
2025-01-03,150.96,150.96,149.56,149.65,5218100
2025-01-02,152.88,153.66,149.89,150.21,4970200
