Date,Open,High,Low,Close,Volume
2025-03-19,4.06,4.11,4.0,4.08,116352
2025-03-18,3.95,4.17,3.92,4.04,296200
2025-03-17,3.99,4.08,3.97,4.0,134100
2025-03-14,4.07,4.08,3.98,4.02,133200
2025-03-13,4.1,4.12,3.95,4.02,141300
2025-03-12,4.09,4.22,4.02,4.11,239100
2025-03-11,4.1,4.1,3.93,3.99,107300
2025-03-10,4.13,4.2,3.95,4.08,293700
2025-03-07,4.15,4.25,4.04,4.19,206400
2025-03-06,3.94,4.29,3.94,4.17,250700
2025-03-05,4.07,4.1,3.9,4.0,172800
2025-03-04,4.15,4.2,3.94,3.95,209300
2025-03-03,4.46,4.46,4.17,4.22,231800
2025-02-28,4.26,4.44,4.23,4.42,270000
2025-02-27,4.48,4.51,4.3,4.3,261200
2025-02-26,4.47,4.53,4.4,4.49,204600
2025-02-25,4.39,4.48,4.33,4.47,337400
2025-02-24,4.37,4.42,4.25,4.4,264400
2025-02-21,4.43,4.45,4.33,4.37,262300
2025-02-20,4.5,4.52,4.38,4.41,239700
2025-02-19,4.48,4.52,4.38,4.51,211600
2025-02-18,4.24,4.5,4.23,4.48,327200
2025-02-14,4.51,4.51,4.24,4.25,373900
2025-02-13,4.2,4.48,4.17,4.47,395700
2025-02-12,4.55,4.59,4.07,4.13,680200
2025-02-11,4.57,4.59,4.05,4.53,1240100
2025-02-10,5.34,5.43,5.14,5.27,477800
2025-02-07,5.51,5.54,5.18,5.32,217100
2025-02-06,5.37,5.57,5.3,5.5,220900
2025-02-05,4.96,5.58,4.9,5.37,389100
2025-02-04,4.77,4.94,4.74,4.91,196800
2025-02-03,4.72,4.86,4.63,4.81,138300
2025-01-31,5.02,5.03,4.72,4.76,128400
2025-01-30,5.0,5.12,4.92,5.02,181600
2025-01-29,4.82,5.0,4.8,4.99,213600
2025-01-28,4.69,4.76,4.41,4.72,347600
2025-01-27,4.85,4.92,4.55,4.67,432900
2025-01-24,4.96,5.02,4.9,4.94,129300
2025-01-23,5.02,5.02,4.86,4.97,170800
2025-01-22,5.17,5.26,4.95,5.0,224500
2025-01-21,5.17,5.29,5.06,5.17,190900
2025-01-17,5.16,5.2,5.05,5.11,124400
2025-01-16,5.11,5.14,5.01,5.1,162100
2025-01-15,4.91,5.3,4.9,5.11,339400
2025-01-14,4.89,4.9,4.74,4.88,201000
2025-01-13,4.86,4.94,4.78,4.85,191100
2025-01-10,4.69,4.82,4.68,4.77,131500
2025-01-08,4.92,4.96,4.71,4.78,233100
2025-01-07,4.73,5.03,4.73,5.0,219200
2025-01-06,4.78,4.89,4.72,4.72,218300
2025-01-03,4.69,4.86,4.6,4.77,269300
2025-01-02,4.82,4.93,4.57,4.64,345600
2024-12-31,4.97,5.1,4.81,4.82,261200
2024-12-30,5.09,5.09,4.85,5.0,221400
2024-12-27,5.24,5.4,5.1,5.16,266100
