Date,Open,High,Low,Close,Volume
2025-03-13,1.36,1.44,1.32,1.33,194564
2025-03-12,1.31,1.37,1.24,1.35,131100
2025-03-11,1.29,1.33,1.26,1.3,73900
2025-03-10,1.29,1.33,1.27,1.29,57000
2025-03-07,1.36,1.37,1.26,1.3,95200
2025-03-06,1.32,1.4,1.3,1.34,146800
2025-03-05,1.36,1.44,1.3,1.39,264400
2025-03-04,1.33,1.35,1.22,1.32,193300
2025-03-03,1.4,1.43,1.31,1.32,141000
2025-02-28,1.45,1.45,1.36,1.42,95900
2025-02-27,1.5,1.52,1.43,1.43,100500
2025-02-26,1.42,1.52,1.42,1.49,110700
2025-02-25,1.56,1.61,1.43,1.47,293500
2025-02-24,1.66,1.69,1.56,1.57,167400
2025-02-21,1.73,1.74,1.65,1.67,82900
2025-02-20,1.73,1.75,1.69,1.72,104900
2025-02-19,1.65,1.78,1.64,1.74,202000
2025-02-18,1.77,1.84,1.67,1.7,305800
2025-02-14,1.83,1.88,1.79,1.81,257800
2025-02-13,1.8,1.86,1.76,1.79,170300
2025-02-12,1.91,1.91,1.76,1.83,172500
2025-02-11,1.78,1.84,1.75,1.78,219600
2025-02-10,1.92,1.92,1.78,1.78,420300
2025-02-07,2.06,2.06,1.88,1.89,456700
2025-02-06,2.05,2.07,1.99,2.03,197700
2025-02-05,2.01,2.05,1.93,1.99,438900
2025-02-04,2.11,2.17,2.02,2.04,484500
2025-02-03,2.0,2.11,1.92,2.04,518100
2025-01-31,2.26,2.27,2.05,2.06,834800
2025-01-30,2.14,2.35,2.09,2.22,804500
2025-01-29,2.55,2.63,2.22,2.28,2270300
2025-01-28,2.24,2.86,2.0,2.55,10419500
2025-01-27,2.06,2.23,1.93,2.02,718900
2025-01-24,2.27,2.39,2.2,2.21,539500
2025-01-23,2.23,2.37,2.15,2.34,670300
2025-01-22,2.35,2.49,2.2,2.29,1017200
2025-01-21,2.77,2.8,2.45,2.48,1428800
2025-01-17,2.76,2.89,2.61,2.77,2110200
2025-01-16,2.74,4.53,2.41,2.91,51408800
2025-01-15,3.0,3.0,2.52,2.66,4252300
2025-01-14,3.84,4.77,3.14,3.58,11228200
2025-01-13,4.16,9.79,4.11,6.6,281979200
2025-01-10,1.69,1.7,1.61,1.69,51500
2025-01-08,1.8,1.8,1.65,1.69,97100
2025-01-07,1.88,1.88,1.73,1.81,79500
2025-01-06,1.97,2.04,1.84,1.84,182000
2025-01-03,1.92,2.02,1.91,1.97,159400
2025-01-02,1.81,1.99,1.81,1.9,274600
2024-12-31,1.93,1.93,1.76,1.8,75200
2024-12-30,1.85,1.91,1.81,1.9,110100
2024-12-27,1.99,2.01,1.75,1.93,255800
2024-12-26,2.0,2.17,1.89,2.09,370000
2024-12-24,2.14,2.43,2.05,2.2,523800
2024-12-23,2.68,2.97,1.91,2.23,11139400
2024-12-20,1.65,1.81,1.57,1.76,348400
2024-12-19,2.82,3.0,1.53,1.74,6017600
2024-12-18,2.72,2.82,2.5,2.51,21700
2024-12-17,2.89,2.89,2.58,2.7,14000
2024-12-16,2.82,2.91,2.71,2.84,34600
2024-12-13,2.82,2.91,2.75,2.81,37000
2024-12-12,2.79,3.11,2.74,2.87,83000
2024-12-11,2.85,2.87,2.64,2.7,26900
2024-12-10,2.74,2.81,2.68,2.81,31100
2024-12-09,2.84,2.88,2.71,2.73,16900
2024-12-06,2.86,2.86,2.61,2.84,33600
2024-12-05,2.99,2.99,2.66,2.71,16800
2024-12-04,2.85,2.97,2.75,2.97,25800
2024-12-03,2.93,2.93,2.73,2.86,24900
2024-12-02,2.9,2.94,2.72,2.92,41900
2024-11-29,2.64,2.8,2.64,2.72,40100
2024-11-27,2.55,2.67,2.45,2.63,42500
2024-11-26,2.54,2.54,2.47,2.51,8400
2024-11-25,2.57,2.57,2.42,2.45,34500
2024-11-22,2.58,2.58,2.4,2.47,15000
2024-11-21,2.38,2.55,2.36,2.53,32800
2024-11-20,2.55,2.55,2.27,2.38,40900
2024-11-19,2.23,2.66,2.23,2.55,273000
2024-11-18,2.22,2.3,2.18,2.27,15000
2024-11-15,2.45,2.45,2.17,2.21,51000
2024-11-14,2.44,2.47,2.21,2.23,31200
2024-11-13,2.6,2.64,2.34,2.35,24800
2024-11-12,2.61,2.7,2.55,2.56,18900
2024-11-11,2.96,3.0,2.49,2.61,127700
2024-11-08,3.35,3.36,2.93,2.95,44800
2024-11-07,3.3,3.7,3.07,3.25,111600
2024-11-06,3.26,3.26,3.11,3.26,26000
2024-11-05,3.2,3.33,3.05,3.26,24600
2024-11-04,3.18,3.21,3.07,3.21,5300
2024-11-01,2.98,3.2,2.95,3.12,19500
2024-10-31,3.11,3.22,2.91,2.98,34100
2024-10-30,3.35,3.35,3.06,3.15,72800
2024-10-29,3.07,3.3,2.91,3.29,76400
2024-10-28,2.89,3.09,2.89,3.01,10400
2024-10-25,3.0,3.04,2.71,2.91,25800
2024-10-24,2.97,3.17,2.95,2.96,28200
2024-10-23,3.04,3.05,2.92,2.93,25900
2024-10-22,3.16,3.29,3.04,3.13,25600
2024-10-21,3.01,3.25,2.98,3.18,42600
2024-10-18,2.79,3.0,2.7,2.91,78000
2024-10-17,3.21,3.33,2.65,2.65,97000
2024-10-16,3.01,3.88,2.86,3.25,1083300
2024-10-15,2.73,2.86,2.6,2.76,26800
2024-10-14,2.6,2.7,2.56,2.69,11100
2024-10-11,2.58,2.7,2.42,2.68,19600
2024-10-10,2.89,2.92,2.53,2.55,95000
2024-10-09,2.9,2.99,2.8,2.89,14200
2024-10-08,3.0,3.04,2.72,2.81,31200
2024-10-07,3.08,3.17,2.65,2.89,533200
2024-10-04,3.17,3.26,3.08,3.08,36600
2024-10-03,3.18,3.28,3.16,3.16,14900
2024-10-02,3.41,3.47,3.15,3.18,23900
2024-10-01,3.41,3.61,3.38,3.4,15700
2024-09-30,3.61,3.74,3.45,3.45,31800
2024-09-27,3.57,3.61,3.46,3.5,20300
2024-09-26,3.39,3.57,3.35,3.57,44500
2024-09-25,3.42,3.61,3.32,3.35,44500
2024-09-24,3.55,3.55,3.33,3.42,18100
