Date,Open,High,Low,Close,Volume
2025-03-12,0.01,0.01,0.01,0.01,30000
2025-03-11,0.01,0.01,0.01,0.01,56312
2025-03-10,0.01,0.01,0.01,0.01,218067
2025-03-07,0.01,0.01,0.01,0.01,0
2025-03-06,0.01,0.01,0.01,0.01,1550
2025-03-05,0.01,0.01,0.01,0.01,102980
2025-03-04,0.01,0.01,0.01,0.01,23000
2025-03-03,0.01,0.01,0.01,0.01,255605
2025-02-28,0.01,0.01,0.01,0.01,175629
2025-02-27,0.01,0.01,0.01,0.01,241181
2025-02-26,0.01,0.01,0.01,0.01,10000
2025-02-25,0.01,0.01,0.01,0.01,330000
2025-02-24,0.01,0.01,0.01,0.01,300000
2025-02-21,0.01,0.01,0.01,0.01,121800
2025-02-20,0.01,0.01,0.01,0.01,50000
2025-02-19,0.01,0.01,0.01,0.01,95000
2025-02-18,0.01,0.01,0.01,0.01,542500
2025-02-14,0.01,0.01,0.01,0.01,949666
2025-02-13,0.01,0.01,0.01,0.01,160350
2025-02-12,0.01,0.01,0.01,0.01,331409
2025-02-11,0.01,0.01,0.01,0.01,10000
2025-02-10,0.01,0.01,0.01,0.01,100000
2025-02-07,0.01,0.01,0.01,0.01,40150
2025-02-06,0.01,0.01,0.01,0.01,16000
2025-02-05,0.01,0.01,0.01,0.01,362000
2025-02-04,0.01,0.01,0.01,0.01,3200
2025-02-03,0.01,0.01,0.01,0.01,69941
2025-01-31,0.01,0.01,0.01,0.01,2000
2025-01-30,0.01,0.01,0.01,0.01,69243
2025-01-29,0.01,0.01,0.01,0.01,423246
2025-01-28,0.01,0.01,0.01,0.01,416000
2025-01-27,0.01,0.01,0.01,0.01,76904
2025-01-24,0.01,0.01,0.01,0.01,243007
2025-01-23,0.01,0.01,0.01,0.01,151052
2025-01-22,0.01,0.01,0.01,0.01,55700
2025-01-21,0.01,0.01,0.01,0.01,0
2025-01-17,0.01,0.01,0.01,0.01,360000
2025-01-16,0.01,0.01,0.01,0.01,117751
2025-01-15,0.01,0.01,0.01,0.01,50500
2025-01-14,0.01,0.01,0.01,0.01,10000
2025-01-13,0.01,0.01,0.01,0.01,165000
2025-01-10,0.01,0.01,0.01,0.01,25014
2025-01-08,0.01,0.01,0.01,0.01,112784
2025-01-07,0.01,0.01,0.01,0.01,299989
2025-01-06,0.01,0.01,0.01,0.01,207090
2025-01-03,0.01,0.01,0.01,0.01,2500
2025-01-02,0.01,0.01,0.01,0.01,57500
2024-12-31,0.01,0.01,0.01,0.01,2521
2024-12-30,0.01,0.01,0.01,0.01,16020
2024-12-27,0.01,0.01,0.01,0.01,21272
2024-12-26,0.01,0.01,0.01,0.01,1289
2024-12-24,0.01,0.01,0.01,0.01,0
2024-12-23,0.01,0.01,0.01,0.01,1574
2024-12-20,0.01,0.01,0.01,0.01,2500
2024-12-19,0.01,0.01,0.01,0.01,39000
2024-12-18,0.01,0.01,0.01,0.01,241440
2024-12-17,0.01,0.01,0.01,0.01,242570
2024-12-16,0.01,0.01,0.01,0.01,0
2024-12-13,0.01,0.01,0.01,0.01,50000
2024-12-12,0.01,0.01,0.01,0.01,86819
2024-12-11,0.01,0.01,0.01,0.01,66125
2024-12-10,0.01,0.01,0.01,0.01,171803
2024-12-09,0.01,0.01,0.01,0.01,3454
2024-12-06,0.01,0.01,0.01,0.01,205665
2024-12-05,0.01,0.01,0.01,0.01,17643
2024-12-04,0.01,0.01,0.01,0.01,479227
2024-12-03,0.01,0.01,0.01,0.01,239034
2024-12-02,0.01,0.01,0.01,0.01,78021
2024-11-29,0.01,0.01,0.01,0.01,97711
2024-11-27,0.01,0.01,0.01,0.01,167304
2024-11-26,0.01,0.01,0.01,0.01,10010
2024-11-25,0.01,0.01,0.01,0.01,2606
2024-11-22,0.01,0.01,0.01,0.01,0
2024-11-21,0.01,0.01,0.01,0.01,0
2024-11-20,0.01,0.01,0.01,0.01,0
2024-11-19,0.01,0.01,0.01,0.01,0
2024-11-18,0.01,0.01,0.01,0.01,22000
2024-11-15,0.01,0.01,0.01,0.01,8000
