Date,Open,High,Low,Close,Volume
2025-03-12,0.05,0.05,0.05,0.05,12900
2025-03-11,0.05,0.05,0.05,0.05,0
2025-03-10,0.05,0.05,0.05,0.05,3511
2025-03-07,0.05,0.05,0.05,0.05,0
2025-03-06,0.05,0.05,0.05,0.05,0
2025-03-05,0.05,0.05,0.05,0.05,0
2025-03-04,0.05,0.05,0.05,0.05,0
2025-03-03,0.05,0.05,0.05,0.05,0
2025-02-28,0.05,0.05,0.05,0.05,831
2025-02-27,0.05,0.05,0.05,0.05,0
2025-02-26,0.05,0.05,0.05,0.05,13358
2025-02-25,0.05,0.05,0.05,0.05,0
2025-02-24,0.05,0.05,0.05,0.05,0
2025-02-21,0.05,0.05,0.05,0.05,0
2025-02-20,0.05,0.05,0.05,0.05,0
2025-02-19,0.05,0.05,0.05,0.05,0
2025-02-18,0.05,0.05,0.05,0.05,0
2025-02-14,0.05,0.05,0.05,0.05,0
2025-02-13,0.05,0.05,0.05,0.05,15358
2025-02-12,0.05,0.05,0.05,0.05,653
2025-02-11,0.05,0.05,0.05,0.05,23759
2025-02-10,0.05,0.05,0.05,0.05,0
2025-02-07,0.05,0.05,0.05,0.05,100
2025-02-06,0.05,0.05,0.05,0.05,631
2025-02-05,0.05,0.05,0.05,0.05,0
2025-02-04,0.05,0.05,0.05,0.05,0
2025-02-03,0.05,0.05,0.05,0.05,0
2025-01-31,0.05,0.05,0.05,0.05,0
2025-01-30,0.05,0.05,0.05,0.05,1000
2025-01-29,0.05,0.05,0.05,0.05,0
2025-01-28,0.05,0.05,0.05,0.05,100
2025-01-27,0.05,0.05,0.05,0.05,1000
2025-01-24,0.05,0.05,0.05,0.05,25000
2025-01-23,0.05,0.05,0.05,0.05,0
2025-01-22,0.05,0.05,0.05,0.05,23601
2025-01-21,0.05,0.05,0.05,0.05,2040
2025-01-17,0.03,0.03,0.03,0.03,0
2025-01-16,0.03,0.03,0.03,0.03,0
2025-01-15,0.03,0.03,0.03,0.03,0
2025-01-14,0.03,0.03,0.03,0.03,0
2025-01-13,0.03,0.03,0.03,0.03,447
2025-01-10,0.06,0.06,0.06,0.06,0
2025-01-08,0.06,0.06,0.06,0.06,0
2025-01-07,0.06,0.06,0.06,0.06,0
2025-01-06,0.06,0.06,0.06,0.06,0
2025-01-03,0.05,0.06,0.05,0.06,1000
2025-01-02,0.03,0.03,0.03,0.03,0
2024-12-31,0.04,0.04,0.03,0.03,38100
2024-12-30,0.06,0.07,0.03,0.03,123000
2024-12-27,0.06,0.06,0.06,0.06,0
2024-12-26,0.06,0.06,0.06,0.06,0
2024-12-24,0.06,0.06,0.06,0.06,0
2024-12-23,0.06,0.06,0.06,0.06,0
2024-12-20,0.06,0.06,0.06,0.06,0
2024-12-19,0.06,0.06,0.06,0.06,0
2024-12-18,0.06,0.06,0.06,0.06,4465
2024-12-17,0.09,0.09,0.06,0.06,13579
2024-12-16,0.09,0.09,0.06,0.09,28539
2024-12-13,0.07,0.07,0.07,0.07,3000
2024-12-12,0.08,0.08,0.08,0.08,1200
2024-12-11,0.06,0.06,0.06,0.06,0
2024-12-10,0.06,0.06,0.06,0.06,0
2024-12-09,0.06,0.06,0.06,0.06,893
2024-12-06,0.06,0.06,0.06,0.06,0
2024-12-05,0.06,0.06,0.06,0.06,0
2024-12-04,0.06,0.07,0.06,0.06,3787
2024-12-03,0.07,0.07,0.07,0.07,9001
2024-12-02,0.07,0.07,0.07,0.07,1054
2024-11-29,0.1,0.1,0.06,0.06,716
2024-11-27,0.1,0.1,0.1,0.1,0
2024-11-26,0.1,0.1,0.1,0.1,0
2024-11-25,0.1,0.1,0.1,0.1,0
2024-11-22,0.1,0.1,0.1,0.1,0
2024-11-21,0.1,0.1,0.1,0.1,0
2024-11-20,0.1,0.1,0.1,0.1,420
2024-11-19,0.1,0.1,0.1,0.1,0
2024-11-18,0.1,0.1,0.08,0.1,3000
2024-11-15,0.06,0.06,0.06,0.06,108
2024-11-14,0.06,0.07,0.06,0.07,943
2024-11-13,0.1,0.1,0.1,0.1,0
2024-11-12,0.1,0.1,0.1,0.1,0
2024-11-11,0.1,0.1,0.1,0.1,0
2024-11-08,0.1,0.1,0.1,0.1,700
2024-11-07,0.08,0.09,0.08,0.09,775
2024-11-06,0.09,0.1,0.06,0.1,7600
2024-11-05,0.1,0.1,0.1,0.1,0
2024-11-04,0.1,0.1,0.09,0.1,5150
2024-11-01,0.09,0.09,0.09,0.09,0
2024-10-31,0.09,0.09,0.09,0.09,0
2024-10-30,0.09,0.09,0.09,0.09,0
2024-10-29,0.09,0.09,0.09,0.09,0
2024-10-28,0.09,0.09,0.09,0.09,0
2024-10-25,0.06,0.09,0.06,0.09,3008
2024-10-24,0.09,0.09,0.09,0.09,0
2024-10-23,0.09,0.09,0.09,0.09,0
2024-10-22,0.09,0.09,0.09,0.09,100
2024-10-21,0.08,0.08,0.08,0.08,0
2024-10-18,0.08,0.08,0.08,0.08,0
2024-10-17,0.08,0.08,0.08,0.08,0
2024-10-16,0.09,0.1,0.08,0.08,60000
2024-10-15,0.1,0.1,0.1,0.1,0
2024-10-14,0.1,0.1,0.1,0.1,0
2024-10-11,0.08,0.1,0.08,0.1,2142
2024-10-10,0.08,0.08,0.08,0.08,0
2024-10-09,0.08,0.08,0.08,0.08,0
2024-10-08,0.08,0.08,0.08,0.08,0
2024-10-07,0.08,0.08,0.08,0.08,0
2024-10-04,0.08,0.08,0.08,0.08,0
2024-10-03,0.08,0.08,0.08,0.08,1034
2024-10-02,0.07,0.07,0.07,0.07,0
2024-10-01,0.07,0.07,0.07,0.07,358
2024-09-30,0.13,0.13,0.13,0.13,0
2024-09-27,0.13,0.13,0.13,0.13,0
2024-09-26,0.13,0.13,0.13,0.13,0
2024-09-25,0.13,0.13,0.13,0.13,0
2024-09-24,0.13,0.13,0.13,0.13,0
2024-09-23,0.13,0.13,0.13,0.13,0
2024-09-20,0.13,0.13,0.13,0.13,0
2024-09-19,0.13,0.13,0.13,0.13,0
2024-09-18,0.13,0.13,0.13,0.13,0
2024-09-17,0.13,0.13,0.13,0.13,275
2024-09-16,0.13,0.13,0.13,0.13,0
2024-09-13,0.13,0.13,0.13,0.13,0
2024-09-12,0.13,0.13,0.13,0.13,0
2024-09-11,0.06,0.13,0.06,0.13,19096
2024-09-10,0.06,0.06,0.06,0.06,0
2024-09-09,0.06,0.06,0.06,0.06,188
2024-09-06,0.08,0.08,0.08,0.08,179
2024-09-05,0.12,0.12,0.12,0.12,0
2024-09-04,0.12,0.12,0.12,0.12,0
2024-09-03,0.11,0.12,0.11,0.12,200
2024-08-30,0.06,0.06,0.06,0.06,0
2024-08-29,0.06,0.06,0.06,0.06,0
2024-08-28,0.06,0.06,0.06,0.06,258
2024-08-27,0.09,0.09,0.09,0.09,0
2024-08-26,0.09,0.09,0.09,0.09,0
2024-08-23,0.06,0.09,0.06,0.09,466
2024-08-22,0.05,0.05,0.05,0.05,0
2024-08-21,0.05,0.05,0.05,0.05,0
2024-08-20,0.05,0.05,0.05,0.05,0
2024-08-19,0.05,0.05,0.05,0.05,0
2024-08-16,0.05,0.05,0.05,0.05,0
2024-08-15,0.05,0.05,0.05,0.05,0
2024-08-14,0.05,0.05,0.05,0.05,0
2024-08-13,0.05,0.05,0.05,0.05,136
2024-08-12,0.13,0.13,0.13,0.13,0
2024-08-09,0.13,0.13,0.13,0.13,0
2024-08-08,0.13,0.13,0.13,0.13,200
2024-08-07,0.05,0.05,0.05,0.05,0
2024-08-06,0.05,0.05,0.05,0.05,0
2024-08-05,0.05,0.06,0.05,0.05,1214
2024-08-02,0.1,0.14,0.1,0.14,1595
2024-08-01,0.14,0.14,0.14,0.14,0
2024-07-31,0.14,0.14,0.14,0.14,0
2024-07-30,0.09,0.14,0.04,0.14,7393
2024-07-29,0.09,0.09,0.09,0.09,0
2024-07-26,0.09,0.09,0.09,0.09,100
2024-07-25,0.1,0.1,0.1,0.1,0
2024-07-24,0.1,0.1,0.1,0.1,0
2024-07-23,0.1,0.1,0.1,0.1,0
2024-07-22,0.1,0.1,0.1,0.1,0
2024-07-19,0.1,0.1,0.1,0.1,0
2024-07-18,0.1,0.1,0.1,0.1,0
2024-07-17,0.09,0.1,0.09,0.1,1358
2024-07-16,0.09,0.09,0.09,0.09,141
2024-07-15,0.09,0.09,0.08,0.08,9232
2024-07-12,0.09,0.09,0.09,0.09,0
2024-07-11,0.09,0.09,0.09,0.09,0
2024-07-10,0.09,0.09,0.09,0.09,0
2024-07-09,0.09,0.09,0.09,0.09,0
2024-07-08,0.09,0.09,0.09,0.09,0
2024-07-05,0.09,0.09,0.09,0.09,108
2024-07-03,0.09,0.09,0.09,0.09,0
2024-07-02,0.09,0.09,0.09,0.09,21754
2024-07-01,0.13,0.13,0.13,0.13,303
2024-06-28,0.17,0.17,0.17,0.17,0
2024-06-27,0.17,0.17,0.17,0.17,125
2024-06-26,0.16,0.16,0.16,0.16,0
2024-06-25,0.1,0.16,0.1,0.16,500
2024-06-24,0.17,0.17,0.17,0.17,0
2024-06-21,0.17,0.17,0.17,0.17,0
2024-06-20,0.17,0.17,0.17,0.17,250
2024-06-18,0.09,0.09,0.09,0.09,0
2024-06-17,0.09,0.09,0.09,0.09,0
2024-06-14,0.09,0.09,0.09,0.09,0
2024-06-13,0.09,0.09,0.09,0.09,0
2024-06-12,0.09,0.09,0.09,0.09,0
2024-06-11,0.09,0.09,0.09,0.09,0
2024-06-10,0.09,0.09,0.09,0.09,2233
2024-06-07,0.09,0.09,0.09,0.09,996
2024-06-06,0.13,0.13,0.13,0.13,361
2024-06-05,0.18,0.18,0.18,0.18,0
2024-06-04,0.18,0.18,0.18,0.18,0
2024-06-03,0.09,0.18,0.09,0.18,902
2024-05-31,0.15,0.15,0.15,0.15,0
2024-05-30,0.15,0.15,0.15,0.15,1000
2024-05-29,0.15,0.15,0.15,0.15,0
2024-05-28,0.15,0.15,0.15,0.15,0
2024-05-24,0.15,0.15,0.15,0.15,0
2024-05-23,0.15,0.15,0.15,0.15,1325
2024-05-22,0.15,0.15,0.15,0.15,220
2024-05-21,0.14,0.14,0.14,0.14,215
2024-05-20,0.18,0.18,0.14,0.14,993
2024-05-17,0.19,0.19,0.16,0.16,2900
2024-05-16,0.14,0.14,0.14,0.14,0
2024-05-15,0.14,0.14,0.14,0.14,0
2024-05-14,0.14,0.14,0.14,0.14,0
2024-05-13,0.14,0.14,0.14,0.14,0
2024-05-10,0.14,0.14,0.14,0.14,0
2024-05-09,0.14,0.14,0.14,0.14,0
2024-05-08,0.14,0.14,0.14,0.14,0
2024-05-07,0.14,0.14,0.14,0.14,0
2024-05-06,0.14,0.14,0.14,0.14,400
2024-05-03,0.15,0.17,0.14,0.16,33718
2024-05-02,0.19,0.19,0.19,0.19,0
2024-05-01,0.19,0.19,0.19,0.19,0
2024-04-30,0.19,0.19,0.19,0.19,0
2024-04-29,0.19,0.19,0.19,0.19,400
2024-04-26,0.15,0.19,0.15,0.19,858
2024-04-25,0.14,0.14,0.14,0.14,0
2024-04-24,0.14,0.14,0.14,0.14,0
2024-04-23,0.14,0.14,0.14,0.14,400
2024-04-22,0.17,0.17,0.17,0.17,100
2024-04-19,0.1,0.16,0.1,0.13,15665
2024-04-18,0.19,0.19,0.19,0.19,100
2024-04-17,0.18,0.18,0.18,0.18,100
2024-04-16,0.12,0.17,0.12,0.17,708
2024-04-15,0.18,0.18,0.18,0.18,0
2024-04-12,0.18,0.18,0.18,0.18,0
2024-04-11,0.18,0.18,0.18,0.18,0
2024-04-10,0.18,0.18,0.18,0.18,4528
2024-04-09,0.19,0.19,0.15,0.19,22073
2024-04-08,0.18,0.35,0.1,0.12,177532
2024-04-05,0.2,0.2,0.2,0.2,0
2024-04-04,0.2,0.2,0.18,0.2,6258
2024-04-03,0.15,0.2,0.15,0.2,1625
2024-04-02,0.2,0.2,0.15,0.2,51547
2024-04-01,0.19,0.2,0.16,0.16,9426
2024-03-28,0.2,0.2,0.2,0.2,0
2024-03-27,0.2,0.2,0.2,0.2,154
2024-03-26,0.19,0.19,0.19,0.19,100
2024-03-25,0.15,0.15,0.15,0.15,0
2024-03-22,0.15,0.15,0.15,0.15,101
2024-03-21,0.15,0.19,0.15,0.16,3721
2024-03-20,0.17,0.17,0.17,0.17,0
2024-03-19,0.17,0.17,0.17,0.17,0
2024-03-18,0.15,0.18,0.15,0.17,2258
2024-03-15,0.2,0.2,0.2,0.2,0
2024-03-14,0.2,0.2,0.2,0.2,120
2024-03-13,0.19,0.19,0.15,0.15,600
2024-03-12,0.19,0.19,0.19,0.19,125
2024-03-11,0.14,0.15,0.14,0.15,863
2024-03-08,0.17,0.17,0.17,0.17,100
2024-03-07,0.17,0.17,0.17,0.17,100
2024-03-06,0.12,0.17,0.12,0.17,451
2024-03-05,0.19,0.19,0.19,0.19,0
2024-03-04,0.19,0.19,0.19,0.19,0
2024-03-01,0.19,0.19,0.16,0.19,2100
2024-02-29,0.19,0.19,0.19,0.19,0
2024-02-28,0.19,0.19,0.19,0.19,0
2024-02-27,0.19,0.19,0.19,0.19,0
2024-02-26,0.19,0.19,0.19,0.19,0
2024-02-23,0.19,0.19,0.19,0.19,0
2024-02-22,0.19,0.19,0.19,0.19,0
2024-02-21,0.18,0.19,0.12,0.19,1975
2024-02-20,0.18,0.18,0.18,0.18,0
2024-02-16,0.12,0.18,0.12,0.18,450
2024-02-15,0.18,0.18,0.18,0.18,0
2024-02-14,0.19,0.19,0.17,0.18,863
2024-02-13,0.12,0.12,0.12,0.12,0
2024-02-12,0.12,0.12,0.12,0.12,2318
2024-02-09,0.17,0.19,0.17,0.19,204
2024-02-08,0.13,0.13,0.13,0.13,2000
2024-02-07,0.17,0.18,0.17,0.18,2200
2024-02-06,0.2,0.2,0.2,0.2,0
2024-02-05,0.2,0.2,0.2,0.2,0
2024-02-02,0.2,0.2,0.2,0.2,0
2024-02-01,0.2,0.2,0.2,0.2,0
2024-01-31,0.2,0.2,0.2,0.2,0
2024-01-30,0.2,0.2,0.2,0.2,0
2024-01-29,0.2,0.2,0.2,0.2,172
2024-01-26,0.12,0.12,0.12,0.12,0
2024-01-25,0.12,0.12,0.12,0.12,101
2024-01-24,0.18,0.2,0.12,0.2,300
2024-01-23,0.14,0.14,0.14,0.14,152
2024-01-22,0.2,0.2,0.2,0.2,0
2024-01-19,0.2,0.2,0.2,0.2,0
2024-01-18,0.1,0.2,0.1,0.2,558
2024-01-17,0.22,0.22,0.22,0.22,0
2024-01-16,0.22,0.22,0.22,0.22,0
2024-01-12,0.22,0.22,0.22,0.22,0
2024-01-11,0.17,0.22,0.12,0.22,302
2024-01-10,0.2,0.2,0.2,0.2,0
2024-01-09,0.2,0.2,0.2,0.2,0
2024-01-08,0.2,0.2,0.2,0.2,0
2024-01-05,0.12,0.2,0.12,0.2,700
2024-01-04,0.17,0.17,0.12,0.13,1693
2024-01-03,0.15,0.15,0.15,0.15,0
2024-01-02,0.15,0.15,0.15,0.15,0
2023-12-29,0.15,0.2,0.12,0.15,3115
2023-12-28,0.22,0.22,0.22,0.22,0
2023-12-27,0.22,0.22,0.22,0.22,0
2023-12-26,0.22,0.22,0.22,0.22,2400
2023-12-22,0.13,0.2,0.13,0.2,545
2023-12-21,0.22,0.22,0.22,0.22,0
2023-12-20,0.22,0.22,0.22,0.22,100
2023-12-19,0.2,0.2,0.2,0.2,0
2023-12-18,0.2,0.2,0.2,0.2,0
2023-12-15,0.13,0.2,0.13,0.2,600
2023-12-14,0.22,0.22,0.22,0.22,0
2023-12-13,0.22,0.22,0.22,0.22,0
2023-12-12,0.16,0.22,0.16,0.22,2024
2023-12-11,0.17,0.17,0.17,0.17,6720
2023-12-08,0.19,0.19,0.16,0.16,500
2023-12-07,0.16,0.16,0.16,0.16,536
2023-12-06,0.17,0.19,0.17,0.19,800
2023-12-05,0.16,0.16,0.16,0.16,1000
2023-12-04,0.17,0.17,0.17,0.17,375
2023-12-01,0.19,0.19,0.19,0.19,5000
2023-11-30,0.18,0.18,0.18,0.18,0
2023-11-29,0.18,0.18,0.18,0.18,0
2023-11-28,0.18,0.18,0.18,0.18,0
2023-11-27,0.18,0.18,0.18,0.18,0
2023-11-24,0.18,0.18,0.18,0.18,0
2023-11-22,0.18,0.18,0.18,0.18,0
2023-11-21,0.17,0.18,0.17,0.18,200
2023-11-20,0.18,0.19,0.17,0.17,7786
2023-11-17,0.18,0.18,0.18,0.18,0
2023-11-16,0.18,0.18,0.18,0.18,500
2023-11-15,0.19,0.19,0.19,0.19,6050
2023-11-14,0.17,0.19,0.17,0.19,5200
2023-11-13,0.17,0.17,0.17,0.17,0
2023-11-10,0.17,0.17,0.17,0.17,0
2023-11-09,0.18,0.18,0.17,0.17,700
2023-11-08,0.18,0.18,0.18,0.18,100
2023-11-07,0.18,0.18,0.18,0.18,236
2023-11-06,0.18,0.18,0.18,0.18,0
2023-11-03,0.18,0.18,0.18,0.18,679
2023-11-02,0.17,0.18,0.17,0.18,1121
2023-11-01,0.17,0.17,0.17,0.17,0
2023-10-31,0.17,0.17,0.17,0.17,0
2023-10-30,0.17,0.17,0.17,0.17,2400
2023-10-27,0.17,0.19,0.17,0.19,200
2023-10-26,0.18,0.19,0.18,0.19,2100
2023-10-25,0.22,0.22,0.16,0.19,40600
2023-10-24,0.28,0.28,0.28,0.28,0
2023-10-23,0.28,0.28,0.28,0.28,120
2023-10-20,0.28,0.28,0.28,0.28,853
2023-10-19,0.28,0.28,0.28,0.28,6600
2023-10-18,0.21,0.26,0.15,0.23,20100
2023-10-17,0.28,0.28,0.16,0.28,39379
2023-10-16,0.28,0.29,0.2,0.2,59894
2023-10-13,0.29,0.29,0.29,0.29,0
2023-10-12,0.24,0.29,0.24,0.29,1100
2023-10-11,0.27,0.29,0.24,0.29,4750
2023-10-10,0.21,0.27,0.21,0.27,10885
2023-10-09,0.21,0.21,0.18,0.21,10900
2023-10-06,0.21,0.21,0.21,0.21,100
2023-10-05,0.19,0.21,0.17,0.19,33075
2023-10-04,0.21,0.21,0.19,0.21,2100
2023-10-03,0.2,0.2,0.2,0.2,150
2023-10-02,0.21,0.21,0.21,0.21,100
2023-09-29,0.21,0.21,0.21,0.21,240
2023-09-28,0.2,0.2,0.2,0.2,118
2023-09-27,0.16,0.19,0.16,0.19,529
2023-09-26,0.17,0.17,0.17,0.17,0
2023-09-25,0.17,0.17,0.17,0.17,0
2023-09-22,0.16,0.19,0.16,0.17,6545
2023-09-21,0.2,0.2,0.2,0.2,5545
2023-09-20,0.2,0.2,0.2,0.2,600
2023-09-19,0.24,0.25,0.2,0.2,196648
2023-09-18,0.17,0.27,0.14,0.24,53300
2023-09-15,0.14,0.15,0.13,0.15,40322
2023-09-14,0.2,0.2,0.14,0.14,42800
2023-09-13,0.2,0.2,0.2,0.2,0
2023-09-12,0.2,0.2,0.2,0.2,0
2023-09-11,0.2,0.2,0.2,0.2,0
2023-09-08,0.2,0.2,0.2,0.2,0
2023-09-07,0.2,0.2,0.2,0.2,0
2023-09-06,0.36,0.36,0.2,0.2,740
2023-09-05,0.3,0.3,0.2,0.2,300
2023-09-01,0.2,0.2,0.2,0.2,25500
2023-08-31,0.25,0.25,0.25,0.25,0
2023-08-30,0.3,0.3,0.21,0.25,3079
2023-08-29,0.21,0.21,0.21,0.21,0
2023-08-28,0.26,0.3,0.21,0.21,5202
2023-08-25,0.2,0.21,0.2,0.21,1242
2023-08-24,0.19,0.19,0.19,0.19,0
2023-08-23,0.19,0.19,0.19,0.19,734
2023-08-22,0.19,0.19,0.19,0.19,0
2023-08-21,0.2,0.21,0.19,0.19,2710
2023-08-18,0.25,0.25,0.19,0.19,55817
2023-08-17,0.25,0.25,0.25,0.25,5200
2023-08-16,0.25,0.25,0.25,0.25,0
2023-08-15,0.3,0.3,0.2,0.25,251065
2023-08-14,0.32,0.32,0.3,0.3,8749
2023-08-11,0.34,0.34,0.34,0.34,0
2023-08-10,0.34,0.34,0.34,0.34,1500
2023-08-09,0.34,0.34,0.31,0.31,900
2023-08-08,0.31,0.33,0.31,0.33,350
2023-08-07,0.38,0.38,0.38,0.38,100
2023-08-04,0.36,0.36,0.3,0.3,15657
2023-08-03,0.38,0.38,0.38,0.38,302
2023-08-02,0.35,0.44,0.35,0.4,59750
2023-08-01,0.31,0.33,0.31,0.33,5500
2023-07-31,0.3,0.35,0.3,0.35,10236
2023-07-28,0.31,0.31,0.31,0.31,0
2023-07-27,0.33,0.33,0.31,0.31,2312
2023-07-26,0.35,0.35,0.35,0.35,0
2023-07-25,0.35,0.35,0.35,0.35,0
2023-07-24,0.35,0.35,0.35,0.35,0
2023-07-21,0.3,0.35,0.3,0.35,300
2023-07-20,0.3,0.32,0.28,0.3,82397
2023-07-19,0.4,0.4,0.38,0.38,834
2023-07-18,0.4,0.4,0.36,0.36,1901
2023-07-17,0.4,0.4,0.4,0.4,0
2023-07-14,0.32,0.4,0.32,0.4,243
2023-07-13,0.4,0.4,0.4,0.4,0
2023-07-12,0.4,0.4,0.4,0.4,100
2023-07-11,0.33,0.33,0.33,0.33,0
2023-07-10,0.33,0.33,0.33,0.33,0
2023-07-07,0.33,0.33,0.33,0.33,9010
2023-07-06,0.32,0.32,0.32,0.32,10000
2023-07-05,0.4,0.4,0.3,0.31,41704
2023-07-03,0.43,0.43,0.4,0.4,8717
2023-06-30,0.37,0.47,0.37,0.43,3231
2023-06-29,0.43,0.43,0.43,0.43,265
2023-06-28,0.41,0.49,0.35,0.44,50500
2023-06-27,0.5,0.5,0.5,0.5,1100
2023-06-26,0.5,0.5,0.5,0.5,201
2023-06-23,0.45,0.45,0.45,0.45,0
2023-06-22,0.52,0.52,0.45,0.45,4545
2023-06-21,0.39,0.51,0.39,0.51,300
2023-06-20,0.49,0.53,0.39,0.39,82727
2023-06-16,0.45,0.49,0.45,0.49,620
2023-06-15,0.43,0.45,0.41,0.45,9217
2023-06-14,0.47,0.49,0.38,0.39,34250
2023-06-13,0.49,0.49,0.49,0.49,0
2023-06-12,0.49,0.49,0.49,0.49,240
2023-06-09,0.49,0.49,0.43,0.43,3209
2023-06-08,0.45,0.45,0.36,0.36,5115
2023-06-07,0.5,0.5,0.5,0.5,0
2023-06-06,0.5,0.5,0.49,0.5,7635
2023-06-05,0.47,0.47,0.47,0.47,0
2023-06-02,0.48,0.48,0.35,0.47,824
2023-06-01,0.53,0.53,0.32,0.35,44589
2023-05-31,0.43,0.56,0.43,0.52,8824
2023-05-30,0.4,0.58,0.4,0.58,500
2023-05-26,0.43,0.52,0.41,0.41,8589
2023-05-25,0.45,0.45,0.45,0.45,0
2023-05-24,0.45,0.45,0.45,0.45,11111
2023-05-23,0.45,0.5,0.45,0.5,3100
2023-05-22,0.54,0.54,0.5,0.5,590
2023-05-19,0.47,0.52,0.47,0.52,10100
2023-05-18,0.51,0.51,0.5,0.5,3400
2023-05-17,0.44,0.44,0.44,0.44,1090
2023-05-16,0.51,0.51,0.51,0.51,0
2023-05-15,0.5,0.51,0.46,0.51,6560
2023-05-12,0.5,0.5,0.46,0.46,1550
2023-05-11,0.43,0.51,0.38,0.45,8905
2023-05-10,0.4,0.44,0.31,0.44,21703
2023-05-09,0.38,0.4,0.38,0.4,18285
2023-05-08,0.58,0.59,0.24,0.35,25716
2023-05-05,0.47,0.58,0.44,0.58,17054
2023-05-04,0.45,0.45,0.45,0.45,0
2023-05-03,0.5,0.5,0.45,0.45,4630
2023-05-02,0.47,0.47,0.47,0.47,1000
2023-05-01,0.62,0.62,0.62,0.62,532
