Date,Open,High,Low,Close,Volume
2025-03-19,1.54,1.58,1.53,1.58,8877
2025-03-18,1.53,1.55,1.53,1.54,15700
2025-03-17,1.51,1.55,1.51,1.55,18000
2025-03-14,1.5,1.54,1.5,1.54,15600
2025-03-13,1.54,1.55,1.52,1.53,23100
2025-03-12,1.51,1.55,1.48,1.55,56800
2025-03-11,1.5,1.53,1.49,1.51,22100
2025-03-10,1.53,1.54,1.48,1.48,39500
2025-03-07,1.5,1.54,1.5,1.54,31300
2025-03-06,1.49,1.51,1.49,1.51,36200
2025-03-05,1.52,1.52,1.48,1.5,15700
2025-03-04,1.56,1.56,1.48,1.48,76100
2025-03-03,1.64,1.64,1.56,1.57,34400
2025-02-28,1.6,1.61,1.58,1.59,20100
2025-02-27,1.63,1.64,1.6,1.61,34900
2025-02-26,1.67,1.68,1.63,1.64,13100
2025-02-25,1.63,1.67,1.58,1.66,67500
2025-02-24,1.63,1.68,1.62,1.66,39400
2025-02-21,1.65,1.66,1.62,1.64,77200
2025-02-20,1.64,1.68,1.62,1.68,56800
2025-02-19,1.64,1.66,1.63,1.63,15600
2025-02-18,1.63,1.66,1.62,1.65,38000
2025-02-14,1.57,1.7,1.56,1.62,134100
2025-02-13,1.57,1.58,1.53,1.55,77900
2025-02-12,1.58,1.6,1.55,1.57,79000
2025-02-11,1.63,1.63,1.56,1.58,82800
2025-02-10,1.62,1.63,1.58,1.61,84300
2025-02-07,1.64,1.66,1.6,1.63,63500
2025-02-06,1.61,1.68,1.55,1.64,269300
2025-02-05,1.57,1.57,1.51,1.54,52600
2025-02-04,1.65,1.67,1.53,1.57,120200
2025-02-03,1.67,1.67,1.63,1.65,47800
2025-01-31,1.76,1.76,1.67,1.69,80800
2025-01-30,1.75,1.77,1.7,1.76,67100
2025-01-29,1.8,1.8,1.71,1.73,81100
2025-01-28,1.72,1.75,1.71,1.74,20200
2025-01-27,1.74,1.78,1.71,1.75,90000
2025-01-24,1.79,1.8,1.72,1.73,56300
2025-01-23,1.76,1.79,1.75,1.77,44700
2025-01-22,1.82,1.82,1.75,1.76,39600
2025-01-21,1.73,1.82,1.73,1.8,48200
2025-01-17,1.81,1.84,1.7,1.72,114800
2025-01-16,1.85,1.87,1.78,1.79,38700
2025-01-15,1.9,1.92,1.8,1.85,39000
2025-01-14,1.85,1.87,1.75,1.86,64400
2025-01-13,1.86,1.9,1.8,1.84,55400
2025-01-10,1.91,1.94,1.84,1.89,82400
2025-01-08,1.87,1.89,1.74,1.85,117300
2025-01-07,1.8,1.8,1.75,1.75,20700
2025-01-06,1.86,1.89,1.8,1.82,31400
2025-01-03,1.9,1.91,1.84,1.85,52900
2025-01-02,1.87,1.95,1.87,1.9,63200
2024-12-31,1.82,1.93,1.82,1.86,100400
2024-12-30,1.82,1.91,1.82,1.87,103100
2024-12-27,1.78,1.85,1.75,1.83,66300
2024-12-26,1.8,1.87,1.76,1.81,33200
2024-12-24,1.74,1.83,1.73,1.79,18500
2024-12-23,1.76,1.76,1.71,1.73,37900
2024-12-20,1.74,1.8,1.69,1.76,27500
2024-12-19,1.8,1.82,1.71,1.71,43800
2024-12-18,1.89,1.96,1.77,1.77,94100
2024-12-17,1.71,1.92,1.71,1.86,162900
2024-12-16,1.64,1.78,1.64,1.71,106600
2024-12-13,1.66,1.67,1.61,1.64,116200
2024-12-12,1.69,1.7,1.61,1.64,60000
2024-12-11,1.71,1.75,1.68,1.68,65900
2024-12-10,1.73,1.76,1.7,1.71,36400
2024-12-09,1.76,1.79,1.72,1.72,42800
2024-12-06,1.8,1.83,1.75,1.76,63200
2024-12-05,1.89,1.89,1.75,1.77,54500
2024-12-04,1.77,1.95,1.75,1.9,165300
2024-12-03,1.74,1.85,1.73,1.74,109900
2024-12-02,1.8,1.8,1.73,1.75,98200
2024-11-29,1.79,1.82,1.76,1.79,31700
2024-11-27,1.81,1.85,1.76,1.8,137100
2024-11-26,1.81,1.84,1.78,1.78,21800
2024-11-25,1.83,1.85,1.78,1.82,100700
2024-11-22,1.84,1.85,1.8,1.8,60300
2024-11-21,1.85,1.86,1.82,1.85,43300
2024-11-20,1.87,1.87,1.83,1.85,50500
2024-11-19,1.87,1.93,1.85,1.87,51900
2024-11-18,1.89,1.94,1.86,1.87,62300
2024-11-15,1.95,1.95,1.82,1.94,62100
2024-11-14,1.94,1.96,1.9,1.96,26800
2024-11-13,1.97,1.97,1.92,1.96,66900
2024-11-12,1.97,2.01,1.96,1.98,27800
2024-11-11,2.04,2.04,1.95,1.97,103000
2024-11-08,1.97,2.0,1.96,1.99,62200
2024-11-07,1.99,1.99,1.94,1.95,12600
2024-11-06,2.01,2.02,1.95,1.98,12200
2024-11-05,1.95,2.03,1.92,1.95,26600
2024-11-04,1.99,2.03,1.97,1.97,10500
2024-11-01,2.07,2.07,1.95,1.99,27600
2024-10-31,1.99,2.08,1.95,2.07,92400
2024-10-30,2.09,2.09,1.97,2.0,49000
