Date,Open,High,Low,Close,Volume
2025-03-13,1.01,1.01,0.92,0.97,18395
2025-03-12,0.9,0.98,0.9,0.98,58700
2025-03-11,0.96,0.96,0.92,0.94,30300
2025-03-10,1.09,1.09,0.97,0.99,30000
2025-03-07,1.06,1.06,0.97,1.05,59200
2025-03-06,1.06,1.06,1.02,1.02,18800
2025-03-05,1.0,1.08,1.0,1.03,42800
2025-03-04,1.04,1.04,0.95,1.02,86000
2025-03-03,1.09,1.15,1.04,1.04,63500
2025-02-28,1.18,1.19,0.91,1.08,258000
2025-02-27,1.42,1.53,1.19,1.23,235700
2025-02-26,1.11,1.67,1.07,1.45,2297800
2025-02-25,1.23,1.23,1.06,1.12,91000
2025-02-24,1.31,1.33,1.22,1.23,88100
2025-02-21,1.35,1.37,1.31,1.34,47100
2025-02-20,1.43,1.43,1.34,1.35,52300
2025-02-19,1.45,1.62,1.42,1.42,132200
2025-02-18,1.64,1.64,1.56,1.6,48200
2025-02-14,1.67,1.67,1.62,1.62,39300
2025-02-13,1.7,1.72,1.62,1.66,70300
2025-02-12,1.81,1.81,1.71,1.71,61400
2025-02-11,1.86,1.94,1.78,1.81,71800
2025-02-10,1.88,1.91,1.84,1.86,57300
2025-02-07,2.01,2.04,1.84,1.85,41100
2025-02-06,2.2,2.2,1.97,2.01,101900
2025-02-05,2.13,2.23,2.11,2.2,88500
2025-02-04,2.28,2.28,2.08,2.13,47500
2025-02-03,2.12,2.38,2.12,2.18,167300
2025-01-31,2.21,2.27,2.17,2.24,45500
2025-01-30,2.27,2.34,2.14,2.15,65600
2025-01-29,2.58,2.58,2.34,2.34,33700
2025-01-28,2.53,2.53,2.29,2.44,52700
2025-01-27,2.53,2.6,2.34,2.46,101400
2025-01-24,2.78,2.9,2.57,2.58,97300
2025-01-23,2.94,2.94,2.57,2.73,121600
2025-01-22,2.7,2.85,2.5,2.68,164600
2025-01-21,2.48,2.75,2.47,2.48,231700
2025-01-17,2.72,3.3,2.67,2.69,581100
2025-01-16,2.4,3.53,2.26,2.62,2241500
2025-01-15,2.63,2.74,2.29,2.52,556000
2025-01-14,3.01,3.39,2.41,2.64,1787800
2025-01-13,4.45,7.2,3.61,3.67,120260400
2025-01-10,1.63,1.63,1.55,1.57,38400
2025-01-08,1.71,1.71,1.62,1.63,30000
2025-01-07,1.77,1.78,1.7,1.71,29800
2025-01-06,1.7,1.84,1.68,1.8,70400
2025-01-03,1.69,1.74,1.56,1.7,55800
2025-01-02,1.78,1.82,1.66,1.74,124400
2024-12-31,1.8,2.06,1.75,1.84,582800
2024-12-30,1.59,1.66,1.52,1.52,57300
2024-12-27,1.66,1.69,1.6,1.67,33100
2024-12-26,1.49,1.72,1.42,1.66,94100
2024-12-24,1.57,1.57,1.47,1.49,39800
2024-12-23,1.56,1.6,1.49,1.57,63500
2024-12-20,1.41,1.6,1.28,1.55,321300
2024-12-19,1.22,1.62,1.22,1.41,214300
2024-12-18,1.31,1.33,1.22,1.22,61200
2024-12-17,1.41,1.41,1.3,1.33,37100
2024-12-16,1.47,1.47,1.37,1.39,8600
2024-12-13,1.41,1.48,1.35,1.47,43800
2024-12-12,1.58,1.58,1.36,1.44,60100
2024-12-11,1.61,1.67,1.54,1.58,25500
2024-12-10,1.53,1.62,1.51,1.62,22000
2024-12-09,1.53,1.65,1.47,1.51,81300
2024-12-06,1.44,1.5,1.44,1.5,8000
2024-12-05,1.42,1.52,1.42,1.44,39000
2024-12-04,1.42,1.46,1.41,1.45,14900
2024-12-03,1.48,1.49,1.39,1.41,16600
2024-12-02,1.54,1.54,1.4,1.48,7700
2024-11-29,1.51,1.51,1.42,1.43,7500
2024-11-27,1.55,1.55,1.45,1.45,32100
2024-11-26,1.55,1.55,1.48,1.52,5700
2024-11-25,1.37,1.6,1.36,1.52,47300
2024-11-22,1.42,1.43,1.37,1.37,16900
2024-11-21,1.45,1.48,1.4,1.46,35500
2024-11-20,1.4,1.48,1.37,1.4,44400
2024-11-19,1.4,1.43,1.38,1.41,24600
2024-11-18,1.34,1.44,1.34,1.38,48600
2024-11-15,1.38,1.38,1.33,1.34,33300
2024-11-14,1.42,1.43,1.38,1.38,13500
2024-11-13,1.45,1.45,1.41,1.41,24300
2024-11-12,1.48,1.5,1.41,1.45,32400
2024-11-11,1.51,1.53,1.46,1.5,24000
2024-11-08,1.46,1.5,1.44,1.5,25800
2024-11-07,1.47,1.49,1.43,1.47,35500
2024-11-06,1.54,1.54,1.48,1.52,17900
2024-11-05,1.45,1.57,1.45,1.54,19600
2024-11-04,1.47,1.49,1.38,1.45,62400
2024-11-01,1.61,1.61,1.44,1.48,53200
2024-10-31,1.63,1.65,1.55,1.61,42200
2024-10-30,1.67,1.75,1.59,1.62,103200
2024-10-29,1.74,1.74,1.6,1.7,117000
2024-10-28,1.7,1.77,1.59,1.67,82500
2024-10-25,1.75,1.75,1.65,1.67,70200
2024-10-24,1.84,1.87,1.72,1.75,74900
2024-10-23,1.89,1.97,1.69,1.79,137100
2024-10-22,1.83,2.04,1.82,1.98,172500
2024-10-21,1.93,1.96,1.71,1.82,274900
2024-10-18,2.01,2.35,1.96,2.01,3173400
2024-10-17,1.6,1.95,1.59,1.85,776100
2024-10-16,1.72,2.27,1.54,1.71,5513300
2024-10-15,1.36,2.29,1.29,1.52,8131000
2024-10-14,1.46,1.46,1.26,1.29,45700
2024-10-11,1.45,1.49,1.42,1.42,10600
2024-10-10,1.49,1.49,1.42,1.48,14000
2024-10-09,1.36,1.52,1.36,1.42,28400
2024-10-08,1.43,1.51,1.41,1.43,14100
2024-10-07,1.41,1.52,1.41,1.47,19500
2024-10-04,1.41,1.43,1.32,1.41,15800
2024-10-03,1.52,1.52,1.39,1.45,29200
2024-10-02,1.49,1.51,1.36,1.42,45100
2024-10-01,1.48,1.58,1.43,1.51,40000
2024-09-30,1.47,1.49,1.38,1.44,37200
2024-09-27,1.52,1.52,1.4,1.43,31100
2024-09-26,1.48,1.48,1.39,1.44,64800
2024-09-25,1.66,1.66,1.42,1.42,85400
2024-09-24,1.64,1.71,1.55,1.55,47200
2024-09-23,1.69,1.78,1.6,1.64,17200
2024-09-20,1.79,1.8,1.65,1.71,67000
2024-09-19,1.78,1.82,1.61,1.75,95100
2024-09-18,1.75,1.88,1.69,1.77,126500
2024-09-17,1.65,1.9,1.6,1.71,145600
2024-09-16,1.55,1.74,1.53,1.64,109500
