Date,Open,High,Low,Close,Volume
2025-03-19,25.75,26.55,25.67,26.55,37082
2025-03-18,24.89,25.72,24.89,25.44,58700
2025-03-17,25.6,26.25,25.25,26.09,33900
2025-03-14,25.25,25.8,24.81,25.79,25500
2025-03-13,24.79,25.29,23.91,25.16,26200
2025-03-12,25.41,25.41,24.6,24.71,28600
2025-03-11,24.25,25.34,23.84,24.96,36900
2025-03-10,26.1,26.12,23.37,24.62,64700
2025-03-07,24.53,26.74,24.17,26.13,34100
2025-03-06,27.01,27.01,24.22,24.69,48000
2025-03-05,26.7,26.77,25.88,26.77,14500
2025-03-04,26.52,27.06,24.81,26.64,46700
2025-03-03,27.31,27.83,26.53,27.07,34800
2025-02-28,25.91,26.45,25.45,26.26,19900
2025-02-27,26.91,26.92,25.84,25.98,12000
2025-02-26,26.11,27.11,25.7,26.66,47500
2025-02-25,26.89,26.89,25.9,26.11,33100
2025-02-24,26.6,27.31,26.54,27.01,62500
2025-02-21,26.93,27.2,25.51,26.03,62300
2025-02-20,28.36,28.36,26.39,26.76,38200
2025-02-19,28.04,28.38,27.73,28.02,22000
2025-02-18,28.49,29.48,27.62,27.92,29600
2025-02-14,27.65,28.51,27.16,28.08,43100
2025-02-13,28.38,28.47,26.2,27.75,83600
2025-02-12,28.5,29.49,28.02,28.4,45700
2025-02-11,28.45,29.05,27.72,28.54,50500
2025-02-10,29.09,29.46,28.18,28.39,45000
2025-02-07,30.9,31.2,28.87,29.38,24500
2025-02-06,29.38,30.8,29.3,30.65,44900
2025-02-05,30.14,30.94,29.56,30.42,50200
2025-02-04,29.03,30.15,28.78,30.15,29700
2025-02-03,29.5,29.9,28.1,28.5,136900
2025-01-31,31.38,32.94,31.07,31.91,98300
2025-01-30,30.26,32.0,30.01,30.93,76800
2025-01-29,30.42,33.37,30.33,32.11,117900
2025-01-28,28.87,30.54,28.21,30.3,69800
2025-01-27,29.24,29.46,27.48,29.13,75400
2025-01-24,29.93,31.16,29.13,29.93,109200
2025-01-23,30.53,30.91,29.22,29.42,34500
2025-01-22,30.44,31.79,29.78,30.8,66400
2025-01-21,29.0,31.28,28.92,30.43,72000
2025-01-17,28.3,28.88,27.57,28.87,45000
2025-01-16,28.15,29.0,27.64,27.7,90600
2025-01-15,27.76,28.49,27.63,28.13,72700
2025-01-14,27.1,28.2,26.6,27.51,71200
2025-01-13,24.92,26.01,24.81,25.8,54400
2025-01-10,24.65,25.11,23.74,24.78,28500
2025-01-08,25.93,25.93,22.57,24.58,87900
2025-01-07,26.72,26.99,25.79,26.33,18300
2025-01-06,27.25,27.91,26.02,26.31,36400
2025-01-03,27.22,28.4,27.11,27.11,33000
2025-01-02,26.2,28.39,25.94,27.12,42500
2024-12-31,26.04,26.04,25.18,25.68,19400
2024-12-30,25.65,26.77,25.6,26.34,18400
2024-12-27,26.83,27.09,25.57,26.03,13100
2024-12-26,25.89,26.56,25.7,26.39,25800
2024-12-24,25.58,26.16,25.38,25.92,15600
2024-12-23,25.92,26.6,25.14,25.96,49400
2024-12-20,25.7,26.95,25.55,26.0,26600
2024-12-19,25.81,26.8,25.75,26.16,35900
2024-12-18,26.21,27.36,24.94,25.27,57300
2024-12-17,25.49,26.07,25.32,26.0,47000
2024-12-16,26.06,26.23,25.13,26.02,35400
2024-12-13,27.25,27.5,26.38,26.46,38000
2024-12-12,26.55,27.68,26.3,26.98,50100
2024-12-11,25.17,27.69,25.06,26.23,122000
2024-12-10,24.71,25.59,24.7,25.1,64400
2024-12-09,24.65,25.45,24.04,24.79,46600
2024-12-06,25.63,25.63,24.65,24.95,79600
2024-12-05,23.39,26.17,23.34,25.67,96600
2024-12-04,22.16,23.24,21.99,23.07,39500
2024-12-03,22.84,22.84,21.99,22.19,16700
2024-12-02,22.0,22.99,21.71,22.6,66200
2024-11-29,22.32,22.91,22.23,22.78,13300
2024-11-27,21.77,22.48,20.95,22.07,39600
2024-11-26,21.89,22.53,21.75,22.01,17000
2024-11-25,22.19,22.45,21.86,22.36,25800
2024-11-22,21.95,22.7,21.95,22.23,59100
2024-11-21,21.0,22.0,20.6,21.73,74600
2024-11-20,23.42,23.5,21.6,22.35,36400
