Date,Open,High,Low,Close,Volume
2025-03-13,0.37,0.38,0.36,0.36,7255
2025-03-12,0.38,0.4,0.35,0.35,183600
2025-03-11,0.36,0.41,0.36,0.39,382100
2025-03-10,0.35,0.37,0.34,0.36,197700
2025-03-07,0.38,0.38,0.37,0.37,22400
2025-03-06,0.38,0.39,0.36,0.36,93000
2025-03-05,0.37,0.39,0.36,0.36,159700
2025-03-04,0.35,0.39,0.35,0.37,114800
2025-03-03,0.38,0.39,0.35,0.35,353000
2025-02-28,0.37,0.4,0.37,0.39,18000
2025-02-27,0.37,0.4,0.37,0.38,56700
2025-02-26,0.38,0.38,0.37,0.38,314500
2025-02-25,0.41,0.41,0.37,0.38,270900
2025-02-24,0.39,0.42,0.39,0.41,117900
2025-02-21,0.38,0.41,0.38,0.39,75500
2025-02-20,0.41,0.42,0.38,0.41,252300
2025-02-19,0.38,0.4,0.37,0.4,75600
2025-02-18,0.4,0.41,0.38,0.38,53500
2025-02-14,0.38,0.41,0.38,0.41,48600
2025-02-13,0.39,0.43,0.37,0.39,174300
2025-02-12,0.41,0.42,0.37,0.39,496600
2025-02-11,0.44,0.45,0.4,0.41,642800
2025-02-10,0.46,0.47,0.43,0.43,188000
2025-02-07,0.46,0.47,0.43,0.45,343500
2025-02-06,0.49,0.5,0.45,0.48,264000
2025-02-05,0.45,0.51,0.45,0.49,723200
2025-02-04,0.47,0.47,0.42,0.46,2472900
2025-02-03,0.43,0.45,0.41,0.41,156300
2025-01-31,0.47,0.5,0.42,0.43,182400
2025-01-30,0.51,0.51,0.46,0.48,141400
2025-01-29,0.47,0.53,0.46,0.49,421000
2025-01-28,0.43,0.47,0.43,0.46,70100
2025-01-27,0.44,0.47,0.43,0.47,48600
2025-01-24,0.43,0.48,0.43,0.46,85000
2025-01-23,0.44,0.46,0.42,0.43,190400
2025-01-22,0.46,0.47,0.43,0.43,65400
2025-01-21,0.44,0.47,0.44,0.44,131200
2025-01-17,0.45,0.48,0.43,0.44,55800
2025-01-16,0.47,0.49,0.41,0.46,261900
2025-01-15,0.47,0.51,0.44,0.45,97500
2025-01-14,0.51,0.51,0.45,0.47,142500
2025-01-13,0.48,0.51,0.47,0.48,170400
2025-01-10,0.51,0.54,0.48,0.48,222700
2025-01-08,0.56,0.56,0.48,0.51,125600
