Date,Open,High,Low,Close,Volume
2025-03-13,0.17,0.17,0.16,0.17,20302
2025-03-12,0.16,0.16,0.16,0.16,78400
2025-03-11,0.15,0.16,0.14,0.15,137100
2025-03-10,0.16,0.16,0.15,0.15,26200
2025-03-07,0.15,0.16,0.14,0.16,282000
2025-03-06,0.15,0.15,0.14,0.15,127800
2025-03-05,0.14,0.15,0.14,0.14,106900
2025-03-04,0.13,0.14,0.12,0.14,39400
2025-03-03,0.12,0.14,0.12,0.13,37400
2025-02-28,0.12,0.13,0.12,0.12,70300
2025-02-27,0.12,0.14,0.11,0.13,6600
2025-02-26,0.15,0.16,0.09,0.14,317600
2025-02-25,0.19,0.19,0.14,0.15,97600
2025-02-24,0.13,0.14,0.12,0.13,120600
2025-02-21,0.14,0.14,0.13,0.13,15000
2025-02-20,0.13,0.13,0.12,0.13,103400
2025-02-19,0.12,0.13,0.1,0.13,224900
2025-02-18,0.2,0.2,0.12,0.13,417100
2025-02-14,0.1,0.12,0.1,0.11,295500
2025-02-13,0.09,0.11,0.09,0.1,569100
2025-02-12,0.08,0.09,0.08,0.09,116700
2025-02-11,0.08,0.08,0.08,0.08,117200
2025-02-10,0.08,0.08,0.08,0.08,41100
2025-02-07,0.08,0.08,0.08,0.08,13300
2025-02-06,0.08,0.08,0.08,0.08,132900
2025-02-05,0.08,0.08,0.07,0.08,168300
2025-02-04,0.07,0.08,0.07,0.08,221300
2025-02-03,0.07,0.07,0.07,0.07,25600
2025-01-31,0.06,0.07,0.06,0.07,166900
2025-01-30,0.06,0.06,0.06,0.06,6100
2025-01-29,0.06,0.07,0.06,0.06,82800
2025-01-28,0.07,0.07,0.06,0.06,51200
2025-01-27,0.07,0.07,0.06,0.07,88700
2025-01-24,0.06,0.07,0.06,0.07,43500
2025-01-23,0.06,0.06,0.05,0.06,23900
2025-01-22,0.05,0.06,0.05,0.06,255600
2025-01-21,0.06,0.06,0.05,0.05,288600
2025-01-17,0.06,0.06,0.05,0.06,99100
2025-01-16,0.06,0.06,0.06,0.06,11700
2025-01-15,0.05,0.06,0.05,0.06,105100
2025-01-14,0.06,0.06,0.05,0.05,313200
2025-01-13,0.06,0.06,0.05,0.06,150200
2025-01-10,0.06,0.06,0.06,0.06,578000
2025-01-08,0.06,0.06,0.06,0.06,122500
2025-01-07,0.06,0.06,0.06,0.06,42000
2025-01-06,0.06,0.06,0.06,0.06,100000
2025-01-03,0.07,0.07,0.06,0.06,317000
2025-01-02,0.07,0.07,0.05,0.05,32200
2024-12-31,0.06,0.07,0.05,0.05,640600
2024-12-30,0.07,0.07,0.06,0.06,307900
2024-12-27,0.06,0.07,0.06,0.07,90300
2024-12-26,0.06,0.07,0.06,0.07,54900
2024-12-24,0.07,0.07,0.06,0.07,29200
2024-12-23,0.07,0.08,0.07,0.07,263100
2024-12-20,0.06,0.08,0.06,0.07,458100
2024-12-19,0.06,0.07,0.06,0.07,190000
2024-12-18,0.07,0.08,0.06,0.06,315500
2024-12-17,0.07,0.08,0.06,0.07,325900
2024-12-16,0.05,0.07,0.05,0.07,711400
2024-12-13,0.06,0.06,0.05,0.05,676200
2024-12-12,0.06,0.06,0.06,0.06,85800
2024-12-11,0.06,0.06,0.06,0.06,151700
2024-12-10,0.06,0.06,0.06,0.06,217100
2024-12-09,0.06,0.07,0.06,0.06,321900
2024-12-06,0.07,0.08,0.06,0.07,895800
2024-12-05,0.07,0.08,0.07,0.07,234500
2024-12-04,0.08,0.08,0.07,0.07,133500
2024-12-03,0.08,0.09,0.07,0.08,414100
2024-12-02,0.08,0.09,0.07,0.08,158100
2024-11-29,0.08,0.08,0.07,0.08,224200
2024-11-27,0.08,0.08,0.06,0.06,406700
2024-11-26,0.06,0.09,0.06,0.08,729500
2024-11-25,0.07,0.08,0.06,0.06,406200
2024-11-22,0.08,0.08,0.07,0.07,221400
2024-11-21,0.08,0.08,0.08,0.08,119700
2024-11-20,0.09,0.09,0.08,0.08,133500
2024-11-19,0.08,0.09,0.08,0.09,114000
2024-11-18,0.08,0.09,0.08,0.09,150100
2024-11-15,0.09,0.09,0.08,0.08,16300
2024-11-14,0.09,0.09,0.08,0.08,415000
2024-11-13,0.09,0.1,0.09,0.09,227400
2024-11-12,0.1,0.1,0.09,0.1,136300
2024-11-11,0.09,0.1,0.09,0.1,172900
2024-11-08,0.1,0.1,0.09,0.1,171300
2024-11-07,0.1,0.1,0.09,0.1,418700
