Date,Open,High,Low,Close,Volume
2025-03-19,64.4,65.26,63.67,64.45,72932
2025-03-18,64.5,64.5,63.72,64.23,53900
2025-03-17,63.23,64.44,63.11,64.26,67600
2025-03-14,62.6,63.33,62.23,62.9,61400
2025-03-13,63.85,64.65,62.08,62.22,80100
2025-03-12,65.58,66.08,63.09,63.57,179300
2025-03-11,68.94,69.61,65.56,65.59,71500
2025-03-10,69.34,70.31,68.5,68.94,82200
2025-03-07,68.71,70.23,68.22,69.8,77300
2025-03-06,69.21,70.24,68.88,69.33,78700
2025-03-05,68.22,69.97,68.02,69.65,75400
2025-03-04,68.89,69.39,67.0,68.39,135800
2025-03-03,69.17,70.54,68.84,69.37,107600
2025-02-28,69.44,69.51,68.29,69.25,79600
2025-02-27,70.46,70.46,68.99,69.22,99200
2025-02-26,71.81,72.53,70.24,70.39,58200
2025-02-25,70.87,71.96,70.71,71.59,65700
2025-02-24,71.37,71.72,70.7,70.98,49300
2025-02-21,73.53,73.53,71.31,71.6,83100
2025-02-20,73.64,73.66,72.6,73.15,52700
2025-02-19,74.58,74.73,73.27,73.83,48500
2025-02-18,74.58,75.19,73.85,74.71,107800
2025-02-14,74.41,74.65,73.53,74.26,54900
2025-02-13,72.5,73.81,71.98,73.81,78800
2025-02-12,71.42,72.52,71.06,72.37,70200
2025-02-11,70.79,72.46,70.4,72.43,65100
2025-02-10,70.63,71.5,70.12,71.06,80100
2025-02-07,70.41,71.48,70.09,70.63,88100
2025-02-06,72.27,72.43,70.04,70.54,109300
2025-02-05,70.83,71.7,70.58,71.57,99900
2025-02-04,70.57,71.81,70.44,71.06,109300
2025-02-03,71.87,72.49,70.73,71.03,137000
2025-01-31,73.92,74.27,72.25,72.87,104500
2025-01-30,71.95,74.1,71.85,73.8,164200
2025-01-29,73.12,73.24,71.6,71.9,98000
2025-01-28,73.65,74.11,72.72,72.81,138100
2025-01-27,72.65,73.61,72.19,73.5,111300
2025-01-24,72.47,72.83,71.79,72.79,104800
2025-01-23,72.48,73.22,72.03,72.16,89600
2025-01-22,71.99,73.01,71.59,72.45,90900
2025-01-21,71.87,72.99,71.53,72.22,85300
2025-01-17,71.42,71.84,70.91,71.63,66100
2025-01-16,70.34,71.63,69.77,71.27,46200
2025-01-15,69.88,70.51,69.6,70.34,172800
2025-01-14,67.86,69.11,67.86,68.4,115800
2025-01-13,67.07,68.05,66.55,67.64,140100
2025-01-10,67.51,67.86,66.9,66.9,329100
2025-01-08,68.84,68.96,68.21,68.37,166800
2025-01-07,70.12,70.12,68.92,69.27,100800
2025-01-06,69.5,70.77,69.3,69.61,82300
2025-01-03,69.05,69.81,68.81,69.51,80100
2025-01-02,69.35,69.93,69.0,69.01,92200
2024-12-31,68.89,69.75,68.85,69.09,81300
2024-12-30,69.07,69.72,68.41,68.98,61300
2024-12-27,70.1,70.85,69.31,69.54,47000
2024-12-26,69.98,71.4,69.98,70.57,56200
2024-12-24,69.4,70.4,69.01,70.35,37300
2024-12-23,70.08,70.89,68.29,69.29,120300
2024-12-20,67.35,71.76,67.35,70.88,216000
2024-12-19,68.94,69.25,67.42,67.46,134700
2024-12-18,72.31,72.6,68.18,68.26,116500
2024-12-17,71.46,73.14,71.18,72.38,99800
2024-12-16,72.68,73.25,71.92,72.05,95700
2024-12-13,73.54,73.54,72.74,73.26,69200
2024-12-12,73.51,74.24,72.69,73.92,66400
2024-12-11,74.09,74.64,73.79,74.08,91900
2024-12-10,74.59,74.59,73.53,73.73,101100
2024-12-09,73.52,75.08,73.52,74.85,145800
2024-12-06,72.81,73.22,71.8,72.85,125200
2024-12-05,73.19,73.87,72.37,72.39,85100
