Date,Open,High,Low,Close,Volume
2025-03-13,2.87,2.94,2.71,2.77,19238
2025-03-12,2.75,3.0,2.75,2.87,18500
2025-03-11,2.76,2.76,2.65,2.75,10500
2025-03-10,3.07,3.3,2.7,2.76,19400
2025-03-07,3.06,3.15,3.02,3.03,21400
2025-03-06,3.24,3.31,2.96,2.96,29300
2025-03-05,2.86,3.44,2.85,3.29,73700
2025-03-04,2.95,3.43,2.33,3.15,263400
2025-03-03,3.21,3.32,2.79,3.08,36355
2025-02-28,3.12,3.43,2.87,3.36,43927
2025-02-27,3.41,3.85,3.21,3.22,51536
2025-02-26,3.95,4.11,3.46,3.52,176255
2025-02-25,3.3,6.26,3.08,5.94,1413700
2025-02-24,3.49,3.5,3.27,3.37,6264
2025-02-21,3.41,3.49,3.36,3.41,2755
2025-02-20,3.43,3.51,3.32,3.49,3064
2025-02-19,3.34,3.5,3.3,3.41,4882
2025-02-18,3.63,3.64,3.37,3.52,12627
2025-02-14,3.63,3.74,3.63,3.65,4827
2025-02-13,3.71,3.8,3.63,3.68,2255
2025-02-12,3.68,3.8,3.58,3.71,4745
2025-02-11,3.85,3.85,3.74,3.77,1755
2025-02-10,3.77,3.96,3.76,3.81,3300
2025-02-07,3.74,4.12,3.74,3.9,8736
2025-02-06,3.96,4.01,3.74,3.98,6309
2025-02-05,3.8,3.96,3.53,3.85,16009
2025-02-04,3.7,4.18,3.64,3.74,56555
2025-02-03,3.63,3.89,3.58,3.7,3809
2025-01-31,3.94,3.94,3.68,3.7,3091
2025-01-30,3.95,3.95,3.74,3.87,11618
2025-01-29,3.46,4.29,3.43,3.95,54518
2025-01-28,3.5,3.63,3.46,3.58,2618
2025-01-27,3.93,4.07,3.23,3.61,24609
2025-01-24,3.85,4.07,3.8,3.86,4709
2025-01-23,3.9,3.96,3.74,3.95,5009
2025-01-22,3.68,4.4,3.63,3.86,26000
2025-01-21,3.76,3.9,3.67,3.72,7364
2025-01-17,3.95,4.01,3.72,3.99,16491
2025-01-16,3.83,4.4,3.75,4.07,33736
2025-01-15,3.82,3.95,3.74,3.81,6482
2025-01-14,4.18,4.4,3.63,3.94,23436
2025-01-13,4.45,4.45,3.75,3.96,8809
2025-01-10,4.17,4.62,3.85,4.25,15045
2025-01-08,5.05,5.05,4.18,4.18,13536
