Date,Open,High,Low,Close,Volume
2025-03-19,33.21,35.09,33.17,35.05,34828
2025-03-18,33.12,33.53,32.94,33.15,63100
2025-03-17,32.82,33.35,32.7,33.14,35200
2025-03-14,33.06,33.28,32.92,33.04,17400
2025-03-13,33.15,33.57,32.91,33.14,15500
2025-03-12,33.27,33.29,32.4,33.15,39000
2025-03-11,33.76,34.25,33.09,33.29,51100
2025-03-10,33.0,34.48,32.69,33.93,60700
2025-03-07,32.54,33.7,32.49,33.0,86700
2025-03-06,31.5,32.54,31.25,32.54,104000
2025-03-05,31.5,31.65,31.01,31.5,44900
2025-03-04,30.58,31.74,30.58,31.31,41500
2025-03-03,31.44,31.44,30.77,30.93,17500
2025-02-28,31.63,31.65,31.26,31.5,18300
2025-02-27,31.74,32.06,31.43,31.56,16800
2025-02-26,32.2,32.29,31.4,31.91,26700
2025-02-25,31.8,32.52,31.56,32.49,26100
2025-02-24,31.79,32.24,31.44,31.8,23000
2025-02-21,32.45,32.65,31.38,31.79,20600
2025-02-20,32.95,32.95,32.13,32.21,18600
2025-02-19,33.37,33.45,33.03,33.15,9800
2025-02-18,33.8,34.06,33.16,33.73,16400
2025-02-14,34.2,34.3,33.64,33.64,11700
2025-02-13,34.33,34.4,33.98,34.19,18900
2025-02-12,34.23,34.44,33.9,34.22,14700
2025-02-11,34.24,34.83,34.24,34.74,11000
2025-02-10,34.0,34.62,33.92,34.4,22000
2025-02-07,35.0,35.0,33.8,33.95,15900
2025-02-06,34.91,35.34,34.57,35.3,17100
2025-02-05,34.33,34.87,34.26,34.84,17400
2025-02-04,33.97,34.42,33.84,34.38,33900
2025-02-03,33.55,34.26,33.13,34.1,28200
2025-01-31,34.38,34.58,33.75,34.11,27100
2025-01-30,34.69,34.69,33.98,34.29,19000
2025-01-29,34.2,34.53,34.01,34.28,31500
2025-01-28,33.62,34.27,33.62,34.19,24100
2025-01-27,33.01,33.96,33.01,33.78,25600
2025-01-24,32.81,33.37,32.45,33.27,23300
2025-01-23,32.39,33.18,32.19,33.09,26500
2025-01-22,32.68,33.23,32.31,32.44,28200
2025-01-21,32.1,33.0,32.1,32.68,25500
2025-01-17,32.42,32.42,31.92,32.05,39600
2025-01-16,32.18,32.44,31.9,32.44,19000
2025-01-15,31.9,32.38,31.8,32.17,21100
2025-01-14,31.84,32.06,31.24,31.36,35100
2025-01-13,31.23,31.94,31.09,31.84,29100
2025-01-10,32.5,32.5,31.11,31.49,37600
2025-01-08,30.08,33.01,29.64,32.51,116600
2025-01-07,30.49,31.29,30.1,30.38,21700
2025-01-06,31.48,31.57,30.37,30.61,19900
2025-01-03,31.41,31.45,30.92,31.4,13400
2025-01-02,32.06,32.06,31.17,31.41,21700
2024-12-31,31.61,31.94,31.41,31.64,14600
2024-12-30,31.19,31.56,31.07,31.32,16500
2024-12-27,31.51,31.58,31.01,31.29,13200
2024-12-26,31.36,31.83,31.11,31.8,13400
2024-12-24,31.02,31.57,31.02,31.57,10300
2024-12-23,32.15,32.15,31.0,31.2,18300
2024-12-20,31.61,32.47,31.61,32.23,38800
2024-12-19,31.82,32.34,31.57,32.02,19500
2024-12-18,32.8,33.38,31.74,31.79,34800
2024-12-17,32.69,32.99,32.31,32.86,19100
2024-12-16,32.38,32.81,32.31,32.67,18400
2024-12-13,32.92,33.44,32.21,32.34,26900
2024-12-12,32.21,33.16,32.21,32.63,25900
2024-12-11,31.54,32.58,31.39,32.05,54200
2024-12-10,30.28,31.52,29.99,31.17,53300
