Date,Open,High,Low,Close,Volume
2025-03-19,149.97,150.49,149.49,150.06,182067
2025-03-18,151.0,152.6,149.71,149.97,2838000
2025-03-17,148.17,151.74,147.21,151.26,2206400
2025-03-14,146.04,148.29,145.38,147.84,2536200
2025-03-13,147.75,148.25,144.75,145.89,2079600
2025-03-12,148.18,148.42,146.07,147.38,2460900
2025-03-11,147.22,149.33,145.72,147.29,2461300
2025-03-10,145.44,146.87,143.58,146.2,3344800
2025-03-07,149.21,149.82,146.23,147.45,3323900
2025-03-06,153.72,154.0,148.79,148.97,3740900
2025-03-05,152.28,155.52,152.28,154.85,2391000
2025-03-04,157.31,158.55,153.36,153.9,3030300
2025-03-03,153.49,157.17,152.51,156.86,3441400
2025-02-28,152.91,153.9,150.7,153.51,5298900
2025-02-27,150.57,152.19,149.98,151.52,2150500
2025-02-26,152.32,152.43,149.82,150.65,2045500
2025-02-25,150.35,152.59,149.44,151.74,3163400
2025-02-24,148.26,151.09,148.17,149.97,2320900
2025-02-21,149.66,150.41,146.63,147.92,3988500
2025-02-20,148.47,150.4,148.13,149.65,3321600
2025-02-19,150.05,150.11,148.62,149.04,2345200
2025-02-18,149.29,152.13,149.23,150.13,3116900
2025-02-14,150.83,151.11,148.4,149.3,1878600
2025-02-13,146.2,151.28,145.95,150.77,4201600
2025-02-12,143.91,147.84,141.37,145.85,3815200
2025-02-11,141.69,142.94,140.96,142.76,2555900
2025-02-10,141.56,143.2,140.17,142.47,2062100
2025-02-07,141.86,142.75,141.68,141.96,2065600
2025-02-06,142.12,142.52,141.06,141.76,3072700
2025-02-05,139.7,142.21,138.76,141.56,2057100
2025-02-04,138.95,139.6,137.18,138.24,2582000
2025-02-03,135.4,139.96,135.15,139.76,3399400
2025-01-31,136.49,137.27,135.42,135.87,1579200
2025-01-30,136.08,137.7,135.5,136.57,1906700
2025-01-29,136.54,137.51,133.7,134.33,1781800
2025-01-28,137.74,139.28,135.88,136.54,1989300
2025-01-27,135.97,138.67,135.68,137.83,3033900
2025-01-24,131.41,136.97,130.56,136.14,3504500
2025-01-23,130.52,131.8,130.13,131.65,3374700
2025-01-22,133.0,133.0,130.5,130.57,3666100
2025-01-21,129.04,133.65,129.04,133.08,3558100
2025-01-17,128.54,129.1,127.78,128.76,2726900
2025-01-16,126.12,128.24,125.94,128.16,1732900
2025-01-15,128.36,128.85,125.25,126.03,2525300
2025-01-14,125.18,126.44,125.14,126.31,1844300
2025-01-13,123.95,125.35,123.64,125.16,2392100
2025-01-10,124.57,125.71,122.56,124.23,3116200
2025-01-08,124.31,126.61,123.46,125.92,2353100
2025-01-07,124.18,125.02,123.11,123.69,2606300
2025-01-06,125.22,125.76,123.22,123.5,2136800
2025-01-03,124.36,125.62,123.91,125.26,2433700
2025-01-02,125.08,125.55,123.02,124.17,1716200
2024-12-31,125.38,125.71,124.2,125.47,2645400
2024-12-30,123.8,124.66,122.93,124.36,1255000
2024-12-27,125.04,125.87,124.16,124.44,2612200
2024-12-26,125.04,126.31,125.04,125.83,1079000
2024-12-24,124.46,126.33,124.46,126.03,1074800
2024-12-23,124.22,125.46,123.47,125.06,1871900
2024-12-20,124.03,126.04,122.7,124.09,11368600
2024-12-19,125.42,127.81,123.11,123.23,4629100
2024-12-18,128.14,129.36,124.84,125.03,4105100
2024-12-17,127.57,130.44,127.15,128.66,3497900
2024-12-16,128.92,129.91,128.09,128.13,2170600
2024-12-13,127.88,129.07,127.33,128.55,1955400
2024-12-12,128.3,129.64,127.87,127.87,1810900
2024-12-11,127.65,128.83,127.41,128.02,2252900
2024-12-10,129.11,130.43,128.24,128.7,2581500
2024-12-09,130.67,131.3,128.46,128.87,3808200
2024-12-06,131.52,132.54,129.8,130.79,2304700
2024-12-05,132.49,133.25,131.76,132.02,2468900
2024-12-04,132.32,133.73,131.67,133.0,3159900
2024-12-03,133.4,133.78,132.06,132.26,3142000
2024-12-02,136.78,137.19,132.9,133.43,2416300
2024-11-29,138.7,139.67,137.57,137.57,2149200
2024-11-27,139.21,140.12,138.27,138.68,3352100
2024-11-26,135.96,138.48,135.44,138.34,2874700
2024-11-25,137.18,137.9,135.09,135.15,9474900
2024-11-22,138.2,138.72,136.69,137.3,1619100
2024-11-21,136.66,137.72,136.21,137.27,1831000
2024-11-20,136.95,137.85,136.55,136.79,1720000
2024-11-19,136.5,137.97,135.81,137.57,1652600
2024-11-18,134.6,136.6,134.6,136.4,2330700
2024-11-15,133.31,135.64,133.21,135.42,1994300
2024-11-14,134.04,134.71,132.67,133.82,2215500
2024-11-13,136.02,136.7,134.18,134.35,3404800
2024-11-12,136.29,136.68,134.63,134.69,2377000
2024-11-11,136.91,137.49,135.62,136.34,2868500
2024-11-08,136.71,138.88,136.62,136.91,2484900
2024-11-07,132.66,136.23,132.21,135.64,2020800
2024-11-06,134.73,134.73,129.98,132.42,2928700
2024-11-05,132.45,133.91,131.81,133.86,2355400
2024-11-04,132.42,133.62,132.11,133.05,2131800
2024-11-01,134.27,135.39,131.9,132.02,2217100
2024-10-31,136.09,137.32,133.37,133.62,3980900
2024-10-30,136.17,138.49,135.67,137.15,3679200
2024-10-29,132.37,136.44,132.15,136.06,4160400
2024-10-28,129.57,130.31,128.71,129.35,2282300
2024-10-25,131.16,131.42,128.91,128.98,1837100
2024-10-24,130.21,131.21,129.87,130.8,1197200
2024-10-23,128.69,131.03,128.46,130.54,1676600
2024-10-22,128.27,129.48,128.04,128.87,1415900
2024-10-21,130.72,131.3,128.57,128.84,2416600
2024-10-18,130.19,131.03,129.5,131.0,2187200
2024-10-17,129.58,129.78,128.78,129.52,1971500
2024-10-16,127.99,129.53,127.62,129.13,1560500
2024-10-15,127.28,128.82,126.9,128.04,2442800
2024-10-14,124.99,126.71,124.54,126.41,2195700
2024-10-11,123.18,124.14,122.44,124.01,1758300
2024-10-10,123.2,123.29,121.2,121.96,1722200
2024-10-09,123.63,123.7,122.09,123.18,2413600
2024-10-08,123.34,123.83,122.66,123.6,2092200
2024-10-07,123.74,124.36,122.83,123.11,2857600
2024-10-04,124.15,124.72,123.38,124.39,1966600
2024-10-03,126.15,126.57,125.04,125.28,1702500
2024-10-02,125.24,126.77,124.94,125.84,2047400
2024-10-01,127.11,127.3,125.72,126.39,1981800
2024-09-30,125.65,126.83,125.02,126.83,3515400
2024-09-27,126.16,126.33,125.03,126.01,2286000
2024-09-26,127.71,127.87,124.93,125.37,3376000
2024-09-25,127.11,128.33,127.07,127.87,2777800
2024-09-24,125.93,127.19,125.66,126.41,2389700
2024-09-23,124.65,127.51,124.33,127.39,2410000
2024-09-20,122.82,125.12,121.9,124.1,10565700
2024-09-19,126.47,127.26,123.33,124.22,3091300
2024-09-18,126.45,127.52,125.59,126.48,2729300
2024-09-17,127.74,128.35,125.87,126.27,2110300
