Date,Open,High,Low,Close,Volume
2025-03-19,5.57,5.98,5.51,5.9,353742
2025-03-18,6.0,6.13,5.46,5.6,745100
2025-03-17,5.28,6.0,5.14,5.87,996000
2025-03-14,4.9,5.26,4.66,5.24,333600
2025-03-13,4.36,5.18,4.28,4.9,473800
2025-03-12,4.1,4.53,4.1,4.31,149500
2025-03-11,3.96,4.05,3.95,4.02,65800
2025-03-10,4.07,4.2,3.97,3.99,100300
2025-03-07,3.91,4.13,3.91,4.13,94700
2025-03-06,3.92,3.99,3.85,3.95,68400
2025-03-05,3.75,3.99,3.67,3.95,105400
2025-03-04,3.72,3.8,3.68,3.76,34600
2025-03-03,3.8,3.89,3.69,3.69,34100
2025-02-28,3.79,3.82,3.75,3.81,59200
2025-02-27,3.7,3.95,3.7,3.83,91900
2025-02-26,3.86,3.92,3.61,3.71,128300
2025-02-25,4.21,4.25,3.68,3.95,183200
2025-02-24,3.88,4.15,3.86,4.14,135500
2025-02-21,3.85,3.99,3.62,3.88,135600
2025-02-20,3.97,3.97,3.8,3.86,77700
2025-02-19,4.21,4.27,3.88,3.91,82900
2025-02-18,3.5,4.18,3.47,4.06,276900
2025-02-14,3.52,3.52,3.33,3.47,53000
2025-02-13,3.37,3.37,3.26,3.36,141800
2025-02-12,3.23,3.37,3.22,3.35,87100
2025-02-11,3.3,3.33,3.2,3.32,81700
2025-02-10,3.25,3.32,3.19,3.19,54000
2025-02-07,3.26,3.3,3.15,3.27,61000
2025-02-06,3.15,3.31,3.13,3.25,71900
2025-02-05,3.32,3.32,3.12,3.15,39400
2025-02-04,3.24,3.31,3.23,3.3,58200
2025-02-03,3.14,3.29,3.13,3.24,45900
2025-01-31,3.21,3.28,3.15,3.17,32700
2025-01-30,3.25,3.34,3.23,3.25,70200
2025-01-29,3.38,3.45,3.23,3.31,44600
2025-01-28,3.28,3.38,3.27,3.34,69200
2025-01-27,3.26,3.39,3.25,3.32,45200
2025-01-24,3.25,3.37,3.2,3.28,55400
2025-01-23,3.21,3.34,3.16,3.3,76000
2025-01-22,3.48,3.48,3.22,3.24,54700
2025-01-21,3.43,3.59,3.38,3.45,130700
2025-01-17,3.14,3.37,3.14,3.37,73800
2025-01-16,3.09,3.14,3.06,3.1,79700
2025-01-15,3.04,3.27,3.04,3.12,77600
2025-01-14,3.14,3.15,3.01,3.03,117400
2025-01-13,3.15,3.21,3.05,3.13,103400
2025-01-10,3.1,3.19,3.06,3.18,106500
2025-01-08,3.23,3.24,3.13,3.14,53100
2025-01-07,3.32,3.4,3.18,3.24,125500
2025-01-06,3.52,3.61,3.31,3.32,149800
2025-01-03,3.85,3.85,3.5,3.51,116100
2025-01-02,3.94,4.06,3.73,3.84,116700
2024-12-31,4.09,4.15,3.88,3.98,139800
2024-12-30,4.46,4.46,4.06,4.1,99900
2024-12-27,4.72,4.8,4.37,4.43,204300
2024-12-26,4.69,4.89,4.65,4.77,187900
2024-12-24,4.59,4.83,4.59,4.69,221500
2024-12-23,4.51,4.68,4.46,4.58,309000
2024-12-20,4.41,4.61,4.4,4.54,148100
2024-12-19,4.4,4.56,4.32,4.44,253300
2024-12-18,4.64,4.65,4.36,4.4,225400
2024-12-17,4.75,4.84,4.62,4.65,255600
2024-12-16,4.74,4.94,4.74,4.77,233600
2024-12-13,4.91,4.99,4.72,4.77,227800
2024-12-12,4.94,5.02,4.89,4.92,217200
2024-12-11,5.0,5.09,4.91,4.91,197600
2024-12-10,4.91,5.1,4.91,4.97,233700
2024-12-09,5.06,5.22,4.93,5.02,477100
2024-12-06,4.82,5.0,4.7,4.98,239800
2024-12-05,4.84,5.0,4.8,4.82,210100
2024-12-04,4.71,4.94,4.68,4.83,268100
2024-12-03,5.15,5.18,4.63,4.68,393800
2024-12-02,5.02,5.18,4.91,5.11,226900
2024-11-29,4.72,5.02,4.72,5.02,259700
2024-11-27,4.8,4.85,4.71,4.78,275300
2024-11-26,4.52,4.85,4.5,4.74,421800
2024-11-25,4.53,4.57,4.35,4.53,366000
2024-11-22,4.38,4.68,4.34,4.51,360200
2024-11-21,4.36,4.61,4.3,4.46,626800
2024-11-20,3.83,4.44,3.68,4.4,557100
2024-11-19,3.89,3.98,3.89,3.95,400000
2024-11-18,4.06,4.06,3.82,3.89,400200
2024-11-15,3.98,4.07,3.98,4.01,119000
2024-11-14,3.97,4.13,3.95,4.0,266900
2024-11-13,3.88,4.06,3.88,4.0,322100
2024-11-12,3.99,4.04,3.86,3.9,330300
2024-11-11,3.88,4.06,3.88,4.0,198300
2024-11-08,3.83,3.94,3.79,3.9,124800
2024-11-07,3.96,4.0,3.77,3.87,276300
2024-11-06,3.89,3.93,3.81,3.9,212200
2024-11-05,3.81,4.0,3.8,3.95,226600
2024-11-04,3.89,3.91,3.77,3.8,317700
2024-11-01,3.79,3.96,3.79,3.89,385800
2024-10-31,3.78,3.85,3.74,3.8,185900
2024-10-30,3.68,3.85,3.68,3.8,269600
2024-10-29,3.71,3.78,3.65,3.72,293100
2024-10-28,3.48,3.72,3.41,3.7,302400
2024-10-25,3.66,3.69,3.5,3.5,475000
2024-10-24,3.63,3.68,3.61,3.65,247600
2024-10-23,3.67,3.79,3.65,3.67,194300
2024-10-22,3.64,3.72,3.59,3.67,232000
2024-10-21,3.56,3.69,3.53,3.65,131100
2024-10-18,3.66,3.77,3.64,3.65,331500
2024-10-17,3.53,3.62,3.46,3.58,212500
2024-10-16,3.47,3.64,3.46,3.57,167000
2024-10-15,3.48,3.55,3.42,3.45,315600
2024-10-14,3.68,3.83,3.44,3.58,380100
2024-10-11,3.55,3.82,3.55,3.76,320100
2024-10-10,3.33,3.67,3.26,3.62,310900
2024-10-09,3.35,3.39,3.3,3.36,263900
2024-10-08,3.2,3.54,3.2,3.35,401500
2024-10-07,3.55,3.58,3.28,3.4,392200
2024-10-04,3.46,3.52,3.37,3.49,174400
2024-10-03,3.25,3.42,3.2,3.41,200300
2024-10-02,3.65,3.71,3.29,3.41,345900
2024-10-01,3.51,3.51,3.34,3.46,339100
2024-09-30,3.55,3.65,3.14,3.41,922000
2024-09-27,3.59,3.62,3.28,3.37,376900
