Date,Open,High,Low,Close,Volume
2025-03-13,2.26,2.7,2.26,2.7,2500
2025-03-12,2.27,2.27,2.27,2.27,0
2025-03-11,2.43,2.43,2.27,2.27,1400
2025-03-10,2.45,2.45,2.45,2.45,0
2025-03-07,2.44,2.45,2.44,2.45,2900
2025-03-06,2.45,2.45,2.45,2.45,0
2025-03-05,2.45,2.45,2.45,2.45,100
2025-03-04,2.55,2.55,2.55,2.55,0
2025-03-03,2.55,2.57,2.55,2.55,2600
2025-02-28,2.62,2.62,2.57,2.57,700
2025-02-27,2.87,2.87,2.64,2.64,300
2025-02-26,2.87,2.87,2.87,2.87,0
2025-02-25,2.73,2.87,2.73,2.87,300
2025-02-24,2.83,2.83,2.66,2.66,2900
2025-02-21,3.01,3.01,3.01,3.01,100
2025-02-20,3.01,3.01,2.85,2.85,6400
2025-02-19,3.08,3.08,3.01,3.01,900
2025-02-18,3.15,3.15,3.1,3.1,500
2025-02-14,3.1,3.1,3.02,3.02,2400
2025-02-13,3.02,3.22,3.01,3.22,1500
2025-02-12,3.15,3.16,3.01,3.01,3400
2025-02-11,3.23,3.35,3.06,3.06,7100
2025-02-10,2.94,3.22,2.84,2.9,5500
2025-02-07,3.0,3.09,3.0,3.09,3500
2025-02-06,2.98,3.0,2.98,3.0,700
2025-02-05,3.12,3.12,3.05,3.05,1800
2025-02-04,3.23,3.23,3.06,3.1,9000
2025-02-03,2.61,3.12,2.6,3.09,17700
2025-01-31,2.7,2.73,2.62,2.62,2900
2025-01-30,2.63,2.69,2.63,2.65,2400
2025-01-29,2.5,2.6,2.5,2.6,1100
2025-01-28,2.44,2.68,2.28,2.48,1000
2025-01-27,2.69,2.69,2.69,2.69,0
2025-01-24,2.55,2.69,2.34,2.69,3800
2025-01-23,2.55,2.55,2.55,2.55,200
2025-01-22,2.71,2.71,2.71,2.71,500
2025-01-21,2.86,2.86,2.86,2.86,0
2025-01-17,2.58,3.0,2.58,2.86,6800
2025-01-16,2.95,2.95,2.78,2.85,1800
2025-01-15,2.75,2.95,2.64,2.64,1300
2025-01-14,2.87,2.89,2.87,2.89,200
2025-01-13,2.76,2.76,2.76,2.76,800
2025-01-10,2.7,2.7,2.7,2.7,300
2025-01-08,2.71,2.96,2.7,2.96,900
2025-01-07,3.1,3.1,2.71,2.71,700
2025-01-06,3.26,3.26,2.7,2.7,5400
2025-01-03,3.24,3.4,2.15,3.4,11300
2025-01-02,3.26,3.75,3.23,3.23,4800
2024-12-31,1.95,3.81,1.95,3.11,37600
2024-12-30,1.91,1.99,1.9,1.99,500
2024-12-27,2.04,2.1,1.84,1.84,4700
2024-12-26,2.05,2.11,2.0,2.0,2300
2024-12-24,2.01,2.01,1.75,1.75,2500
2024-12-23,2.08,2.08,2.05,2.05,600
2024-12-20,2.0,2.18,2.0,2.09,3600
2024-12-19,2.0,2.05,2.0,2.0,10100
2024-12-18,2.5,2.5,2.27,2.35,7200
2024-12-17,2.7,2.7,2.44,2.5,700
2024-12-16,3.01,3.01,2.51,2.71,4400
2024-12-13,3.01,3.34,3.01,3.34,300
2024-12-12,3.18,3.18,3.18,3.18,0
2024-12-11,3.1,3.18,3.1,3.18,1800
2024-12-10,3.0,3.01,3.0,3.01,300
2024-12-09,3.07,3.2,2.94,3.0,2900
2024-12-06,3.3,3.32,3.2,3.2,2100
2024-12-05,3.07,3.31,3.07,3.3,1700
2024-12-04,3.35,3.35,3.08,3.31,1700
2024-12-03,3.61,3.79,3.35,3.39,3100
2024-12-02,3.6,3.6,3.6,3.6,700
2024-11-29,3.7,3.7,3.6,3.6,800
2024-11-27,3.6,3.6,3.6,3.6,1200
2024-11-26,3.67,3.67,3.67,3.67,1000
2024-11-25,4.08,4.17,3.41,3.49,5900
2024-11-22,3.1,4.73,3.0,4.0,24200
2024-11-21,3.03,3.28,3.0,3.1,20800
2024-11-20,2.68,3.29,2.55,3.29,18400
2024-11-19,2.7,2.7,2.55,2.55,7100
2024-11-18,2.3,2.7,2.2,2.69,47100
2024-11-15,2.12,2.12,2.12,2.12,200
2024-11-14,2.0,2.2,2.0,2.12,1900
2024-11-13,1.84,2.2,1.6,2.09,10900
2024-11-12,1.95,1.95,1.51,1.52,6700
2024-11-11,1.95,1.95,1.95,1.95,1300
2024-11-08,1.8,1.84,1.8,1.8,5600
2024-11-07,1.82,1.82,1.82,1.82,500
2024-11-06,1.77,1.77,1.77,1.77,0
2024-11-05,1.75,1.85,1.75,1.77,2700
2024-11-04,1.97,1.97,1.97,1.97,300
2024-11-01,1.82,1.97,1.75,1.97,2300
2024-10-31,1.7,1.7,1.7,1.7,0
2024-10-30,1.8,1.83,1.67,1.7,10500
2024-10-29,1.85,1.85,1.77,1.8,2300
2024-10-28,1.9,1.9,1.9,1.9,0
2024-10-25,2.05,2.05,1.9,1.9,4100
2024-10-24,2.15,2.15,1.91,1.91,13200
2024-10-23,2.03,2.03,2.02,2.02,8400
2024-10-22,2.06,2.09,2.03,2.03,400
2024-10-21,2.15,2.15,2.0,2.07,11400
2024-10-18,2.22,2.22,2.0,2.0,4000
2024-10-17,2.18,2.4,2.18,2.25,2800
2024-10-16,2.22,2.22,2.18,2.18,2600
2024-10-15,2.26,2.45,2.25,2.45,2400
2024-10-14,2.18,2.42,2.18,2.35,4600
2024-10-11,2.46,2.46,2.26,2.42,3500
2024-10-10,2.54,2.54,2.51,2.51,300
2024-10-09,2.58,2.66,2.29,2.54,10600
2024-10-08,2.66,2.66,2.66,2.66,0
2024-10-07,2.65,2.79,2.65,2.66,11100
2024-10-04,2.8,2.8,2.65,2.65,4400
2024-10-03,2.6,2.69,2.6,2.68,7200
2024-10-02,2.36,2.65,2.36,2.6,1700
2024-10-01,2.25,2.4,2.25,2.4,2500
2024-09-30,2.33,2.35,2.33,2.35,800
2024-09-27,2.44,2.44,2.19,2.28,7000
2024-09-26,2.25,2.4,2.25,2.4,2100
2024-09-25,2.25,2.25,2.2,2.2,4500
2024-09-24,2.24,2.34,2.2,2.22,3800
2024-09-23,2.14,2.14,2.14,2.14,200
2024-09-20,1.95,2.01,1.95,2.01,6400
2024-09-19,1.9,1.99,1.79,1.96,4700
2024-09-18,1.95,1.95,1.95,1.95,1000
2024-09-17,2.0,2.0,1.9,1.95,12300
2024-09-16,2.05,2.05,1.95,1.96,2200
2024-09-13,2.02,2.1,2.02,2.05,1800
2024-09-12,2.1,2.1,2.1,2.1,0
2024-09-11,2.1,2.1,2.1,2.1,2300
2024-09-10,2.0,2.1,2.0,2.1,3800
2024-09-09,2.09,2.09,2.09,2.09,100
2024-09-06,2.13,2.13,2.11,2.11,300
2024-09-05,2.11,2.2,2.11,2.2,5300
2024-09-04,2.32,2.33,2.32,2.33,1600
2024-09-03,2.12,2.2,2.12,2.2,25300
2024-08-30,2.2,2.2,2.1,2.1,3600
2024-08-29,1.9,2.21,1.9,2.15,5700
2024-08-28,2.0,2.0,2.0,2.0,3700
2024-08-27,1.86,2.01,1.86,1.98,2300
2024-08-26,2.1,2.1,1.88,2.1,5600
2024-08-23,2.05,2.1,2.05,2.1,500
2024-08-22,2.0,2.0,2.0,2.0,1100
2024-08-21,1.9,2.07,1.75,2.07,9000
2024-08-20,1.85,1.85,1.71,1.75,2300
2024-08-19,1.9,1.9,1.85,1.85,2100
