Date,Open,High,Low,Close,Volume
2025-03-18,0.79,0.79,0.73,0.77,93811
2025-03-17,0.79,0.8,0.75,0.79,48900
2025-03-14,0.78,0.82,0.76,0.79,68600
2025-03-13,0.82,0.84,0.8,0.8,64100
2025-03-12,0.95,0.96,0.8,0.82,1135900
2025-03-11,0.93,0.98,0.9,0.95,32000
2025-03-10,0.96,1.0,0.92,0.94,22600
2025-03-07,0.89,1.06,0.86,0.98,172600
2025-03-06,0.94,0.94,0.85,0.89,214500
2025-03-05,1.02,1.13,0.94,0.94,6013800
2025-03-04,1.06,1.08,1.01,1.08,58600
2025-03-03,1.11,1.12,1.05,1.05,22200
2025-02-28,1.15,1.17,1.11,1.13,31900
2025-02-27,1.18,1.19,1.15,1.17,38600
2025-02-26,1.11,1.18,1.09,1.18,33500
2025-02-25,1.13,1.16,1.06,1.12,49400
2025-02-24,1.18,1.2,1.11,1.12,69800
2025-02-21,1.25,1.26,1.17,1.22,71200
2025-02-20,1.23,1.25,1.2,1.22,25400
2025-02-19,1.13,1.29,1.12,1.22,201500
2025-02-18,1.2,1.24,1.19,1.19,38500
2025-02-14,1.29,1.32,1.23,1.24,84900
2025-02-13,1.28,1.32,1.26,1.3,37900
2025-02-12,1.26,1.37,1.2,1.31,117400
2025-02-11,1.24,1.27,1.22,1.26,81200
2025-02-10,1.24,1.31,1.2,1.22,130700
2025-02-07,1.25,1.26,1.22,1.23,46900
2025-02-06,1.3,1.32,1.2,1.24,92700
2025-02-05,1.29,1.39,1.25,1.28,97000
2025-02-04,1.3,1.31,1.24,1.28,62400
2025-02-03,1.32,1.37,1.3,1.36,67300
2025-01-31,1.39,1.39,1.34,1.39,32300
2025-01-30,1.35,1.39,1.34,1.38,17100
2025-01-29,1.34,1.42,1.34,1.37,16800
2025-01-28,1.4,1.43,1.35,1.36,40400
2025-01-27,1.44,1.44,1.37,1.41,73200
2025-01-24,1.52,1.52,1.43,1.48,58600
2025-01-23,1.39,1.54,1.33,1.51,212200
2025-01-22,1.49,1.49,1.35,1.4,121500
2025-01-21,1.42,1.54,1.42,1.48,206000
2025-01-17,1.34,1.43,1.33,1.42,131000
2025-01-16,1.36,1.47,1.31,1.35,133200
2025-01-15,1.49,1.54,1.32,1.41,286200
2025-01-14,1.31,1.6,1.31,1.49,724100
2025-01-13,1.43,1.63,1.25,1.33,1264800
2025-01-10,1.65,1.95,1.35,1.47,38305100
2025-01-08,1.18,1.21,1.18,1.18,75400
2025-01-07,1.24,1.27,1.2,1.23,43000
2025-01-06,1.25,1.28,1.19,1.25,77600
2025-01-03,1.1,1.27,1.09,1.24,168500
2025-01-02,1.06,1.12,1.05,1.09,58800
2024-12-31,1.05,1.1,1.04,1.06,52800
2024-12-30,1.11,1.13,1.06,1.07,147600
2024-12-27,1.25,1.29,1.0,1.15,169200
2024-12-26,1.12,1.23,1.1,1.23,62400
2024-12-24,1.17,1.17,1.1,1.15,43100
2024-12-23,1.13,1.23,1.12,1.17,81400
2024-12-20,1.19,1.33,1.08,1.14,281200
2024-12-19,1.12,1.42,1.1,1.24,1237700
2024-12-18,1.03,1.16,1.01,1.1,255700
2024-12-17,1.01,1.05,0.99,1.0,90500
2024-12-16,1.07,1.08,1.02,1.03,60500
2024-12-13,1.08,1.11,1.03,1.05,102100
2024-12-12,1.13,1.13,1.06,1.08,46500
2024-12-11,1.11,1.2,1.1,1.12,94100
2024-12-10,1.07,1.14,1.03,1.14,107200
2024-12-09,1.04,1.15,1.0,1.06,157500
2024-12-06,1.03,1.03,0.99,1.02,42500
2024-12-05,1.03,1.04,0.99,1.03,39200
2024-12-04,1.02,1.02,1.0,1.02,27900
2024-12-03,1.03,1.05,0.98,1.0,110800
2024-12-02,1.08,1.09,1.01,1.03,144500
2024-11-29,1.06,1.09,1.04,1.07,86500
2024-11-27,1.07,1.09,1.03,1.07,118400
2024-11-26,1.12,1.14,1.04,1.07,253500
2024-11-25,1.13,1.14,1.1,1.11,69100
2024-11-22,1.13,1.13,1.06,1.13,141400
2024-11-21,1.14,1.18,1.11,1.14,244900
2024-11-20,1.13,1.19,1.1,1.15,2688900
2024-11-19,1.24,1.29,1.21,1.23,134800
2024-11-18,1.18,1.27,1.1,1.24,274000
2024-11-15,1.12,1.14,1.04,1.08,115600
2024-11-14,1.22,1.22,1.1,1.13,268900
2024-11-13,1.26,1.28,1.17,1.25,117400
2024-11-12,1.25,1.35,1.2,1.26,264500
2024-11-11,1.43,1.43,1.23,1.3,286900
2024-11-08,1.58,1.67,1.27,1.4,324100
2024-11-07,1.45,1.89,1.45,1.52,845500
2024-11-06,1.88,1.88,1.34,1.54,2122900
2024-11-05,2.66,3.37,2.35,2.54,63497900
2024-11-04,1.9,1.93,1.82,1.82,51000
2024-11-01,2.01,2.07,1.88,1.91,57100
2024-10-31,2.0,2.01,1.95,2.01,11300
2024-10-30,2.04,2.07,2.0,2.01,35800
2024-10-29,2.05,2.09,2.02,2.04,53900
2024-10-28,2.1,2.12,2.05,2.09,45200
2024-10-25,2.08,2.11,2.05,2.1,37700
2024-10-24,2.11,2.15,2.01,2.07,103500
