Date,Open,High,Low,Close,Volume
2025-03-13,323.69,323.24,314.61,316.5,2024314
2025-03-12,328.5,330.0,322.89,324.33,3086200
2025-03-11,333.08,334.43,325.55,327.79,3390000
2025-03-10,338.89,339.9,332.53,335.3,3454700
2025-03-07,339.0,342.89,335.91,342.18,4459900
2025-03-06,344.52,347.1,339.82,341.84,3467600
2025-03-05,345.22,348.8,343.46,348.26,2578500
2025-03-04,342.18,349.24,342.0,345.78,3156300
2025-03-03,349.42,351.99,343.01,344.99,3011100
2025-02-28,357.15,359.14,342.41,348.5,5768000
2025-02-27,358.05,361.62,355.37,356.87,2735400
2025-02-26,362.7,363.01,356.86,358.35,2267500
2025-02-25,361.08,365.58,359.5,362.95,1947600
2025-02-24,364.41,366.93,361.06,363.91,2755800
2025-02-21,380.0,382.77,363.93,364.26,3751700
2025-02-20,387.87,390.0,384.25,384.84,2252400
2025-02-19,385.99,392.02,384.44,390.22,1438000
2025-02-18,384.63,390.49,381.49,387.56,3701100
2025-02-14,390.0,391.0,387.43,388.0,2024700
2025-02-13,388.61,390.91,384.73,389.53,3387300
2025-02-12,386.05,391.51,386.0,388.83,2251000
2025-02-11,385.0,390.35,383.89,390.01,2121000
2025-02-10,388.24,390.0,385.19,386.89,1771300
2025-02-07,389.0,390.53,385.36,385.98,2437400
2025-02-06,395.2,397.88,385.92,387.34,2828000
2025-02-05,390.82,398.35,390.42,398.25,3463400
2025-02-04,381.51,392.45,380.55,391.62,3166600
2025-02-03,381.14,386.66,378.54,385.21,2792900
2025-01-31,380.75,387.0,379.64,384.95,3106600
2025-01-30,378.0,385.91,376.72,380.75,2218600
2025-01-29,379.87,381.9,373.18,374.42,2345600
2025-01-28,372.0,382.02,370.75,378.39,4052700
2025-01-27,359.32,373.85,358.93,373.15,3855600
2025-01-24,362.14,364.0,360.15,362.41,1827800
2025-01-23,358.09,363.32,357.65,363.26,2111100
2025-01-22,358.24,360.17,354.84,359.11,3155800
2025-01-21,349.25,356.86,348.0,356.42,3098600
2025-01-17,354.92,357.0,351.91,352.59,4064800
2025-01-16,349.11,353.25,347.0,350.56,2025800
2025-01-15,352.35,355.2,349.06,349.73,2624000
2025-01-14,351.21,352.52,345.63,348.99,1825400
2025-01-13,345.13,350.91,344.37,349.14,2711200
2025-01-10,355.03,358.0,348.74,349.79,2830000
2025-01-08,361.0,363.6,355.35,357.73,2216900
2025-01-07,355.35,363.22,353.81,356.39,4663100
2025-01-06,352.81,354.49,349.65,351.33,2356300
2025-01-03,350.0,354.82,349.09,353.85,2029700
2025-01-02,353.1,354.81,346.11,348.82,2253600
2024-12-31,354.98,355.08,350.43,351.79,1748600
2024-12-30,352.61,354.63,349.23,352.49,1490100
2024-12-27,358.78,360.43,354.0,356.18,1195700
2024-12-26,360.35,361.95,359.07,360.43,910500
2024-12-24,359.95,361.95,358.54,361.63,1075400
2024-12-23,360.58,362.96,355.73,358.77,3549300
2024-12-20,370.7,372.07,362.0,366.37,7013100
2024-12-19,365.0,376.91,363.19,372.16,6075500
2024-12-18,357.3,359.4,347.12,347.61,3232900
2024-12-17,357.36,358.48,353.02,357.3,2479100
2024-12-16,359.55,361.02,356.45,357.06,2306300
2024-12-13,359.58,360.76,356.25,358.68,1808700
2024-12-12,361.31,362.0,355.4,360.18,1834200
2024-12-11,363.85,366.59,363.43,363.84,1541300
2024-12-10,358.52,366.35,357.09,362.9,2157800
2024-12-09,360.45,366.0,358.1,359.5,2185000
2024-12-06,365.3,371.88,361.55,362.7,2332100
2024-12-05,356.07,358.9,354.89,358.13,1821300
2024-12-04,353.67,362.11,353.11,360.03,2074000
2024-12-03,348.8,354.34,346.62,352.54,3044700
2024-12-02,362.77,363.36,356.96,361.38,2445500
2024-11-29,360.15,365.0,360.0,362.37,1311300
2024-11-27,364.08,365.67,360.88,362.16,1657000
2024-11-26,361.99,364.53,360.62,363.18,2106100
2024-11-25,360.0,364.15,358.5,361.29,3054800
2024-11-22,358.24,364.64,357.28,358.66,2211100
2024-11-21,359.52,363.5,358.31,361.05,2240100
2024-11-20,353.71,357.33,351.65,357.07,1792700
2024-11-19,351.25,353.97,349.99,353.95,2447000
2024-11-18,353.57,355.5,351.82,352.79,1759900
2024-11-15,360.28,360.31,348.85,353.57,3614700
2024-11-14,371.38,372.0,361.03,362.07,3503000
2024-11-13,359.54,370.64,359.04,370.22,3353900
2024-11-12,357.64,362.13,356.95,360.61,3233600
2024-11-11,355.0,360.64,354.1,357.3,2985200
2024-11-08,360.77,362.76,355.12,355.53,2289500
2024-11-07,358.0,362.0,356.29,360.71,2250500
2024-11-06,355.9,357.23,353.0,356.13,3009700
2024-11-05,342.79,347.42,342.21,345.49,1553900
2024-11-04,345.26,346.68,341.58,343.9,1931300
2024-11-01,346.94,347.95,344.83,345.67,2579800
2024-10-31,344.63,347.86,342.62,344.82,3078200
2024-10-30,358.0,358.83,345.34,346.57,3916800
2024-10-29,360.91,365.08,359.05,363.04,2642900
2024-10-28,364.0,366.99,360.39,361.32,2717700
2024-10-25,364.0,365.45,359.59,360.8,2129300
2024-10-24,367.5,373.44,363.75,364.23,2311800
2024-10-23,370.84,372.48,368.23,370.63,2211800
2024-10-22,374.62,374.86,371.13,371.79,1740200
2024-10-21,375.0,377.34,374.21,376.03,1785100
2024-10-18,375.51,377.33,373.65,376.86,1893300
2024-10-17,373.0,375.51,371.78,375.15,1906900
2024-10-16,365.69,372.87,364.88,372.26,2110700
2024-10-15,365.43,371.0,365.43,368.66,2955900
2024-10-14,361.58,365.62,361.16,364.6,2256500
2024-10-11,362.52,363.4,360.06,360.74,1436500
2024-10-10,363.56,364.47,358.91,361.07,2088000
2024-10-09,359.52,364.97,359.31,363.6,2046400
2024-10-08,358.07,359.19,356.07,358.92,2348300
2024-10-07,358.54,360.53,354.41,355.35,1536800
2024-10-04,362.72,366.3,358.36,360.77,2131400
2024-10-03,358.09,362.97,357.87,359.78,3646300
2024-10-02,351.28,355.74,349.92,354.85,2421300
2024-10-01,353.55,353.55,348.48,350.55,1827300
2024-09-30,347.09,352.62,346.31,352.05,2424900
2024-09-27,354.89,356.89,347.88,348.28,2575200
2024-09-26,353.57,362.51,348.28,354.37,4454800
2024-09-25,333.78,338.37,332.81,335.68,3552700
2024-09-24,336.57,339.24,333.92,338.24,2842900
2024-09-23,336.01,338.06,332.7,337.83,1998500
2024-09-20,330.97,334.99,330.52,334.86,5231000
2024-09-19,338.62,339.0,330.88,333.88,2645700
2024-09-18,333.64,337.63,331.61,334.82,2150800
2024-09-17,353.66,353.84,334.95,335.67,4528800
2024-09-16,349.42,353.54,348.21,352.68,2536400
2024-09-13,349.68,350.01,347.38,348.16,1812000
2024-09-12,349.06,350.99,343.8,348.47,2182100
2024-09-11,344.96,349.3,340.85,348.89,2121700
2024-09-10,342.42,346.59,340.83,346.29,1655700
2024-09-09,339.25,340.86,337.72,340.42,1569400
2024-09-06,339.32,341.05,335.39,338.46,1613400
2024-09-05,342.82,343.05,338.12,339.55,1195100
2024-09-04,338.62,343.51,337.61,342.6,1478300
2024-09-03,339.98,344.14,338.29,340.49,2049300
2024-08-30,339.62,342.06,337.27,340.56,2004000
2024-08-29,338.87,342.48,337.6,338.83,1612600
2024-08-28,339.18,342.21,333.75,336.02,1528000
2024-08-27,333.82,339.61,333.64,339.0,2154100
2024-08-26,331.73,335.84,330.43,335.41,1692200
2024-08-23,330.32,332.41,328.33,331.92,1518700
2024-08-22,332.54,332.72,328.31,329.23,1679200
2024-08-21,329.5,332.31,329.2,332.25,1233900
2024-08-20,328.59,329.23,326.72,329.03,1790100
2024-08-19,326.23,329.09,325.67,328.1,1678200
2024-08-16,323.59,326.38,321.96,325.59,2292800
2024-08-15,320.97,323.89,320.63,323.81,2271600
2024-08-14,318.7,320.76,316.73,318.53,1404600
2024-08-13,314.83,318.88,313.85,318.04,2269600
2024-08-12,314.19,316.18,311.47,312.69,2276500
2024-08-09,314.92,316.03,311.95,314.55,1851300
2024-08-08,314.02,318.21,313.2,314.6,2213700
2024-08-07,318.65,324.42,316.64,316.73,2327700
2024-08-06,315.71,321.35,314.44,317.39,2284200
2024-08-05,310.35,316.58,308.97,312.47,3186500
2024-08-02,323.67,325.36,319.05,321.84,2682700
2024-08-01,332.53,337.55,325.1,326.75,2538100
2024-07-31,330.3,332.58,327.71,329.28,2606300
2024-07-30,326.16,329.11,325.62,327.87,1985400
2024-07-29,327.33,327.65,322.56,324.88,1629200
2024-07-26,324.6,328.47,323.89,327.13,2438200
2024-07-25,324.27,334.33,322.03,328.78,2764500
2024-07-24,328.04,331.19,326.81,327.35,3286500
2024-07-23,330.09,330.85,326.64,328.99,1994000
2024-07-22,329.38,331.47,328.38,330.17,3419300
2024-07-19,329.75,334.43,326.38,327.86,5376200
2024-07-18,328.07,334.89,326.51,326.77,4563600
2024-07-17,324.63,327.24,322.31,324.28,4383900
2024-07-16,317.09,323.83,316.74,323.68,3640500
2024-07-15,311.4,318.08,311.4,316.58,3866200
2024-07-12,298.38,310.76,297.82,309.37,3951600
2024-07-11,294.24,300.95,292.79,296.78,2988000
2024-07-10,294.41,295.5,288.09,292.96,2283500
2024-07-09,296.58,296.64,292.01,295.56,2479200
2024-07-08,297.94,299.41,293.12,296.95,2557700
2024-07-05,302.35,303.13,295.18,296.63,3158900
2024-07-03,302.19,304.31,301.43,303.18,1751200
2024-07-02,298.4,301.45,298.4,301.28,2177200
2024-07-01,301.18,301.8,297.08,300.01,2411100
2024-06-28,300.99,302.98,299.12,300.86,14905500
2024-06-27,302.44,302.89,298.93,300.64,3162000
2024-06-26,297.4,303.17,296.91,302.06,3162100
2024-06-25,305.39,307.4,302.86,304.59,4498700
2024-06-24,302.79,309.75,302.12,304.63,4399600
2024-06-21,304.45,307.74,300.04,306.38,8481800
2024-06-20,311.99,315.06,295.5,303.59,11374600
2024-06-18,282.91,287.47,282.0,282.95,5314900
2024-06-17,283.82,286.18,281.56,283.13,3559600
2024-06-14,279.05,284.54,278.35,284.3,2966200
2024-06-13,285.25,287.12,279.72,279.95,3119200
2024-06-12,289.18,291.68,283.04,283.33,3749600
2024-06-11,287.68,291.84,286.36,291.75,2457600
2024-06-10,284.97,288.08,284.59,287.99,2509900
2024-06-07,288.99,289.36,285.73,285.98,2626900
2024-06-06,288.75,291.4,288.16,289.29,2363200
2024-06-05,285.84,289.85,285.64,288.57,3002200
2024-06-04,279.39,286.45,277.98,285.64,3498600
2024-06-03,283.94,285.1,278.35,279.39,3596600
2024-05-31,282.41,282.99,276.35,279.92,6882000
2024-05-30,287.53,288.06,281.9,282.41,5007800
2024-05-29,291.68,293.61,288.56,291.3,4480000
2024-05-28,296.85,297.8,293.33,295.23,3530200
2024-05-24,304.31,304.88,297.81,298.46,2048200
2024-05-23,307.53,308.38,302.0,303.36,2526100
2024-05-22,301.41,305.6,301.14,304.53,2432400
2024-05-21,304.21,304.57,300.41,301.09,1866500
2024-05-20,300.96,304.49,299.08,303.13,2418000
2024-05-17,307.14,307.4,297.49,301.04,4232000
2024-05-16,307.06,307.98,304.17,305.41,2583100
2024-05-15,302.44,305.93,298.91,305.93,4230800
2024-05-14,306.3,309.67,303.65,304.37,1813600
2024-05-13,305.56,306.21,304.3,304.83,1695000
2024-05-10,305.41,306.66,303.49,303.76,1786900
2024-05-09,304.42,305.62,300.37,304.03,3238100
2024-05-08,307.51,310.77,307.51,309.37,2296400
2024-05-07,305.31,309.53,305.02,308.05,2483600
2024-05-06,302.61,304.21,300.72,303.49,2361300
2024-05-03,299.98,302.4,299.14,301.16,2767100
2024-05-02,298.23,300.78,295.76,297.82,2684200
2024-05-01,297.61,300.94,295.6,296.15,2617200
2024-04-30,299.46,300.46,297.16,298.38,5225000
2024-04-29,304.48,306.03,299.96,300.61,4719100
2024-04-26,306.81,306.89,304.69,305.42,3371800
2024-04-25,306.59,307.63,302.78,306.4,3639000
2024-04-24,313.19,313.19,308.08,310.91,4133800
2024-04-23,315.8,317.12,313.83,314.17,2000300
2024-04-22,315.86,316.38,312.85,314.75,2433300
2024-04-19,315.19,315.87,311.96,314.22,3381500
2024-04-18,310.0,315.1,309.39,313.34,3025100
2024-04-17,314.21,314.36,309.98,311.9,2760000
2024-04-16,312.49,312.99,309.22,311.3,2900300
2024-04-15,313.39,318.9,309.56,310.64,2997900
2024-04-12,318.27,319.79,310.56,312.75,4207400
2024-04-11,323.31,324.25,320.54,322.46,2204200
2024-04-10,325.59,326.75,320.92,321.67,2156700
2024-04-09,329.57,330.78,325.79,330.36,2416600
2024-04-08,329.95,330.9,327.62,327.74,2431900
2024-04-05,327.48,329.74,326.29,328.93,3694700
2024-04-04,330.03,333.86,326.13,326.43,2273000
2024-04-03,332.13,333.07,327.83,328.22,1975700
2024-04-02,332.55,334.74,328.93,332.35,2453300
2024-04-01,340.64,340.78,333.94,335.02,2320200
2024-03-28,337.25,342.74,336.67,342.37,3614900
2024-03-27,333.75,338.17,333.75,336.77,3295200
2024-03-26,331.04,333.71,330.25,332.28,3006500
2024-03-25,331.9,331.9,325.66,329.74,5320000
2024-03-22,346.05,346.18,331.68,333.37,5899300
2024-03-21,359.54,364.52,338.09,340.81,9574800
2024-03-20,373.41,376.61,370.61,375.79,2877600
