Date,Open,High,Low,Close,Volume
2025-03-19,204.57,204.76,202.8,204.03,112660
2025-03-18,209.46,209.95,204.97,205.34,1894300
2025-03-17,206.12,211.15,205.71,210.1,3318900
2025-03-14,202.65,207.86,201.25,207.49,2546000
2025-03-13,199.0,202.25,199.0,202.0,1674200
2025-03-12,201.21,201.42,192.83,198.25,2688800
2025-03-11,198.49,203.6,194.16,201.58,3412600
2025-03-10,198.63,203.53,197.32,198.74,2711800
2025-03-07,196.32,200.42,194.8,199.73,1957900
2025-03-06,197.16,197.55,194.57,196.45,1460100
2025-03-05,199.95,200.49,195.95,198.57,1598200
2025-03-04,201.25,201.49,197.43,198.04,2513400
2025-03-03,198.54,202.29,198.54,201.05,1775200
2025-02-28,195.96,198.94,194.7,198.16,3365900
2025-02-27,189.52,194.21,188.45,194.09,1397600
2025-02-26,189.16,190.0,186.62,187.49,1269200
2025-02-25,189.3,190.47,187.98,189.53,912200
2025-02-24,185.71,189.35,185.56,187.81,2009400
2025-02-21,187.99,188.8,184.48,184.74,1428000
2025-02-20,189.05,189.54,184.68,188.24,1382200
2025-02-19,187.76,190.83,187.04,190.65,1142800
2025-02-18,187.3,189.9,186.79,188.01,3622000
2025-02-14,191.15,191.73,184.87,186.7,3917900
2025-02-13,189.05,192.12,187.27,191.81,1889100
2025-02-12,187.15,188.52,185.1,188.39,2641300
2025-02-11,185.97,189.91,183.82,188.49,1374600
2025-02-10,188.78,189.2,184.61,185.65,1544200
2025-02-07,191.04,191.8,187.09,189.29,1928100
2025-02-06,194.03,198.05,188.96,190.92,2641200
2025-02-05,192.37,192.37,189.97,192.05,1288600
2025-02-04,190.23,192.52,189.53,189.92,1109100
2025-02-03,189.93,191.81,186.56,191.02,1223700
2025-01-31,193.03,193.61,191.32,191.37,1619400
2025-01-30,191.86,193.44,190.83,192.86,879600
2025-01-29,189.02,191.99,188.86,189.86,724800
2025-01-28,191.12,191.96,189.28,190.01,875600
2025-01-27,186.39,192.31,186.28,192.23,1518700
2025-01-24,183.63,185.57,182.98,185.14,1215500
2025-01-23,184.33,187.08,183.29,183.74,2241700
2025-01-22,190.07,190.93,183.98,184.33,1856800
2025-01-21,189.28,192.36,188.57,188.8,1609200
2025-01-17,190.36,191.93,187.69,187.96,1519000
2025-01-16,187.47,191.0,186.84,190.15,1502000
2025-01-15,188.06,189.21,186.02,187.09,1672300
2025-01-14,182.38,186.14,181.03,185.88,1554500
2025-01-13,177.51,183.43,177.24,181.63,2381500
2025-01-10,187.68,189.8,175.58,180.09,4642100
2025-01-08,187.78,190.88,184.1,190.84,2401700
2025-01-07,185.16,186.67,183.27,185.11,2265500
2025-01-06,190.67,191.59,184.43,184.98,2622900
2025-01-03,191.76,192.54,189.89,190.5,1431600
2025-01-02,192.07,192.79,189.47,190.99,1721900
2024-12-31,191.57,192.44,190.84,191.83,758000
2024-12-30,191.89,192.17,188.81,191.59,1041700
2024-12-27,193.19,194.81,191.63,192.83,1094400
2024-12-26,194.49,194.94,193.55,194.65,563300
2024-12-24,192.9,194.84,191.96,194.55,453200
2024-12-23,191.59,192.87,190.74,192.67,1336100
2024-12-20,187.49,193.95,186.48,192.6,2351800
2024-12-19,188.72,191.17,187.44,188.84,1478500
2024-12-18,191.53,192.73,188.15,188.31,1378400
