Date,Open,High,Low,Close,Volume
2025-03-13,265.66,268.42,257.77,258.27,100320
2025-03-12,270.83,272.98,262.32,263.96,444600
2025-03-11,267.0,272.15,266.02,268.05,264400
2025-03-10,276.83,278.11,264.95,267.65,293500
2025-03-07,278.48,282.85,275.23,282.2,329000
2025-03-06,272.37,281.04,271.1,280.36,570900
2025-03-05,276.28,278.67,272.88,276.84,436700
2025-03-04,277.66,281.28,269.98,274.25,455200
2025-03-03,298.38,299.62,280.85,284.99,435400
2025-02-28,297.3,298.49,290.65,297.13,518000
2025-02-27,305.94,306.6,298.8,299.1,349100
2025-02-26,310.13,316.26,308.29,309.93,300600
2025-02-25,305.43,311.5,303.65,307.86,272700
2025-02-24,309.76,311.63,305.77,306.02,207100
2025-02-21,321.47,321.47,306.66,309.25,261800
2025-02-20,324.46,326.07,316.97,321.2,169800
2025-02-19,325.34,329.73,324.42,326.54,188400
2025-02-18,330.73,333.0,327.0,329.59,147200
2025-02-14,327.76,331.64,326.44,329.09,198700
2025-02-13,325.55,326.8,322.05,325.3,153900
2025-02-12,315.01,324.15,315.01,323.74,193700
2025-02-11,317.45,324.94,316.07,323.89,233700
2025-02-10,325.32,329.61,317.76,320.11,304500
2025-02-07,328.19,330.48,322.46,323.71,188600
2025-02-06,324.46,328.93,322.9,328.72,255300
2025-02-05,319.76,326.33,316.94,324.11,190700
2025-02-04,319.07,320.05,315.89,317.09,213900
2025-02-03,322.77,325.33,302.7,316.29,482200
2025-01-31,334.17,336.72,330.39,332.22,284600
2025-01-30,330.85,339.48,325.9,334.5,283200
2025-01-29,327.35,332.6,321.15,328.36,238000
2025-01-28,329.23,329.34,322.37,327.36,189500
2025-01-27,328.46,332.92,321.08,328.63,266200
2025-01-24,342.77,345.12,333.24,334.84,250600
2025-01-23,335.48,340.57,334.15,336.9,253500
2025-01-22,336.63,339.17,333.66,336.68,234500
2025-01-21,334.03,336.05,330.85,335.61,284100
2025-01-17,335.42,336.85,328.94,330.19,263400
2025-01-16,326.88,331.93,325.02,330.58,269600
2025-01-15,328.11,328.11,322.62,326.02,353100
2025-01-14,312.72,325.59,312.35,321.81,669100
2025-01-13,301.09,306.28,300.93,306.2,392400
2025-01-10,310.35,312.04,302.8,305.1,445500
2025-01-08,303.84,313.57,297.36,313.48,552600
2025-01-07,305.53,307.47,300.37,303.71,744600
2025-01-06,302.57,309.79,302.57,307.4,620000
2025-01-03,295.12,304.12,295.12,301.45,324600
2025-01-02,296.33,301.34,295.35,298.37,276800
2024-12-31,296.0,296.0,291.12,291.98,260600
2024-12-30,294.85,296.59,291.62,294.02,173800
2024-12-27,301.55,303.04,296.54,297.58,186500
2024-12-26,303.02,303.29,299.79,302.85,140100
2024-12-24,302.31,303.53,300.31,303.0,72600
2024-12-23,300.84,303.27,299.03,302.18,267600
2024-12-20,300.33,306.11,299.77,302.55,1830400
2024-12-19,302.8,308.82,300.74,302.69,415300
2024-12-18,314.62,316.87,300.05,300.32,291600
2024-12-17,314.84,318.03,311.02,312.69,224800
2024-12-16,317.33,320.76,315.51,317.72,191200
2024-12-13,321.94,323.56,317.36,317.58,227400
2024-12-12,324.08,324.86,321.36,322.61,195000
2024-12-11,322.84,325.4,318.78,323.33,233600
2024-12-10,320.5,322.11,318.22,319.07,225600
2024-12-09,323.41,325.1,320.79,321.25,286400
2024-12-06,326.3,326.71,321.64,324.56,218400
2024-12-05,328.65,329.81,322.68,323.27,352200
2024-12-04,331.54,332.68,324.41,327.98,293800
2024-12-03,322.5,327.55,321.14,324.74,437500
2024-12-02,321.84,324.14,320.52,321.91,252000
2024-11-29,321.72,324.89,320.53,320.53,130600
2024-11-27,323.43,326.65,319.74,320.0,203000
2024-11-26,327.51,327.51,321.7,323.21,249200
2024-11-25,327.98,335.97,327.98,329.62,376100
2024-11-22,320.41,326.99,320.41,326.07,236700
2024-11-21,316.2,323.06,315.54,320.25,224100
2024-11-20,318.17,318.9,314.74,315.46,241400
2024-11-19,319.54,321.99,316.68,316.79,322000
2024-11-18,325.84,327.45,323.13,323.3,232500
2024-11-15,328.28,331.97,325.46,325.7,251300
