Date,Open,High,Low,Close,Volume
2025-03-13,0.84,0.84,0.84,0.84,4400
2025-03-12,0.85,0.85,0.79,0.82,3900
2025-03-11,0.85,0.85,0.82,0.82,1600
2025-03-10,0.79,0.83,0.79,0.82,6700
2025-03-07,0.78,0.79,0.78,0.79,4900
2025-03-06,0.83,0.87,0.78,0.8,51500
2025-03-05,0.9,0.9,0.86,0.86,3800
2025-03-04,0.8,0.9,0.8,0.9,8500
2025-03-03,0.8,0.87,0.8,0.83,3300
2025-02-28,0.87,0.87,0.85,0.85,1300
2025-02-27,0.9,0.9,0.84,0.87,1800
2025-02-26,0.9,0.9,0.82,0.82,2800
2025-02-25,0.93,0.93,0.85,0.9,15600
2025-02-24,0.87,0.93,0.85,0.86,16700
2025-02-21,0.87,0.87,0.84,0.86,3500
2025-02-20,0.83,0.85,0.8,0.83,14000
2025-02-19,0.86,0.92,0.83,0.87,17200
2025-02-18,0.9,0.9,0.86,0.86,28900
2025-02-14,0.87,0.9,0.87,0.88,6700
2025-02-13,0.88,0.9,0.87,0.9,4800
2025-02-12,0.86,0.9,0.86,0.87,5800
2025-02-11,0.87,0.89,0.87,0.87,5000
2025-02-10,0.9,0.9,0.86,0.9,17700
2025-02-07,0.86,0.9,0.86,0.89,18900
2025-02-06,0.9,0.9,0.86,0.88,5500
2025-02-05,0.88,0.88,0.88,0.88,300
2025-02-04,0.9,0.9,0.86,0.86,5500
2025-02-03,0.88,0.9,0.86,0.9,9300
2025-01-31,0.92,0.92,0.88,0.89,1800
2025-01-30,0.86,0.92,0.86,0.91,14300
2025-01-29,0.9,0.93,0.9,0.91,4600
2025-01-28,0.86,0.9,0.86,0.9,3600
2025-01-27,0.9,0.9,0.86,0.86,4800
2025-01-24,0.9,0.9,0.86,0.86,12100
2025-01-23,0.87,0.98,0.87,0.93,7000
2025-01-22,0.89,0.89,0.87,0.88,6400
2025-01-21,0.9,0.9,0.87,0.88,27100
2025-01-17,0.9,0.9,0.85,0.89,15300
2025-01-16,0.92,0.92,0.85,0.88,40300
2025-01-15,0.93,1.04,0.87,0.9,38900
2025-01-14,0.94,0.94,0.83,0.9,14600
2025-01-13,0.87,0.87,0.83,0.87,7400
2025-01-10,0.82,0.87,0.81,0.85,5900
2025-01-08,0.82,0.82,0.8,0.81,10900
2025-01-07,0.81,0.82,0.8,0.8,4600
2025-01-06,0.82,0.82,0.8,0.8,49500
2025-01-03,0.85,0.85,0.72,0.82,41500
2025-01-02,0.8,0.85,0.76,0.84,26700
2024-12-31,0.82,0.88,0.71,0.77,77500
2024-12-30,0.92,0.92,0.83,0.83,32200
2024-12-27,0.83,0.87,0.82,0.86,7400
2024-12-26,0.88,0.88,0.83,0.84,2200
2024-12-24,0.88,0.88,0.88,0.88,200
2024-12-23,0.89,0.89,0.78,0.88,9200
2024-12-20,0.87,0.89,0.86,0.86,20800
2024-12-19,0.88,0.88,0.85,0.86,3800
2024-12-18,0.88,0.88,0.83,0.86,10300
2024-12-17,0.94,0.94,0.86,0.88,7200
2024-12-16,0.93,0.93,0.83,0.84,18000
2024-12-13,0.84,0.84,0.83,0.84,16900
2024-12-12,0.83,0.84,0.83,0.84,29200
2024-12-11,0.78,0.81,0.78,0.8,8500
2024-12-10,0.84,0.84,0.78,0.78,18300
2024-12-09,0.85,0.85,0.83,0.84,7800
2024-12-06,0.85,0.85,0.8,0.83,26100
2024-12-05,0.83,0.84,0.8,0.84,29100
2024-12-04,0.85,0.85,0.8,0.82,20000
2024-12-03,0.8,0.83,0.79,0.8,10800
2024-12-02,0.78,0.79,0.77,0.79,7200
2024-11-29,0.78,0.78,0.77,0.77,4300
2024-11-27,0.8,0.8,0.75,0.77,9300
2024-11-26,0.76,0.78,0.75,0.75,19500
2024-11-25,0.81,0.81,0.75,0.76,8300
2024-11-22,0.78,0.81,0.75,0.81,5400
2024-11-21,0.81,0.81,0.78,0.81,8300
2024-11-20,0.79,0.81,0.77,0.77,6600
2024-11-19,0.81,0.81,0.74,0.8,2900
2024-11-18,0.74,0.75,0.74,0.74,6700
2024-11-15,0.74,0.81,0.74,0.81,1300
2024-11-14,0.81,0.81,0.79,0.79,1300
2024-11-13,0.81,0.81,0.77,0.79,3800
2024-11-12,0.8,0.81,0.79,0.81,4500
2024-11-11,0.8,0.8,0.75,0.75,3300
2024-11-08,0.8,0.8,0.74,0.74,12700
2024-11-07,0.82,0.82,0.82,0.82,3000
2024-11-06,0.77,0.82,0.74,0.78,24500
2024-11-05,0.77,0.77,0.77,0.77,300
2024-11-04,0.75,0.77,0.75,0.77,300
2024-11-01,0.74,0.74,0.74,0.74,200
2024-10-31,0.77,0.77,0.77,0.77,1000
2024-10-30,0.77,0.77,0.77,0.77,300
2024-10-29,0.77,0.77,0.76,0.76,2100
2024-10-28,0.76,0.76,0.76,0.76,0
2024-10-25,0.77,0.77,0.76,0.76,20300
2024-10-24,0.77,0.77,0.73,0.73,1800
2024-10-23,0.74,0.76,0.74,0.76,1700
2024-10-22,0.77,0.77,0.76,0.76,10400
2024-10-21,0.73,0.77,0.73,0.77,3900
2024-10-18,0.75,0.77,0.75,0.77,700
2024-10-17,0.72,0.73,0.72,0.73,1200
2024-10-16,0.77,0.77,0.77,0.77,0
2024-10-15,0.77,0.77,0.77,0.77,0
2024-10-14,0.74,0.77,0.74,0.77,6000
2024-10-11,0.76,0.76,0.75,0.75,1100
2024-10-10,0.77,0.77,0.77,0.77,2000
2024-10-09,0.76,0.77,0.75,0.76,9500
2024-10-08,0.74,0.77,0.74,0.77,1500
2024-10-07,0.74,0.74,0.74,0.74,200
2024-10-04,0.74,0.74,0.74,0.74,0
2024-10-03,0.74,0.74,0.74,0.74,900
2024-10-02,0.73,0.73,0.73,0.73,300
2024-10-01,0.74,0.74,0.74,0.74,400
2024-09-30,0.75,0.75,0.73,0.73,5800
2024-09-27,0.77,0.77,0.74,0.76,1900
2024-09-26,0.75,0.75,0.75,0.75,200
2024-09-25,0.72,0.72,0.72,0.72,700
2024-09-24,0.77,0.77,0.72,0.74,13800
2024-09-23,0.77,0.77,0.77,0.77,1500
2024-09-20,0.76,0.76,0.76,0.76,3400
