Date,Open,High,Low,Close,Volume
2025-03-19,29.66,30.5,29.18,30.24,5886906
2025-03-18,30.0,30.53,29.45,29.98,4037700
2025-03-17,29.5,30.46,29.07,30.24,5437900
2025-03-14,28.94,29.72,28.72,29.5,5219300
2025-03-13,29.11,29.35,28.11,28.45,4320200
2025-03-12,30.3,30.97,29.15,29.29,4883800
2025-03-11,30.97,31.8,29.38,29.8,6502600
2025-03-10,31.8,31.87,29.44,30.46,8303500
2025-03-07,34.26,34.27,31.71,32.62,4653400
2025-03-06,34.13,35.21,33.74,34.2,4212200
2025-03-05,34.34,35.1,33.7,34.62,3736700
2025-03-04,34.85,34.9,32.92,34.25,5742800
2025-03-03,36.13,36.89,35.26,35.33,6003800
2025-02-28,35.87,37.29,35.12,36.23,6642200
2025-02-27,36.65,38.28,35.6,35.86,11074800
2025-02-26,40.93,41.87,40.75,41.08,7216600
2025-02-25,39.92,40.63,39.55,40.63,4482200
2025-02-24,39.46,40.56,38.65,39.87,4869300
2025-02-21,40.45,40.66,38.02,38.59,5441400
2025-02-20,39.72,40.24,39.59,40.14,3718600
2025-02-19,39.71,40.26,39.19,39.9,4782600
2025-02-18,38.22,39.83,38.01,39.8,8148400
2025-02-14,36.57,36.57,35.88,36.29,1835200
2025-02-13,36.08,36.56,35.84,36.25,2362200
2025-02-12,34.74,35.94,34.48,35.86,3797500
2025-02-11,35.12,35.33,34.57,35.27,4512000
2025-02-10,36.04,36.04,34.54,35.3,3468400
2025-02-07,37.07,37.2,35.48,35.71,2949400
2025-02-06,39.01,39.19,36.93,37.29,3205300
2025-02-05,38.52,38.75,38.04,38.56,2086400
2025-02-04,37.51,38.9,37.51,38.6,2748200
2025-02-03,36.55,37.99,36.07,37.81,3469400
2025-01-31,38.09,38.29,37.16,37.42,2105300
2025-01-30,37.6,38.53,37.57,38.18,2283900
2025-01-29,38.11,38.42,37.23,37.41,2415500
2025-01-28,36.42,38.08,36.26,38.03,3165600
2025-01-27,36.75,37.38,35.94,36.45,2984600
2025-01-24,37.36,37.62,36.74,36.81,2087800
2025-01-23,37.2,37.75,36.91,37.11,2866800
2025-01-22,37.24,37.32,36.7,37.29,1957400
2025-01-21,36.99,37.39,36.66,37.11,2316300
2025-01-17,36.7,37.28,36.53,36.57,3152100
2025-01-16,36.6,36.78,35.7,36.5,3636200
2025-01-15,37.49,37.56,36.36,36.75,4276100
2025-01-14,36.82,37.94,36.26,36.61,3152600
