Date,Open,High,Low,Close,Volume
2025-03-19,73.54,74.16,72.67,73.81,1221898
2025-03-18,72.89,73.68,72.58,73.13,2396900
2025-03-17,72.33,73.88,71.47,73.77,4399000
2025-03-14,71.37,71.78,70.23,71.49,4177000
2025-03-13,72.02,72.64,70.19,70.3,3387300
2025-03-12,74.5,74.92,72.09,72.64,4249600
2025-03-11,78.82,79.29,74.7,74.82,4018000
2025-03-10,79.19,81.2,78.19,78.86,3257700
2025-03-07,78.0,79.88,77.21,79.41,3116600
2025-03-06,75.0,79.29,74.86,78.6,4627700
2025-03-05,75.46,77.28,74.83,75.53,5764000
2025-03-04,79.44,80.13,72.92,75.2,14831600
2025-03-03,88.87,90.86,86.46,86.74,4065800
2025-02-28,88.56,90.36,88.21,89.91,3352700
2025-02-27,90.01,90.35,87.84,88.62,3213900
2025-02-26,90.77,91.2,89.31,90.41,1990800
2025-02-25,89.15,90.66,88.87,90.09,2992700
2025-02-24,89.56,89.8,87.57,88.7,2676900
2025-02-21,91.0,91.01,88.81,89.78,2728100
2025-02-20,90.72,91.68,90.16,90.94,3452700
2025-02-19,90.44,91.32,89.8,91.1,2284300
2025-02-18,91.1,91.28,89.56,91.07,3397500
2025-02-14,90.0,91.25,89.62,91.1,2721300
2025-02-13,87.04,89.7,86.98,89.17,1699700
2025-02-12,86.69,86.99,85.53,86.79,1874200
2025-02-11,88.12,88.77,87.39,88.01,2028600
2025-02-10,86.15,88.6,86.0,88.07,3053100
2025-02-07,85.61,85.81,84.72,84.89,2805200
2025-02-06,86.97,87.05,85.71,85.94,1640800
2025-02-05,85.53,86.8,84.48,86.48,2181100
2025-02-04,83.98,85.22,83.38,85.05,2454100
2025-02-03,83.4,84.17,81.11,83.78,3879200
2025-01-31,86.52,87.34,85.29,85.86,2863900
2025-01-30,85.5,87.75,85.28,86.86,2236200
2025-01-29,86.75,87.32,84.96,85.09,2116600
2025-01-28,85.28,86.98,84.7,86.78,2770700
2025-01-27,84.58,85.32,84.01,85.24,2453900
2025-01-24,85.93,86.47,84.63,84.73,2082500
2025-01-23,84.07,85.68,83.67,85.63,1862800
2025-01-22,83.79,84.16,83.08,83.92,1742700
2025-01-21,82.21,84.62,82.17,84.53,2713700
2025-01-17,82.58,82.85,81.19,81.9,2975000
