Date,Open,High,Low,Close,Volume
2025-03-13,1.08,1.1,1.02,1.06,13182
2025-03-12,0.96,1.08,0.95,1.07,17000
2025-03-11,1.01,1.01,0.95,0.96,3300
2025-03-10,0.99,1.02,0.95,0.96,23200
2025-03-07,1.0,1.02,0.95,0.99,32300
2025-03-06,0.98,1.03,0.95,1.02,19200
2025-03-05,1.0,1.03,0.94,0.96,16400
2025-03-04,0.98,1.05,0.93,0.93,17100
2025-03-03,1.01,1.06,0.97,0.97,13100
2025-02-28,1.0,1.17,0.96,1.01,36100
2025-02-27,1.03,1.03,0.95,0.97,7400
2025-02-26,0.96,1.04,0.94,1.03,70600
2025-02-25,1.09,1.14,0.96,0.97,12700
2025-02-24,1.09,1.09,0.94,0.96,24000
2025-02-21,1.03,1.04,1.0,1.0,5600
2025-02-20,1.06,1.1,1.02,1.05,17600
2025-02-19,1.13,1.15,1.02,1.07,41100
2025-02-18,1.11,1.12,1.02,1.08,17500
2025-02-14,1.06,1.2,1.0,1.09,48800
2025-02-13,1.07,1.09,0.96,1.03,30400
2025-02-12,1.07,1.1,0.99,1.06,10900
2025-02-11,1.0,1.09,1.0,1.08,17000
2025-02-10,1.03,1.09,0.99,1.01,37600
2025-02-07,1.01,1.1,1.0,1.03,62100
2025-02-06,0.99,1.04,0.96,1.0,47900
2025-02-05,1.01,1.1,0.96,1.01,29300
2025-02-04,0.96,1.16,0.96,0.99,46500
2025-02-03,1.05,1.19,0.96,1.0,160900
2025-01-31,1.0,1.1,0.95,1.1,62800
2025-01-30,0.93,1.0,0.93,1.0,12400
2025-01-29,0.95,0.99,0.93,0.95,24700
2025-01-28,1.0,1.08,0.92,0.93,15800
2025-01-27,1.02,1.11,0.93,1.0,135300
2025-01-24,1.06,1.07,1.0,1.01,43800
2025-01-23,1.1,1.11,1.01,1.08,32500
2025-01-22,1.01,1.1,0.98,1.05,32600
2025-01-21,1.04,1.04,0.94,0.98,36900
2025-01-17,1.02,1.11,0.99,1.04,24400
2025-01-16,1.0,1.15,0.98,1.01,17000
2025-01-15,0.98,1.14,0.95,1.02,123700
2025-01-14,0.95,1.12,0.91,0.95,23200
2025-01-13,1.04,1.12,0.94,0.94,32400
2025-01-10,1.14,1.14,1.0,1.03,49900
2025-01-08,1.17,1.22,1.11,1.14,27000
2025-01-07,1.27,1.28,1.14,1.15,43600
2025-01-06,1.19,1.26,1.1,1.14,43500
2025-01-03,1.26,1.28,1.14,1.18,41000
2025-01-02,1.19,1.25,1.1,1.24,53400
2024-12-31,1.13,1.23,1.1,1.21,42000
2024-12-30,1.05,1.11,1.04,1.1,30200
2024-12-27,1.08,1.12,0.98,1.06,55100
2024-12-26,1.15,1.15,1.04,1.06,20000
2024-12-24,1.07,1.17,1.07,1.11,29000
2024-12-23,1.15,1.2,1.03,1.16,29700
2024-12-20,1.05,1.11,1.02,1.11,36400
2024-12-19,1.09,1.25,0.98,1.02,69400
2024-12-18,1.04,1.24,1.0,1.04,123900
2024-12-17,1.02,1.05,0.9,0.92,72200
2024-12-16,0.95,0.97,0.88,0.97,36900
2024-12-13,0.97,0.97,0.82,0.91,20500
2024-12-12,0.86,0.94,0.8,0.82,27500
2024-12-11,0.92,1.0,0.85,0.86,31800
2024-12-10,0.93,1.05,0.93,0.94,17700
2024-12-09,1.01,1.01,0.92,0.95,27000
2024-12-06,1.0,1.04,0.91,1.02,8100
2024-12-05,1.03,1.06,0.9,0.93,41500
2024-12-04,1.03,1.07,1.0,1.0,17000
2024-12-03,1.0,1.08,0.92,1.04,28900
2024-12-02,0.98,1.0,0.96,0.98,10900
2024-11-29,0.94,1.0,0.92,0.99,132100
2024-11-27,1.03,1.03,0.93,0.95,221200
2024-11-26,1.03,1.04,0.93,0.97,64800
2024-11-25,0.93,1.04,0.9,0.97,166200
2024-11-22,1.02,1.02,0.89,0.89,142300
2024-11-21,0.9,0.99,0.9,0.99,39800
2024-11-20,0.91,0.97,0.86,0.9,50200
2024-11-19,0.88,0.99,0.85,0.89,56100
2024-11-18,1.0,1.0,0.81,0.84,256100
2024-11-15,1.35,1.38,0.88,0.97,262900
2024-11-14,1.43,1.43,1.35,1.38,26400
2024-11-13,1.44,1.44,1.34,1.4,59900
2024-11-12,1.4,1.44,1.28,1.4,29100
2024-11-11,1.33,1.4,1.33,1.37,16700
2024-11-08,1.52,1.52,1.35,1.35,43900
2024-11-07,1.48,1.5,1.45,1.47,8900
2024-11-06,1.35,1.49,1.35,1.48,9800
2024-11-05,1.4,1.4,1.31,1.34,12800
2024-11-04,1.42,1.48,1.34,1.45,12700
2024-11-01,1.47,1.51,1.43,1.43,10700
2024-10-31,1.49,1.52,1.42,1.49,20700
2024-10-30,1.45,1.47,1.43,1.43,3700
2024-10-29,1.41,1.46,1.41,1.45,10600
2024-10-28,1.49,1.5,1.4,1.41,15300
2024-10-25,1.53,1.53,1.44,1.49,11600
2024-10-24,1.35,1.44,1.35,1.43,10000
2024-10-23,1.49,1.52,1.34,1.37,30400
2024-10-22,1.49,1.49,1.34,1.47,8300
2024-10-21,1.23,1.48,1.23,1.33,29000
2024-10-18,1.23,1.33,1.19,1.23,299700
2024-10-17,1.18,1.2,1.18,1.2,6600
2024-10-16,1.2,1.21,1.16,1.2,27100
2024-10-15,1.21,1.21,1.15,1.2,5800
2024-10-14,1.19,1.2,1.17,1.17,26900
