Date,Open,High,Low,Close,Volume
2025-03-13,1.59,1.62,1.55,1.62,13144
2025-03-12,1.6,1.6,1.53,1.6,19500
2025-03-11,1.52,1.68,1.5,1.6,65700
2025-03-10,1.55,1.59,1.47,1.54,72200
2025-03-07,1.5,1.62,1.46,1.55,101700
2025-03-06,1.56,1.64,1.48,1.51,38600
2025-03-05,1.44,1.6,1.35,1.56,88200
2025-03-04,1.5,1.55,1.36,1.43,153000
2025-03-03,1.48,1.55,1.45,1.51,98800
2025-02-28,1.55,1.6,1.43,1.52,321600
2025-02-27,2.0,2.28,1.52,1.62,1467000
2025-02-26,1.82,2.02,1.72,1.91,669200
2025-02-25,1.64,1.91,1.57,1.82,2553600
2025-02-24,1.81,1.81,1.57,1.6,276600
2025-02-21,1.87,1.98,1.73,1.8,394800
2025-02-20,2.31,2.38,1.88,1.96,14465200
2025-02-19,1.91,2.06,1.91,2.03,63500
2025-02-18,2.28,2.34,1.96,2.0,198200
2025-02-14,2.42,2.5,2.28,2.29,86800
2025-02-13,2.41,2.46,2.31,2.46,41900
2025-02-12,2.26,2.4,2.26,2.39,19700
2025-02-11,2.4,2.4,2.27,2.3,35200
2025-02-10,2.3,2.44,2.2,2.44,111100
2025-02-07,2.49,2.49,2.27,2.3,93400
2025-02-06,2.36,2.49,2.31,2.49,142000
2025-02-05,2.41,2.47,2.32,2.37,66300
2025-02-04,2.31,2.44,2.26,2.38,63300
2025-02-03,2.39,2.51,2.28,2.36,66000
2025-01-31,2.43,2.48,2.37,2.38,57700
2025-01-30,2.46,2.46,2.34,2.4,51600
2025-01-29,2.31,2.55,2.31,2.35,122200
2025-01-28,2.26,2.35,2.22,2.34,61700
2025-01-27,2.32,2.38,2.24,2.3,80600
2025-01-24,2.35,2.38,2.25,2.32,32700
2025-01-23,2.34,2.44,2.22,2.29,120700
2025-01-22,2.1,2.4,2.0,2.32,165000
2025-01-21,2.03,2.12,1.97,2.12,80500
2025-01-17,2.03,2.08,1.87,1.97,71200
2025-01-16,1.8,2.12,1.75,2.03,118600
2025-01-15,1.83,1.85,1.77,1.8,99400
2025-01-14,1.62,1.82,1.6,1.82,51100
2025-01-13,1.72,1.72,1.55,1.56,45600
2025-01-10,1.74,1.74,1.61,1.63,9900
2025-01-08,1.79,1.79,1.6,1.71,47500
2025-01-07,1.6,1.85,1.6,1.8,95000
2025-01-06,1.53,1.6,1.5,1.59,45800
2025-01-03,1.5,1.55,1.44,1.5,68800
2025-01-02,1.49,1.55,1.45,1.49,34200
2024-12-31,1.48,1.48,1.41,1.43,44300
