Date,Open,High,Low,Close,Volume
2025-03-14,96.07,97.39,95.56,97.16,4924600
2025-03-13,96.64,96.64,94.85,95.37,8056900
2025-03-12,98.04,98.57,96.01,96.42,8790900
2025-03-11,94.13,96.27,93.91,95.52,11910400
2025-03-10,97.77,97.77,93.29,94.13,17009300
2025-03-07,100.61,100.61,97.04,99.13,12987100
2025-03-06,103.31,103.51,100.54,100.8,9722800
2025-03-05,103.24,105.21,103.07,104.71,6716300
2025-03-04,104.63,105.14,102.53,103.61,8374400
2025-03-03,104.85,105.57,103.83,104.87,6348900
2025-02-28,101.13,104.1,101.01,103.79,8833200
2025-02-27,101.64,103.99,100.55,100.8,9010500
2025-02-26,100.43,102.82,99.85,101.56,8148700
2025-02-25,104.0,104.5,97.08,100.72,18821600
2025-02-24,104.25,104.95,103.87,104.39,5214600
2025-02-21,104.64,105.65,103.98,104.49,5513300
2025-02-20,105.43,105.48,104.35,105.36,5977500
2025-02-19,105.35,105.7,104.76,105.67,4305800
2025-02-18,103.69,105.72,102.92,105.35,6505300
2025-02-14,106.1,106.72,105.77,106.11,3966400
2025-02-13,105.98,106.27,104.94,106.14,6268600
2025-02-12,105.24,106.2,104.75,105.77,5456300
2025-02-11,105.89,106.15,105.25,105.98,4830100
2025-02-10,105.72,106.32,105.27,106.18,5849300
2025-02-07,104.75,105.92,104.29,105.25,5537900
2025-02-06,105.72,105.9,104.73,105.02,6383400
2025-02-05,102.94,107.17,102.44,104.97,10668100
2025-02-04,103.28,103.99,102.85,103.54,9761200
2025-02-03,101.41,103.86,100.7,103.07,6263400
2025-01-31,103.4,103.6,102.32,102.36,6188200
2025-01-30,103.6,104.25,102.83,103.04,6344200
2025-01-29,102.74,103.17,102.33,102.71,4556700
2025-01-28,102.28,102.93,101.64,102.32,7905000
2025-01-27,101.6,102.32,100.5,102.27,6799300
2025-01-24,101.01,102.15,100.87,101.94,4324600
2025-01-23,100.5,101.75,99.75,101.64,7223600
2025-01-22,100.91,101.65,100.14,100.31,8170900
2025-01-21,100.21,101.14,99.77,100.91,6010200
2025-01-17,97.93,99.14,97.68,98.66,7064000
2025-01-16,97.04,98.31,96.97,98.17,5020800
2025-01-15,95.73,97.36,95.37,96.89,5328800
2025-01-14,95.08,96.25,94.83,95.65,5415800
2025-01-13,93.82,95.08,93.2,94.61,4219100
2025-01-10,95.48,96.69,94.56,94.88,5944400
2025-01-08,96.68,97.13,94.75,95.95,10747700
2025-01-07,91.7,92.42,90.52,91.99,4812200
2025-01-06,90.68,91.34,90.43,91.29,4981400
2025-01-03,89.79,90.96,89.51,90.69,3439000
2025-01-02,90.02,90.16,88.81,89.38,3369000
2024-12-31,89.78,90.21,89.01,89.32,3973000
2024-12-30,89.66,90.09,89.07,89.68,3411400
2024-12-27,90.9,91.5,90.23,90.66,3177600
2024-12-26,90.68,91.55,90.59,91.45,2601600
2024-12-24,89.86,91.09,89.66,91.07,1880000
2024-12-23,89.27,89.99,88.36,89.86,3833800
2024-12-20,88.0,89.67,87.25,88.95,15909900
2024-12-19,88.04,89.24,87.72,88.66,5620600
2024-12-18,90.14,90.21,87.95,88.03,5167700
2024-12-17,90.5,90.91,89.71,90.43,4903800
2024-12-16,90.78,91.59,89.49,90.46,5664900
2024-12-13,90.54,91.03,90.05,90.11,3181500
2024-12-12,90.71,91.37,90.32,90.42,4050800
2024-12-11,90.61,90.97,90.15,90.56,3168400
2024-12-10,89.29,90.47,88.73,90.2,4612100
2024-12-09,90.12,90.67,88.51,88.72,4877300
2024-12-06,90.36,90.8,89.96,90.07,3302000
2024-12-05,90.0,91.06,89.76,90.53,4173500
2024-12-04,90.38,91.31,90.05,90.84,3507300
2024-12-03,90.0,90.79,89.62,90.47,3191900
2024-12-02,90.78,91.34,90.2,90.43,3388000
2024-11-29,90.51,91.32,89.89,90.66,3447000
2024-11-27,90.4,91.03,90.05,90.75,3788400
2024-11-26,89.78,90.39,89.1,90.21,4284200
2024-11-25,89.69,90.3,87.95,89.25,10227300
2024-11-22,91.79,91.93,89.02,90.0,5571700
2024-11-21,90.65,91.72,90.23,91.5,4195100
2024-11-20,90.81,90.81,89.47,90.17,4786800
2024-11-19,90.03,90.75,89.37,90.33,5586200
2024-11-18,88.75,91.08,88.5,90.45,9011900
2024-11-15,87.12,87.8,86.01,86.99,10230100
2024-11-14,88.65,89.09,87.48,87.59,5120200
2024-11-13,88.75,89.3,88.66,88.77,4176500
2024-11-12,88.63,89.01,88.01,88.72,4989300
2024-11-11,88.65,88.9,88.21,88.48,4067100
2024-11-08,87.57,88.94,87.18,88.25,5242200
2024-11-07,86.83,87.34,86.11,86.88,4836500
2024-11-06,88.0,88.02,85.03,86.44,6203800
2024-11-05,84.54,85.69,84.13,85.54,5400700
2024-11-04,83.65,85.24,83.55,84.72,5853100
2024-11-01,84.33,84.77,83.5,83.62,7051500
2024-10-31,83.71,85.25,83.38,84.02,7444300
2024-10-30,84.51,84.66,80.64,83.99,12004200
2024-10-29,84.75,85.13,84.37,84.56,7465600
2024-10-28,85.0,85.57,84.66,84.76,8882500
2024-10-25,85.25,85.57,83.59,84.73,6297000
2024-10-24,88.37,88.7,85.03,85.1,10848600
2024-10-23,85.28,87.58,83.27,87.45,19619300
2024-10-22,87.31,88.43,87.12,88.01,5822500
2024-10-21,88.08,88.79,87.87,88.05,5616700
2024-10-18,86.12,88.71,85.5,88.07,6349600
2024-10-17,87.31,87.44,86.42,86.42,4560100
2024-10-16,86.54,87.43,86.44,87.0,4134600
2024-10-15,87.8,88.09,86.51,86.77,6087400
2024-10-14,87.6,87.79,86.92,87.55,5361600
2024-10-11,86.53,87.28,86.19,87.1,5960500
2024-10-10,86.77,86.77,85.77,86.2,4921000
2024-10-09,84.63,86.99,84.27,86.7,7038900
2024-10-08,85.12,86.09,84.71,85.84,5347700
2024-10-07,84.38,85.26,83.73,84.41,5806300
2024-10-04,84.04,84.66,83.2,84.54,4243600
2024-10-03,84.42,84.45,83.44,83.82,4580800
2024-10-02,84.0,84.58,83.16,84.49,4518100
2024-10-01,83.86,84.25,83.41,84.14,5537700
2024-09-30,83.32,83.86,82.92,83.8,3961800
2024-09-27,83.01,83.72,82.76,83.35,4915600
2024-09-26,83.57,83.69,82.59,83.08,4066900
2024-09-25,83.96,84.07,83.08,83.5,3239800
2024-09-24,83.46,83.73,83.05,83.51,5115200
2024-09-23,84.27,84.71,83.63,84.0,5657800
2024-09-20,83.56,84.05,83.1,83.92,6968200
2024-09-19,83.41,84.89,83.33,83.71,7860700
2024-09-18,82.5,83.38,81.82,82.57,7749500
2024-09-17,83.33,83.46,81.54,82.52,7092200
2024-09-16,83.8,84.01,82.86,83.51,4908200
