Date,Open,High,Low,Close,Volume
2025-03-19,234.38,247.19,235.55,246.59,656809
2025-03-18,232.36,237.78,229.46,233.9,896900
2025-03-17,230.0,237.03,226.91,234.1,1046300
2025-03-14,231.98,233.57,225.98,228.52,986700
2025-03-13,242.16,243.04,224.81,228.41,1454000
2025-03-12,241.28,250.65,240.35,243.25,1814700
2025-03-11,231.3,237.55,227.37,235.43,1672700
2025-03-10,237.59,237.59,220.73,232.71,2529200
2025-03-07,252.4,254.7,230.54,240.22,3592100
2025-03-06,268.6,268.6,255.96,257.65,3713600
2025-03-05,228.12,239.57,226.21,236.95,2484100
2025-03-04,230.46,233.76,222.25,230.27,1754900
2025-03-03,249.74,249.74,234.59,235.63,1391700
2025-02-28,243.52,249.86,243.41,249.33,1490300
2025-02-27,248.26,250.42,241.42,242.8,1109500
2025-02-26,238.9,253.69,237.95,249.22,1942600
2025-02-25,236.59,240.21,234.72,236.24,1066400
2025-02-24,237.19,238.09,229.65,235.92,1196000
2025-02-21,243.99,245.95,233.61,235.79,873000
2025-02-20,240.72,243.51,236.74,241.99,800200
2025-02-19,244.62,245.02,240.72,242.1,633900
2025-02-18,245.41,250.97,242.47,246.55,815200
2025-02-14,249.45,250.3,243.49,245.1,849700
2025-02-13,251.0,253.25,247.87,248.36,594100
2025-02-12,251.55,255.19,248.23,250.17,885000
2025-02-11,253.89,255.98,249.61,255.05,1024900
2025-02-10,262.52,262.96,246.35,254.5,1837200
2025-02-07,272.07,274.61,259.17,260.03,1056500
2025-02-06,270.53,272.06,263.9,269.44,1144600
2025-02-05,274.44,274.57,267.0,268.56,1042400
2025-02-04,273.66,275.15,269.26,272.06,946500
2025-02-03,277.23,277.91,268.34,273.66,1181700
2025-01-31,292.25,295.45,280.93,283.93,681600
2025-01-30,292.18,298.71,290.39,293.71,755800
2025-01-29,292.18,294.5,289.82,289.95,324500
2025-01-28,285.68,292.03,285.61,291.85,492700
2025-01-27,289.26,291.54,282.75,285.68,678800
2025-01-24,291.61,294.72,289.49,291.9,477600
2025-01-23,288.78,295.42,287.36,291.93,869300
2025-01-22,289.6,289.98,285.3,288.91,541800
2025-01-21,294.02,294.34,283.24,289.57,954500
2025-01-17,293.37,293.53,289.13,290.56,415900
2025-01-16,285.54,290.78,283.96,289.44,640100
2025-01-15,288.82,289.08,284.53,285.27,661900
2025-01-14,286.59,287.59,281.71,283.46,507400
2025-01-13,284.54,285.69,272.09,284.9,859600
2025-01-10,287.01,296.24,284.91,287.06,993900
2025-01-08,279.99,286.38,278.57,285.95,673500
2025-01-07,290.52,293.71,279.66,281.14,795200
2025-01-06,290.76,293.98,289.38,289.5,699100
2025-01-03,287.67,292.65,284.44,289.16,674300
2025-01-02,287.37,289.62,282.18,285.8,711900
2024-12-31,286.3,288.17,283.76,285.06,540400
2024-12-30,287.42,288.64,281.88,284.8,674500
2024-12-27,292.44,293.62,288.65,292.0,572400
2024-12-26,288.45,295.18,287.64,295.05,676600
2024-12-24,284.52,289.04,283.0,289.04,306300
2024-12-23,282.34,285.49,278.58,283.7,597500
2024-12-20,280.6,290.65,279.53,285.25,1400400
2024-12-19,285.0,289.31,281.12,281.12,748600
2024-12-18,293.04,294.53,281.55,282.34,855900
2024-12-17,287.65,293.08,286.71,291.22,711300
2024-12-16,291.5,292.97,287.12,287.68,596400
2024-12-13,290.84,292.63,287.29,289.97,460900
2024-12-12,295.43,296.48,288.4,289.9,763800
2024-12-11,290.83,298.56,290.43,295.49,681900
2024-12-10,293.54,295.08,288.48,290.27,832500
2024-12-09,290.06,296.33,286.74,291.34,694400
2024-12-06,296.29,296.29,288.58,288.97,1009500
2024-12-05,289.64,293.26,288.92,292.81,711000
2024-12-04,285.27,292.96,285.06,290.77,759500
2024-12-03,288.58,289.88,284.81,285.84,929200
2024-12-02,286.21,298.12,284.92,290.34,1445700
2024-11-29,286.16,289.0,279.37,281.88,677000
2024-11-27,285.0,291.78,283.46,288.36,1221700
2024-11-26,282.54,290.32,280.0,286.94,2019700
2024-11-25,294.78,298.89,291.21,291.66,2253800
2024-11-22,280.0,288.98,278.62,286.17,1476200
2024-11-21,269.34,274.05,263.26,272.86,998400
2024-11-20,271.0,272.3,264.54,269.02,913400
2024-11-19,267.76,274.17,264.61,274.0,1018700
2024-11-18,270.92,274.04,269.04,271.8,592800
2024-11-15,269.68,271.02,267.82,268.94,646500
2024-11-14,268.36,279.51,268.36,269.59,1009300
2024-11-13,263.67,274.08,263.67,267.52,858400
2024-11-12,259.99,263.95,257.83,263.49,815200
2024-11-11,265.51,266.37,257.02,258.14,959100
2024-11-08,262.39,266.0,261.84,263.29,624200
2024-11-07,252.51,264.26,252.51,262.29,747700
2024-11-06,261.74,265.8,247.33,252.55,1245200
2024-11-05,245.7,253.24,245.7,251.96,582400
2024-11-04,242.61,248.76,242.21,247.25,775400
2024-11-01,249.39,250.71,242.7,242.7,903800
2024-10-31,255.72,258.17,247.25,247.77,1046400
2024-10-30,254.0,259.15,253.09,257.38,795300
2024-10-29,250.44,256.14,249.52,254.63,720900
2024-10-28,252.18,255.43,252.18,253.28,734800
2024-10-25,254.52,256.42,251.64,251.65,634500
2024-10-24,255.72,259.0,252.56,252.89,526400
2024-10-23,252.62,256.76,252.17,255.67,474000
2024-10-22,252.96,254.91,251.33,254.37,606300
2024-10-21,256.59,256.59,253.0,255.32,797300
2024-10-18,261.05,262.68,255.91,257.78,702900
2024-10-17,259.29,261.66,259.12,261.0,610500
2024-10-16,253.0,259.46,253.0,259.11,856400
2024-10-15,252.53,259.03,252.53,253.11,675300
2024-10-14,253.46,253.88,249.66,251.2,650900
2024-10-11,247.58,253.41,244.35,252.45,1130300
2024-10-10,249.56,249.73,245.17,246.83,580000
2024-10-09,250.25,252.96,247.4,251.83,759300
2024-10-08,249.2,252.76,247.15,251.59,746100
2024-10-07,260.51,263.19,244.72,248.0,1461500
2024-10-04,262.94,267.6,259.37,264.28,1241400
2024-10-03,258.96,262.71,255.01,259.76,693800
2024-10-02,256.77,262.94,256.77,261.22,914100
2024-10-01,261.94,263.46,255.0,259.61,840600
2024-09-30,263.99,265.1,257.25,263.48,1128600
2024-09-27,274.09,274.09,263.92,265.15,954700
2024-09-26,278.07,278.07,271.68,274.76,784700
2024-09-25,276.33,277.13,271.35,275.98,748400
2024-09-24,272.46,274.29,270.81,273.17,684400
2024-09-23,271.39,272.0,267.07,271.98,919300
2024-09-20,274.65,275.05,270.1,271.39,1120500
2024-09-19,276.13,279.22,274.63,275.0,526600
2024-09-18,270.0,275.42,269.53,271.18,559500
2024-09-17,272.81,275.06,270.17,270.29,426600
2024-09-16,278.25,280.71,271.9,272.08,915600
2024-09-13,278.4,278.49,273.83,277.45,820700
2024-09-12,267.38,275.97,266.14,275.29,750900
2024-09-11,263.65,268.35,262.57,267.4,620000
2024-09-10,262.67,264.37,260.57,264.06,499800
2024-09-09,260.35,264.91,258.14,262.93,882000
2024-09-06,266.44,268.99,259.84,259.92,638500
2024-09-05,264.99,268.52,262.42,267.32,617600
2024-09-04,263.7,264.94,259.89,264.82,675300
2024-09-03,266.06,268.15,263.56,265.35,800300
2024-08-30,267.23,269.53,262.04,268.24,1034700
