Date,Open,High,Low,Close,Volume
2025-03-18,3.8,3.8,3.8,3.8,0
2025-03-17,3.8,3.8,3.8,3.8,0
2025-03-14,3.8,3.8,3.8,3.8,0
2025-03-13,3.8,3.8,3.8,3.8,0
2025-03-12,3.8,3.8,3.8,3.8,0
2025-03-11,3.8,3.8,3.8,3.8,0
2025-03-10,3.8,3.8,3.8,3.8,0
2025-03-07,3.8,3.8,3.8,3.8,0
2025-03-06,3.8,3.8,3.8,3.8,0
2025-03-05,3.8,3.8,3.8,3.8,0
2025-03-04,3.8,3.8,3.8,3.8,100
2025-03-03,4.0,4.0,4.0,4.0,0
2025-02-28,4.0,4.0,4.0,4.0,0
2025-02-27,4.0,4.0,4.0,4.0,0
2025-02-26,4.0,4.0,4.0,4.0,0
2025-02-25,4.0,4.0,4.0,4.0,0
2025-02-24,4.0,4.0,4.0,4.0,0
2025-02-21,4.0,4.0,4.0,4.0,0
2025-02-20,4.0,4.0,4.0,4.0,0
2025-02-19,4.0,4.0,4.0,4.0,0
2025-02-18,4.0,4.0,4.0,4.0,0
2025-02-14,4.0,4.0,4.0,4.0,0
2025-02-13,4.0,4.0,4.0,4.0,0
2025-02-12,4.0,4.0,4.0,4.0,0
2025-02-11,4.0,4.0,4.0,4.0,0
2025-02-10,4.0,4.0,4.0,4.0,0
2025-02-07,4.0,4.0,4.0,4.0,0
2025-02-06,4.0,4.0,4.0,4.0,0
2025-02-05,4.0,4.0,4.0,4.0,0
2025-02-04,4.0,4.0,4.0,4.0,0
2025-02-03,4.0,4.0,4.0,4.0,0
2025-01-31,4.0,4.0,4.0,4.0,0
2025-01-30,4.0,4.0,4.0,4.0,0
2025-01-29,4.0,4.0,4.0,4.0,0
2025-01-28,4.0,4.0,4.0,4.0,0
2025-01-27,4.0,4.0,4.0,4.0,0
2025-01-24,4.0,4.0,4.0,4.0,0
2025-01-23,4.0,4.0,4.0,4.0,0
2025-01-22,4.0,4.0,4.0,4.0,0
2025-01-21,4.0,4.0,4.0,4.0,800
2025-01-17,4.0,4.0,4.0,4.0,0
2025-01-16,4.0,4.0,4.0,4.0,0
2025-01-15,4.0,4.0,4.0,4.0,2000
2025-01-14,3.85,3.85,3.85,3.85,0
2025-01-13,3.85,3.85,3.85,3.85,0
2025-01-10,3.85,3.85,3.85,3.85,100
2025-01-08,4.0,4.0,4.0,4.0,0
2025-01-07,4.0,4.0,4.0,4.0,0
2025-01-06,4.0,4.0,4.0,4.0,0
