Date,Open,High,Low,Close,Volume
2025-03-19,322.11,325.98,322.05,324.15,40713
2025-03-18,320.45,324.35,318.15,322.55,1016200
2025-03-17,320.15,328.22,320.15,326.15,709800
2025-03-14,317.59,322.37,315.0,321.7,927600
2025-03-13,318.55,330.5,312.44,312.92,1573200
2025-03-12,335.89,339.23,328.68,330.71,1194100
2025-03-11,333.0,335.07,326.81,329.4,1606300
2025-03-10,337.6,339.95,330.74,334.24,1367300
2025-03-07,341.93,345.14,333.22,342.13,1399100
2025-03-06,344.65,351.34,342.43,344.86,850400
2025-03-05,347.27,349.4,340.54,347.32,1311500
2025-03-04,350.09,352.72,341.42,347.32,856200
2025-03-03,372.33,372.96,354.98,355.97,625900
2025-02-28,363.57,371.1,362.96,368.18,1139800
2025-02-27,367.41,373.17,363.97,364.16,861800
2025-02-26,368.77,371.87,364.34,366.72,533900
2025-02-25,361.65,363.9,355.7,361.05,1186900
2025-02-24,367.71,368.72,360.24,360.47,850200
2025-02-21,383.32,383.32,365.8,366.92,802300
2025-02-20,383.45,384.94,379.07,382.57,641000
2025-02-19,377.6,385.61,377.46,384.24,943900
2025-02-18,372.92,377.87,370.05,377.33,838800
2025-02-14,368.96,372.1,367.12,372.01,802000
2025-02-13,362.48,368.96,361.17,367.57,521100
2025-02-12,364.3,366.86,362.07,362.82,634000
2025-02-11,370.68,371.56,367.25,370.79,580100
2025-02-10,372.23,375.09,367.53,372.13,925300
2025-02-07,369.06,371.76,367.59,370.1,907500
2025-02-06,370.6,372.15,364.34,367.4,750200
2025-02-05,363.81,369.27,360.29,368.16,1232600
2025-02-04,359.29,366.85,358.22,361.79,2020800
2025-02-03,346.94,350.53,342.48,346.56,1270400
2025-01-31,358.79,359.99,354.36,354.56,671300
2025-01-30,355.37,361.33,355.19,357.98,916000
2025-01-29,349.91,356.36,349.77,352.34,861100
2025-01-28,346.16,350.33,343.69,348.61,876200
2025-01-27,358.3,358.3,343.4,347.19,1397000
2025-01-24,368.45,372.54,364.7,365.88,614800
2025-01-23,364.13,367.73,362.56,367.16,1046600
2025-01-22,365.34,366.93,362.09,364.27,1061700
2025-01-21,366.18,367.93,363.91,365.43,1038900
2025-01-17,367.45,368.45,362.78,364.61,816200
2025-01-16,359.86,366.44,359.84,364.6,577500
2025-01-15,366.58,368.11,358.87,359.09,753300
2025-01-14,362.91,364.57,359.9,362.53,582900
2025-01-13,351.35,359.59,350.25,359.36,595800
2025-01-10,355.32,356.27,352.28,353.2,688500
2025-01-08,357.39,358.69,353.15,358.05,437800
2025-01-07,356.61,360.78,356.37,358.28,568100
2025-01-06,354.34,359.13,353.88,356.34,587000
2025-01-03,346.79,353.07,344.36,352.67,623400
2025-01-02,349.02,350.73,345.55,346.0,529600
2024-12-31,348.21,349.68,345.77,346.95,318000
2024-12-30,346.97,348.88,344.13,346.76,409300
2024-12-27,350.65,353.33,347.74,349.49,240300
2024-12-26,350.29,353.03,350.01,352.47,299100
2024-12-24,348.6,352.25,348.45,352.17,182500
2024-12-23,348.28,350.32,346.12,349.47,466900
2024-12-20,346.66,354.11,344.63,349.72,2167500
2024-12-19,353.33,356.52,347.71,348.04,667200
2024-12-18,360.52,362.01,348.61,349.03,643400
2024-12-17,363.27,364.33,358.77,359.52,623300
2024-12-16,363.9,366.14,361.38,365.23,677000
2024-12-13,366.48,368.21,364.1,365.77,675000
2024-12-12,368.45,371.13,366.39,368.82,537500
2024-12-11,378.59,378.59,366.93,368.4,1329600
2024-12-10,378.09,379.72,373.3,375.93,641300
2024-12-09,382.04,386.06,380.9,381.6,1022100
2024-12-06,378.59,381.05,377.55,377.8,752300
2024-12-05,375.04,380.12,373.49,376.78,787600
2024-12-04,375.76,377.09,373.27,376.54,511500
2024-12-03,376.6,377.75,369.92,373.96,465400
2024-12-02,375.78,377.02,371.59,375.51,563000
2024-11-29,370.68,375.76,370.55,373.26,362900
2024-11-27,375.49,377.86,368.38,369.27,550000
2024-11-26,373.89,375.9,371.73,375.6,401000
2024-11-25,373.22,375.85,372.12,373.49,736900
2024-11-22,365.16,371.58,363.79,370.86,410000
2024-11-21,358.71,367.06,356.57,365.3,514000
2024-11-20,358.18,359.56,354.28,357.47,488800
2024-11-19,356.05,361.41,354.67,358.37,419000
2024-11-18,358.54,362.33,358.17,360.51,476100
2024-11-15,359.42,361.81,356.81,358.36,536100
2024-11-14,361.69,363.46,358.1,360.22,625700
2024-11-13,356.58,363.54,355.9,362.81,960500
2024-11-12,355.33,356.22,351.27,351.66,474800
2024-11-11,356.71,356.71,353.56,354.97,529300
2024-11-08,348.55,353.66,348.22,353.02,735600
2024-11-07,353.57,356.76,350.8,351.3,631500
2024-11-06,361.71,366.64,349.49,352.58,1155600
2024-11-05,324.84,353.25,322.53,351.04,1346300
2024-11-04,326.65,327.19,321.61,322.48,690300
2024-11-01,325.65,328.31,325.09,325.34,387600
2024-10-31,326.83,327.81,324.17,325.81,642400
2024-10-30,326.26,330.76,324.79,328.64,514900
2024-10-29,330.71,330.8,326.81,327.95,337200
2024-10-28,328.54,332.32,326.42,331.43,588600
2024-10-25,331.13,331.51,325.09,325.99,604400
2024-10-24,328.94,330.05,326.23,329.27,476900
2024-10-23,326.96,329.91,325.61,326.79,389000
2024-10-22,328.49,329.65,323.31,327.51,571100
2024-10-21,331.92,333.75,329.88,330.41,465400
2024-10-18,331.77,337.53,329.87,332.27,1534600
2024-10-17,331.77,331.77,328.8,329.78,474200
2024-10-16,330.45,331.77,328.05,330.65,717500
2024-10-15,334.14,336.5,329.04,329.47,545600
2024-10-14,332.02,335.51,330.39,335.11,442700
2024-10-11,330.51,334.34,329.82,332.83,412700
2024-10-10,330.53,330.53,326.91,329.64,446400
2024-10-09,328.3,331.76,326.76,329.84,405700
2024-10-08,326.82,328.8,321.27,326.43,609500
2024-10-07,327.51,330.26,326.0,328.51,408800
2024-10-04,324.34,328.69,322.89,328.54,691500
2024-10-03,320.78,324.57,318.92,324.19,541900
2024-10-02,321.91,324.34,320.01,321.91,383100
2024-10-01,320.38,324.16,318.75,323.13,803000
2024-09-30,322.21,322.78,318.23,320.67,565900
2024-09-27,321.68,325.51,321.56,323.25,553600
2024-09-26,319.19,330.21,319.14,321.49,991200
2024-09-25,321.72,322.38,314.23,314.44,705700
2024-09-24,313.16,324.94,313.16,320.44,1043900
2024-09-23,305.67,310.97,305.42,310.46,566600
2024-09-20,304.16,305.99,302.6,305.27,991500
2024-09-19,302.89,306.76,299.49,306.16,618800
2024-09-18,299.87,303.46,297.11,297.75,567400
2024-09-17,299.32,303.12,296.22,298.68,739000
2024-09-16,300.87,302.98,298.1,298.17,858300
