Date,Open,High,Low,Close,Volume
2025-03-13,10.89,10.91,10.3,10.39,209750
2025-03-12,10.66,11.0,10.41,10.97,710300
2025-03-11,10.61,10.87,10.2,10.59,944500
2025-03-10,10.59,10.87,10.14,10.73,937900
2025-03-07,9.95,10.85,9.81,10.71,1576900
2025-03-06,9.98,10.02,9.46,9.49,579300
2025-03-05,9.74,10.17,9.74,10.11,502800
2025-03-04,9.42,9.94,9.25,9.85,640100
2025-03-03,10.42,10.5,9.58,9.59,682600
2025-02-28,10.24,10.51,10.1,10.36,1613800
2025-02-27,10.5,10.73,10.23,10.25,612800
2025-02-26,10.33,10.89,10.33,10.54,601400
2025-02-25,10.1,10.33,9.83,10.29,662800
2025-02-24,10.15,10.31,9.76,10.1,747000
2025-02-21,10.87,11.0,10.12,10.13,863900
2025-02-20,11.18,11.18,10.63,10.82,797500
2025-02-19,10.63,11.28,10.51,11.18,1411600
2025-02-18,10.61,10.72,10.41,10.63,612400
2025-02-14,10.5,10.68,10.34,10.48,430500
2025-02-13,10.14,10.53,10.01,10.44,518400
2025-02-12,9.91,10.17,9.88,10.0,561400
2025-02-11,10.15,10.26,9.79,10.05,576500
2025-02-10,10.24,10.4,10.08,10.29,482400
2025-02-07,10.47,10.76,10.12,10.16,573600
2025-02-06,10.72,10.83,10.4,10.5,724700
2025-02-05,10.48,10.78,10.4,10.68,530800
2025-02-04,9.83,10.56,9.77,10.48,812900
2025-02-03,9.92,10.18,9.79,9.86,1144600
2025-01-31,11.0,11.25,10.25,10.27,1415300
2025-01-30,11.3,11.44,10.93,10.97,922900
2025-01-29,12.13,12.39,11.1,11.29,1536500
2025-01-28,12.4,12.67,12.02,12.16,1610400
2025-01-27,12.07,12.49,12.03,12.38,1589400
2025-01-24,12.25,12.74,12.21,12.42,1004500
2025-01-23,12.2,12.58,11.9,12.3,1058500
2025-01-22,12.5,12.57,12.12,12.3,834900
2025-01-21,12.28,12.5,11.74,12.49,1234400
