Date,Open,High,Low,Close,Volume
2025-03-13,3.03,3.09,3.03,3.03,5113
2025-03-12,3.07,3.07,3.0,3.0,12200
2025-03-11,2.98,3.08,2.93,3.0,14200
2025-03-10,2.92,3.02,2.92,2.98,13100
2025-03-07,3.07,3.07,2.91,2.95,23100
2025-03-06,2.96,3.12,2.96,3.01,31500
2025-03-05,3.09,3.09,2.97,3.0,15300
2025-03-04,2.91,3.08,2.91,3.06,12100
2025-03-03,2.99,3.12,2.96,2.96,27900
2025-02-28,3.06,3.1,2.99,3.01,12600
2025-02-27,3.08,3.12,2.99,3.05,10600
2025-02-26,3.1,3.14,3.02,3.08,8600
2025-02-25,2.96,3.13,2.96,3.03,24400
2025-02-24,3.23,3.34,3.01,3.01,36800
2025-02-21,3.35,3.35,3.22,3.24,15900
2025-02-20,3.53,3.55,3.33,3.33,27900
2025-02-19,3.51,3.67,3.41,3.56,29500
2025-02-18,3.65,3.81,3.53,3.53,18800
2025-02-14,3.58,3.71,3.55,3.71,21200
2025-02-13,3.7,3.71,3.52,3.58,27200
2025-02-12,3.61,3.76,3.6,3.67,10700
2025-02-11,3.88,3.89,3.6,3.69,32700
2025-02-10,3.68,3.89,3.55,3.89,98900
2025-02-07,3.61,3.61,3.47,3.59,10700
2025-02-06,3.59,3.66,3.5,3.6,19800
2025-02-05,3.5,3.6,3.5,3.58,25800
2025-02-04,3.69,3.69,3.33,3.51,29100
2025-02-03,3.38,3.65,3.34,3.65,40400
2025-01-31,3.44,3.62,3.44,3.55,32400
2025-01-30,3.57,3.57,3.37,3.45,18400
2025-01-29,3.54,3.54,3.4,3.48,9500
2025-01-28,3.4,3.6,3.35,3.43,17500
2025-01-27,3.55,3.62,3.31,3.54,31300
2025-01-24,3.51,3.65,3.45,3.47,31300
2025-01-23,3.6,3.65,3.5,3.59,29500
2025-01-22,3.67,3.75,3.58,3.6,26800
2025-01-21,3.8,3.82,3.64,3.75,41900
2025-01-17,3.74,3.87,3.72,3.78,14900
2025-01-16,3.79,3.81,3.65,3.73,15800
2025-01-15,3.85,3.9,3.63,3.77,32600
2025-01-14,3.82,3.9,3.72,3.86,13800
2025-01-13,3.5,3.84,3.5,3.77,47800
2025-01-10,4.05,4.13,3.48,3.51,70600
2025-01-08,4.47,4.6,4.01,4.11,35400
2025-01-07,4.79,4.79,4.35,4.42,50500
2025-01-06,4.59,4.8,4.43,4.51,36900
2025-01-03,4.75,4.75,4.35,4.52,38800
2025-01-02,4.47,4.72,4.43,4.68,44300
2024-12-31,4.03,4.49,3.97,4.4,137700
2024-12-30,4.14,4.14,3.9,4.04,33800
2024-12-27,4.05,4.15,3.8,4.06,76100
2024-12-26,4.15,4.15,3.8,3.97,65900
2024-12-24,3.82,4.14,3.8,4.05,32800
2024-12-23,3.91,3.91,3.71,3.82,23200
2024-12-20,3.44,3.85,3.37,3.76,32200
2024-12-19,3.73,3.79,3.3,3.45,63900
2024-12-18,3.89,3.91,3.71,3.72,28100
2024-12-17,4.2,4.2,3.54,3.82,25700
2024-12-16,4.34,4.34,3.82,3.89,58800
2024-12-13,3.74,4.27,3.57,4.26,97000
2024-12-12,3.63,3.81,3.51,3.69,52200
2024-12-11,3.71,3.83,3.46,3.53,35000
2024-12-10,3.5,3.75,3.44,3.72,41300
2024-12-09,3.77,3.77,3.41,3.49,43400
2024-12-06,3.4,3.74,3.38,3.67,38100
2024-12-05,3.41,3.44,3.31,3.36,16400
2024-12-04,3.45,3.45,3.33,3.4,35000
2024-12-03,3.34,3.42,3.23,3.42,21200
2024-12-02,3.2,3.29,3.04,3.29,40700
2024-11-29,3.13,3.19,3.05,3.19,15900
2024-11-27,3.14,3.14,3.01,3.03,32600
2024-11-26,3.12,3.15,3.03,3.14,18400
2024-11-25,3.1,3.13,3.02,3.06,24000
2024-11-22,3.06,3.14,3.03,3.09,13100
2024-11-21,3.12,3.15,3.03,3.1,13300
2024-11-20,3.1,3.17,2.9,3.11,19300
2024-11-19,3.15,3.2,3.01,3.06,20200
2024-11-18,2.94,3.25,2.9,3.12,36800
