Date,Open,High,Low,Close,Volume
2025-03-13,28.42,28.64,28.11,28.38,84393
2025-03-12,28.37,28.54,27.64,28.09,88800
2025-03-11,27.9,28.88,27.68,28.18,155100
2025-03-10,27.55,28.27,27.54,27.77,84300
2025-03-07,27.23,28.06,27.23,27.82,71300
2025-03-06,27.07,27.29,26.91,27.17,53900
2025-03-05,26.96,27.48,26.68,27.26,181200
2025-03-04,27.3,27.4,26.97,27.0,98300
2025-03-03,27.17,27.87,27.14,27.3,119200
2025-02-28,27.36,27.55,27.0,27.07,68300
2025-02-27,27.51,27.51,26.94,27.32,85900
2025-02-26,27.68,27.83,27.11,27.54,88300
2025-02-25,27.29,27.94,27.05,27.58,142200
2025-02-24,27.81,27.87,26.98,27.13,152300
2025-02-21,27.64,27.74,27.18,27.53,147500
2025-02-20,27.14,27.39,27.0,27.37,65300
2025-02-19,27.71,28.28,27.34,27.42,86300
2025-02-18,27.08,28.42,27.08,27.98,184200
2025-02-14,26.59,27.13,26.23,27.07,84400
2025-02-13,26.52,26.75,26.37,26.65,41000
2025-02-12,26.42,26.6,26.27,26.43,50100
2025-02-11,26.12,26.85,26.12,26.76,32300
2025-02-10,26.46,26.58,26.17,26.32,44800
2025-02-07,26.91,27.13,26.44,26.44,45000
2025-02-06,27.13,27.13,26.58,26.88,50200
2025-02-05,26.76,27.09,26.64,26.92,60400
2025-02-04,26.77,26.84,26.39,26.64,82400
2025-02-03,25.84,26.86,25.69,26.77,84200
2025-01-31,26.22,26.44,26.03,26.18,71900
2025-01-30,26.33,26.49,26.15,26.29,54200
2025-01-29,26.33,26.42,25.75,26.03,50300
2025-01-28,26.53,26.53,26.11,26.37,61000
2025-01-27,25.7,26.76,25.58,26.62,87100
2025-01-24,26.05,26.06,25.72,25.78,43700
2025-01-23,25.96,26.41,25.52,26.19,76200
2025-01-22,26.64,26.98,26.02,26.12,107800
2025-01-21,26.54,26.78,26.01,26.64,182500
2025-01-17,26.6,26.71,26.25,26.39,60400
2025-01-16,26.16,26.5,26.04,26.43,41900
2025-01-15,26.41,26.41,25.88,26.19,45600
2025-01-14,25.68,26.0,25.46,25.99,78900
2025-01-13,25.02,25.73,25.02,25.52,59100
2025-01-10,25.55,25.73,25.11,25.29,79000
2025-01-08,25.25,25.8,24.87,25.73,94700
2025-01-07,25.77,25.9,25.13,25.3,57900
2025-01-06,26.16,26.47,25.81,25.82,78100
2025-01-03,25.87,26.19,25.63,26.11,70800
2025-01-02,25.97,26.37,25.61,25.84,67900
2024-12-31,25.76,26.09,25.53,25.78,84300
2024-12-30,25.3,25.77,25.12,25.71,42800
2024-12-27,25.63,25.75,25.25,25.45,58100
2024-12-26,25.2,25.82,25.2,25.76,47600
2024-12-24,25.41,25.41,25.17,25.36,36300
2024-12-23,24.93,25.33,24.58,25.26,129500
2024-12-20,24.8,25.36,24.66,24.86,333000
2024-12-19,24.73,25.33,24.72,25.14,183900
2024-12-18,26.12,26.12,24.54,24.56,102200
2024-12-17,26.19,26.57,25.81,25.89,103000
2024-12-16,25.62,26.29,25.6,26.21,67800
2024-12-13,25.32,25.65,25.06,25.6,58100
2024-12-12,25.65,25.98,25.39,25.46,58900
2024-12-11,25.99,25.99,25.46,25.74,75500
2024-12-10,25.57,25.88,25.1,25.8,115200
2024-12-09,25.8,26.02,25.08,25.52,142000
2024-12-06,25.5,25.66,25.09,25.62,104600
2024-12-05,25.39,25.48,24.55,25.45,119200
2024-12-04,25.84,25.89,25.31,25.67,141900
2024-12-03,26.54,26.57,25.87,25.88,121900
2024-12-02,26.89,26.89,26.31,26.55,147300
2024-11-29,27.2,27.25,26.73,26.82,55300
2024-11-27,26.59,27.04,26.55,26.95,53000
2024-11-26,26.73,26.88,26.34,26.5,50500
2024-11-25,27.15,27.7,26.74,26.74,82600
2024-11-22,26.34,27.47,26.34,27.32,171300
2024-11-21,26.32,26.59,25.99,26.18,63800
2024-11-20,26.04,26.25,25.67,26.24,61000
2024-11-19,26.04,26.3,25.65,26.05,92000
2024-11-18,25.36,27.4,25.3,26.19,178000
2024-11-15,26.25,27.14,24.88,25.66,152200
2024-11-14,25.01,25.11,24.11,24.52,115500
2024-11-13,25.3,25.45,24.93,25.01,71400
2024-11-12,25.42,25.62,25.02,25.17,57000
2024-11-11,25.45,25.7,25.15,25.6,56900
2024-11-08,25.15,25.37,24.91,25.12,75500
2024-11-07,25.62,25.76,24.94,25.09,80000
2024-11-06,25.39,26.2,25.14,25.73,125600
2024-11-05,23.69,24.56,23.67,24.49,90400
2024-11-04,23.51,24.14,23.51,23.79,74100
2024-11-01,23.89,24.15,23.45,23.55,64800
2024-10-31,23.95,24.13,23.65,23.66,73700
2024-10-30,24.15,24.5,23.86,23.91,78100
2024-10-29,24.38,24.45,24.08,24.2,71500
2024-10-28,24.56,24.81,24.39,24.55,84000
2024-10-25,24.58,24.58,24.16,24.34,44100
2024-10-24,25.03,25.03,24.3,24.38,42500
2024-10-23,25.1,25.45,24.84,24.97,46300
2024-10-22,25.29,25.37,25.04,25.22,50700
2024-10-21,25.71,25.91,25.38,25.45,65700
2024-10-18,26.16,26.29,25.79,25.83,260000
2024-10-17,26.19,26.19,25.78,25.97,109500
2024-10-16,26.14,26.58,26.11,26.21,70000
2024-10-15,25.76,26.43,25.63,25.9,134100
2024-10-14,25.26,26.0,25.26,25.78,118100
2024-10-11,24.47,25.15,24.47,25.1,91400
2024-10-10,24.42,24.57,24.29,24.49,43500
2024-10-09,24.51,24.87,24.46,24.61,48700
2024-10-08,24.8,24.8,24.15,24.51,87100
2024-10-07,24.83,25.11,24.43,24.69,83300
2024-10-04,25.03,25.05,24.78,24.88,44700
2024-10-03,24.77,24.97,24.6,24.75,56600
2024-10-02,24.65,25.09,24.41,24.85,61200
2024-10-01,25.14,25.14,24.56,24.72,90400
2024-09-30,24.9,25.26,24.82,24.99,75600
2024-09-27,24.72,25.19,24.44,24.95,66600
2024-09-26,24.54,24.62,24.24,24.44,85300
2024-09-25,24.91,24.98,24.32,24.33,121400
2024-09-24,25.46,25.49,24.95,24.95,62200
2024-09-23,25.48,25.87,25.28,25.41,71800
2024-09-20,26.04,26.08,25.32,25.44,340800
2024-09-19,26.5,26.5,25.72,26.08,85600
2024-09-18,26.53,26.77,25.9,25.93,79900
2024-09-17,26.15,26.87,26.06,26.51,103300
2024-09-16,25.31,26.16,25.31,25.91,105800
2024-09-13,25.51,25.83,25.34,25.61,112600
2024-09-12,24.94,25.54,24.75,25.23,66900
2024-09-11,25.12,25.22,24.55,24.71,79700
2024-09-10,24.91,25.49,24.83,25.39,101000
2024-09-09,24.73,25.28,24.73,24.8,128600
2024-09-06,25.54,25.58,24.69,24.74,148300
2024-09-05,25.99,25.99,25.31,25.56,74800
2024-09-04,25.92,26.4,25.53,25.93,100000
2024-09-03,26.14,27.15,25.96,26.0,207900
2024-08-30,27.36,27.79,27.18,27.52,203800
2024-08-29,27.32,27.86,26.99,27.46,82800
2024-08-28,27.59,28.25,27.31,27.32,76700
2024-08-27,26.87,28.15,26.85,27.77,201100
2024-08-26,26.88,27.03,26.67,26.79,59900
2024-08-23,26.41,26.89,26.22,26.73,66000
2024-08-22,26.94,26.95,26.19,26.26,51800
2024-08-21,26.84,27.56,26.59,27.1,86500
2024-08-20,26.91,26.91,26.1,26.57,88700
2024-08-19,27.31,27.38,26.7,26.92,155100
2024-08-16,26.65,27.6,26.51,27.29,124800
2024-08-15,25.01,27.32,23.69,26.65,178700
2024-08-14,26.75,26.91,26.12,26.36,76300
2024-08-13,26.35,26.75,26.01,26.56,51000
2024-08-12,26.47,26.88,25.91,26.06,61800
2024-08-09,27.15,27.15,26.13,26.38,64600
2024-08-08,26.97,26.99,26.64,26.99,36600
2024-08-07,26.98,26.98,26.32,26.46,43100
2024-08-06,26.71,26.86,26.29,26.6,55000
2024-08-05,26.17,27.46,25.55,26.7,125400
2024-08-02,27.26,27.98,26.69,27.74,69000
2024-08-01,28.84,28.93,27.77,28.17,66700
2024-07-31,28.56,29.57,28.32,28.81,83000
2024-07-30,28.32,28.49,27.86,28.32,85700
2024-07-29,29.26,29.62,28.04,28.12,85600
2024-07-26,28.74,29.32,28.58,29.24,81600
2024-07-25,28.11,28.98,28.1,28.39,73700
2024-07-24,27.97,29.04,27.95,28.18,82500
2024-07-23,28.01,28.68,27.9,28.21,76500
2024-07-22,27.56,28.1,27.19,28.02,70400
2024-07-19,27.83,28.05,27.45,27.56,76200
2024-07-18,28.2,28.5,27.52,27.82,73300
2024-07-17,28.34,28.9,28.01,28.41,99800
2024-07-16,27.37,28.69,27.11,28.63,147300
2024-07-15,27.26,27.56,26.74,27.05,113700
2024-07-12,26.38,27.17,26.37,27.03,115900
2024-07-11,25.32,26.34,25.24,26.09,94400
2024-07-10,24.87,25.14,24.71,25.14,80300
2024-07-09,24.47,25.01,24.24,24.84,115300
2024-07-08,25.17,25.23,24.38,24.52,67800
2024-07-05,24.21,25.17,24.19,25.17,120900
2024-07-03,23.86,24.43,23.85,24.33,94900
2024-07-02,24.83,24.88,23.7,24.23,303100
2024-07-01,26.21,26.25,25.36,25.64,127400
2024-06-28,25.25,26.24,24.95,26.22,426900
2024-06-27,24.98,25.07,24.77,24.97,43900
2024-06-26,24.75,25.05,24.68,24.9,62100
2024-06-25,24.94,25.0,24.56,24.84,48100
2024-06-24,24.81,25.26,24.81,24.97,46000
2024-06-21,24.81,24.94,24.62,24.76,217500
2024-06-20,24.39,24.94,24.24,24.7,103300
2024-06-18,24.64,24.64,23.94,24.53,91500
2024-06-17,24.7,24.98,24.54,24.79,94500
2024-06-14,24.76,24.97,24.45,24.7,83100
2024-06-13,25.31,25.58,24.54,24.88,79100
2024-06-12,25.84,26.07,24.82,25.13,131400
2024-06-11,24.74,25.51,24.3,25.5,139200
2024-06-10,25.4,25.68,24.86,24.99,94700
2024-06-07,25.45,25.93,25.44,25.72,92800
2024-06-06,26.52,26.86,25.56,25.63,112900
2024-06-05,26.1,26.8,25.77,26.72,119700
2024-06-04,26.17,26.17,25.53,25.89,140100
2024-06-03,27.03,27.03,26.09,26.3,111400
2024-05-31,26.65,27.05,26.52,26.77,79600
2024-05-30,26.24,26.91,26.07,26.61,103400
2024-05-29,26.28,26.49,26.0,26.0,89800
2024-05-28,27.33,27.34,26.04,26.32,179700
2024-05-24,28.14,28.14,27.41,27.53,136600
2024-05-23,29.0,29.05,28.13,28.14,149400
2024-05-22,28.89,29.1,28.33,29.02,132900
2024-05-21,28.78,29.31,28.7,28.94,126300
2024-05-20,28.15,28.7,27.46,28.65,210000
2024-05-17,27.74,28.14,27.27,28.03,107900
2024-05-16,28.18,28.29,25.77,27.61,291800
2024-05-15,29.64,29.95,28.14,28.52,292700
2024-05-14,28.15,29.58,28.15,29.43,171600
