Date,Open,High,Low,Close,Volume
2025-03-13,0.53,0.54,0.53,0.54,31048
2025-03-12,0.56,0.57,0.52,0.57,36000
2025-03-11,0.56,0.58,0.55,0.58,25600
2025-03-10,0.59,0.59,0.56,0.56,26800
2025-03-07,0.57,0.6,0.57,0.57,8500
2025-03-06,0.58,0.61,0.58,0.61,2000
2025-03-05,0.6,0.62,0.56,0.56,105100
2025-03-04,0.65,0.65,0.6,0.62,9300
2025-03-03,0.58,0.65,0.58,0.65,4200
2025-02-28,0.6,0.6,0.58,0.6,8100
2025-02-27,0.6,0.6,0.58,0.6,2300
2025-02-26,0.62,0.65,0.58,0.6,6000
2025-02-25,0.58,0.61,0.58,0.6,7400
2025-02-24,0.58,0.62,0.58,0.6,3700
2025-02-21,0.65,0.65,0.61,0.62,3200
2025-02-20,0.68,0.68,0.61,0.63,41500
2025-02-19,0.59,0.67,0.58,0.61,7800
2025-02-18,0.6,0.61,0.58,0.58,12300
2025-02-14,0.59,0.64,0.58,0.61,14200
2025-02-13,0.62,0.62,0.59,0.59,5800
2025-02-12,0.58,0.6,0.58,0.59,8900
2025-02-11,0.61,0.62,0.59,0.59,9300
2025-02-10,0.58,0.61,0.58,0.6,12300
2025-02-07,0.59,0.65,0.59,0.62,5600
2025-02-06,0.65,0.65,0.59,0.59,11900
2025-02-05,0.63,0.65,0.6,0.65,38800
2025-02-04,0.61,0.66,0.5,0.59,242000
2025-02-03,0.62,0.63,0.55,0.62,80200
2025-01-31,0.59,0.62,0.59,0.62,44000
2025-01-30,0.62,0.62,0.59,0.6,47100
2025-01-29,0.6,0.63,0.58,0.61,30100
2025-01-28,0.6,0.61,0.59,0.61,6100
2025-01-27,0.6,0.63,0.58,0.61,38000
2025-01-24,0.58,0.6,0.56,0.58,95300
2025-01-23,0.6,0.6,0.57,0.59,66300
2025-01-22,0.6,0.64,0.58,0.6,16800
2025-01-21,0.61,0.63,0.57,0.62,56300
2025-01-17,0.6,0.65,0.6,0.64,28600
2025-01-16,0.69,0.7,0.6,0.61,77100
2025-01-15,0.66,0.7,0.65,0.69,76600
2025-01-14,0.68,0.72,0.66,0.66,199200
2025-01-13,0.66,0.72,0.62,0.72,141400
2025-01-10,0.73,0.73,0.61,0.65,119400
2025-01-08,0.77,0.77,0.68,0.7,23900
2025-01-07,0.76,0.79,0.67,0.73,161400
2025-01-06,0.71,0.75,0.65,0.74,125600
2025-01-03,0.73,0.73,0.56,0.7,52800
2025-01-02,0.71,0.73,0.68,0.71,123100
2024-12-31,0.65,0.73,0.65,0.7,222800
2024-12-30,0.55,0.63,0.55,0.61,193400
2024-12-27,0.53,0.55,0.53,0.55,15800
2024-12-26,0.54,0.55,0.52,0.53,34800
2024-12-24,0.52,0.54,0.52,0.53,22700
2024-12-23,0.54,0.54,0.5,0.53,35100
2024-12-20,0.52,0.55,0.5,0.54,91500
2024-12-19,0.51,0.63,0.49,0.52,211000
2024-12-18,0.49,0.52,0.49,0.5,12900
2024-12-17,0.51,0.52,0.49,0.52,15500
2024-12-16,0.51,0.52,0.49,0.5,36800
2024-12-13,0.5,0.52,0.5,0.5,70200
2024-12-12,0.51,0.52,0.5,0.5,54400
2024-12-11,0.5,0.52,0.49,0.49,29800
2024-12-10,0.52,0.52,0.49,0.49,81700
2024-12-09,0.5,0.52,0.49,0.52,48500
2024-12-06,0.49,0.5,0.48,0.5,45900
2024-12-05,0.48,0.49,0.47,0.48,61000
2024-12-04,0.47,0.5,0.44,0.47,127000
2024-12-03,0.44,0.52,0.44,0.47,188100
2024-12-02,0.48,0.48,0.42,0.44,221500
2024-11-29,0.46,0.47,0.44,0.44,17000
2024-11-27,0.45,0.56,0.41,0.44,105300
2024-11-26,0.5,0.52,0.37,0.44,102300
2024-11-25,0.52,0.53,0.5,0.51,100300
2024-11-22,0.51,0.54,0.51,0.52,43400
2024-11-21,0.49,0.54,0.49,0.54,30900
2024-11-20,0.51,0.51,0.49,0.49,36000
2024-11-19,0.49,0.55,0.49,0.5,11800
2024-11-18,0.55,0.6,0.45,0.48,102900
2024-11-15,0.5,0.6,0.49,0.58,229100
2024-11-14,0.59,0.6,0.5,0.5,78800
2024-11-13,0.62,0.62,0.56,0.6,40000
2024-11-12,0.6,0.6,0.55,0.6,145300
2024-11-11,0.66,0.66,0.59,0.6,62400
2024-11-08,0.59,0.6,0.59,0.6,46600
2024-11-07,0.63,0.63,0.58,0.59,23700
2024-11-06,0.59,0.64,0.59,0.61,3500
2024-11-05,0.65,0.69,0.58,0.6,78900
2024-11-04,0.65,0.71,0.65,0.69,54100
2024-11-01,0.65,0.69,0.65,0.66,5800
2024-10-31,0.67,0.7,0.65,0.7,3900
2024-10-30,0.63,0.66,0.63,0.66,13200
2024-10-29,0.71,0.71,0.67,0.67,2700
2024-10-28,0.75,0.75,0.65,0.65,38600
2024-10-25,0.69,0.71,0.65,0.68,18100
2024-10-24,0.71,0.71,0.65,0.67,29600
2024-10-23,0.71,0.71,0.64,0.71,41300
2024-10-22,0.69,0.71,0.64,0.71,9600
2024-10-21,0.67,0.71,0.66,0.68,19100
2024-10-18,0.66,0.73,0.66,0.68,62600
2024-10-17,0.65,0.66,0.64,0.65,10100
2024-10-16,0.64,0.67,0.64,0.67,2900
2024-10-15,0.65,0.67,0.63,0.67,30900
2024-10-14,0.67,0.67,0.62,0.62,9600
2024-10-11,0.64,0.68,0.61,0.68,54400
2024-10-10,0.58,0.64,0.57,0.62,52100
2024-10-09,0.55,0.6,0.55,0.59,61500
2024-10-08,0.57,0.59,0.53,0.54,194200
2024-10-07,0.57,0.61,0.57,0.61,688000
2024-10-04,0.55,0.61,0.55,0.6,8100
2024-10-03,0.64,0.64,0.51,0.55,135000
2024-10-02,0.61,0.76,0.59,0.6,38300
2024-10-01,0.62,0.64,0.55,0.59,43300
2024-09-30,0.67,0.67,0.61,0.62,147400
2024-09-27,0.62,0.64,0.61,0.62,53700
2024-09-26,0.64,0.67,0.6,0.64,55700
2024-09-25,0.61,0.64,0.6,0.6,12000
2024-09-24,0.64,0.69,0.61,0.61,23800
2024-09-23,0.69,0.7,0.61,0.64,47300
2024-09-20,0.66,0.66,0.61,0.61,67000
2024-09-19,0.62,0.64,0.61,0.64,10900
2024-09-18,0.61,0.65,0.61,0.65,21300
2024-09-17,0.61,0.61,0.61,0.61,7800
2024-09-16,0.64,0.66,0.61,0.61,281900
2024-09-13,0.64,0.64,0.61,0.63,7600
2024-09-12,0.61,0.65,0.61,0.61,29800
2024-09-11,0.7,0.7,0.61,0.65,16200
2024-09-10,0.67,0.76,0.6,0.63,67700
2024-09-09,0.64,0.69,0.61,0.66,80700
2024-09-06,0.65,0.65,0.61,0.63,19800
2024-09-05,0.61,0.65,0.61,0.65,14000
2024-09-04,0.63,0.63,0.61,0.61,14300
2024-09-03,0.63,0.65,0.63,0.63,17900
2024-08-30,0.65,0.76,0.65,0.67,21200
2024-08-29,0.61,0.65,0.61,0.62,8200
2024-08-28,0.65,0.69,0.61,0.61,18700
2024-08-27,0.7,0.7,0.61,0.63,24700
2024-08-26,0.64,0.66,0.61,0.61,35700
2024-08-23,0.65,0.66,0.64,0.66,21200
2024-08-22,0.65,0.65,0.61,0.65,41700
2024-08-21,0.68,0.68,0.62,0.65,46200
2024-08-20,0.67,0.67,0.62,0.65,22800
2024-08-19,0.6,0.68,0.6,0.63,24500
2024-08-16,0.62,0.7,0.59,0.59,294700
2024-08-15,0.54,0.62,0.54,0.62,52300
2024-08-14,0.6,0.6,0.51,0.55,36400
2024-08-13,0.57,0.6,0.53,0.56,56100
2024-08-12,0.55,0.56,0.53,0.55,54500
2024-08-09,0.54,0.56,0.52,0.52,5000
2024-08-08,0.58,0.58,0.54,0.54,18800
2024-08-07,0.58,0.58,0.55,0.55,12200
2024-08-06,0.55,0.56,0.55,0.55,19000
2024-08-05,0.51,0.59,0.5,0.55,70600
2024-08-02,0.54,0.6,0.54,0.56,19700
2024-08-01,0.59,0.6,0.54,0.54,24400
2024-07-31,0.56,0.6,0.53,0.55,46100
2024-07-30,0.65,0.67,0.54,0.54,33400
2024-07-29,0.69,0.7,0.65,0.65,59600
2024-07-26,0.7,0.75,0.68,0.71,24900
2024-07-25,0.74,0.8,0.69,0.7,33300
2024-07-24,0.75,0.8,0.74,0.74,23000
2024-07-23,0.73,0.8,0.73,0.74,14800
2024-07-22,0.73,0.79,0.71,0.71,23800
2024-07-19,0.8,0.8,0.71,0.71,5200
2024-07-18,0.76,0.79,0.74,0.74,14300
2024-07-17,0.78,0.78,0.71,0.75,21400
2024-07-16,0.77,0.79,0.77,0.78,9000
2024-07-15,0.81,0.81,0.77,0.77,20400
2024-07-12,0.79,0.82,0.79,0.81,4200
2024-07-11,0.77,0.85,0.73,0.78,34000
2024-07-10,0.76,0.85,0.76,0.81,15900
2024-07-09,0.82,0.84,0.77,0.77,23500
2024-07-08,0.82,0.84,0.82,0.84,1400
2024-07-05,0.8,0.85,0.77,0.83,35400
2024-07-03,0.8,0.85,0.8,0.85,2700
2024-07-02,0.86,0.86,0.8,0.8,36200
2024-07-01,0.87,0.89,0.83,0.86,12100
2024-06-28,0.81,0.86,0.81,0.84,8600
2024-06-27,0.89,0.92,0.86,0.88,23100
2024-06-26,0.9,0.92,0.86,0.9,35200
2024-06-25,0.91,0.93,0.87,0.9,9800
2024-06-24,0.88,0.9,0.86,0.9,4500
2024-06-21,0.9,0.93,0.88,0.93,8100
2024-06-20,0.9,0.9,0.86,0.9,8600
2024-06-18,0.85,0.96,0.82,0.94,19800
2024-06-17,0.85,0.95,0.82,0.87,80400
2024-06-14,0.9,0.94,0.86,0.86,88200
2024-06-13,0.95,0.95,0.9,0.92,8900
2024-06-12,0.96,0.96,0.92,0.96,24400
2024-06-11,0.95,0.97,0.93,0.96,7500
2024-06-10,0.97,0.97,0.95,0.95,4300
2024-06-07,0.99,1.01,0.95,0.96,15200
2024-06-06,1.01,1.04,0.98,1.03,12700
2024-06-05,1.02,1.02,0.98,1.02,2000
2024-06-04,1.02,1.02,0.98,1.02,7200
2024-06-03,0.98,1.02,0.98,1.0,2300
2024-05-31,1.02,1.02,0.99,1.0,5800
2024-05-30,1.02,1.02,0.99,1.02,4300
2024-05-29,1.02,1.02,0.97,0.97,700
2024-05-28,1.02,1.02,0.98,1.01,55900
2024-05-24,0.96,1.02,0.93,1.02,34200
2024-05-23,0.9,1.0,0.9,0.98,9900
2024-05-22,0.97,1.0,0.9,0.94,44900
2024-05-21,0.98,0.98,0.95,0.98,3900
2024-05-20,0.93,0.98,0.86,0.98,26600
2024-05-17,0.89,0.94,0.84,0.91,12500
2024-05-16,0.88,0.88,0.83,0.88,4400
2024-05-15,0.87,0.9,0.83,0.88,38000
2024-05-14,0.82,0.87,0.76,0.87,5400
2024-05-13,0.78,0.83,0.76,0.82,30400
2024-05-10,0.85,0.88,0.79,0.82,19400
2024-05-09,0.83,0.9,0.83,0.88,11700
2024-05-08,0.8,0.9,0.8,0.86,50400
2024-05-07,0.79,0.88,0.79,0.87,46800
2024-05-06,0.85,0.9,0.8,0.85,49200
2024-05-03,0.85,0.85,0.81,0.83,6800
2024-05-02,0.85,0.85,0.81,0.85,13000
