Date,Open,High,Low,Close,Volume
2025-03-13,5.84,5.84,5.75,5.8,3334
2025-03-12,5.8,5.84,5.8,5.84,1100
2025-03-11,5.76,5.76,5.76,5.76,0
2025-03-10,5.82,5.82,5.76,5.76,3400
2025-03-07,5.76,5.87,5.75,5.76,9600
2025-03-06,5.86,5.86,5.83,5.86,7300
2025-03-05,5.75,5.86,5.75,5.82,4400
2025-03-04,5.75,5.75,5.75,5.75,0
2025-03-03,5.75,5.75,5.75,5.75,4400
2025-02-28,5.75,5.79,5.75,5.79,6200
2025-02-27,5.81,5.81,5.79,5.79,1200
2025-02-26,5.8,5.82,5.8,5.82,600
2025-02-25,5.85,5.85,5.85,5.85,0
2025-02-24,5.85,5.85,5.85,5.85,0
2025-02-21,5.85,5.88,5.85,5.85,5600
2025-02-20,5.81,5.88,5.8,5.82,4200
2025-02-19,5.9,5.97,5.78,5.79,27100
2025-02-18,5.73,5.97,5.72,5.9,30600
2025-02-14,5.62,5.7,5.51,5.7,84800
2025-02-13,5.77,5.77,5.58,5.6,85600
2025-02-12,5.92,5.93,5.78,5.81,62900
2025-02-11,5.96,5.99,5.91,5.94,38300
2025-02-10,6.02,6.04,5.97,6.0,2800
2025-02-07,6.02,6.02,6.01,6.01,1900
2025-02-06,6.04,6.04,5.96,5.97,4200
2025-02-05,6.01,6.01,5.98,6.0,2100
2025-02-04,5.99,6.01,5.95,6.01,2500
2025-02-03,6.0,6.0,6.0,6.0,1500
2025-01-31,6.01,6.16,6.01,6.09,4000
2025-01-30,6.0,6.0,5.99,5.99,400
2025-01-29,6.02,6.03,6.01,6.03,1100
2025-01-28,6.01,6.01,6.01,6.01,1200
2025-01-27,5.99,6.1,5.99,6.01,4500
2025-01-24,6.08,6.1,6.0,6.1,1400
2025-01-23,6.05,6.1,6.02,6.1,4000
2025-01-22,5.96,5.97,5.95,5.97,14700
2025-01-21,6.04,6.1,5.96,6.03,4100
2025-01-17,5.96,5.98,5.96,5.98,700
2025-01-16,5.98,6.0,5.95,5.95,4200
2025-01-15,6.04,6.04,5.99,5.99,16500
2025-01-14,6.03,6.07,6.03,6.05,2000
2025-01-13,6.07,6.12,6.01,6.01,2000
2025-01-10,6.13,6.19,6.05,6.05,6900
2025-01-08,6.11,6.15,6.08,6.12,8000
2025-01-07,6.1,6.1,6.1,6.1,500
2025-01-06,6.09,6.19,6.07,6.07,9000
2025-01-03,6.08,6.35,6.07,6.25,5300
2025-01-02,6.27,6.27,6.23,6.23,500
2024-12-31,6.33,6.35,6.01,6.35,10800
2024-12-30,6.29,6.4,6.29,6.32,4800
2024-12-27,6.47,6.47,6.35,6.35,3600
2024-12-26,6.42,6.43,6.29,6.29,3500
2024-12-24,6.45,6.55,6.41,6.42,11700
2024-12-23,6.45,6.52,6.41,6.45,9000
2024-12-20,6.46,6.46,6.46,6.46,1600
2024-12-19,6.46,6.46,6.46,6.46,3100
2024-12-18,6.56,6.56,6.46,6.46,8900
2024-12-17,6.47,6.6,6.47,6.6,4100
2024-12-16,6.55,6.6,6.5,6.6,5600
2024-12-13,6.53,6.55,6.5,6.51,2900
2024-12-12,6.6,6.69,6.49,6.69,15800
2024-12-11,6.49,6.6,6.38,6.6,13200
2024-12-10,6.39,6.39,6.39,6.39,400
2024-12-09,6.39,6.39,6.39,6.39,500
2024-12-06,6.49,6.5,6.49,6.5,3100
2024-12-05,6.32,6.62,6.32,6.61,2000
2024-12-04,6.52,6.52,6.3,6.4,2400
2024-12-03,6.58,6.59,6.3,6.45,5400
2024-12-02,6.65,6.65,6.51,6.62,17200
2024-11-29,6.6,6.63,6.6,6.6,7700
2024-11-27,6.6,6.6,6.6,6.6,0
2024-11-26,6.6,6.6,6.6,6.6,3100
2024-11-25,6.55,6.7,6.55,6.7,3400
2024-11-22,6.6,6.6,6.56,6.56,4500
2024-11-21,6.45,6.45,6.45,6.45,0
2024-11-20,6.45,6.45,6.45,6.45,900
2024-11-19,6.61,6.65,6.44,6.44,1500
2024-11-18,6.69,6.7,6.69,6.69,1500
2024-11-15,6.7,6.7,6.7,6.7,0
2024-11-14,6.82,6.84,6.66,6.7,4500
2024-11-13,6.47,6.82,6.47,6.82,84100
2024-11-12,6.7,6.7,6.53,6.53,4500
2024-11-11,6.62,6.66,6.62,6.65,1000
2024-11-08,6.66,6.66,6.6,6.62,2200
2024-11-07,6.68,6.92,6.68,6.71,6800
2024-11-06,6.64,6.69,6.64,6.69,4300
2024-11-05,6.56,6.6,6.55,6.6,3600
2024-11-04,6.54,6.64,6.54,6.56,3600
2024-11-01,6.65,6.67,6.65,6.65,4700
