Date,Open,High,Low,Close,Volume
2025-03-12,0.01,0.01,0.01,0.01,0
2025-03-11,0.01,0.01,0.01,0.01,0
2025-03-10,0.01,0.01,0.01,0.01,188000
2025-03-07,0.01,0.01,0.01,0.01,175000
2025-03-06,0.01,0.01,0.01,0.01,0
2025-03-05,0.01,0.01,0.01,0.01,0
2025-03-04,0.01,0.01,0.01,0.01,53018
2025-03-03,0.01,0.01,0.01,0.01,27500
2025-02-28,0.01,0.01,0.01,0.01,0
2025-02-27,0.01,0.01,0.01,0.01,6700
2025-02-26,0.01,0.01,0.01,0.01,20000
2025-02-25,0.01,0.01,0.01,0.01,0
2025-02-24,0.01,0.01,0.01,0.01,0
2025-02-21,0.01,0.01,0.01,0.01,0
2025-02-20,0.01,0.01,0.01,0.01,0
2025-02-19,0.01,0.01,0.01,0.01,237000
2025-02-18,0.01,0.01,0.01,0.01,0
2025-02-14,0.01,0.01,0.01,0.01,0
2025-02-13,0.01,0.01,0.01,0.01,0
2025-02-12,0.01,0.01,0.01,0.01,0
2025-02-11,0.01,0.01,0.01,0.01,0
2025-02-10,0.01,0.01,0.01,0.01,76992
2025-02-07,0.01,0.01,0.01,0.01,0
2025-02-06,0.01,0.01,0.01,0.01,0
2025-02-05,0.01,0.01,0.01,0.01,0
2025-02-04,0.01,0.01,0.01,0.01,16545
2025-02-03,0.01,0.01,0.01,0.01,0
2025-01-31,0.01,0.01,0.01,0.01,33008
2025-01-30,0.01,0.01,0.01,0.01,0
2025-01-29,0.01,0.01,0.01,0.01,339
2025-01-28,0.01,0.01,0.01,0.01,570285
2025-01-27,0.01,0.01,0.01,0.01,2478
2025-01-24,0.01,0.01,0.01,0.01,0
2025-01-23,0.01,0.01,0.01,0.01,0
2025-01-22,0.01,0.01,0.01,0.01,0
2025-01-21,0.01,0.01,0.01,0.01,0
2025-01-17,0.01,0.01,0.01,0.01,29970
2025-01-16,0.01,0.01,0.0,0.0,54875
2025-01-15,0.01,0.01,0.01,0.01,1300
2025-01-14,0.01,0.01,0.01,0.01,0
2025-01-13,0.01,0.01,0.01,0.01,100
2025-01-10,0.01,0.01,0.01,0.01,40000
2025-01-08,0.01,0.01,0.0,0.01,109782
2025-01-07,0.01,0.01,0.01,0.01,0
2025-01-06,0.01,0.01,0.01,0.01,0
2025-01-03,0.01,0.01,0.01,0.01,0
2025-01-02,0.01,0.01,0.01,0.01,0
2024-12-31,0.01,0.01,0.01,0.01,30156
2024-12-30,0.01,0.01,0.01,0.01,9345
2024-12-27,0.01,0.01,0.01,0.01,0
2024-12-26,0.01,0.01,0.01,0.01,101
2024-12-24,0.01,0.01,0.01,0.01,0
2024-12-23,0.01,0.01,0.01,0.01,0
2024-12-20,0.01,0.01,0.01,0.01,20000
2024-12-19,0.01,0.01,0.01,0.01,150238
2024-12-18,0.01,0.01,0.01,0.01,205
2024-12-17,0.01,0.01,0.01,0.01,1000
2024-12-16,0.01,0.01,0.01,0.01,1667
2024-12-13,0.01,0.01,0.01,0.01,33381
2024-12-12,0.01,0.01,0.01,0.01,172000
2024-12-11,0.01,0.01,0.0,0.0,401646
2024-12-10,0.01,0.01,0.01,0.01,0
2024-12-09,0.01,0.01,0.01,0.01,6500
2024-12-06,0.01,0.01,0.01,0.01,0
2024-12-05,0.01,0.01,0.01,0.01,25001
2024-12-04,0.01,0.01,0.01,0.01,0
2024-12-03,0.01,0.01,0.01,0.01,861
2024-12-02,0.01,0.01,0.01,0.01,0
2024-11-29,0.01,0.01,0.01,0.01,10000
2024-11-27,0.02,0.02,0.02,0.02,500
2024-11-26,0.01,0.01,0.01,0.01,80858
2024-11-25,0.01,0.01,0.01,0.01,0
2024-11-22,0.01,0.01,0.01,0.01,43000
2024-11-21,0.01,0.01,0.0,0.0,45000
2024-11-20,0.01,0.01,0.01,0.01,0
2024-11-19,0.01,0.01,0.01,0.01,1200
2024-11-18,0.01,0.01,0.01,0.01,0
2024-11-15,0.01,0.01,0.01,0.01,12691
2024-11-14,0.01,0.01,0.01,0.01,15000
2024-11-13,0.01,0.01,0.01,0.01,0
2024-11-12,0.01,0.02,0.01,0.01,256379
2024-11-11,0.02,0.02,0.01,0.02,10402
2024-11-08,0.01,0.01,0.01,0.01,0
2024-11-07,0.02,0.02,0.01,0.01,10120
2024-11-06,0.01,0.01,0.01,0.01,0
2024-11-05,0.01,0.01,0.0,0.01,699223
2024-11-04,0.01,0.01,0.01,0.01,777
2024-11-01,0.02,0.02,0.01,0.02,53060
2024-10-31,0.02,0.02,0.02,0.02,5000
2024-10-30,0.02,0.02,0.02,0.02,114
2024-10-29,0.02,0.02,0.02,0.02,0
2024-10-28,0.02,0.02,0.02,0.02,0
2024-10-25,0.02,0.02,0.02,0.02,0
2024-10-24,0.02,0.02,0.02,0.02,5000
2024-10-23,0.02,0.02,0.02,0.02,2500
2024-10-22,0.01,0.01,0.01,0.01,0
2024-10-21,0.01,0.01,0.01,0.01,1100
2024-10-18,0.01,0.01,0.01,0.01,20000
2024-10-17,0.01,0.01,0.01,0.01,20000
2024-10-16,0.01,0.01,0.01,0.01,0
2024-10-15,0.01,0.01,0.01,0.01,0
2024-10-14,0.01,0.01,0.01,0.01,0
2024-10-11,0.01,0.01,0.01,0.01,0
2024-10-10,0.01,0.01,0.01,0.01,0
2024-10-09,0.01,0.01,0.01,0.01,0
2024-10-08,0.01,0.01,0.01,0.01,20000
2024-10-07,0.01,0.01,0.01,0.01,15000
2024-10-04,0.01,0.01,0.01,0.01,1000
2024-10-03,0.01,0.01,0.01,0.01,20000
2024-10-02,0.01,0.01,0.01,0.01,1200
2024-10-01,0.02,0.02,0.01,0.01,76500
2024-09-30,0.01,0.01,0.01,0.01,110000
2024-09-27,0.02,0.02,0.02,0.02,30022
2024-09-26,0.02,0.02,0.02,0.02,0
2024-09-25,0.02,0.02,0.02,0.02,10000
2024-09-24,0.02,0.02,0.01,0.02,133668
