Date,Open,High,Low,Close,Volume
2025-03-13,1.61,1.67,1.58,1.62,21420
2025-03-12,1.59,1.65,1.55,1.65,33900
2025-03-11,1.55,1.6,1.52,1.55,21300
2025-03-10,1.6,1.62,1.56,1.56,20100
2025-03-07,1.6,1.62,1.57,1.59,28000
2025-03-06,1.6,1.66,1.59,1.63,21700
2025-03-05,1.53,1.62,1.5,1.59,57700
2025-03-04,1.53,1.63,1.45,1.58,47600
2025-03-03,1.73,1.73,1.52,1.55,66200
2025-02-28,1.76,1.78,1.59,1.69,67500
2025-02-27,1.68,1.8,1.61,1.72,107000
2025-02-26,1.51,1.98,1.48,1.76,743900
2025-02-25,1.55,1.59,1.43,1.51,101600
2025-02-24,1.71,1.73,1.53,1.59,132200
2025-02-21,1.72,1.75,1.68,1.68,89800
2025-02-20,1.81,1.94,1.67,1.73,741700
2025-02-19,1.75,1.86,1.7,1.82,106300
2025-02-18,1.94,1.96,1.71,1.77,173600
2025-02-14,1.89,1.95,1.82,1.92,117200
2025-02-13,1.84,1.95,1.81,1.91,76300
2025-02-12,1.75,1.93,1.73,1.85,95200
2025-02-11,1.86,1.96,1.77,1.8,115200
2025-02-10,1.81,2.05,1.74,1.86,334600
2025-02-07,2.03,2.03,1.8,1.8,211900
2025-02-06,2.35,2.38,2.01,2.04,360200
2025-02-05,2.56,2.6,2.22,2.38,438200
2025-02-04,2.55,2.92,2.41,2.73,802700
2025-02-03,2.73,2.74,2.36,2.68,365100
2025-01-31,2.8,3.12,2.72,2.8,142189
2025-01-30,2.96,2.96,2.56,2.8,180966
2025-01-29,3.68,3.76,2.8,2.96,316366
2025-01-28,4.24,4.64,4.16,4.56,185746
2025-01-27,4.48,4.8,4.24,4.64,117749
2025-01-24,4.48,5.36,4.32,4.56,377854
2025-01-23,4.48,4.48,4.16,4.32,122078
2025-01-22,4.8,4.8,4.24,4.48,159809
2025-01-21,4.8,5.04,4.4,4.8,181606
2025-01-17,5.44,5.52,4.8,5.04,436101
2025-01-16,5.52,6.88,5.12,5.28,494628
2025-01-15,6.16,6.24,4.88,5.28,432508
2025-01-14,7.6,7.6,6.48,6.88,228468
2025-01-13,8.48,8.48,7.12,7.68,266349
2025-01-10,9.2,9.2,8.08,8.64,197930
2025-01-08,10.48,10.64,8.96,9.6,409900
2025-01-07,9.84,12.56,9.84,12.56,1030153
2025-01-06,8.72,10.24,8.08,9.6,574740
2025-01-03,8.4,9.04,7.6,8.8,461321
2025-01-02,11.44,11.68,8.88,9.6,731116
2024-12-31,18.0,18.0,10.8,11.68,5160328
2024-12-30,7.52,9.6,7.04,9.04,810741
2024-12-27,7.36,7.6,7.04,7.52,196908
2024-12-26,7.04,7.36,6.72,7.36,110176
