Date,Open,High,Low,Close,Volume
2025-03-13,14.75,15.05,14.6,14.67,456891
2025-03-12,15.12,15.17,14.75,14.8,164100
2025-03-11,15.4,15.4,14.93,15.09,264300
2025-03-10,16.03,16.35,15.16,15.36,146700
2025-03-07,16.14,16.27,15.97,16.05,146900
2025-03-06,16.35,16.35,15.94,16.14,106800
2025-03-05,16.42,16.5,16.23,16.41,114100
2025-03-04,16.83,16.83,16.39,16.4,100800
2025-03-03,17.16,17.17,16.78,16.8,96800
2025-02-28,16.9,17.12,16.76,17.1,132900
2025-02-27,16.84,17.05,16.71,16.85,115100
2025-02-26,17.45,17.45,16.91,16.91,95300
2025-02-25,17.5,17.62,17.37,17.46,238300
2025-02-24,17.2,17.42,17.06,17.36,183100
2025-02-21,17.63,17.63,17.26,17.27,121200
2025-02-20,17.39,17.67,17.35,17.48,91700
2025-02-19,17.52,17.64,17.39,17.48,78000
2025-02-18,17.45,17.58,17.26,17.56,102000
2025-02-14,17.7,17.98,17.44,17.49,60500
2025-02-13,17.82,18.0,17.59,17.67,96400
2025-02-12,17.7,17.93,17.65,17.77,67500
2025-02-11,17.45,17.92,17.45,17.88,50300
2025-02-10,17.7,17.81,17.49,17.53,47800
2025-02-07,17.78,17.78,17.37,17.68,62500
2025-02-06,17.84,17.98,17.78,17.83,58300
2025-02-05,17.73,18.01,17.23,17.86,100600
2025-02-04,17.08,17.77,17.05,17.69,114800
2025-02-03,17.15,17.16,16.82,17.13,90500
2025-01-31,17.37,17.53,17.12,17.24,83900
2025-01-30,17.47,17.75,17.3,17.36,93300
2025-01-29,17.74,17.74,17.19,17.32,83200
2025-01-28,17.35,17.84,17.35,17.73,259600
2025-01-27,16.91,17.56,16.85,17.55,104400
2025-01-24,16.85,17.18,16.65,16.84,70700
2025-01-23,17.2,17.21,16.8,16.88,260500
2025-01-22,18.1,18.17,17.25,17.27,216500
2025-01-21,17.1,18.17,16.68,18.15,246300
2025-01-17,17.24,17.65,16.94,16.99,313100
2025-01-16,16.75,17.17,16.65,17.15,125600
2025-01-15,17.08,17.42,16.77,16.78,102500
2025-01-14,16.0,16.9,15.94,16.83,158000
2025-01-13,15.7,16.04,15.3,16.02,293900
2025-01-10,16.85,16.85,15.6,15.75,196800
2025-01-08,17.01,17.17,16.64,16.99,645900
2025-01-07,17.62,17.69,16.62,17.04,404900
2025-01-06,18.17,18.17,17.62,17.62,298400
2025-01-03,18.0,18.05,17.78,17.89,178600
2025-01-02,18.1,18.4,17.89,17.95,101100
2024-12-31,17.97,18.36,17.91,18.13,432600
2024-12-30,17.88,17.96,17.59,17.74,118600
2024-12-27,18.65,18.84,17.91,17.98,280800
2024-12-26,18.49,18.71,18.49,18.64,199100
2024-12-24,18.25,18.76,18.04,18.64,64500
2024-12-23,17.96,18.36,17.75,18.34,122400
2024-12-20,17.78,18.42,17.59,18.01,3054400
2024-12-19,18.27,18.34,17.83,17.9,311900
2024-12-18,18.8,19.02,18.2,18.27,322400
2024-12-17,18.75,19.02,18.67,18.89,324700
2024-12-16,18.67,18.87,18.15,18.77,397500
2024-12-13,18.8,18.91,18.34,18.61,307700
2024-12-12,19.46,19.46,18.74,18.86,123100
2024-12-11,19.3,19.38,19.07,19.37,61600
2024-12-10,19.2,19.29,18.81,19.24,196800
2024-12-09,19.12,19.43,18.84,19.24,261100
2024-12-06,19.06,19.21,18.88,19.02,180700
2024-12-05,19.19,19.26,18.94,19.01,111600
2024-12-04,19.37,19.38,19.06,19.17,117900
2024-12-03,19.36,19.48,19.27,19.35,144300
2024-12-02,19.17,19.46,19.07,19.36,162200
2024-11-29,18.97,19.32,18.96,19.16,106600
2024-11-27,18.48,19.03,18.48,19.01,293700
2024-11-26,18.75,18.89,18.54,18.54,116800
2024-11-25,18.49,18.87,18.44,18.66,153800
2024-11-22,18.72,18.82,18.21,18.49,105000
2024-11-21,18.13,18.58,18.05,18.49,115300
2024-11-20,18.38,18.48,18.02,18.14,121000
2024-11-19,18.18,18.4,18.09,18.4,55500
2024-11-18,18.35,18.51,17.82,18.3,128700
2024-11-15,18.62,18.81,18.36,18.38,74000
2024-11-14,18.77,19.15,18.57,18.82,110800
2024-11-13,18.97,19.02,18.57,18.83,207600
2024-11-12,18.61,18.92,18.04,18.9,168400
2024-11-11,18.62,18.92,18.43,18.74,158700
2024-11-08,18.58,18.74,18.57,18.67,76700
2024-11-07,18.57,18.93,18.51,18.61,89200
2024-11-06,18.92,19.51,18.32,18.55,149100
2024-11-05,18.57,18.99,18.48,18.99,105400
2024-11-04,18.53,18.8,18.48,18.62,118000
2024-11-01,18.53,18.67,18.43,18.55,135000
2024-10-31,18.82,19.03,18.44,18.44,154700
2024-10-30,18.29,18.97,18.29,18.82,144600
2024-10-29,18.85,18.9,18.32,18.36,212700
2024-10-28,19.32,19.34,18.69,18.9,194400
2024-10-25,19.4,19.46,18.68,19.21,111400
2024-10-24,19.49,19.52,19.17,19.34,123000
2024-10-23,19.02,19.46,19.02,19.37,144700
2024-10-22,18.92,19.17,18.91,19.15,84900
2024-10-21,19.05,19.07,18.85,18.99,182200
2024-10-18,18.53,19.03,18.3,19.03,221400
2024-10-17,18.28,18.84,18.28,18.43,304200
2024-10-16,18.37,18.66,18.29,18.43,299600
2024-10-15,18.4,18.67,18.18,18.48,806900
2024-10-14,18.28,18.52,18.15,18.27,535800
2024-10-11,18.4,18.67,18.15,18.23,601500
2024-10-10,18.53,18.6,18.17,18.44,522000
2024-10-09,18.51,18.75,18.14,18.57,488100
2024-10-08,18.57,18.62,18.08,18.56,526200
2024-10-07,19.02,19.02,18.24,18.64,238100
2024-10-04,19.07,19.12,18.42,19.02,351800
2024-10-03,18.4,19.27,18.15,19.15,823800
2024-10-02,18.03,18.98,18.03,18.5,4954600
