Date,Open,High,Low,Close,Volume
2025-03-13,1.81,1.85,1.62,1.63,68081
2025-03-12,2.03,2.07,1.72,1.75,133100
2025-03-11,1.87,1.94,1.8,1.84,87600
2025-03-10,2.09,2.09,1.79,1.87,114700
2025-03-07,2.01,2.2,1.99,2.05,218400
2025-03-06,1.97,2.18,1.9,2.04,133900
2025-03-05,1.73,2.02,1.73,1.96,190500
2025-03-04,1.82,1.89,1.55,1.73,186100
2025-03-03,1.83,1.89,1.58,1.76,219400
2025-02-28,1.56,1.71,1.54,1.71,91300
2025-02-27,1.5,1.53,1.43,1.52,52000
2025-02-26,1.5,1.55,1.46,1.48,28900
2025-02-25,1.47,1.55,1.4,1.45,27300
2025-02-24,1.45,1.45,1.35,1.41,84800
2025-02-21,1.46,1.54,1.34,1.38,112000
2025-02-20,1.51,1.53,1.42,1.49,192700
2025-02-19,1.48,1.48,1.3,1.37,75800
2025-02-18,1.52,1.53,1.37,1.43,111200
2025-02-14,1.5,1.51,1.37,1.45,186000
2025-02-13,1.34,1.5,1.28,1.49,212000
2025-02-12,1.2,1.3,1.15,1.29,154100
2025-02-11,1.11,1.21,1.11,1.19,57600
2025-02-10,1.15,1.17,1.07,1.1,58700
2025-02-07,1.15,1.2,1.11,1.13,97800
2025-02-06,1.15,1.16,1.09,1.12,23000
2025-02-05,1.16,1.34,1.04,1.1,208700
2025-02-04,0.94,1.1,0.93,1.07,104700
2025-02-03,0.9,0.93,0.87,0.92,43800
2025-01-31,0.87,0.92,0.82,0.9,234000
2025-01-30,0.95,0.95,0.86,0.94,72700
2025-01-29,0.93,0.95,0.9,0.91,58500
2025-01-28,0.93,0.95,0.91,0.93,45900
2025-01-27,0.96,0.99,0.92,0.93,55700
2025-01-24,0.99,0.99,0.95,0.97,132500
2025-01-23,1.0,1.02,0.96,1.0,47200
2025-01-22,1.03,1.03,0.98,1.0,244900
2025-01-21,1.02,1.05,1.0,1.03,77800
2025-01-17,1.04,1.04,0.97,1.03,84500
2025-01-16,1.04,1.1,1.0,1.01,245700
2025-01-15,0.94,1.09,0.86,1.04,597600
2025-01-14,1.34,1.46,1.25,1.45,39900
2025-01-13,1.29,1.35,1.21,1.33,36400
2025-01-10,1.16,1.3,1.13,1.3,84800
2025-01-08,1.37,1.37,1.16,1.2,38300
2025-01-07,1.04,1.35,1.04,1.18,50800
2025-01-06,1.02,1.04,0.98,1.0,26400
2025-01-03,1.02,1.02,0.98,1.02,20100
2025-01-02,1.09,1.09,0.99,1.05,74800
2024-12-31,1.07,1.1,1.04,1.09,23200
2024-12-30,1.05,1.09,1.0,1.05,17400
2024-12-27,1.06,1.07,1.0,1.04,55600
2024-12-26,1.07,1.1,1.01,1.04,53000
2024-12-24,1.05,1.07,1.0,1.06,27300
2024-12-23,1.07,1.1,0.92,1.02,186100
2024-12-20,1.03,1.09,1.0,1.08,35200
2024-12-19,1.25,1.26,1.0,1.0,33100
2024-12-18,1.27,1.38,1.21,1.21,9500
2024-12-17,1.3,1.39,1.23,1.23,18800
2024-12-16,1.4,1.4,1.3,1.31,8900
2024-12-13,1.47,1.47,1.33,1.44,5000
2024-12-12,1.4,1.43,1.3,1.31,6400
2024-12-11,1.39,1.45,1.31,1.31,20800
2024-12-10,1.4,1.49,1.3,1.4,165900
2024-12-09,1.49,1.49,1.39,1.43,34800
2024-12-06,1.6,1.62,1.4,1.48,34000
